啊	a_
赌钱	duqm
渡桥	duqn
赌球	duqq
地势崎岖	duqq2
大圣娶亲	duqq3
读取	duqu
独善其身	duqu2
的事情中	duqv
毒	dur_
当事人	dur2
多少人	dur3
琽	durb
都是如此	durc
都是人才	durc2
髑	durg
但是如果	durg2
嘟嚷	durh
度日	duri
韇	durl
殰	durl2
瓄	durl3
靯	durq
大声嚷嚷	durr
殬	duru
多少日子	durz
妒	dus_
的士速递	dusd
堵塞	duse
大杀四方	dusf
毒死	dusi
堵死	dusi2
大石碎胸口	dusk
嬻	dusl
大势所趋	dusq
读诵	duss
毒素	dusu
大失所望	dusw
嘟	dut_
电视台	dut2
多少天	dut3
都是他的错	dutc
独特	dute
肚疼	dutg
独体	duti
丹书铁券	dutq
肚痛	duts
赌徒	dutu
读图	dutu2
大书特书	dutu3
大赦天下	dutx
电视天线	dutx2
独吞	duty
渡头	dutz
镀	duu_
电视上	duu2
大声说	duu3
毒杀	duua
鼎盛时代	duud
毒蛇	duue
毒舌	duue2
独身	duuf
赌神	duuf2
独生	duug
赌圣	duug2
堵上	duuh
都市	duui
毒誓	duui2
多少时间	duuj
𬭊	duuq
多少事情	duuq3
鼎盛时期	duuq4
读书	duuu
度数	duuu2
大失水准	duuv
毒手	duuz
独守	duuz2
犊	duv_
董事长	duv2
督查	duva
赌债	duvd
定时炸弹	duvd2
多少沾点	duvd3
读者	duve
滴水之恩	duve2
毒针	duvf
督阵	duvf2
但是这个	duvg
肚胀	duvh
得失之患	duvh2
渎职	duvi
毒汁	duvi2
当时只道是寻常	duvi3
独占	duvj
督战	duvj2
都装	duvl
赌桌	duvo
独酌	duvo2
多事之秋	duvq
杜撰	duvr
肚中	duvs
杜仲	duvs2
堵住	duvu
赌注	duvu2
毒株	duvu3
都是渣渣	duvv
大神支招	duvv2
顶上战争	duvv3
騳	duvv4
但是这些	duvx
独身主义	duvy2
赌咒	duvz
杜	duw_
第十位	duw2
单身汪	duw3
但说无妨	duwf
螙	duwg
赌王	duwh
毒王	duwh2
读完	duwj
滴水未进	duwj2
都是为了	duwl
但是我们	duwm
赌窝	duwo
道是无晴却有晴	duwq2
都是问题	duwt
毒物	duwu
读物	duwu2
都尉	duww
椟	duwy
多说无益	duwy2
读书无用	duwy3
大师兄	dux_
倒是想	dux2
对手戏	dux3
读心	duxb
笃信	duxb2
堵心	duxb3
东闪西躲	duxd
镀锡	duxi
毒性	duxk
独行	duxk2
独享	duxl
东升西落	duxl2
独上西楼	duxl3
鑟	duxl4
独显	duxm
毒腺	duxm2
毒枭	duxn
读写	duxp
东施效颦	duxp2
独秀	duxq
低声下气	duxq2
东食西宿	duxs
督学	duxt
都市小说	duxu
道士下山	duxu2
电视新闻	duxw
赌侠	duxx
低声细语	duxy
但是现在	duxz
大少爷	duy_
诞生于	duy2
的声音	duy3
毒牙	duya
读音	duyb
毒瘾	duyb2
毒药	duyc
多少有点	duyd
都是要的	duyd2
毒液	duye
都是一个	duyg
大手一挥	duyh
单双引号	duyh2
独一	duyi
妒意	duyi2
独眼	duyj
读研	duyj2
大势已去	duyq
大伤元气	duyq2
独院	duyr
独树一帜	duyv
都是一种	duyv2
都是因为	duyw
但是因为	duyw2
多少有些	duyx
都是一些	duyx2
对视一眼	duyy
都是一样	duyy2
独有	duyz
肚	duz_
都是在	duz2
大傻子	duz3
肚子	dz2
独自	duzi2
独生子女	duzn
读作	duzo
东山再起	duzq2
嘟嘴	duzv
堵嘴	duzv2
独尊	duzy
大受赞扬	duzy2
独奏	duzz
对	dv_
对啊	dvaa
瀩	dval
对岸	dvan
独占鳌头	dvat
斗志昂扬	dvay
大转变	dvb_
地震波	dvb2
对照表	dvb3
对吧	dvba
对保	dvbc
对白	dvbd
懂装不懂	dvbd2
党政不分	dvbf
对半	dvbj
党支部书记	dvbj2
对着靶子射箭	dvbj3
斗智不斗力	dvbl
对边	dvbm
党政部门	dvbm2
对标	dvbn
队标	dvbn2
对不	dvbu
对被	dvbw
痽	dvcb
对策	dvce
对侧	dvce2
对错	dvco
单指操作	dvcz
祋	dvd_
都知道	dvd2
碟中谍	dvd3
对答	dvda
对打	dvda2
堆到	dvdc
对待	dvdd
对等	dvdg
大智大慧	dvdh2
对敌	dvdi
动辄得咎	dvdj
都知道了	dvdl
对调	dvdn
堆垛	dvdo
堆叠	dvdp
大众点评	dvdp2
对端	dvdr
镦短	dvdr2
襨	dvdt
对赌	dvdu
德之大者	dvdv
地质大学	dvdx
斗智斗勇	dvdy
多种多样	dvdy2
打转儿	dve_
对儿	dver
抵掌而谈	dvet
対	dvet2
鐜	dveu
憝	dvev
大丈夫	dvf_
多种分配方式并存	dvfc
对分	dvff
堆放	dvfh2
党政分开	dvfk
地主富农	dvfn
大丈夫何患无妻	dvfq
譵	dvft
对付	dvfu
兑付	dvfu2
队服	dvfu3
大政方针	dvfv
堆肥	dvfw
掉转方向	dvfx
大丈夫生居天地之间，岂能郁郁久居人下	dvfx2
对否	dvfz
渎职犯罪	dvfz2
对着干	dvg_
对这个	dvg2
动真格	dvg3
党政干部	dvgb
跌至谷底	dvgd
对歌	dvge
地质工程	dvgi
对过	dvgo
对公	dvgs
对攻	dvgs2
地质公园	dvgy
打招呼	dvh_
地中海	dvh2
大智慧	dvh3
嵟	dvhb
对号	dvhc
大中华区	dvhq
兑换	dvhr
对换	dvhr2
大展宏图	dvht
大展鸿图	dvht2
队徽	dvhv
对话	dvhx
对华	dvhx2
对车	dvie
对称	dvif
堆成	dvig
对唱	dvih
当众出丑	dvii
綐	dvip
对冲	dvis
大中城市	dviu
打针吃药	dviy
倒装句	dvj_
对劲	dvjb
对襟	dvjb2
党政机关	dvjg
地质结构	dvjg2
点阵激光	dvjg3
大战几百回合	dvjh
堆积	dvji
地主阶级	dvjj
大展交脚	dvjj2
对镜	dvjk
对讲	dvjl
兑奖	dvjl2
对焦	dvjn
对角	dvjn2
对接	dvjp
对戒	dvjp2
对酒	dvjq
对决	dvjt
对局	dvju
对家	dvjx
多种经营	dvjy
地主家的傻儿子	dvjz
打折扣	dvk_
对开	dvkd
对砍	dvkj
兑款	dvkr
对口	dvkz
兑	dvl_
导致了	dvl2
低质量	dvl3
对啦	dvla
大赚了一笔	dvlb
地主老财	dvlc
党政领导	dvld
对了	dvle
对症良方	dvlf
大战了三百回合	dvlh
对立	dvli
队里	dvli2
挡住了去路	dvll
对联	dvlm
对咯	dvlo
队列	dvlp
兌	dvlp3
兊	dvlp4
对流	dvlq
对路	dvlu
对垒	dvlw
读者来信	dvlx
瞪着两眼	dvly
对喽	dvlz
打肿脸充胖子	dvlz2
都这么	dvm_
对吗	dvma
对骂	dvma2
对么	dvme
对门	dvmf
堆满	dvmj
对面	dvmm
斗志满满	dvmm2
薱	dvmt
对美	dvmw
对那	dvna
对你	dvni
淡妆浓抹	dvnm
对内	dvnw
队内	dvnw2
淡妆浓抹总相宜	dvny
对偶	dvou
搭帐篷	dvp_
豆制品	dvp2
蛋制品	dvp3
地转偏向力	dvpl
当者披靡	dvpm
对战平台	dvpt
带状疱疹	dvpv
堆	dvq_
等着瞧	dvq2
对亲	dvqb
多种渠道	dvqd
大张旗鼓	dvqg
对齐	dvqi
堆砌	dvqp
大展拳脚	dvqj
掉转枪口	dvqk
挡住去路	dvql
塠	dvqq
大众情人	dvqr
调转枪头	dvqt2
掉转枪头	dvqt3
兑取	dvqu
怼	dvqv
垖	dvqx
断章取义	dvqy
对人	dvrf
怼人	dvrf2
大智若愚	dvry
大昭寺	dvs_
道之所存	dvsc
大战三百回合	dvsh
低着头	dvt_
吊炸天	dvt2
德智体	dvt3
对他	dvta
对台	dvtd
端正态度	dvtd2
大张挞伐	dvtf
堆糖	dvth
对题	dvti
对谈	dvtj
德智体美劳	dvtl
对天	dvtm
德智体美	dvtm2
得之坦然	dvtr
对头	dvtz
大猪蹄子	dvtz2
都只是	dvu_
大致上	dvu2
大专生	dvu3
对射	dvue
对上	dvuh
对视	dvui
大致说来	dvul
对数	dvuu
大展身手	dvuu2
兑水	dvuv
大展神威	dvuw
斗折蛇行	dvux
瞪着双眼	dvuy
对手	dvuz
打转转	dvv_
定妆照	dvv2
对照	dvvc
对着	dvve
对折	dvve2
对阵	dvvf
对症	dvvg
对证	dvvg2
队长	dvvh
对账	dvvh2
对峙	dvvi
对质	dvvi2
对战	dvvj
堆栈	dvvj2
对撞	dvvl
砥柱中流	dvvl2
对转	dvvr
对重	dvvs
得知真相	dvvx
对准	dvvy
地主之谊	dvvy2
大猪肘子	dvvz
逗着玩	dvw_
动植物	dvw2
对外	dvwd
敌众我寡	dvwg
对望	dvwh
大众文化	dvwh2
当之无愧	dvwk
得之我幸，失之我命	dvwm
敌驻我扰	dvwr
队伍	dvwu
读者文摘	dvwv
对位	dvww
对味	dvww2
得之我幸	dvwx
碓	dvx_
大闸蟹	dvx2
大中小	dvx3
对心	dvxb
打转向灯	dvxd
大致相当	dvxd2
大众形音输入法	dvxf
鴭	dvxg
胆战心寒	dvxh
对戏	dvxi
胆战心惊	dvxj
地质学家	dvxj2
队形	dvxk
对象	dvxl
大专学历	dvxl2
兑现	dvxm
对线	dvxm2
堆笑	dvxn
对消	dvxn2
磓	dvxq
东征西讨	dvxt
大致相同	dvxt2
多种形式	dvxu
东张西望	dvxw
对虾	dvxx
对症下药	dvxy
斗转星移	dvxy2
队	dvy_
打主意	dvy2
瞪着眼	dvy3
对呀	dvya
对饮	dvyb
大赚一笔	dvyb2
陮	dvyb3
的这样一个	dvyg
对弈	dvyi
队医	dvyi2
大战一场	dvyi3
对眼	dvyj
瞪着眼睛	dvyj2
对应	dvyk
当之有愧	dvyk2
动之以情	dvyq
队员	dvyr
对月	dvyt
对曰	dvyt2
对于	dy2
大专以上	dvyu2
带着一种	dvyv
掉帧严重	dvyv2
的重要性	dvyx2
大专院校	dvyx3
队友	dvyz
对照组	dvz_
渎职罪	dvz2
堆在	dvzd
对子	dvzi
德文版	dwb_
敌我不分	dwbf
动物保护	dwbh
大未必佳	dwbj
耽误不了	dwbl
大尾巴狼	dwbl2
大为不满	dwbm
大为不同	dwbt
第五次	dwc_
断无此理	dwcl
单位的	dwd_
对我的	dwd2
的味道	dwd3
独往独来	dwdl
对位单杀	dwdu
单位地址	dwdv
大腕儿	dwe_
短吻鳄	dwe2
对我而言	dwey
达斡尔族	dwez
都无法	dwf_
单位负责人	dwfr
单位犯罪	dwfz
第五个	dwg_
对外公布	dwgb
大为感动	dwgd
大为改观	dwgg
大为光火	dwgh
对外公开	dwgk
得管	dwgr
对外关系	dwgx
党务工作	dwgz
党委会	dwh_
短尾猴	dwh2
地位很高	dwhg
第五回合	dwhh
大碗喝酒	dwhj
大碗茶	dwi_
低温超导	dwid
待我长发及腰	dwiy
端午节	dwj_
第五季	dwj2
第五节	dwj3
但我觉得	dwjd
对外经济	dwjj
对外交流	dwjl
读万卷书，行万里路	dwjl2
读万卷书行万里路	dwjl3
对外经贸	dwjm
大为惊奇	dwjq
读万卷书	dwju
大王叫我来巡山	dwju2
对外交往	dwjw
帝王将相	dwjx
等位基因	dwjy
对外经济贸易	dwjy2
倒胃口	dwk2
吊胃口	dwk3
跌无可跌	dwkd
对外开放	dwkf
点我开始	dwku
得亏	dwkv
对外扩张	dwkv2
都忘了	dwl_
单位领导	dwld2
对外联络	dwll
对我来说	dwlu
达瓦里氏	dwlu2
达瓦里希	dwlx
对我们	dwm_
当我们	dwm2
点外卖	dwm3
敌我矛盾	dwmd
单位面积	dwmj
对我们来说	dwmu
当我没说	dwmu2
对外贸易	dwmy
第五年	dwn_
大为恼火	dwnh
动歪脑筋	dwnj
电蚊拍	dwp_
第五批	dwp2
但我却	dwq_
定位球	dwq2
玷污清白	dwqb
第五人格	dwrg
党外人士	dwru
堤外损失堤内补	dwsb
度无死角	dwsj
睹物思情	dwsq
睹物思人	dwsr
的问题	dwt2
大问题	dwt3
大威天龙	dwtl
的问题是	dwtu
的问题上	dwtu2
对外投资	dwtz
耽误事	dwu_
对我说	dwu2
大晚上	dwu3
敌我双方	dwuf
党委书记	dwuj
耽误时间	dwuj2
动物世界	dwuj3
地外生命	dwum
得说	dwuo
睹物伤情	dwuq
动物实验	dwuy
多维数组	dwuz
第五种	dwv_
单位制	dwv2
党委制	dwv3
对外政策	dwvc
弹丸之地	dwvd
得治	dwvi
当务之急	dwvj
大为震惊	dwvj2
单位招聘	dwvp
挡我者死	dwvs
耽误正事	dwvu
帝王之术	dwvu2
帝王之学	dwvx
帝王之音	dwvy
打歪主意	dwvy2
帝王之姿	dwvz
大无畏	dww_
大胃王	dww2
逗我玩	dww3
对我胃口	dwwk
东望望西看看	dwwk2
到我玩了	dwwl
点蚊香	dwx_
电蚊香	dwx2
等温线	dwx3
弹无虚发	dwxf
弹丸小国	dwxg
东问西问	dwxw
都未有	dwy_
动物园	dwy2
对外友好协会	dwyh
帝王引擎	dwyq
懂我意思	dwys
对外援助	dwyv
动物医学	dwyx
对外友协	dwyx2
对望一眼	dwyy
大兴安岭	dxal
典型案例	dxal2
大小便	dxb_
掉馅饼	dxb2
单细胞	dxb3
多行不义必自毙	dxbb
东西不错	dxbc
大雄宝殿	dxbd
大小不等	dxbd2
打小报告	dxbg
大小便失禁	dxbj
笃学不倦	dxbj2
大卸八块	dxbk
大学本科	dxbk2
打西边出来	dxbl
定向爆破	dxbp
道心不稳	dxbw
大学毕业	dxby
大小不一	dxby2
灯芯草	dxc_
答谢词	dxc2
大刑伺候	dxch
典型的	dxd_
大兄弟	dxd2
地下党	dxd3
大喜大悲	dxdb
大写的服	dxdf
涤瑕荡秽	dxdh
低息贷款	dxdk
等效电路	dxdl
丹霞地貌	dxdm
担心的事	dxdu
担心的是	dxdu2
多谢多谢	dxdx
店小二	dxe_
地下二层	dxec
东向而望，不见西墙	dxeq
东西方	dxf_
大雪纷飞	dxff
东西方文化	dxfh
刀削斧刻	dxfk
短信发送	dxfs
断线风筝	dxfv
定性分析	dxfx
胆小鬼	dxg_
电线杆	dxg2
的习惯	dxg3
单膝跪地	dxgd
鼎新革故	dxgg
低吸高抛	dxgp
电信公司	dxgs
地下工作者	dxgv
大喜过望	dxgw
电线杆子	dxgz
地下工作	dxgz2
都喜欢	dxh_
带小孩	dxh2
灯下黑	dxh3
旦夕祸福	dxhf
担心害怕	dxhp
地下黑拳	dxhq
胆小好色	dxhs
大小合适	dxhu
大型会议	dxhy
单向好友	dxhy2
大小伙子	dxhz
大学城	dxi_
多线程	dxi2
单线程	dxi3
大小尺寸	dxic
地下车库	dxik
断线重连	dxil
定性处理	dxil2
地下城与勇士	dxiu
大小姐	dxj_
地县级	dxj2
电信局	dxj3
短小精干	dxjg
短小精悍	dxjh
大笑江湖	dxjh2
打下基础	dxji
妒贤嫉能	dxjn
妒贤忌能	dxjn2
大型纪录片	dxjp
大相径庭	dxjt
大学教授	dxju
大限将至	dxjv
大学教育	dxjy
地下交易	dxjy2
独享经验	dxjy3
电信卡	dxk_
多学科	dxk2
大侠客	dxk3
多谢款待	dxkd
电信宽带	dxkd2
灯下看美人	dxkr
掉下来	dxl_
定下来	dxl2
多谢了	dxl3
倒吸了一口气	dxlq
倒吸了一口凉气	dxlq2
刀下留情	dxlq3
刀下留人	dxlr
低下了头	dxlt
打消了念头	dxlt2
大学老师	dxlu
带薪拉屎	dxlu2
打心理战	dxlv
单线联系	dxlx
弟兄们	dxm_
大熊猫	dxm2
刀削面	dxm3
倒血霉了	dxml
道消魔长	dxmv
大胸妹子	dxmz
低效能	dxn_
大西南	dxn2
东西南北	dxnb
打消念头	dxnt
倒行逆施	dxnu
东西南北中	dxnv
东西欧	dxo_
地下偶像	dxox
邓小平	dxp_
邓小平理论	dxpl
道心破碎	dxps
胆小怕事	dxpu
定向培养	dxpy
掉下去	dxq_
倒下去	dxq2
的心情	dxq3
独行其道	dxqd2
大学期间	dxqj
掉下去了	dxql
大笑起来	dxql2
惰性气体	dxqt
独行其是	dxqu
大型企业	dxqy
堆雪人	dxr_
灯芯绒	dxr2
的笑容	dxr3
滴血认亲	dxrq
胆小如鼠	dxru
动心忍性	dxrx
单相思	dxs_
地下三层	dxsc
大写锁定	dxsd
大学四年	dxsn
打小算盘	dxsp
定向思维	dxsw
嗲	dxt_
低下头	dxt2
低血糖	dxt3
窦性停搏	dxtb
地下通道	dxtd
兑现天赋	dxtf
低下头来	dxtl
地下铁路	dxtl2
大兴土木	dxtm
歹戏拖棚	dxtp
短信通知	dxtv
大学同学	dxtx
地下室	dxu_
都像是	dxu2
地下水	dxu3
电信设备	dxub
大学时代	dxud
单向收费	dxuf
典型示范	dxuf2
大学时光	dxug
大学生活	dxuh
等些时候	dxuh2
地下商场	dxui
大型社死现场	dxui2
电信手机	dxuj
等些时间	dxuj2
蹲下身来	dxul
定下神来	dxul2
大学水平	dxup
大显神通	dxut
跌下神坛	dxut2
大显身手	dxuu
等闲视之	dxuv
地下水位	dxuw
的形势下	dxux
打雪仗	dxv_
打响指	dxv2
等闲之辈	dxvb
刀下之鬼	dxvg
旦夕之间	dxvj
断袖之癖	dxvp
电信诈骗	dxvp2
等闲置之	dxvv
定心丸	dxw_
定性为	dxw2
大旋涡	dxw3
地下五笔	dxwb
大学物理	dxwl
大象无形	dxwx
大猩猩	dxx_
独行侠	dxx2
读小学	dxx3
东邪西毒	dxxd
大小相等	dxxd2
单膝下跪	dxxg
东邪西毒南帝北丐	dxxg2
大小写切换	dxxh
冬雪雪冬小大寒	dxxh2
大学校长	dxxi
带薪休假	dxxj
窦性心律	dxxl
大学学历	dxxl2
大型项目	dxxm
多项选择题	dxxt
单项选择题	dxxt2
东想西想	dxxx
大学校园	dxxy
倒屣相迎	dxxy2
单项选择	dxxz
多项选择	dxxz2
都需要	dxy_
都想要	dxy2
大西洋	dxy3
地下一层	dxyc
等下一次	dxyc2
斗心眼儿	dxye
答谢宴会	dxyh
丹心玉壶	dxyh2
地心引力	dxyl
打心眼里	dxyl2
裆下一凉	dxyl3
地下一年	dxyn
大献殷勤	dxyq
倒吸一口凉气	dxyq2
倒吸一口冷气	dxyq3
得心应手	dxyu
丁香医生	dxyu2
地下有知	dxyv
大学语文	dxyw
大学英语	dxyy
到现在	dxz_
的选择	dxz2
但现在	dxz3
大写字母	dxzm
到现在为止	dxzv
地下组织	dxzv2
顿	dy_
沌	dya_
大要案	dya2
的呀！	dyaa
潡	dyaq
的呀……	dyas
的呀？	dyaw
盹	dyb_
第一步	dyb2
第一遍	dyb3
大洋彼岸	dyba
多有不便	dybb2
大言不惭	dybc
动也不动	dybd
大意不得	dybd2
第一部分	dybf
东亚病夫	dybf2
敌友不分	dybf3
大英博物馆	dybg
调研报告	dybg2
但愿不会	dybh
蹲班	dybj
倒也罢了	dybl
答应别人	dybr
电眼逼人	dybr2
大有不同	dybt
赌一包辣条	dybt2
倒也不是	dybu
大有裨益	dyby
趸	dyc_
第一次	dyc2
多义词	dyc3
断垣残壁	dycb
炖菜	dycd
第一次的	dycd2
蹲厕	dyce
定语从句	dycj
第一次工业革命	dycm
第一次科技革命	dycm2
顿挫	dyco
敦促	dycu
第一次世界大战	dycv
第一次鸦片战争	dycv2
等一等	dyd_
多一点	dyd2
动一动	dyd3
大摇大摆	dydb
抵押担保	dydb2
钝刀	dydc
大英帝国	dydg
动员大会	dydh
多一点真诚	dydi
抵押贷款	dydk
第一定律	dydl
蹲点	dydm
大鱼大肉	dydr
定一定神	dydu
对应的是	dydu2
得意的笑	dydx
得意地笑	dydx2
大眼瞪小眼	dydy
多有得罪	dydz
得意弟子	dydz2
敦	dye_
豆芽儿	dye2
撉	dyeo
盹儿	dyer
盾	dyf_
的衣服	dyf2
抵押房	dyf3
顿饭	dyfj
遁	dyfq
第一夫人	dyfr
打赢复活赛	dyfs
蹲伏	dyfu
打预防针	dyfv
第一反应	dyfy
毒瘾发作	dyfz
第一个	dyg_
都应该	dyg2
对一个	dyg3
党员干部	dygb
冬泳怪鸽	dygg
东一个西一个	dygg2
顿感	dygj
钝感	dygj2
第一感觉	dygj3
电源管理	dygl
大雁归来	dygl2
地狱归来	dygl3
第一个方面	dygm
炖锅	dygo
第一个星期	dygq
第一个人	dygr
东亚共荣	dygr2
都应该是	dygs
东野圭吾	dygw
对应关系	dygx
的一个东西	dygx2
第一个月	dygy
等一会	dyh_
单引号	dyh2
第一号	dyh3
顿号	dyhc
等一会儿	dyhe
第一回合	dyhh
大有好处	dyhi
敦煌	dyhl
电影画面	dyhm
囤货	dyho
地狱绘图	dyht
当一回事	dyhu
得意后生	dyhu2
大有好转	dyhv
钝化	dyhx
敦化	dyhx2
敦厚	dyhz
打圆场	dyi_
第一场	dyi2
大悦城	dyi3
羝羊触藩	dyif
谍影重重	dyii
对影成三人	dyir
第一场雪	dyix
但愿长醉不复醒	dyix2
第一产业	dyiy
大鱼吃小鱼	dyiy2
囤	dyj_
第一件	dyj2
第一卷	dyj3
电影剧本	dyjb2
大有进步	dyjb3
导演剪辑版	dyjb4
单元检测	dyjc
第一季度	dyjd
第一阶段	dyjd2
第一句话	dyjh
答疑解惑	dyjh2
炖鸡	dyji
吨级	dyji2
东一句西一句	dyjj
东一家西一家	dyjj2
钝角	dyjn
第一件事情	dyjq
顿觉	dyjt
第一件事	dyju
电影解说	dyju2
遁甲	dyjx
弹药库	dyk_
伅	dykb
蹲坑	dykg
电源开关	dykg2
地狱开局	dykj
倒要看看	dykk
都有可能	dykn
抖音快手	dyku
大有可为	dykw
都有了	dyl_
答应了	dyl2
第一轮	dyl3
东一榔头西一棒	dylb
电压力锅	dylg
东一榔头，西一棒槌	dyli
东一榔头西一棒槌	dyli2
大义凛然	dylr
大有来头	dylt
屯绿	dylv
断崖领先	dylx
东一榔头西一棒子	dylz
第一名	dym_
第一面	dym2
大姨妈	dym3
大义灭亲	dymq
打羽毛球	dymq2
得意门生	dymu
等于没说	dymu2
电源模式	dymu3
电影明星	dymx
第一年	dyn_
地狱难度	dynd
对于那个	dyng
对于那些	dynx
獤	dyoq
撴	dyoq2
炖	dyp_
第一批	dyp2
电影票	dyp3
盾牌	dypd
电影频道	dypd2
大雨瓢泼	dypp
大雨滂沱	dypt
电影拍摄	dypu
戴月披星	dypx
墩	dyq_
的一切	dyq2
第一期	dyq3
道友请留步	dyqb
打一枪换一个地方	dyqf
钝器	dyqi
蹲起	dyqi2
低吟浅唱	dyqi3
大雨倾盆	dyqp
大异其趣	dyqq2
逇	dyqq3
大有起色	dyqs
大有前途	dyqt
遁去	dyqu
地域歧视	dyqu2
动员群众	dyqv
掉以轻心	dyqx
第一人	dyr_
代言人	dyr2
第一任	dyr3
但愿如此	dyrc
第一人称	dyri
顿然	dyrj
但愿人长久	dyrj2
遁入	dyru
多元认识	dyru2
大雨如注	dyrv
大愚若智	dyrv2
大有人在	dyrz
炖肉	dyrz2
蹲	dys_
的因素	dys2
的意思	dys3
踲	dysb
的意思吗	dysm
蹾	dysq
的意思是	dysu
的意思是说	dysu2
大有所为	dysw
等腰三角形	dysx
吨	dyt_
第一天	dyt2
第一条	dyt3
遁逃	dytc
第一梯队	dytd
炖汤	dyth
第一桶金	dytj
钝痛	dyts
当一天和尚撞一天钟	dytv
大赢特赢	dyty
钝	dyu_
第一手	dyu2
第一声	dyu3
顿生	dyug
大有收获	dyuh
顿时	dyui
敦实	dyui2
第一时间	dyuj
第一视角	dyuj2
第一生产力	dyul
镦	dyuq
电源适配器	dyuq2
多一事不如少一事	dyuu
炖熟	dyuu2
大意失荆州	dyuv
的一是了不在有个人这	dyuv2
德艺双馨	dyux
断崖式领先	dyux2
蹲守	dyuz
顿首	dyuz2
惇	dyv_
第一种	dyv2
都有着	dyv3
大医治未病	dyvb
蹲着	dyve
钓鱼执法	dyvf
对于这个	dyvg
地狱之门	dyvm
多云转晴	dyvq
犜	dyvq2
驐	dyvq3
得意之色	dyvs
大雅之堂	dyvt
顿住	dyvu
地缘政治	dyvv
对于这些	dyvx
多云转阴	dyvy
第一志愿	dyvy2
大雨转暴雨	dyvy3
得意之作	dyvz
第一位	dyw_
都以为	dyw2
定义为	dyw3
倒也未必	dywb
但也未必	dywb2
饨	tyw_
独一无二	dywe
倒也无妨	dywf
多元文化	dywh
地狱无门闯进来	dywl
抵御外来侵略	dywl2
对于我们	dywm
得鱼忘筌	dywq
顿悟	dywu
对于我来说	dywu2
大有文章	dywv
吨位	dyww
得意忘形	dywx
得意忘言	dywy
大有文章可做	dywz
礅	dyx_
等一下	dyx2
多一些	dyx3
砘	dyxb
东摇西摆	dyxb2
碷	dyxb3
东游西荡	dyxd
抖音小店	dyxd2
东游西逛	dyxg
地狱笑话	dyxh
东摇西晃	dyxh2
第一现场	dyxi
大有玄机	dyxj
遁形	dyxk
钝响	dyxl
的一系列	dyxl2
顿消	dyxn
大一新生	dyxu
大音希声	dyxu2
大有希望	dyxw
蹲下	dyxx
的影响下	dyxx2
大约需要	dyxy
都一样	dyy_
得益于	dyy2
第一眼	dyy3
盗亦有道	dyyd
都有一个	dyyg
对于一个	dyyg2
大有益处	dyyi
大有用处	dyyi2
大预言家	dyyj
带预言家	dyyj2
定眼一看	dyyk
独异于人	dyyr
多有意思	dyys
大隐隐于市	dyyu
都有一种	dyyv
多元宇宙	dyyv2
第一要务	dyyw
第一印象	dyyx
对于一些	dyyx2
得意洋洋	dyyy
的原因所在	dyyz
的样子	dyz_
多音字	dyz2
导演组	dyz3
蹲在	dyzd
大院子弟	dyzd2
墩子	dyzi
蹲姿	dyzi2
打鸭子上架	dyzj
的样子真好看	dyzk
的样子真美	dyzm
蹲坐	dyzo
遯	dyzq
顿足	dyzu
大有作为	dyzw
遁走	dyzz
斗	dza_
乧	dzab
浢	dzap
大嘴巴	dzb_
电子表	dzb2
电子版	dzb3
豆包	dzbc
电子表格	dzbg
大字不识一个	dzbg2
都比	dzbi
逗比	dzbi2
豆瓣	dzbj
豆饼	dzbk
电子病历	dzbl
陡变	dzbm
都别	dzbp
得罪不起	dzbq
顿足不前	dzbq2
都不	dzbu
都被	dzbw
胆子不小	dzbx
大嘴巴子	dzbz
痘	dzc_
倒栽葱	dzc2
多字词	dzc3
电子词典	dzcd
兜	dzd_
胆子大	dzd2
大字典	dzd3
斗大	dzda
多姿多彩	dzdc
独自等待	dzdd
大佐的肯定	dzdd2
多子多福	dzdf
兜底	dzdi
斗胆	dzdj
豆丁	dzdk
逗点	dzdm
多灾多难	dzdn
大灾大难	dzdn2
电子毒品	dzdp2
动作大片	dzdp3
电子电器	dzdq
电子斗蛐蛐	dzdq2
抖动	dzds
多子多孙	dzds2
多嘴多舌	dzdu
兜肚	dzdu2
都得	dzdw
痘痘	dzdz
豆豆	dzdz2
肚子饿	dze_
窦娥	dzee
鼎足而立	dzel
肚子饿了	dzel2
抵足而眠	dzem
鼎足而三	dzes
当作儿戏	dzex
斗法	dzfa
豆粉	dzff
兜风	dzfg
斗方	dzfh
弟子服其劳	dzfl
电子发票	dzfp
电子伏特	dzft
豆腐	dzfu
胆子放大些	dzfx
蚪	dzg_
弟子规	dzg2
电子狗	dzg3
逗哏	dzgf
刁钻古怪	dzgg
豆干	dzgj
都怪	dzgk
斗拱	dzgs
待字闺中	dzgv
都给	dzgw
篼	dzh_
到最后	dzh2
大杂烩	dzh3
电子货币	dzhb
逗号	dzhc
都好	dzhc2
都很	dzhf
痘痕	dzhf2
对子哈特	dzht
豆花	dzhx
缔造出	dzi_
电子厂	dzi2
都成	dzig
都长	dzih
动作迟缓	dzih2
豆豉	dzii
抖颤	dzij
痘疮	dzil
电子产品	dzip
钉在耻辱柱上	dziu
电子宠物	dziw
电子出版物	dziw2
顿足捶胸	dzix
窦	dzj_
对自己	dzj2
得自己	dzj3
豆筋	dzjb
斗鸡	dzji
电子竞技	dzjj
电子计算机	dzjj2
豆浆	dzjl
陡降	dzjl2
