码位	词	现候选位	建议组	综合分	现完整候选	前方缺分词	前方核心字	前方扩展字	前方已知最高分
yiti	一体	5	B：可考虑首选，但前方有词缺分	2.3386	遗体、议题、异体、一朝天子一朝臣、一体、一屉	一朝天子一朝臣	无	无	2.1673
yiti	一屉	6	目标缺分，待人工看	缺失	遗体、议题、异体、一朝天子一朝臣、一体、一屉	一朝天子一朝臣	无	无	2.3386
yitj	一滩	3	有其他得分更高候选，暂不推荐首选	1.4313	埸、医坛、一滩、一谈	无	埸	无	1.4761
yitj	一谈	4	目标缺分，待人工看	缺失	埸、医坛、一滩、一谈	无	埸	无	1.4761
yitk	一听	5	目标缺分，待人工看	缺失	疑、墿、已听、已停、一听、一厅	已听、已停	疑	墿	无
yitk	一厅	6	目标缺分，待人工看	缺失	疑、墿、已听、已停、一听、一厅	已听、已停、一听	疑	墿	无
yitm	一天	3	B：可考虑首选，但前方有词缺分	2.1649	已填、倚天、一天	已填	无	无	1.4
yitn	一条	2	C：前有单字，另议	1.4451	壹、一条、㙪、一跳	无	壹	无	无
yitn	一跳	4	目标缺分，待人工看	缺失	壹、一条、㙪、一跳	无	壹	㙪	1.4451
yito	一坨	3	有其他得分更高候选，暂不推荐首选	1.2126	依托、医托、一坨、亄	无	无	无	2.0443
yitp	一帖	4	目标缺分，待人工看	缺失	逘、夁、已贴、一帖	已贴	无	逘、夁	无
yitr	一团	3	C：前有单字，另议	1.7047	矣、疑团、一团	无	矣	无	1.6773
yits	一同	4	B：可考虑首选，但前方有词缺分	2.4158	异同、异瞳、已同、一同、一通、一统	异瞳、已同	无	无	1.683
yits	一通	5	有其他得分更高候选，暂不推荐首选	1.0787	异同、异瞳、已同、一同、一通、一统	异瞳、已同	无	无	2.4158
yits	一统	6	有其他得分更高候选，暂不推荐首选	1.0482	异同、异瞳、已同、一同、一通、一统	异瞳、已同	无	无	2.4158
yitv	一推	3	目标缺分，待人工看	缺失	圯、已退、一推	已退	圯	无	无
yitz	一头	3	B：可考虑首选，但前方有词缺分	2.1866	已投、一朝天子、一头	已投、一朝天子	无	无	无
yiua	一刹	1	已首选	1.1048	一刹、一霎	无	无	无	无
yiua	一霎	2	A：有评分依据，优先看首选	1.1486	一刹、一霎	无	无	无	1.1048
yiuc	一勺	2	目标缺分，待人工看	缺失	遗少、一勺	无	无	无	1.1135
yiuf	一身	4	B：可考虑首选，但前方有词缺分	2.3609	以身、已深、远程施法、一身、一审	以身、已深、远程施法	无	无	无
yiuf	一审	5	有其他得分更高候选，暂不推荐首选	1.7952	以身、已深、远程施法、一身、一审	以身、已深、远程施法	无	无	2.3609
yiug	一声	3	有其他得分更高候选，暂不推荐首选	1.6017	医生、益生、一声、一生	无	无	无	3.3474
yiug	一生	4	有其他得分更高候选，暂不推荐首选	2.9897	医生、益生、一声、一生	无	无	无	3.3474
yiui	一试	4	目标缺分，待人工看	缺失	意识、仪式、遗失、一试、一时、医师、衣食、议事、轶事、一世、伊始、义士、衣饰、医士、袘、衪、逸事	无	无	无	2.9845
yiui	一时	5	有其他得分更高候选，暂不推荐首选	2.1296	意识、仪式、遗失、一试、一时、医师、衣食、议事、轶事、一世、伊始、义士、衣饰、医士、袘、衪、逸事	一试	无	无	2.9845
yiui	一世	10	有其他得分更高候选，暂不推荐首选	1.2355	意识、仪式、遗失、一试、一时、医师、衣食、议事、轶事、一世、伊始、义士、衣饰、医士、袘、衪、逸事	一试	无	无	2.9845
yiuj	一闪	5	目标缺分，待人工看	缺失	衣衫、依山、言传身教、延长时间、一闪、一扇	依山、言传身教、延长时间	无	无	2.0424
yiuj	一扇	6	目标缺分，待人工看	缺失	衣衫、依山、言传身教、延长时间、一闪、一扇	依山、言传身教、延长时间、一闪	无	无	2.0424
yiul	一双	3	有其他得分更高候选，暂不推荐首选	1.4896	遗孀、一场胜利、一双、䘸	一场胜利	无	无	1.8117
yiuo	一说	2	有其他得分更高候选，暂不推荐首选	1.4155	臆说、一说、䯆、袣、䄁	无	无	无	1.475
yiuu	一束	4	目标缺分，待人工看	缺失	艺术、遗书、医术、一束、衤、医书	无	无	无	2.9653
yiux	一刷	2	B：可考虑首选，但前方有词缺分	1.2332	已刷、一刷	已刷	无	无	无
yiuy	一瞬	3	B：可考虑首选，但前方有词缺分	2.0144	依顺、有偿使用、一瞬、裿	有偿使用	无	无	1.5128
yiuz	一首	4	目标缺分，待人工看	缺失	已售、易手、易受、一首、一手	已售、易受	无	无	1.5702
yiuz	一手	5	B：可考虑首选，但前方有词缺分	2.4428	已售、易手、易受、一首、一手	已售、易受、一首	无	无	1.5702
yiva	一眨	6	目标缺分，待人工看	缺失	胰、㹫、獈、膉、已炸、一眨、一扎	已炸	胰	㹫、獈、膉	无
yiva	一扎	7	目标缺分，待人工看	缺失	胰、㹫、獈、膉、已炸、一眨、一扎	已炸、一眨	胰	㹫、獈、膉	无
yivc	一兆	4	有其他得分更高候选，暂不推荐首选	1.1443	依照、臆、遗照、一兆、遗诏、一招	无	臆	无	2.1721
yivc	一招	6	目标缺分，待人工看	缺失	依照、臆、遗照、一兆、遗诏、一招	无	臆	无	2.1721
yivf	一帧	3	目标缺分，待人工看	缺失	义诊、疑阵、一帧、一阵	无	无	无	1.6979
yivf	一阵	4	B：可考虑首选，但前方有词缺分	2.8347	义诊、疑阵、一帧、一阵	一帧	无	无	1.6979
yivg	一怔	3	目标缺分，待人工看	缺失	癔症、议政、一怔、㰝、仪征	无	无	无	1.7356
yivh	一张	4	有其他得分更高候选，暂不推荐首选	1.513	依仗、倚仗、仪仗、一张	无	无	无	1.7072
yivi	一致	4	有其他得分更高候选，暂不推荐首选	2.7973	意志、抑制、已知、一致、一支、一枝、一直、移植、以致、医治、遗址、以至、一只、遗志、益智、意旨、抑止、译制	无	无	无	2.5352
yivi	一支	5	有其他得分更高候选，暂不推荐首选	1.4	意志、抑制、已知、一致、一支、一枝、一直、移植、以致、医治、遗址、以至、一只、遗志、益智、意旨、抑止、译制	无	无	无	2.7973
yivi	一枝	6	有其他得分更高候选，暂不推荐首选	1.4	意志、抑制、已知、一致、一支、一枝、一直、移植、以致、医治、遗址、以至、一只、遗志、益智、意旨、抑止、译制	无	无	无	2.7973
yivi	一直	7	A：有评分依据，优先看首选	3.8782	意志、抑制、已知、一致、一支、一枝、一直、移植、以致、医治、遗址、以至、一只、遗志、益智、意旨、抑止、译制	无	无	无	2.7973
yivi	一只	13	有其他得分更高候选，暂不推荐首选	1.4	意志、抑制、已知、一致、一支、一枝、一直、移植、以致、医治、遗址、以至、一只、遗志、益智、意旨、抑止、译制	无	无	无	3.8782
yivj	一盏	4	有其他得分更高候选，暂不推荐首选	1.4	驿站、翼展、愚蠢至极、一盏、一战	愚蠢至极	无	无	2.0212
yivj	一战	5	有其他得分更高候选，暂不推荐首选	1.2709	驿站、翼展、愚蠢至极、一盏、一战	愚蠢至极	无	无	2.0212
yivk	一拽	2	目标缺分，待人工看	缺失	异常状况、一拽	异常状况	无	无	无
yivl	一幢	5	目标缺分，待人工看	缺失	异状、衣装、阴沉着脸、肊、一幢	阴沉着脸	无	肊	1.7411
yivo	一桌	2	有其他得分更高候选，暂不推荐首选	1.4	衣着、一桌	无	无	无	2.1494
yivs	一中	4	有其他得分更高候选，暂不推荐首选	1.2734	倚重、异种、意中、一中、一种	意中	无	无	1.6918
yivs	一种	5	有其他得分更高候选，暂不推荐首选	1.4275	倚重、异种、意中、一中、一种	意中	无	无	1.6918
yivu	一株	4	目标缺分，待人工看	缺失	遗嘱、医嘱、易主、一株、一柱、译注	无	无	无	2.0566
yivu	一柱	5	目标缺分，待人工看	缺失	遗嘱、医嘱、易主、一株、一柱、译注	一株	无	无	2.0566
yivx	一抓	2	目标缺分，待人工看	缺失	异、一抓	无	异	无	无
yivy	一准	3	C：前有单字，另议	1.3609	猗、异常占用、一准、狋	异常占用	猗	无	无
yivz	一周	2	B：可考虑首选，但前方有词缺分	1.4966	移轴、一周、一皱	移轴	无	无	无
yivz	一皱	3	目标缺分，待人工看	缺失	移轴、一周、一皱	移轴	无	无	1.4966
yiwf	一问	4	目标缺分，待人工看	缺失	疑问、译文、异闻、一问	无	无	无	2.4751
yiwj	一万	1	已首选	2.6759	一万、繄、亿万、一晚、一碗、已晚、䃜	无	无	无	无
yiwj	一晚	4	有其他得分更高候选，暂不推荐首选	1.4	一万、繄、亿万、一晚、一碗、已晚、䃜	无	繄	无	2.6759
yiwj	一碗	5	有其他得分更高候选，暂不推荐首选	1.4	一万、繄、亿万、一晚、一碗、已晚、䃜	无	繄	无	2.6759
yiwo	一窝	3	B：可考虑首选，但前方有词缺分	1.4	以我、依我、一窝	以我、依我	无	无	无
yiww	一味	5	有其他得分更高候选，暂不推荐首选	2.1552	以为、意味、依偎、运筹帷幄、一味、一位、异味、移位、易位、稦	运筹帷幄	无	无	3.6344
yiww	一位	6	有其他得分更高候选，暂不推荐首选	1.4	以为、意味、依偎、运筹帷幄、一味、一位、异味、移位、易位、稦	运筹帷幄	无	无	3.6344
yixb	一心	3	A：有评分依据，优先看首选	2.3566	疑心、异心、一心	无	无	无	2.0993
yixi	一袭	3	目标缺分，待人工看	缺失	依稀、以西、一袭、乙烯、议席	无	无	无	2.0918
yixk	一行	4	有其他得分更高候选，暂不推荐首选	2.2865	异性、异形、移行、一行、宜兴、异型、意兴、易行	无	无	无	2.3819
yixl	一项	4	有其他得分更高候选，暂不推荐首选	1.4	意向、艺、臆想、一项、一向、异乡、意象、遗像、衣箱、意想、䔟	无	艺	无	2.1224
yixl	一向	5	C：前有单字，另议	2.6228	意向、艺、臆想、一项、一向、异乡、意象、遗像、衣箱、意想、䔟	无	艺	无	2.1224
yixm	一线	3	A：有评分依据，优先看首选	2.4807	胰腺、医仙、一线、易县、蘙	无	无	无	1.8788
yixn	一笑	5	有其他得分更高候选，暂不推荐首选	1.1404	艾、艺校、已消、䒾、一笑	已消	艾	䒾	1.7576
yixp	一血	4	目标缺分，待人工看	缺失	已写、衣鞋、医械、一血、一写、一些	已写、衣鞋、医械	无	无	无
yixp	一写	5	目标缺分，待人工看	缺失	已写、衣鞋、医械、一血、一写、一些	已写、衣鞋、医械、一血	无	无	无
yixp	一些	6	B：可考虑首选，但前方有词缺分	3.602	已写、衣鞋、医械、一血、一写、一些	已写、衣鞋、医械、一血、一写	无	无	无
yixr	一选	3	目标缺分，待人工看	缺失	芅、已选、一选	已选	无	芅	无
yixx	一下	4	B：可考虑首选，但前方有词缺分	3.9271	以下、意下、已下、一下	已下	无	无	2.758
yiye	一夜	3	有其他得分更高候选，暂不推荐首选	1.4	肄业、胰液、一夜、一页	无	无	无	1.6917
yiye	一页	4	目标缺分，待人工看	缺失	肄业、胰液、一夜、一页	无	无	无	1.6917
yiyh	一样	4	B：可考虑首选，但前方有词缺分	4.0278	异样、依样、一唱一和、一样、益阳	依样、一唱一和	无	无	2.1187
yiyi	一亿	4	有其他得分更高候选，暂不推荐首选	2.1951	意义、异议、又臭又长、一亿、一一、依依、疑义、意译、崺	又臭又长	无	无	3.1571
yiyi	一一	5	有其他得分更高候选，暂不推荐首选	2.0703	意义、异议、又臭又长、一亿、一一、依依、疑义、意译、崺	又臭又长	无	无	3.1571
yiyj	一眼	4	B：可考虑首选，但前方有词缺分	2.1761	遗言、依言、义眼、一眼、鯣、义演	义眼	无	无	1.8716
yiyk	一应	5	C：前有单字，另议	1.179	嶷、译英、嶧、䱌、一应	译英	嶷	嶧、䱌	无
yiyr	一员	3	有其他得分更高候选，暂不推荐首选	1.4724	医院、意愿、一员、一元、议员、遗愿、议院、译员、沂源、㠖、嶬、䲑、鸃	无	无	无	3.1886
yiyr	一元	4	有其他得分更高候选，暂不推荐首选	1.8405	医院、意愿、一员、一元、议员、遗愿、议院、译员、沂源、㠖、嶬、䲑、鸃	无	无	无	3.1886
yiyt	一月	3	B：可考虑首选，但前方有词缺分	2.4987	已阅、依约、一月、一跃	依约	无	无	1.5419
yiyt	一跃	4	有其他得分更高候选，暂不推荐首选	1.0524	已阅、依约、一月、一跃	依约	无	无	2.4987
yiyu	一隅	4	有其他得分更高候选，暂不推荐首选	1.7726	抑郁、易于、已成艺术、一隅、异域、一语、意欲、呓语	已成艺术	无	无	2.4574
yiyu	一语	6	有其他得分更高候选，暂不推荐首选	1.249	抑郁、易于、已成艺术、一隅、异域、一语、意欲、呓语	已成艺术	无	无	2.4574
yizc	一早	1	已首选	2.5006	一早、嫕、臆造、嬑、衣藻	无	无	无	无
yizd	一再	4	A：有评分依据，优先看首选	2.2742	已在、意在、移栽、一再	无	无	无	1.8495
yize	一则	1	已首选	1.7277	一则	无	无	无	无
yizo	一座	5	C：前有单字，另议	1.4219	遗作、译作、已做、跇、一座、一作	已做	无	跇	1.2148
yizo	一作	6	目标缺分，待人工看	缺失	遗作、译作、已做、跇、一座、一作	已做	无	跇	1.4219
yizr	一钻	3	目标缺分，待人工看	缺失	㚤、嬟、一钻	无	无	㚤、嬟	无
yizu	一族	3	目标缺分，待人工看	缺失	异族、彝族、一族	无	无	无	1.9212
yizv	一嘴	3	目标缺分，待人工看	缺失	㛕、已醉、一嘴	已醉	无	㛕	无
yizy	一尊	2	目标缺分，待人工看	缺失	踦、一尊、一樽	无	踦	无	无
yizy	一樽	3	目标缺分，待人工看	缺失	踦、一尊、一樽	一尊	踦	无	无
yiie	一车	3	目标缺分，待人工看	缺失	移车、已撤、一车	移车、已撤	无	无	无
yiif	一沉	2	目标缺分，待人工看	缺失	逸尘、一沉	逸尘	无	无	无
yikg	一坑	1	已首选	缺失	一坑	无	无	无	无
yikj	一看	2	目标缺分，待人工看	缺失	已看、一看	已看	无	无	无
yiks	一空	2	目标缺分，待人工看	缺失	易控、一空	易控	无	无	无
yikv	一篑	1	已首选	缺失	一篑	无	无	无	无
yiky	一捆	1	已首选	缺失	一捆	无	无	无	无
yimh	一忙	1	已首选	缺失	一忙	无	无	无	无
yipf	一盆	1	已首选	缺失	一盆	无	无	无	无
yipg	一碰	1	已首选	缺失	一碰	无	无	无	无
yipw	一赔	1	已首选	缺失	一赔	无	无	无	无
yipz	一抔	1	已首选	缺失	一抔	无	无	无	无
yisz	一艘	3	目标缺分，待人工看	缺失	已搜、易搜、一艘	已搜、易搜	无	无	无
yite	一特	1	已首选	缺失	一特	无	无	无	无
yiuk	一甩	2	目标缺分，待人工看	缺失	易帅、一甩	易帅	无	无	无
yizs	一宗	3	目标缺分，待人工看	缺失	遗踪、医宗、一宗	遗踪、医宗	无	无	无
