ahqp=2,䀚
niva=3,膩
niwa=2,䵑
niwa=3,觬
nixn=3,䕥
nixt=1,苨
niya=3,鯢
niyk=2,㠜
niyq=2,㪒
niyt=1,㞾
nizt=2,跜
njbk=1,湳
njbk=2,㓓
njdk=2,諵
njdk=3,䊖
njdn=2,䛁
njlk=3,揇
njln=2,抩
njpn=2,畘
njpp=2,㽖
njpp=3,遖
njqg=3,㬮
njqk=1,暔
njqp=2,㫱
njxn=2,䔜
njxp=3,莮
nkby=3,濘
nkey=2,聹
nkfz=2,侫
nkfz=3,倿
nkhy=2,嚀
nkiy=2,寕
nkiy=3,寧
nkly=2,擰
nkoy=2,檸
nkuy=2,㣷
nkvy=2,獰
nkxl=2,䔭
nkxy=3,薴
nkzy=3,嬣
nmba=1,㲽
nmbc=2,淰
nmbc=3,涊
nmhc=2,唸
nmpc=1,䧔
nmwh=2,秥
nmww=3,䄭
nmww=4,䄹
nmww=5,秊
nmxx=4,卄
nmyc=2,鲶
nmyc=3,鯰
nmyh=2,鮎
nner=2,鳥
nnhu=2,㕶
nnib=2,㞙
nnjn=2,䃵
nnnn=6,䮍
nnpp=2,嬲
nnyn=2,㠡
nodc=2,糥
nodh=2,諾
nofg=2,儺
noxp=2,逽
npeq=2,㘝
npgc=1,錜
npge=1,鑷
npgo=1,鎳
nphe=3,囁
nphs=1,㖕
nphw=2,噛
nphw=3,嚙
nphw=4,囓
nple=1,揑
npsh=2,㖖
npwo=2,櫱
npwo=3,闑
npzc=2,踗
npzq=2,敜
npzq=3,踙
nqbc=1,汼
nqcc=2,牜
nqjt=2,紐
nqvt=2,䏔
nsbk=1,濃
nshk=2,噥
nsjk=2,繷
nslx=1,挵
nsxk=3,蕽
nsyk=1,齈
ntsn=2,瘧
nuzr=2,駑
nvbj=3,㵖
nvbt=2,沑
nvdz=1,籹
nwfg=1,㐻
nwgz=1,錗
nwgz=2,餒
nwmm=2,㼏
nwwg=2,內
nwyq=2,䲎
nwyz=3,鮾
nwyz=4,鯘
oufb=2,㒖
oujh=2,䌔
ourn=2,筽
outh=1,塸
ouwg=2,歐
ouwl=2,甌
ouwt=2,毆
ouxb=3,蕅
pall=1,掱
panv=2,䯲
pbgp=2,琕
pbgp=3,顰
pbma=1,蠙
pbyb=2,汖
pbza=2,娦
pbza=3,嬪
pcjn=3,礟
pcjn=4,礮
pclp=2,拋
pcmm=2,䩝
pcnj=2,奅
pcnv=2,軳
pctv=2,垉
pcvn=2,褜
pczv=2,㚿
pdbp=2,㵺
pdbp=3,渒
pdmk=2,䖰
pdnn=2,輫
pdrp=2,簲
pdyp=2,䱝
pdyp=3,廹
pfhx=2,喯
pgbv=2,漰
pgjp=2,纄
pgjv=3,磞
pgjx=2,硑
pgle=1,㱶
pgln=1,㧸
pglp=2,挷
pglw=1,掽
pgnl=2,㼞
pgnw=1,䰃
pgnw=2,髼
pgow=2,樥
pgrp=2,熢
pgrs=1,篣
pgxp=2,蘕
phcs=2,㥬
phcs=3,䨦
phcs=4,霶
phsd=2,厐
phus=2,徬
phvs=2,㫄
piar=2,羆
piar=3,鵧
pibk=1,錃
piet=2,豼
pifa=3,伓
pige=2,鈹
pigt=2,鈚
piir=1,鸊
piir=2,鷿
pijt=3,紕
pijt=4,磇
pikk=1,疋
pile=2,㱟
piln=3,抷
pilp=1,揊
pils=1,擗
pils=2,㨽
pilt=2,㨢
pimn=1,蚽
pinn=2,駓
pinn=3,髬
pinp=2,疈
pinp=3,䡟
piot=2,㮰
pipp=2,䰦
pipp=3,䴽
pipt=2,毘
pipt=3,阰
pise=2,旇
pitn=4,噽
pive=2,狓
pivs=1,䑀
piwn=2,秠
piye=2,鮍
piyl=2,㼰
piyp=3,崥
piyt=3,魮
pizt=2,嫓
pizt=3,䠘
pjbl=3,溿
pjbl=4,冸
pjdp=1,畨
pjea=2,幋
pjea=3,盤
pjej=2,縏
pjlk=2,鋬
pjlx=3,拚
pjxt=1,蒰
pkax=2,幈
pkax=3,竮
pkbc=2,慿
pkbc=3,憑
pkdp=2,評
pkfg=2,㺸
pkjb=2,砯
pknw=2,輧
pkpo=1,甹
pkrv=2,焩
pkxx=2,䓑
pkxx=3,蓱
pkyp=2,䶄
pkyp=3,岼
pkyp=4,鮃
pmdk=2,諚
pmdx=4,諞
pmgk=1,鍂
pmim=2,㼐
pmis=1,㓲
pmta=1,貵
pmzx=2,跰
pmzx=3,媥
pnby=2,㵱
pncy=2,慓
pnee=2,彯
pnem=2,飄
pnem=3,翲
pney=2,䏇
pney=3,醥
pnjy=3,縹
pnqy=2,㬓
pnvh=1,㹾
pnyr=2,皫
pobo=1,溌
poby=2,洦
poea=1,頗
poea=2,䣪
poea=3,䣮
pohz=2,嘙
pojy=2,砶
pola=2,㧊
polj=2,㩯
pooa=2,櫇
poqy=1,昢
poyy=1,岶
ppaq=2,暼
puaq=2,暜
puaq=3,攴
puci=1,㹒
pudq=2,譜
pugi=3,鏷
puji=2,纀
puki=2,䑑
puly=2,擈
puqi=3,瞨
puqi=4,贌
puqq=1,攵
puta=1,圤
puwi=2,菐
puxq=6,䔕
pwba=2,浿
pwca=2,㤄
pwda=2,䊃
pwfa=3,伂
pwfh=3,俖
pwjh=2,轡
pwsa=2,斾
pwvn=2,裵
pwyh=2,㟝
pzlh=2,㧵
pznh=2,䯽
qbba=1,瀙
qbdq=2,誛
qbgg=2,欽
qbgg=3,珡
qbgo=2,琹
qbgr=2,鵭
qbia=2,㝲
qbia=3,寴
qbiq=2,寑
qbiq=3,寢
qbjg=2,䃢
qbjq=2,綅
qblc=2,抋
qblg=2,撳
qblk=4,捦
qbln=1,搇
qbly=2,㩒
qbmb=2,蠄
qbmw=3,螓
qbmw=4,螼
qbmz=2,蚙
qbmz=3,靲
qbnn=2,鬵
qbrq=2,䈜
qbxk=2,菳
qbxq=1,菣
qbxz=2,䔷
qbye=1,㞬
qbyg=3,嶔
qbyz=2,䰼
qbzr=2,鳹
qbzw=2,嫀
qbzy=3,赾
qiaa=2,帺
qiaa=3,竒
qiaa=4,盀
qian=2,斉
qibd=3,湆
qibj=2,濝
qibz=2,淒
qicg=1,慽
qicy=2,㥓
qida=3,諆
qida=4,粸
qide=1,諿
qidk=1,䉻
qidl=3,訖
qiek=2,䲬
qiey=2,䏅
qifa=4,倛
qifg=4,欫
qifg=5,僛
qiga=2,䶞
qigg=3,鏚
qigy=3,錡
qigy=4,釮
qihe=2,咠
qihh=4,噐
qiig=5,䧵
qiih=4,啓
qiih=5,啔
qiiv=2,䏿
qijn=3,緕
qijn=4,纃
qijs=2,矵
qijt=3,紪
qijy=5,䌌
qijy=6,綺
qijy=7,碕
qijz=2,緀
qilh=2,夡
qily=2,摖
qily=3,㱦
qilz=2,捿
qima=6,䫏
qimg=3,䗩
qimj=4,碁
qimk=5,蚔
qimm=1,蜝
qimn=2,蠐
qimo=2,棊
qina=2,騏
qina=3,䭶
qina=4,䭼
qinm=2,蟿
qinq=1,攲
qinq=2,䡋
qinq=3,䰇
qinq=4,鬐
qinr=1,炁
qinr=2,鶈
qinr=3,鵸
qinw=3,騹
qiny=2,騎
qinz=2,罊
qioa=2,檱
qipa=2,魌
qipq=2,㩽
qiql=3,盵
qiql=4,㫓
qiqr=4,㬤
qirn=2,気
qitm=4,鼜
qitn=2,亝
qity=3,䭫
qity=4,䭬
qiua=2,褀
qiuy=3,䙄
qiuy=4,䄎
qiuz=4,褄
qiva=4,䏠
qiva=5,猉
qivg=2,䐡
qivz=1,䶒
qiwc=2,憇
qiwd=3,諬
qiwo=1,栔
qiwy=2,䅤
qixj=2,藄
qixl=3,䒗
qixn=3,䔇
qixn=4,萕
qixr=2,芞
qixv=2,䒻
qixy=4,蘄
qixy=5,䓅
qiya=4,頎
qiya=5,㟓
qiya=6,嵜
qiya=7,鯕
qiyl=4,甈
qiyl=5,䰴
qiyq=3,鰭
qiyy=5,岓
qiyy=6,㟢
qiyy=7,䱈
qizq=2,䞚
qkba=1,㵾
qkbn=1,淸
qkbv=2,濪
qkbv=3,凊
qkcv=4,䨝
qkdv=2,請
qkfa=2,傾
qkfa=3,儬
qkij=2,䋜
qklq=2,擏
qklv=4,掅
qklw=2,夝
qkne=1,輕
qknk=1,鑋
qknt=2,䡖
qkre=3,氫
qkro=1,檾
qksa=2,廎
qktb=2,漀
qktd=3,謦
qktr=3,㷫
qktt=2,殸
qktv=2,埥
qkuh=3,䯧
qkwv=3,靘
qkxp=5,葝
qkzv=3,䞍
qlbm=3,漒
qlbo=1,㳾
qldh=2,謒
qlgh=2,瑲
qlgh=3,鎗
qlgr=3,戧
qlgv=2,錆
qlho=2,唴
qlht=2,嗴
qlie=2,羫
qlie=3,羥
qljm=3,繈
qljm=4,繦
qllh=2,搶
qlln=2,㩖
qloh=2,槍
qloh=3,檣
qlom=2,強
qlrh=1,篬
qlrh=2,熗
qlse=1,㾤
qlth=3,墻
qlxh=2,薔
qlxh=3,蘠
qlyy=4,嶈
qlzh=2,嬙
qlzh=3,蹌
qlzo=2,㛨
qmaa=2,䇂
qmbn=2,灊
qmbq=2,潛
qmbq=3,濳
qmbr=2,淺
qmbw=3,汘
qmct=2,慳
qmcy=2,㸫
qmdg=2,䊴
qmdh=3,謙
qmdp=2,譴
qmeh=2,谸
qmet=2,圱
qmfa=2,俔
qmfg=3,㐸
qmfh=3,傔
qmfp=2,儙
qmfz=2,仱
qmgc=1,鏲
qmge=1,歬
qmgg=3,僉
qmgh=1,鉛
qmgr=1,錢
qmgs=3,鎆
qmgw=1,釺
qmgz=1,鈐
qmia=2,顅
qmih=3,羬
qmir=2,騫
qmiz=1,䞿
qmjp=2,繾
qmjv=3,綪
qmkc=2,㹂
qmkl=1,掔
qmkm=2,蜸
qmkz=3,婜
qmla=2,㨜
qmla=3,㩃
qmle=2,拪
qmll=2,㩮
qmll=3,攑
qmlm=3,拑
qmlp=2,揵
qmlw=4,瓩
qmlw=5,㧄
qmlz=2,扲
qmlz=3,攓
qmmp=2,䪈
qmmp=3,韆
qmng=2,雃
qmnq=2,鬝
qmnt=1,塹
qmnv=2,輤
qmnv=3,鬜
qmny=2,㟻
qmpk=2,䥅
qmpw=2,兛
qmqq=3,䁮
qmrh=2,䈴
qmvc=3,牽
qmvh=3,膁
qmww=3,凵
qmxr=1,䕭
qmxv=2,蔳
qmxx=4,茾
qmxy=3,蕁
qmya=2,鰬
qmyh=2,鰜
qmyh=3,嵰
qmzs=1,媊
qnbv=3,㴥
qncr=3,䩌
qndr=4,譙
qndv=2,誚
qneh=2,喬
qner=2,䲾
qngg=2,釥
qngh=2,鐈
qngr=2,鍬
qnih=2,㝯
qnja=2,磽
qnja=3,䂪
qnjn=1,䂭
qnna=2,頝
qnta=1,㚁
qnta=2,墝
qntq=2,墽
qnwk=2,鍫
qnyh=2,嵪
qnzn=2,踍
qphy=2,㗫
qpwl=2,㼤
qpwo=1,穕
qpxw=2,藒
qpyz=2,鯜
qpzt=2,㛗
qpzz=2,踥
qqan=1,㐀
qqbn=2,汓
qqbp=2,㳋
qqce=1,㥢
qqdd=5,訅
qqdh=2,叴
qqer=2,䎿
qqga=2,䤛
qqga=3,銶
qqgd=3,釚
qqgd=4,釻
qqgo=2,玌
qqhd=3,㕤
qqhe=4,唒
qqia=2,㞗
qqja=2,絿
qqjd=2,䊵
qqjd=3,紌
qqld=2,扏
qqlh=2,㧨
qqna=2,巰
qqna=3,盚
qqnn=3,丠
qqnp=2,䣇
qqrr=2,篍
qqtp=1,坵
qqvd=2,肍
qqvr=1,䐐
qqwa=1,觓
qqwa=2,觩
qqwm=2,蝵
qqwr=2,鶖
qqwz=2,媝
qqxh=2,蓲
qqxp=2,蘒
qqya=2,㟈
qqya=3,鯄
qqye=3,䲡
qqye=4,崷
qqye=5,鰌
qqyr=4,鰍
qqza=2,㛏
qqza=3,䟵
qqzp=2,㚱
qqzp=3,䟬
qrbg=2,洤
qrbn=2,汱
qrcg=1,牷
qrcg=2,恮
qrdg=2,詮
qrdv=3,䊎
qrev=3,圏
qrgg=2,銓
qrhv=2,啳
qric=1,牶
qrjv=2,綣
qrll=1,搼
qrmg=1,蠸
qrnb=1,騡
qrng=3,輇
qrng=4,駩
qrrg=2,烇
qrtv=2,埢
qrvg=2,䑏
qrxb=3,葲
qrxg=3,虇
qrxp=2,勸
qryb=4,㟫
qryb=5,鰁
qrzg=1,孉
qrzg=2,姾
qrzg=3,䠰
qrzg=4,跧
qrzg=5,䟒
qrzv=2,踡
qsep=2,卭
qsfa=2,㑋
qsio=2,宆
qsio=3,窮
qsip=2,䆳
qsro=1,焪
qsrp=2,㷀
qsrp=3,煢
qsrp=4,笻
qtgo=1,琷
qtgr=2,䲵
qtog=2,㰌
qttc=2,愨
qttc=3,慤
qtth=2,墧
qtth=3,塙
qtwg=3,闕
qtwn=2,闋
qtwn=3,䦬
qtyw=2,崅
quah=2,軀
quba=2,浀
qubo=2,淭
quda=1,粬
qudy=3,詘
qudy=4,誳
qugb=2,齲
qugm=2,䶚
qugo=2,璖
quhg=2,㘗
quie=2,䆽
quit=2,㧁
qujd=2,䋧
qujt=3,紶
qumh=1,翑
qumo=2,蟝
qumy=4,䖦
quna=2,髷
qupa=2,麯
qupd=2,麴
quqg=2,䂂
quqm=3,㲘
qutg=2,㰦
qutq=2,鼁
quts=2,刞
qutt=3,唟
quug=3,忂
quuy=3,衐
quvg=3,臞
quwh=2,區
quwm=2,螶
quwn=3,闃
quwy=3,斪
quxt=3,䓚
quxt=4,䒧
quxw=3,菃
quyh=4,嶇
quyh=5,鰸
quyp=2,岴
quyt=3,魼
quyw=2,㠊
quyw=3,鱋
quzn=2,䠐
qxbh=3,冾
qxch=2,䨐
qxga=2,䶝
qxla=2,殎
qxts=2,㓤
qxzy=2,跒
qyih=2,宭
qyqk=4,羣
qyyh=2,㟒
qyyh=3,峮
rfda=3,訒
rfdc=2,認
rffa=3,仭
rfff=2,亻
rffj=3,䋕
rfgc=1,䭃
rfja=2,紉
rfjk=2,䌾
rfjt=2,紝
rfjt=3,絍
rfma=2,靱
rfma=3,靭
rfnc=2,忈
rfsa=2,刄
rfut=2,袵
rfut=3,祍
rfva=3,肕
rfwc=2,忎
rfya=1,屻
rfya=2,岃
rfzt=2,姙
rgdv=1,䚮
rhcn=2,懹
rhdn=2,譲
rhdn=3,讓
rhjn=1,纕
rhtn=2,壌
rhwn=2,穣
rjlr=3,䳿
rjmn=2,蚦
rjnn=2,髥
rjwn=2,冄
rjxn=2,䒣
royb=2,嵶
royb=3,鰯
royh=1,鰙
rrjn=3,緛
rrjn=4,碝
rrnn=2,輭
rrtc=2,壖
rrxn=2,䓴
rsbm=1,瀜
rsgh=2,鎔
rsho=2,㘇
rsie=1,䇀
rsil=2,㼸
rsin=2,宂
rsjp=4,絨
rsma=2,㲓
rsmo=2,蠑
rsrh=3,䈶
rsro=1,榮
rsro=2,爃
rsva=1,㺎
rsxm=3,㲨
rsxp=2,茙
rsyo=2,嶸
rsze=1,媶
rsze=2,䠜
rucc=1,㹘
rufh=3,侞
rugh=3,銣
rugr=2,鳰
ruhy=1,嗕
rujy=2,縟
rulc=2,擩
ruln=1,㨎
rurc=2,燸
rurh=3,筎
rusr=2,㦺
rutc=1,䞕
ruuh=4,袽
ruvz=2,肗
ruxl=3,蒘
ruyc=4,嶿
ruyc=5,鱬
ruzo=2,桇
ruzr=1,鴑
ruzr=2,鴽
ruzy=2,媷
rvaq=2,㪫
rvaq=3,叡
rvmg=2,蜹
rvwz=2,䅑
rvxg=2,蕋
rybg=2,潤
ryqg=3,瞤
ryvg=2,膶
rywg=3,閠
rywg=4,䦞
rywg=5,閏
ryyg=2,㠈
rzbo=2,渘
rzgo=1,鍒
rzgo=2,瑈
rzgq=2,瓇
rzia=1,宍
rzmo=3,蝚
rzro=2,煣
rzva=1,䐓
rzzo=2,媃
safn=2,㒎
sale=1,挱
sccm=2,慅
scjo=2,繅
sclm=2,掻
scnm=3,騒
scnm=4,騷
sczq=2,㛮
sdhz=2,㗷
sdlt=2,㩙
sdyc=2,鰓
sebc=1,濏
sebg=2,澀
sebg=3,澁
sedg=1,譅
segv=2,銫
sela=2,擌
sewh=3,穡
sewh=4,穯
sibj=2,瀃
sibk=1,洍
sica=2,㹑
sica=3,牭
sifj=2,儩
sigg=2,飤
sigh=1,鈶
sigh=2,鉰
sigh=3,飼
sigj=1,銯
sigo=2,鈻
sigv=3,釲
sigz=2,鋖
sihg=1,㕽
sihj=3,噝
sijc=2,緦
sijj=2,纟
sijj=3,絲
sijn=5,磃
sijr=1,鷥
silq=2,肂
sima=3,螄
simm=3,蟴
simy=2,蟖
sina=2,駟
sinc=2,颸
sinc=3,騦
sing=1,䎣
sinn=1,亖
sisy=2,廝
siua=2,禩
siuc=1,禗
sivh=2,䏤
sixq=2,蕼
sixy=3,䔮
siyy=1,䲉
sizg=2,娰
sjce=1,犙
sjde=2,糝
sjdo=2,糂
sjdo=3,䊉
sjge=3,鏒
sjgp=2,厁
sjgp=3,仐
sjgp=4,傘
sjia=2,䫅
sjjq=3,繖
sjlo=2,㧲
sjmq=3,㪚
sjtm=3,毿
socc=1,惢
soga=2,鎖
soga=3,鎻
soga=4,瑣
sogj=2,鎍
sogo=2,鏁
sogo=3,璅
sogv=1,琑
soha=2,嗩
sojy=2,縮
soly=2,摍
somp=1,蜶
soue=1,褨
soxe=2,䔋
soxe=3,莏
sreq=2,䝜
srrx=2,筭
sryy=3,祘
ssap=3,䜬
ssbc=2,濍
ssdh=1,䛦
ssdl=3,誦
ssdt=2,訟
ssgc=3,鍶
ssio=2,梥
sslq=2,㨦
sslq=3,㩳
ssnt=2,䯳
ssnt=3,鬆
ssot=2,枩
suap=2,遡
subd=4,潥
subj=2,溸
suby=3,㴼
suby=4,泝
sucd=3,憟
sudj=4,䛾
sudq=3,謖
sudy=4,訴
suew=2,䅇
suhw=1,囌
suig=3,㝛
sulj=2,㨞
sulp=1,殐
sung=2,㓘
supp=2,遬
suqa=2,粛
suqa=3,肅
suqa=4,㬘
suqm=2,䎘
suqq=2,㪩
suqr=2,鷫
sutj=2,塐
suto=1,㕖
suvj=2,膆
suxp=3,䔎
suxp=4,藗
suxr=1,蘓
suya=2,鱐
suye=2,鯂
suyr=5,䲆
suyw=2,穌
suzy=2,㜚
svbz=2,浽
svdp=2,誶
svdp=3,䜔
svdp=4,譢
svfg=2,倠
svgp=2,鐩
svgp=3,瓍
svhz=2,哸
svjp=2,䍁
svjp=3,繸
svjp=4,砕
svjz=2,綏
svpk=2,鐆
svpp=3,遀
svpp=4,䢫
svpp=5,隨
svrg=1,熣
svtp=1,埣
svup=3,髄
svup=4,禭
svuv=1,䯝
svwc=2,穂
svxl=2,芕
svxq=2,荾
svze=2,䠔
sygp=2,鎨
sylc=2,飱
synj=2,孫
syvj=2,猻
szeq=2,䑹
szeq=3,䏂
szeq=4,醙
szlq=3,擻
szlq=4,捜
szmq=2,䗏
szmq=3,䩳
sznq=2,䬒
sznq=3,颼
sznq=4,䮟
sznq=5,騪
szsq=2,廀
szxq=2,藪
szxq=3,蓃
szyq=2,䱸
szyq=3,㟬
tabp=2,㳠
tabp=3,澾
tabq=2,涾
tajm=2,䌈
tajq=2,䂿
talp=2,撻
taom=2,㯓
tath=2,䶀
tauh=2,㣛
taui=3,祂
taum=2,禢
tawm=2,闒
tawp=2,闥
tawp=3,闧
taym=2,鰨
taym=3,鮙
tazm=2,蹹
tazm=3,躢
tazq=3,㛥
tcby=3,濤
tccy=2,㹗
tcdq=2,詜
tcdy=3,謟
tcdy=4,討
tcdz=1,䛬
tcfj=3,絛
tcgh=1,錭
tcgz=2,鋾
tchc=3,飸
tcjg=2,縧
tcjy=1,縚
tcjz=2,綯
tcly=2,搯
tcma=2,鞉
tcnn=1,㚐
tcoy=2,檮
tcoy=3,韜
tcoy=4,槄
tcry=2,䈱
tcua=2,㣠
tcwa=2,䄻
tddn=1,粏
tden=2,舦
tden=3,䣭
tdhy=2,㘆
tdly=2,擡
tdnn=2,夳
tdqn=2,旲
tdqr=2,㬃
tdrc=1,䈚
tdrh=1,箈
tdrh=2,炲
tdro=2,㷘
tdth=3,坮
tdxh=3,菭
tdxy=4,䑓
tdyh=5,鮐
tdzy=3,嬯
tecy=2,㥂
tegc=3,鋱
tema=2,蟘
tgeq=2,䒅
tgtn=2,鼟
thbj=2,湯
thbr=2,燙
thdt=2,糛
thfh=2,傏
thfj=1,偒
thfr=2,儻
thgh=2,鎕
thgh=3,餹
thgr=3,钂
thhj=1,啺
thlj=2,摥
thmt=2,鞺
thqr=2,矘
thqr=3,曭
thro=2,䉎
thsr=1,鶶
thth=6,赯
thuh=2,禟
thyr=3,㿩
thzh=2,䠀
thzh=3,㜍
thzy=2,䟖
tian=2,㡗
tian=3,躰
tian=4,軆
tiba=4,洟
tibc=2,漽
tica=2,䨑
tick=2,惿
tidc=3,䛱
tidn=1,謕
tier=2,鷉
tigk=2,䬫
tiha=2,㗣
tiha=3,嚔
tiha=4,㖒
tihr=2,鷤
tiio=2,屜
tija=2,綈
tijk=2,碮
tijk=3,緹
tijn=3,䌡
tikn=2,䖙
tila=2,揥
tila=3,挮
tila=4,殢
tilj=4,掦
timk=3,蝭
tioa=2,楴
tiqp=2,逷
tiqr=1,鶗
tiro=2,笹
tiuj=5,䯜
tiuk=1,褆
tiuz=2,䙗
tivc=1,悐
tixa=2,苐
tixa=3,蕛
tixk=6,䔶
tiya=2,䱱
tiya=3,䶑
tiya=4,崹
tiya=5,鮧
tiya=6,鮷
tiyk=3,鯷
tizg=2,歒
tjbg=3,灘
tjdn=1,譠
tjdp=2,䊤
tjdp=3,譚
tjdr=2,談
tjep=2,貚
tjep=3,醰
tjer=2,醈
tjgn=2,鉭
tjgr=2,餤
tjgr=3,錟
tjir=2,䆱
tjlg=3,攤
tjlg=4,擹
tjlr=1,㨏
tjma=2,㽎
tjmg=2,歎
tjmr=2,䗊
tjqr=1,賧
tjqt=2,曇
tjrp=2,燂
tjrr=2,㷋
tjsg=2,癱
tjtn=3,壇
tjtn=4,㘱
tjtt=2,墵
tjtt=3,壜
tjun=2,襢
tjxn=3,䕊
tjxp=1,藫
tkby=3,㓅
tkdp=1,誔
tkdy=2,諪
tkjp=2,綎
tkmg=1,鞓
tkop=2,榳
tkre=3,烴
tkrp=2,筳
tksc=1,廰
tksc=2,廳
tksy=2,厛
tksy=3,庁
tkta=1,頲
tkto=2,䵺
tkxy=2,艼
tkyy=3,嵉
tkzp=2,娗
tmdn=1,䚶
tmfa=2,倎
tmga=2,錪
tmga=3,兲
tmga=4,琠
tmga=5,璳
tmgh=2,鍩
tmgh=3,餂
tmhc=2,㖭
tmia=1,窴
tmjp=3,鿬
tmjr=1,緂
tmla=2,搷
tmmh=4,甛
tmna=2,㬲
tmpp=2,䧃
tmqa=2,睓
tmqa=3,賟
tmqk=2,睼
tmqn=2,䀖
tmrh=2,㶺
tmta=2,㙉
tmta=3,塡
tmtr=2,鷆
tmvh=1,胋
tmwa=2,闐
tmwa=3,覥
tmwd=2,舚
tmwd=3,靝
tmzc=1,婖
tnda=1,誂
tnfg=1,條
tnfr=2,鯈
tngh=2,齠
tnia=2,宨
tnig=1,窱
tnnh=2,䯾
tnqa=2,晀
tnuh=1,祒
tnxn=3,䒒
tnxv=2,蓨
tnyg=2,糶
tnyg=3,鰷
tnyh=2,㟘
tnyh=3,岧
tnyh=4,岹
tnyq=2,䱔
tnza=2,趒
tobi=2,沲
tobj=2,沰
tobt=2,汑
toci=3,㸱
toct=2,㸰
todv=1,䜏
toet=2,乇
toet=3,鴕
toft=3,仛
toil=1,㼠
toji=2,砤
tojt=2,紽
tola=2,挩
tola=3,捝
toli=4,扡
tolt=2,拕
toni=2,駞
tonn=2,馱
tonn=3,䭾
tonn=4,駄
toot=2,䪑
toot=3,杔
toov=2,橢
toov=3,楕
topi=2,陁
topm=2,毻
topt=2,䴱
toto=2,槖
totv=1,堶
toui=1,彵
touj=2,袥
tova=2,脫
tovi=2,狏
toxk=2,蘀
toxp=3,䓕
toyi=2,䰿
toyt=3,鼧
toyt=4,岮
toyt=5,魠
toyt=6,鮀
toyz=2,㟎
tozv=2,媠
tozv=3,嫷
tpge=1,飻
tpng=2,驖
trey=3,團
trey=4,団
trmc=1,䵎
trns=2,剸
trry=2,篿
tsaa=1,㠽
tsam=3,氃
tscp=2,慟
tsdh=4,詷
tsdh=5,粡
tsih=3,䆚
tsja=2,綂
tsja=3,統
tsnm=3,膧
tsnm=4,䮵
tsqn=2,䶱
tstm=2,赨
tstq=2,㪌
tsuh=3,㣚
tsuy=2,衕
tsvh=2,狪
tswh=4,秱
tsxp=2,蓪
tsyh=5,峝
tsyh=6,鮦
tuba=3,凃
tubn=3,涋
tubn=4,湥
tubq=2,潳
tuca=2,悇
tucr=1,怢
tudn=2,䛢
tuea=3,兎
tuea=4,鵌
tugp=2,䣄
tugr=2,䳜
tugy=2,峹
tugy=3,嵞
tugy=4,鈯
tuin=2,宊
tuip=2,䣝
tuir=1,鶟
tuir=2,鷵
tulb=1,捸
tuln=3,揬
tuna=2,駼
turr=2,鵵
tusn=2,痜
tuwa=2,䅷
tuwa=3,禿
tuwn=2,馟
tuxa=2,蒤
tuxa=3,莵
tuxr=2,鷋
tuyn=2,鼵
tuyn=3,㟮
tvfa=2,侻
tvfa=3,僓
tviz=1,㞜
tvma=2,蛻
tvna=2,駾
tvpz=2,㞂
tvrp=2,㷟
tvuz=3,骽
tvwa=1,穨
tvwa=2,頹
tvwa=3,頺
tvwa=4,頽
tvwz=2,䅪
tybh=2,涒
tyco=2,霕
tyeo=2,豘
tylh=1,㧷
tyno=2,軘
tyyo=2,魨
tzgl=3,鍮
tzjl=3,緰
tzna=1,頭
tzxt=2,蘣
tzzo=1,婾
tzzv=2,䞬
uaba=2,㵤
uabc=2,㸺
uabj=1,硰
uabm=1,㲚
uabo=1,桬
uafq=2,儍
uahe=2,唦
uaje=4,紗
uajq=1,繌
ualm=2,毮
uana=2,䬊
uans=2,剎
uasq=2,廈
uawg=3,㰼
uaye=1,魦
uaye=2,鯋
ucgh=3,䬰
ucjh=3,紹
ucnv=2,颵
ucnv=3,輎
ucnv=4,髾
ucov=2,弰
ucrv=2,䈰
ucrv=3,䈾
ucsp=4,卲
ucsv=1,旓
ucth=1,㲈
ucuh=2,袑
ucxe=2,䒚
uczv=1,娋
udbc=3,㴓
udng=2,閷
udqk=2,曬
udra=2,篩
udra=3,簁
udwj=2,䵘
uebe=2,灄
uebe=3,渉
uebh=2,涻
uebt=2,㵃
uece=1,懾
uedt=2,設
uege=1,䤮
uegh=2,舎
uele=1,攝
uelh=2,捨
uemi=3,虵
uemo=1,蠂
ueqy=2,賒
ueua=2,䀅
uext=1,蔎
ufao=3,罧
ufbc=2,㵕
ufbe=2,滲
ufbe=3,涁
ufca=3,兟
ufca=4,愼
ufda=3,訠
ufda=4,詵
ufdc=3,諗
ufdn=2,籶
uffa=3,㑗
uffq=2,敒
uffz=2,侺
ufgk=2,鋠
ufia=2,覾
ufip=2,審
ufip=3,邥
ufir=2,䆦
ufjp=6,紳
ufka=1,頣
ufkv=2,腎
ufmk=3,蜄
ufna=2,駪
ufnq=1,眘
ufnq=2,昚
ufpp=2,䰠
ufqp=4,眒
ufqp=5,曋
ufse=4,瘮
ufsg=1,㰮
ufss=1,㾕
ufuk=2,祳
ufvk=2,脤
ufxq=1,葠
ufxq=2,蓡
ufxq=3,薓
ufya=1,鯓
ufya=2,魫
ufye=3,鰺
ufye=4,鯵
ufys=3,峷
ufzp=2,嬸
ufzp=3,妽
ufzp=4,㚨
ugbw=2,泩
ugbw=3,湦
ugeg=2,聖
uger=1,䲼
ugex=3,鵿
uggl=3,㼳
uggq=2,䁞
ughx=3,呏
