汉字	完整拆分	首根	末根
羫	⺶ ＋ 宀 ＋ 八 ＋ 工	⺶	工
囥	囗 ＋ 亠 ＋ 几	囗	几
槺	木 ＋ 广 ＋ 肀 ＋ 氺	木	氺
躿	身 ＋ 广 ＋ 肀 ＋ 氺	身	氺
冚	冖 ＋ 山	冖	山
竷	音 ＋ 十 ＋ 夂 ＋ 㐄 ＋ 夂	音	夂
矙	目 ＋ 門 ＋ 折 ＋ 耳 ＋ 攵	目	攵
顑	戊 ＋ 一 ＋ 口 ＋ 一 ＋ 自 ＋ 八	戊	八
輡	車 ＋ ⺈ ＋ 臼	車	臼
轁	車 ＋ 爫 ＋ 臼	車	臼
輱	車 ＋ 戊 ＋ 一 ＋ 口	車	口
栞	一 ＋ 𠂇 ＋ 干 ＋ 木	一	木
惂	忄 ＋ ⺈ ＋ 臼	忄	臼
偘	亻 ＋ 口 ＋ 口 ＋ 口	亻	口
塪	土 ＋ 爫 ＋ 臼	土	臼
糩	米 ＋ 全字头 ＋ 一 ＋ 囗 ＋ ⺌ ＋ 日	米	日
擓	扌 ＋ 匚 ＋ 氵 ＋ 隹	扌	隹
鱠	魚 ＋ 全字头 ＋ 一 ＋ 囗 ＋ ⺌ ＋ 日	魚	日
旝	方 ＋ 𠂉 ＋ 全字头 ＋ 一 ＋ 囗 ＋ ⺌ ＋ 日	方	日
筺	⺮ ＋ 匚 ＋ 玉	⺮	玉
狅	犭 ＋ 壬	犭	壬
穬	禾 ＋ 广 ＋ 龷 ＋ 由 ＋ 八	禾	八
鉱	全字头 ＋ 金字底 ＋ 广 ＋ 厶	全字头	厶
鋛	全字头 ＋ 金字底 ＋ 口 ＋ 口 ＋ 丨	全字头	丨
眖	目 ＋ 口 ＋ 儿	目	儿
懬	广 ＋ 龷 ＋ 由 ＋ 八 ＋ 心	广	心
軠	車 ＋ 壬	車	壬
抂	扌 ＋ 王	扌	王
軖	車 ＋ 王	車	王
絖	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ ⺌ ＋ 兀	幺	兀
昿	日 ＋ 广 ＋ 厶	日	厶
砿	石 ＋ 广 ＋ 厶	石	厶
懭	忄 ＋ 广 ＋ 龷 ＋ 由 ＋ 八	忄	八
忹	忄 ＋ 王	忄	王
恇	忄 ＋ 匚 ＋ 王	忄	王
邼	匚 ＋ 王 ＋ 阝	匚	阝
儣	亻 ＋ 广 ＋ 龷 ＋ 由 ＋ 八	亻	八
噋	口 ＋ 亠 ＋ 口 ＋ 子 ＋ 攵	口	攵
葀	艹 ＋ 扌 ＋ 千 ＋ 口	艹	口
懖	全字头 ＋ 金字底 ＋ 千 ＋ 口 ＋ 心	全字头	心
拡	扌 ＋ 广 ＋ 厶	扌	厶
韕	折 ＋ 丨 ＋ 一 ＋ 口 ＋ 㐄 ＋ 亠 ＋ 口 ＋ 子	折	子
髖	骨 ＋ 宀 ＋ 艹 ＋ 目 ＋ 儿 ＋ 丶	骨	丶
寛	宀 ＋ 艹 ＋ 目 ＋ 儿	宀	儿
鑧	全字头 ＋ 金字底 ＋ 宀 ＋ 艹 ＋ 目 ＋ 儿 ＋ 丶	全字头	丶
涳	氵 ＋ 宀 ＋ 八 ＋ 工	氵	工
鵼	宀 ＋ 八 ＋ 工 ＋ 鳥	宀	鳥
鞚	革 ＋ 宀 ＋ 八 ＋ 工	革	工
悾	忄 ＋ 宀 ＋ 八 ＋ 工	忄	工
躻	身 ＋ 宀 ＋ 八 ＋ 工	身	工
狜	犭 ＋ 十 ＋ 口	犭	口
秙	禾 ＋ 十 ＋ 口	禾	口
瘔	疒 ＋ 艹 ＋ 十 ＋ 口	疒	口
絝	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 大 ＋ 二 ＋ 折	幺	折
郀	大 ＋ 二 ＋ 折 ＋ 阝	大	阝
跍	⻊ ＋ 十 ＋ 口	⻊	口
桍	木 ＋ 大 ＋ 二 ＋ 折	木	折
嘳	口 ＋ 𠀐 ＋ 目 ＋ 八	口	八
顝	骨 ＋ 一 ＋ 自 ＋ 八	骨	八
嬇	女 ＋ 𠀐 ＋ 目 ＋ 八	女	八
蘷	艹 ＋ 一 ＋ 白 ＋ 止 ＋ 巳 ＋ 八 ＋ 夂	艹	夂
虁	艹 ＋ 一 ＋ 自 ＋ 止 ＋ 巳 ＋ 八 ＋ 夂	艹	夂
藈	艹 ＋ 目 ＋ 癶 ＋ 天	艹	天
鑎	全字头 ＋ 金字底 ＋ 匚 ＋ 𠀐 ＋ 目 ＋ 八	全字头	八
犪	牜 ＋ 丷 ＋ 一 ＋ 自 ＋ 止 ＋ 巳 ＋ 八 ＋ 夂	牜	夂
鍨	全字头 ＋ 金字底 ＋ 癶 ＋ 天	全字头	天
巋	山 ＋ 𠂤 ＋ 止 ＋ 彐 ＋ 冖 ＋ 巾	山	巾
巙	山 ＋ 丷 ＋ 一 ＋ 自 ＋ 止 ＋ 巳 ＋ 八 ＋ 夂	山	夂
聭	耳 ＋ 鬼	耳	鬼
聧	耳 ＋ 癶 ＋ 天	耳	天
鄈	癶 ＋ 天 ＋ 阝	癶	阝
晆	日 ＋ 土 ＋ 土	日	土
頯	然左角 ＋ 廾 ＋ 一 ＋ 自 ＋ 八	然左角	八
蹞	⻊ ＋ 比左 ＋ 一 ＋ 自 ＋ 八	⻊	八
頍	支 ＋ 一 ＋ 自 ＋ 八	支	八
躨	⻊ ＋ 丷 ＋ 一 ＋ 自 ＋ 止 ＋ 巳 ＋ 八 ＋ 夂	⻊	夂
樻	木 ＋ 𠀐 ＋ 目 ＋ 八	木	八
楑	木 ＋ 癶 ＋ 天	木	天
楏	木 ＋ 大 ＋ 土 ＋ 土	木	土
頄	九 ＋ 一 ＋ 自 ＋ 八	九	八
舿	舟 ＋ 大 ＋ 二 ＋ 折	舟	折
銙	全字头 ＋ 金字底 ＋ 大 ＋ 二 ＋ 折	全字头	折
晇	日 ＋ 大 ＋ 二 ＋ 折	日	折
尡	⺌ ＋ 兀 ＋ 日 ＋ 比左 ＋ 匕	⺌	匕
熴	火 ＋ 山 ＋ 日 ＋ 比左 ＋ 匕	火	匕
裩	衤 ＋ 日 ＋ 比左 ＋ 匕	衤	匕
涃	氵 ＋ 囗 ＋ 木	氵	木
潉	氵 ＋ 山 ＋ 日 ＋ 比左 ＋ 匕	氵	匕
菎	艹 ＋ 日 ＋ 比左 ＋ 匕	艹	匕
猑	犭 ＋ 日 ＋ 比左 ＋ 匕	犭	匕
稛	禾 ＋ 囗 ＋ 禾	禾	禾
稇	禾 ＋ 囗 ＋ 木	禾	木
髠	一 ＋ ⺊ ＋ 二 ＋ 厶 ＋ 彡 ＋ 几	一	几
閸	門 ＋ 一 ＋ 丨 ＋ 一 ＋ 折 ＋ 折 ＋ 一 ＋ 丨 ＋ 一	門	一
晜	日 ＋ 弟	日	弟
硱	石 ＋ 囗 ＋ 木	石	木
祵	礻 ＋ 囗 ＋ 木	礻	木
瑻	王 ＋ 毌 ＋ 目 ＋ 八	王	八
堒	土 ＋ 日 ＋ 比左 ＋ 匕	土	匕
簆	⺮ ＋ 宀 ＋ 一 ＋ 兀 ＋ 攴	⺮	攴
蔲	艹 ＋ 宀 ＋ 一 ＋ 兀 ＋ 攵	艹	攵
宼	宀 ＋ 一 ＋ 兀 ＋ 女	宀	女
冦	冖 ＋ 一 ＋ 兀 ＋ 攴	冖	攴
鏂	全字头 ＋ 金字底 ＋ 匚 ＋ 口 ＋ 口 ＋ 口	全字头	口
彄	弓 ＋ 匚 ＋ 口 ＋ 口 ＋ 口	弓	口
劶	𠂆 ＋ 一 ＋ 口 ＋ 力	𠂆	力
剾	匚 ＋ 口 ＋ 口 ＋ 口 ＋ 刂	匚	刂
鷇	士 ＋ 冖 ＋ 一 ＋ 鳥 ＋ 殳	士	殳
嚹	口 ＋ 缶 ＋ 卜 ＋ 厂 ＋ 七 ＋ 撇 ＋ 丷 ＋ 一 ＋ 竖	口	竖
溂	氵 ＋ 束 ＋ 刂	氵	刂
菈	艹 ＋ 扌 ＋ 立	艹	立
藞	艹 ＋ 石 ＋ 石 ＋ 石	艹	石
蝋	虫 ＋ 丶 ＋ 丷 ＋ ⺇ ＋ 举字底	虫	举字底
鑞	全字头 ＋ 金字底 ＋ 巛 ＋ 囗 ＋ 㐅 ＋ 折 ＋ 冬字底 ＋ 折 ＋ 冬字底 ＋ 折	全字头	折
攋	扌 ＋ 束 ＋ ⺈ ＋ 目 ＋ 八	扌	八
搚	扌 ＋ 力 ＋ 力 ＋ 力 ＋ ⺝	扌	⺝
磖	石 ＋ 习 ＋ 习 ＋ 白	石	白
儠	亻 ＋ 巛 ＋ 囗 ＋ 㐅 ＋ 折 ＋ 冬字底 ＋ 折 ＋ 冬字底 ＋ 折	亻	折
鯻	魚 ＋ 束 ＋ 刂	魚	刂
翋	习 ＋ 习 ＋ 立	习	立
楋	木 ＋ 束 ＋ 刂	木	刂
柆	木 ＋ 立	木	立
瓎	王 ＋ 束 ＋ ⺈ ＋ 目 ＋ 八	王	八
亃	米 ＋ 夕 ＋ 㐄 ＋ 折	米	折
疄	田 ＋ 米 ＋ 夕 ＋ 㐄	田	㐄
瀶	氵 ＋ 臣 ＋ 𠂉 ＋ 口 ＋ 口 ＋ 口	氵	口
澟	氵 ＋ 亠 ＋ 囗 ＋ 口 ＋ 禾	氵	禾
鏻	全字头 ＋ 金字底 ＋ 米 ＋ 夕 ＋ 㐄	全字头	㐄
崊	山 ＋ 木 ＋ 木	山	木
撛	扌 ＋ 米 ＋ 夕 ＋ 㐄	扌	㐄
驎	馬 ＋ 米 ＋ 夕 ＋ 㐄	馬	㐄
轥	車 ＋ 艹 ＋ 門 ＋ 隹	車	隹
繗	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 米 ＋ 夕 ＋ 㐄	幺	㐄
焛	門 ＋ 火	門	火
暽	日 ＋ 米 ＋ 夕 ＋ 㐄	日	㐄
晽	果 ＋ 木	果	木
閵	門 ＋ 隹	門	隹
悋	忄 ＋ 亠 ＋ 㐅 ＋ 口	忄	口
恡	忄 ＋ 㐅 ＋ 𠂇 ＋ 厶	忄	厶
碄	石 ＋ 木 ＋ 木	石	木
僯	亻 ＋ 米 ＋ 夕 ＋ 㐄	亻	㐄
躙	⻊ ＋ 門 ＋ 隹	⻊	隹
躪	⻊ ＋ 艹 ＋ 門 ＋ 隹	⻊	隹
橉	木 ＋ 米 ＋ 夕 ＋ 㐄	木	㐄
壣	土 ＋ 耳 ＋ 幺 ＋ 幺 ＋ 折 ＋ 川 ＋ 一	土	一
哰	口 ＋ 宀 ＋ 牛	口	牛
憥	火 ＋ 火 ＋ 冖 ＋ 力 ＋ 心	火	心
粩	米 ＋ 耂 ＋ 匕	米	匕
簩	⺮ ＋ 火 ＋ 火 ＋ 冖 ＋ 力	⺮	力
浶	氵 ＋ 宀 ＋ 牛	氵	牛
窂	宀 ＋ 八 ＋ 牛	宀	牛
蟧	虫 ＋ 火 ＋ 火 ＋ 冖 ＋ 力	虫	力
髝	亠 ＋ 口 ＋ 冂 ＋ 口 ＋ 火 ＋ 火 ＋ 冖 ＋ 力	亠	力
絡	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 各	幺	各
耮	耒 ＋ 火 ＋ 火 ＋ 冖 ＋ 力	耒	力
憦	忄 ＋ 火 ＋ 火 ＋ 冖 ＋ 力	忄	力
磱	石 ＋ 火 ＋ 火 ＋ 冖 ＋ 力	石	力
恅	忄 ＋ 耂 ＋ 匕	忄	匕
硓	石 ＋ 耂 ＋ 匕	石	匕
労	学无子 ＋ 力	学无子	力
顟	习 ＋ 习 ＋ 全字头 ＋ 彡 ＋ 一 ＋ 自 ＋ 八	习	八
鮱	魚 ＋ 耂 ＋ 匕	魚	匕
嗠	爫 ＋ 子 ＋ 各	爫	各
軂	身 ＋ 火 ＋ 火 ＋ 冖 ＋ 力	身	力
躼	身 ＋ 長	身	長
珯	王 ＋ 耂 ＋ 匕	王	匕
襰	衤 ＋ 束 ＋ ⺈ ＋ 目 ＋ 八	衤	八
箂	⺮ ＋ 十 ＋ 人 ＋ 人 ＋ 丿 ＋ 丶	⺮	丶
瀬	氵 ＋ 束 ＋ 一 ＋ 自 ＋ 八	氵	八
猍	犭 ＋ 十 ＋ 人 ＋ 人 ＋ 丿 ＋ 丶	犭	丶
庲	广 ＋ 十 ＋ 人 ＋ 人 ＋ 丿 ＋ 丶	广	丶
倈	亻 ＋ 十 ＋ 人 ＋ 人 ＋ 丿 ＋ 丶	亻	丶
顂	十 ＋ 人 ＋ 人 ＋ 丿 ＋ 丶 ＋ 一 ＋ 自 ＋ 八	十	八
郲	十 ＋ 人 ＋ 人 ＋ 丿 ＋ 丶 ＋ 阝	十	阝
鶆	十 ＋ 人 ＋ 人 ＋ 丿 ＋ 丶 ＋ 鳥	十	鳥
櫴	木 ＋ 束 ＋ ⺈ ＋ 目 ＋ 八	木	八
棶	木 ＋ 十 ＋ 人 ＋ 人 ＋ 丿 ＋ 丶	木	丶
頼	束 ＋ 一 ＋ 自 ＋ 八	束	八
琜	王 ＋ 十 ＋ 人 ＋ 人 ＋ 丿 ＋ 丶	王	丶
氻	氵 ＋ 力	氵	力
韷	音 ＋ 凵 ＋ 山	音	山
阞	阝 ＋ 力	阝	力
忇	忄 ＋ 力	忄	力
倰	亻 ＋ 土 ＋ 八 ＋ 夂	亻	夂
唥	口 ＋ 冫 ＋ 令	口	令
哴	口 ＋ 丶 ＋ 艮	口	艮
嫏	女 ＋ 丶 ＋ 即字旁 ＋ 阝	女	阝
艆	舟 ＋ 丶 ＋ 艮	舟	艮
蓈	艹 ＋ 丶 ＋ 即字旁 ＋ 阝	艹	阝
斏	亠 ＋ 㐅 ＋ 丶 ＋ 艮	亠	艮
駺	馬 ＋ 丶 ＋ 艮	馬	艮
硠	石 ＋ 丶 ＋ 艮	石	艮
勆	丶 ＋ 即字旁 ＋ 力	丶	力
樠	木 ＋ 廿 ＋ 巾 ＋ 入 ＋ 入	木	入
樃	木 ＋ 丶 ＋ 即字旁 ＋ 月	木	月
躴	身 ＋ 丶 ＋ 艮	身	艮
脼	月 ＋ 一 ＋ 巾 ＋ 入 ＋ 入	月	入
嚟	口 ＋ 禾 ＋ 勹 ＋ 丿 ＋ 全字头 ＋ 氺	口	氺
囄	口 ＋ 亠 ＋ 㐅 ＋ 凵 ＋ 禸 ＋ 隹	口	隹
囇	口 ＋ 一 ＋ 冂 ＋ 丶 ＋ 一 ＋ 冂 ＋ 丶 ＋ 广 ＋ 折 ＋ 丨 ＋ 丨 ＋ 一 ＋ 比左 ＋ 匕	口	匕
讈	言 ＋ 厂 ＋ 禾 ＋ 禾 ＋ 止	言	止
謧	言 ＋ 亠 ＋ 㐅 ＋ 凵 ＋ 禸	言	禸
爄	火 ＋ 厂 ＋ 艹 ＋ 日 ＋ 禺字底	火	禺字底
爏	火 ＋ 厂 ＋ 禾 ＋ 禾 ＋ 止	火	止
糲	米 ＋ 厂 ＋ 艹 ＋ 日 ＋ 禺字底	米	禺字底
粴	米 ＋ 里	米	里
艃	舟 ＋ 里	舟	里
刕	刀 ＋ 刀 ＋ 刀	刀	刀
筣	⺮ ＋ 禾 ＋ 刂	⺮	刂
褵	衤 ＋ 亠 ＋ 㐅 ＋ 凵 ＋ 禸	衤	禸
籬	⺮ ＋ 亠 ＋ 㐅 ＋ 凵 ＋ 禸 ＋ 隹	⺮	隹
沴	氵 ＋ 全字头 ＋ 彡	氵	彡
茘	艹 ＋ 刀 ＋ 刀 ＋ 刀	艹	刀
菞	艹 ＋ 禾 ＋ 勹 ＋ 丿	艹	丿
蔾	艹 ＋ 禾 ＋ 勹 ＋ 丿 ＋ 木	艹	木
蘺	艹 ＋ 亠 ＋ 㐅 ＋ 凵 ＋ 禸 ＋ 隹	艹	隹
剓	禾 ＋ 勹 ＋ 丿 ＋ 刀	禾	刀
秝	禾 ＋ 禾	禾	禾
睝	禾 ＋ 勹 ＋ 丿 ＋ 目	禾	目
鋫	禾 ＋ 刂 ＋ 金	禾	金
錅	禾 ＋ 勹 ＋ 丿 ＋ 金	禾	金
悡	禾 ＋ 刂 ＋ 心	禾	心
鵹	禾 ＋ 勹 ＋ 丿 ＋ 鳥	禾	鳥
穲	禾 ＋ 一 ＋ 冂 ＋ 丶 ＋ 一 ＋ 冂 ＋ 丶 ＋ 广 ＋ 折 ＋ 丨 ＋ 丨 ＋ 一 ＋ 比左 ＋ 匕	禾	匕
蛠	虫 ＋ 力 ＋ 力 ＋ 力	虫	力
蠇	虫 ＋ 艹 ＋ 日 ＋ 禺字底	虫	禺字底
蚸	虫 ＋ 斥	虫	斥
蟍	虫 ＋ 禾 ＋ 刂 ＋ 木	虫	木
蝷	虫 ＋ 广 ＋ 丷 ＋ 一 ＋ 凵 ＋ 丿	虫	丿
犡	牜 ＋ 厂 ＋ 艹 ＋ 日 ＋ 禺字底	牜	禺字底
蝕	全字头 ＋ 丶 ＋ 即字旁 ＋ 虫	全字头	虫
鑗	全字头 ＋ 金字底 ＋ 禾 ＋ 勹 ＋ 丿 ＋ 全字头 ＋ 氺	全字头	氺
鏫	全字头 ＋ 金字底 ＋ 禾 ＋ 刂 ＋ 木	全字头	木
鑠	全字头 ＋ 金字底 ＋ 白 ＋ 幺 ＋ 幺 ＋ 木	全字头	木
鴗	立 ＋ 鳥	立	鳥
竰	立 ＋ 厂 ＋ 里	立	里
矖	目 ＋ 一 ＋ 冂 ＋ 丶 ＋ 一 ＋ 冂 ＋ 丶 ＋ 广 ＋ 折 ＋ 丨 ＋ 丨 ＋ 一 ＋ 比左 ＋ 匕	目	匕
峢	山 ＋ 歹 ＋ 刂	山	刂
峲	山 ＋ 禾 ＋ 刂	山	刂
屴	山 ＋ 力	山	力
歴	厂 ＋ 木 ＋ 木 ＋ 止	厂	止
厤	厂 ＋ 禾 ＋ 禾	厂	禾
岦	山 ＋ 立	山	立
暦	厂 ＋ 木 ＋ 木 ＋ 日	厂	日
磿	厂 ＋ 禾 ＋ 禾 ＋ 石	厂	石
厯	厂 ＋ 木 ＋ 木 ＋ 折 ＋ 丶 ＋ 丶	厂	丶
麜	广 ＋ 折 ＋ 丨 ＋ 丨 ＋ 一 ＋ 比左 ＋ 匕 ＋ 覀 ＋ 木	广	木
廲	广 ＋ 一 ＋ 冂 ＋ 丶 ＋ 一 ＋ 冂 ＋ 丶 ＋ 广 ＋ 折 ＋ 丨 ＋ 丨 ＋ 一 ＋ 比左 ＋ 匕	广	匕
剺	未 ＋ 攵 ＋ 厂 ＋ 刀	未	刀
攊	扌 ＋ 厂 ＋ 禾 ＋ 禾 ＋ 止	扌	止
轣	車 ＋ 厂 ＋ 禾 ＋ 禾 ＋ 止	車	止
攭	扌 ＋ 折 ＋ 折 ＋ 豕 ＋ 虫 ＋ 虫	扌	虫
叓	一 ＋ 口 ＋ 丨 ＋ 又	一	又
搮	扌 ＋ 覀 ＋ 木	扌	木
劙	折 ＋ 折 ＋ 豕 ＋ 虫 ＋ 虫 ＋ 刂	折	刂
瓥	瓜 ＋ 豕 ＋ 虫 ＋ 虫	瓜	虫
縭	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 亠 ＋ 㐅 ＋ 凵 ＋ 禸	幺	禸
纅	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 白 ＋ 幺 ＋ 幺 ＋ 木	幺	木
鷅	覀 ＋ 木 ＋ 鳥	覀	鳥
曞	日 ＋ 厂 ＋ 艹 ＋ 日 ＋ 禺字底	日	禺字底
悧	忄 ＋ 禾 ＋ 刂	忄	刂
悷	忄 ＋ 户 ＋ 犬	忄	犬
礰	石 ＋ 厂 ＋ 禾 ＋ 禾 ＋ 止	石	止
儮	亻 ＋ 厂 ＋ 禾 ＋ 禾 ＋ 止	亻	止
禲	礻 ＋ 厂 ＋ 艹 ＋ 日 ＋ 禺字底	礻	禺字底
靋	⻗ ＋ 氵 ＋ 厂 ＋ 禾 ＋ 禾 ＋ 止	⻗	止
鯏	魚 ＋ 禾 ＋ 刂	魚	刂
鱱	魚 ＋ 厂 ＋ 艹 ＋ 日 ＋ 禺字底	魚	禺字底
鱧	魚 ＋ 由 ＋ 丨 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	魚	一
觻	⺈ ＋ 用 ＋ 白 ＋ 幺 ＋ 幺 ＋ 木	⺈	木
梸	木 ＋ 禾 ＋ 刂	木	刂
栛	木 ＋ 力 ＋ 力 ＋ 力	木	力
欚	木 ＋ 折 ＋ 折 ＋ 豕 ＋ 虫 ＋ 虫	木	虫
蟸	豕 ＋ 虫 ＋ 虫	豕	虫
檪	木 ＋ 白 ＋ 冫 ＋ 撇 ＋ 点 ＋ 木	木	木
兣	十 ＋ 口 ＋ 儿 ＋ 厂 ＋ 里	十	里
梩	木 ＋ 里	木	里
脷	月 ＋ 禾 ＋ 刂	月	刂
赲	走 ＋ 力	走	力
瓑	王 ＋ 厂 ＋ 禾 ＋ 禾 ＋ 止	王	止
瓅	王 ＋ 白 ＋ 幺 ＋ 幺 ＋ 木	王	木
囒	口 ＋ 艹 ＋ 門 ＋ 柬	口	柬
囕	口 ＋ 臣 ＋ 𠂉 ＋ 丶 ＋ 罒 ＋ 目 ＋ 儿	口	儿
嬾	女 ＋ 束 ＋ ⺈ ＋ 目 ＋ 八	女	八
孄	女 ＋ 門 ＋ 柬	女	柬
幱	巾 ＋ 門 ＋ 柬	巾	柬
燷	火 ＋ 亠 ＋ 囗 ＋ 口 ＋ 示	火	示
爤	火 ＋ 艹 ＋ 門 ＋ 柬	火	柬
糷	米 ＋ 艹 ＋ 門 ＋ 柬	米	柬
爦	火 ＋ 臣 ＋ 𠂉 ＋ 丶 ＋ 罒 ＋ 目 ＋ 儿	火	儿
爁	火 ＋ 臣 ＋ 𠂉 ＋ 丶 ＋ 皿	火	皿
籣	⺮ ＋ 門 ＋ 柬	⺮	柬
襴	衤 ＋ 門 ＋ 柬	衤	柬
襽	衤 ＋ 艹 ＋ 門 ＋ 柬	衤	柬
襤	衤 ＋ 臣 ＋ 𠂉 ＋ 丶 ＋ 皿	衤	皿
湅	氵 ＋ 柬	氵	柬
灡	氵 ＋ 艹 ＋ 門 ＋ 柬	氵	柬
浨	氵 ＋ 宀 ＋ 木	氵	木
灠	氵 ＋ 臣 ＋ 𠂉 ＋ 丶 ＋ 罒 ＋ 目 ＋ 儿	氵	儿
灆	氵 ＋ 艹 ＋ 臣 ＋ 𠂉 ＋ 丶 ＋ 皿	氵	皿
葻	艹 ＋ ⺇ ＋ 撇 ＋ 虫	艹	虫
蘭	艹 ＋ 門 ＋ 柬	艹	柬
钄	全字头 ＋ 金字底 ＋ 艹 ＋ 門 ＋ 柬	全字头	柬
韊	革 ＋ 艹 ＋ 門 ＋ 柬	革	柬
繿	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 臣 ＋ 𠂉 ＋ 丶 ＋ 皿	幺	皿
礷	石 ＋ 艹 ＋ 臣 ＋ 𠂉 ＋ 丶 ＋ 皿	石	皿
儖	亻 ＋ 臣 ＋ 𠂉 ＋ 丶 ＋ 皿	亻	皿
躝	⻊ ＋ 門 ＋ 柬	⻊	柬
欗	木 ＋ 艹 ＋ 門 ＋ 柬	木	柬
壈	土 ＋ 亠 ＋ 囗 ＋ 口 ＋ 禾	土	禾
壏	土 ＋ 臣 ＋ 𠂉 ＋ 丶 ＋ 皿	土	皿
璼	王 ＋ 臣 ＋ 𠂉 ＋ 丶 ＋ 皿	王	皿
婈	女 ＋ 土 ＋ 八 ＋ 夂	女	夂
詅	言 ＋ 令	言	令
爧	火 ＋ ⻗ ＋ 口 ＋ 口 ＋ 口 ＋ 工 ＋ 人 ＋ 人	火	人
炩	火 ＋ 令	火	令
裬	衤 ＋ 土 ＋ 八 ＋ 夂	衤	夂
笭	⺮ ＋ 令	⺮	令
瀮	氵 ＋ ⻗ ＋ 木 ＋ 木	氵	木
蘦	艹 ＋ ⻗ ＋ 口 ＋ 口 ＋ 口	艹	口
蕶	艹 ＋ ⻗ ＋ 令	艹	令
齢	止 ＋ 米 ＋ 凵 ＋ 令	止	令
秢	禾 ＋ 令	禾	令
刢	令 ＋ 刂	令	刂
錂	全字头 ＋ 金字底 ＋ 土 ＋ 八 ＋ 夂	全字头	夂
竛	立 ＋ 令	立	令
阾	阝 ＋ 令	阝	令
麢	广 ＋ 折 ＋ 丨 ＋ 丨 ＋ 一 ＋ 比左 ＋ 匕 ＋ ⻗ ＋ 口 ＋ 口 ＋ 口	广	口
掕	扌 ＋ 土 ＋ 八 ＋ 夂	扌	夂
駖	馬 ＋ 令	馬	令
醽	酉 ＋ ⻗ ＋ 口 ＋ 口 ＋ 口	酉	口
彾	彳 ＋ 令	彳	令
紷	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 令	幺	令
衑	彳 ＋ 令 ＋ 一 ＋ 丁	彳	丁
閝	門 ＋ 令	門	令
鹷	⺊ ＋ 囗 ＋ 㐅 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 令	⺊	令
砱	石 ＋ 令	石	令
霝	⻗ ＋ 口 ＋ 口 ＋ 口	⻗	口
孁	⻗ ＋ 口 ＋ 口 ＋ 口 ＋ 女	⻗	女
跉	⻊ ＋ 令	⻊	令
霗	⻗ ＋ 氵 ＋ 令	⻗	令
霊	⻗ ＋ 一 ＋ 亚	⻗	亚
龗	⻗ ＋ 口 ＋ 口 ＋ 口 ＋ 立 ＋ ⺝ ＋ 一 ＋ 折 ＋ 一 ＋ 折 ＋ 三	⻗	三
夌	土 ＋ 八 ＋ 夂	土	夂
魎	鬼 ＋ 一 ＋ 巾 ＋ 入 ＋ 入	鬼	入
煷	火 ＋ 亠 ＋ 口 ＋ 冖 ＋ 几	火	几
裲	衤 ＋ 一 ＋ 巾 ＋ 入 ＋ 入	衤	入
涼	氵 ＋ 亠 ＋ 口 ＋ 小	氵	小
湸	氵 ＋ 亠 ＋ 口 ＋ 冖 ＋ 几	氵	几
鍄	全字头 ＋ 金字底 ＋ 亠 ＋ 口 ＋ 小	全字头	小
輌	車 ＋ 一 ＋ 冂 ＋ 山	車	山
掚	扌 ＋ 一 ＋ 巾 ＋ 入 ＋ 入	扌	入
緉	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 一 ＋ 巾 ＋ 入 ＋ 入	幺	入
倆	亻 ＋ 一 ＋ 巾 ＋ 入 ＋ 入	亻	入
噒	口 ＋ 米 ＋ 夕 ＋ 㐄	口	㐄
嬚	女 ＋ 广 ＋ 兼	女	兼
譧	言 ＋ 广 ＋ 兼	言	兼
媡	女 ＋ 柬	女	柬
嫾	女 ＋ 米 ＋ 夕 ＋ 㐄	女	㐄
謰	言 ＋ 車 ＋ 辶	言	辶
籨	⺮ ＋ 全字头 ＋ 一 ＋ 口 ＋ 口 ＋ 人 ＋ 人 ＋ ⺈ ＋ 人	⺮	人
濓	氵 ＋ 立 ＋ 丿 ＋ 肀 ＋ 丨 ＋ 八	氵	八
澰	氵 ＋ 全字头 ＋ 一 ＋ 口 ＋ 口 ＋ 人 ＋ 人	氵	人
鄻	夫 ＋ 夫 ＋ 車 ＋ 阝	夫	阝
蘝	艹 ＋ 全字头 ＋ 一 ＋ 口 ＋ 口 ＋ 人 ＋ 人 ＋ ⺈ ＋ 人	艹	人
萰	艹 ＋ 柬	艹	柬
覝	干 ＋ 火 ＋ 目 ＋ 儿	干	儿
螊	虫 ＋ 兼	虫	兼
鐮	全字头 ＋ 金字底 ＋ 广 ＋ 兼	全字头	兼
錬	全字头 ＋ 金字底 ＋ 一 ＋ 申 ＋ 丿 ＋ 丶	全字头	丶
劆	广 ＋ 兼 ＋ 刂	广	刂
