裁决编号	码	调整前关键候选	调整后关键候选	理由	状态
G8C12-W142	zall	拶、杂粮	杂粮、拶	自动规则：同码全部单字均在前3527之外，且最高二字词排名11279≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W143	yihl	呓、一晃	一晃、呓	自动规则：同码全部单字均在前3527之外，且最高二字词排名11372≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W144	wuyh	鼯、峿、无恙、握手言和	无恙、鼯、峿、握手言和	自动规则：同码全部单字均在前3527之外，且最高二字词排名11663≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W145	jmmp	鞬、歼灭、毽	歼灭、鞬、毽	自动规则：同码全部单字均在前3527之外，且最高二字词排名11870≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W146	tkxp	莛、停歇、听写	停歇、莛、听写	自动规则：同码全部单字均在前3527之外，且最高二字词排名11876≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W147	cixs	莿、雌雄	雌雄、莿	自动规则：同码全部单字均在前3527之外，且最高二字词排名11890≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W148	vfue	袗、震慑	震慑、袗	自动规则：同码全部单字均在前3527之外，且最高二字词排名11960≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W149	hswd	訇、红外	红外、訇	自动规则：同码全部单字均在前3527之外，且最高二字词排名12077≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W150	hche	嚎、好喝	好喝、嚎	自动规则：同码全部单字均在前3527之外，且最高二字词排名12105≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W151	hjlw	捍、扞、含泪	含泪、捍、扞	自动规则：同码全部单字均在前3527之外，且最高二字词排名12109≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W152	jifh	佶、机房、己方、寄放	机房、佶、己方、寄放	自动规则：同码全部单字均在前3527之外，且最高二字词排名12264≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W153	ffys	鼢、奋勇	奋勇、鼢	自动规则：同码全部单字均在前3527之外，且最高二字词排名12337≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W154	hjyh	嵅、涵养、汉阳	涵养、嵅、汉阳	自动规则：同码全部单字均在前3527之外，且最高二字词排名12410≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W155	yulz	觎、雨露	雨露、觎	自动规则：同码全部单字均在前3527之外，且最高二字词排名12428≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W156	thth	埫、堂堂、塘、糖糖、太皇太后	堂堂、埫、塘、糖糖、太皇太后	自动规则：同码全部单字均在前3527之外，且最高二字词排名12476≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W157	uirj	炻、释然、使然、受宠若惊	释然、炻、使然、受宠若惊	自动规则：同码全部单字均在前3527之外，且最高二字词排名12508≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W158	hrqq	㬊、环球、寰球	环球、㬊、寰球	自动规则：同码全部单字均在前3527之外，且最高二字词排名12516≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W159	jnya	峤、脚丫	脚丫、峤	自动规则：同码全部单字均在前3527之外，且最高二字词排名12533≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W160	hrie	豢、换车	换车、豢	自动规则：同码全部单字均在前3527之外，且最高二字词排名12572≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W161	rfda	讱、人大	人大、讱	自动规则：同码全部单字均在前3527之外，且最高二字词排名12793≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W162	eehc	𫫇、噩耗	噩耗、𫫇	自动规则：同码全部单字均在前3527之外，且最高二字词排名12797≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W163	qing	欹、岂能	岂能、欹	自动规则：同码全部单字均在前3527之外，且最高二字词排名12831≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W164	jqbd	氿、九百、举棋不定	九百、氿、举棋不定	自动规则：同码全部单字均在前3527之外，且最高二字词排名12866≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W165	boke	𬭛、博客、播客	博客、𬭛、播客	自动规则：同码全部单字均在前3527之外，且最高二字词排名12909≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W166	lijb	缡、礼金、历尽	礼金、缡、历尽	自动规则：同码全部单字均在前3527之外，且最高二字词排名13020≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W167	jisv	瘠、脊髓、几岁、击碎、精诚所至	脊髓、瘠、几岁、击碎、精诚所至	自动规则：同码全部单字均在前3527之外，且最高二字词排名15032≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W168	jmqp	暕、剪切、建、贱妾	剪切、暕、建、贱妾	自动规则：同码全部单字均在前3527之外，且最高二字词排名15155≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W169	llbd	粱、两百、亮白	两百、粱、亮白	自动规则：同码全部单字均在前3527之外，且最高二字词排名15293≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W170	gvgs	刽、归功、归公	归功、刽、归公	自动规则：同码全部单字均在前3527之外，且最高二字词排名15511≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W171	xifa	俙、戏法、洗发	戏法、俙、洗发	自动规则：同码全部单字均在前3527之外，且最高二字词排名15563≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W172	xiuj	裼、西山	西山、裼	自动规则：同码全部单字均在前3527之外，且最高二字词排名15922≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W173	vibm	滍、质变、支边	质变、滍、支边	自动规则：同码全部单字均在前3527之外，且最高二字词排名15944≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W174	jicy	犄、𬶨、寄存、积存	寄存、犄、𬶨、积存	自动规则：同码全部单字均在前3527之外，且最高二字词排名15996≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W175	lixb	藜、蓠、离心、立新	离心、藜、蓠、立新	自动规则：同码全部单字均在前3527之外，且最高二字词排名16030≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W176	cvmm	毳、催眠	催眠、毳	自动规则：同码全部单字均在前3527之外，且最高二字词排名16057≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W177	ykxb	荥、迎新	迎新、荥	自动规则：同码全部单字均在前3527之外，且最高二字词排名16090≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W178	yzmn	蝣、幼苗	幼苗、蝣	自动规则：同码全部单字均在前3527之外，且最高二字词排名16274≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W179	jifw	偈、计费、积肥、击飞、基肥	计费、偈、积肥、击飞、基肥	自动规则：同码全部单字均在前3527之外，且最高二字词排名16352≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W180	pubi	濮、扑鼻	扑鼻、濮	自动规则：同码全部单字均在前3527之外，且最高二字词排名16549≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W181	hjlq	撖、寒流、韩流	寒流、撖、韩流	自动规则：同码全部单字均在前3527之外，且最高二字词排名16573≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W182	ssge	耸、颂歌	颂歌、耸	自动规则：同码全部单字均在前3527之外，且最高二字词排名16712≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W183	yzan	卣、幽暗、猷、右岸	幽暗、卣、猷、右岸	自动规则：同码全部单字均在前3527之外，且最高二字词排名16793≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W184	jiln	殛、寂寥	寂寥、殛	自动规则：同码全部单字均在前3527之外，且最高二字词排名16812≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W185	vumm	蠋、煮面	煮面、蠋	自动规则：同码全部单字均在前3527之外，且最高二字词排名17110≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W186	guch	牿、谷仓	谷仓、牿	自动规则：同码全部单字均在前3527之外，且最高二字词排名17206≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W187	goan	馘、国安	国安、馘	自动规则：同码全部单字均在前3527之外，且最高二字词排名17333≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W188	jkvl	肼、精装、精壮、经幢	精装、肼、精壮、经幢	自动规则：同码全部单字均在前3527之外，且最高二字词排名17496≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W189	igiu	牚、惩处、乘除	惩处、牚、乘除	自动规则：同码全部单字均在前3527之外，且最高二字词排名17627≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W190	qmch	慊、潜藏、前舱	潜藏、慊、前舱	自动规则：同码全部单字均在前3527之外，且最高二字词排名17773≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W191	zigw	觜、自给	自给、觜	自动规则：同码全部单字均在前3527之外，且最高二字词排名17853≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W192	zibd	粢、自白	自白、粢	自动规则：同码全部单字均在前3527之外，且最高二字词排名17895≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W193	xide	粞、西德	西德、粞	自动规则：同码全部单字均在前3527之外，且最高二字词排名18113≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W194	dsve	胨、动辄	动辄、胨	自动规则：同码全部单字均在前3527之外，且最高二字词排名18148≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W195	xice	牺、恓、西侧	西侧、牺、恓	自动规则：同码全部单字均在前3527之外，且最高二字词排名18223≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W196	fuxn	茯、莩、拂晓、芙、附小	拂晓、茯、莩、芙、附小	自动规则：同码全部单字均在前3527之外，且最高二字词排名18528≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W197	yjmz	蝘、眼眸	眼眸、蝘	自动规则：同码全部单字均在前3527之外，且最高二字词排名18588≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W198	jkvv	腈、颈椎	颈椎、腈	自动规则：同码全部单字均在前3527之外，且最高二字词排名18600≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W199	yjmp	蜒、湮灭	湮灭、蜒	自动规则：同码全部单字均在前3527之外，且最高二字词排名18690≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W200	yiyz	𫖮、已有、亦有、益友	已有、𫖮、亦有、益友	自动规则：同码全部单字均在前3527之外，且最高二字词排名18769≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W201	yjba	沇、盐巴、演	盐巴、沇、演	自动规则：同码全部单字均在前3527之外，且最高二字词排名18780≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W202	yzkv	铕、有愧	有愧、铕	自动规则：同码全部单字均在前3527之外，且最高二字词排名18975≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W203	dcys	鱽、盗用、到	盗用、鱽、到	自动规则：同码全部单字均在前3527之外，且最高二字词排名19038≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W204	iubk	濋、出兵	出兵、濋	自动规则：同码全部单字均在前3527之外，且最高二字词排名19061≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W205	yhmk	蛘、扬名	扬名、蛘	自动规则：同码全部单字均在前3527之外，且最高二字词排名19182≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W206	lkzy	鸰、令尊	令尊、鸰	自动规则：同码全部单字均在前3527之外，且最高二字词排名19244≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W207	yumn	蜮、鱼苗、育苗	鱼苗、蜮、育苗	自动规则：同码全部单字均在前3527之外，且最高二字词排名19277≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W208	hokr	钬、货款	货款、钬	自动规则：同码全部单字均在前3527之外，且最高二字词排名19295≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W209	vizy	跱、至尊	至尊、跱	自动规则：同码全部单字均在前3527之外，且最高二字词排名19301≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W210	xpbo	渫、血泊、泄、谐波	血泊、渫、泄、谐波	自动规则：同码全部单字均在前3527之外，且最高二字词排名19539≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W211	jyxq	葰、俊秀	俊秀、葰	自动规则：同码全部单字均在前3527之外，且最高二字词排名19593≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W212	uiyy	鲥、峙、时运、示、诗云、事出有因	时运、鲥、峙、示、诗云、事出有因	自动规则：同码全部单字均在前3527之外，且最高二字词排名19626≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W213	piid	譬、劈柴	劈柴、譬	自动规则：同码全部单字均在前3527之外，且最高二字词排名19643≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W214	jixq	芰、芨、机修、藉	机修、芰、芨、藉	自动规则：同码全部单字均在前3527之外，且最高二字词排名19724≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W215	yjsr	黡、盐酸、演算、验算	盐酸、黡、演算、验算	自动规则：同码全部单字均在前3527之外，且最高二字词排名19841≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W216	lama	鞡、喇嘛、辣妈	喇嘛、鞡、辣妈	自动规则：同码全部单字均在前3527之外，且最高二字词排名19876≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W217	yuiy	尉、愚蠢、鱼唇	愚蠢、尉、鱼唇	自动规则：同码全部单字均在前3527之外，且最高二字词排名1703≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W218	jpfa	价、揭发、解法、解乏	揭发、价、解法、解乏	自动规则：同码全部单字均在前3527之外，且最高二字词排名5964≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W219	juee	醵、车、巨额	巨额、醵、车	自动规则：同码全部单字均在前3527之外，且最高二字词排名8606≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W220	uely	折、社论	社论、折	自动规则：同码全部单字均在前3527之外，且最高二字词排名12268≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W221	lcxq	落、老朽	老朽、落	自动规则：同码全部单字均在前3527之外，且最高二字词排名18825≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W222	iiii	尺、迟迟、痴痴、吃吃	尺、迟迟、痴痴、吃吃	按默认挂接版裁决保持原样：相撞词均为叠词，容易由完整语句挂接恢复；按既定原则，叠词默认不压过正常单字“尺”。	挂接版已复核：保持原样
G8C12-W223	yimn	蚁、疫苗、一秒	蚁、疫苗、一秒	按默认挂接版裁决保持原样：“疫苗”“一秒”常在完整长串中被挂接恢复；“蚁”具有蚁群、蚁后、蚁穴、具体蚁种等开放组合需求，其中“蚁群”等未必能由词库首选直接召回，必须保留单字首选。	挂接版已复核：保持原样
G8C12-W224	yrlc	怨、元老	元老、怨	配套单字裁决G8C12-C009：怨取得三码yrl后，原全码yrlc按出简让全让“元老”首选，怨保留全码次选；援退回yrlq首选、眢次选。	挂接版已复核：配套让位
G8C12-W225	qimg	欺、启蒙	欺、启蒙	按默认挂接版裁决保持原样：“欺”除欺负、欺骗、欺诈等固定词外，仍有欺君、欺师、欺弱等开放组合能力；“启蒙”可由启蒙教育、启蒙老师、思想启蒙等长串恢复。	挂接版已复核：保持原样
G8C12-W226	ielq	撤、车流	撤、车流	按默认挂接版裁决保持原样：“撤”既有撤回、撤退、撤销、撤离等开放组合，也可在“先撤、已经撤了、赶紧撤”等语境中完全单独作谓语；单字首选价值明显高于可由长串恢复的“车流”。	挂接版已复核：保持原样
G8C12-W227	julh	拘、巨浪	拘、巨浪	按默认挂接版裁决保持原样：“拘”可在拘了、被拘等语境中单用，也具有拘留、拘捕、拘押、拘泥、不拘等开放组合；“巨浪”更容易由完整长串恢复。	挂接版已复核：保持原样
G8C12-W228	jmxm	茧、艰险、剑仙	茧、艰险、剑仙	按默认挂接版裁决保持原样：“茧”具有蚕茧、虫茧、结茧、破茧及具体虫种、作品用语等开放组合；“艰险”“剑仙”更容易由完整长串或词库词条恢复。	挂接版已复核：保持原样
G8C12-W229	yull	俞、揄、雨量、余粮、余量、衣衫褴褛	俞、揄、雨量、余粮、余量、衣衫褴褛	按默认挂接版裁决保持原样：“俞”作为姓氏和人名用字具有开放专名组合需求；“雨量、余粮、余量”适合由降雨量、剩余粮食、剩余量等长串恢复。“揄”维持第二单字候选；同码四字词“衣衫褴褛”保持原位。	挂接版已复核：保持原样
G8C12-W230	yuuh	裕、遇上	裕、遇上	按默认挂接版裁决保持原样：“遇上”通常存在于刚好遇上、又遇上了、没想到遇上等完整句子中，挂接恢复能力强；“裕”具有充裕、富裕、宽裕及人名、公司名等开放组合需求。	挂接版已复核：保持原样
G8C12-W231	yuan	虞、饫、预案	预案、虞、饫	虞新增独占顺取无理码yuas后，原自然码yuan让高频词“预案”首选；虞、饫保持原相对顺序并整体后移一个候选位置，单字只让一个首选位置。	挂接版已复核：配套让位
G8C12-W232	yrtn	垣、远眺、袁	垣、远眺、袁	按默认挂接版裁决保持原样：“垣”无人名、地名、城垣及其他开放组合的稳定词库补救，需保留实际全码首选；“远眺”可由完整语境挂接恢复。“袁”已有三码yrt，在此按出简让全保留于词后。	挂接版已复核：保持原样
