码	调整前	调整后
kcuz	烤熟、靠手	靠手、烤熟
kcvi	烤制	烤制、烤炙
kcvu	烤猪	铐住、烤猪
kcxl	烤箱	烤箱、靠向
kdbk	看都不看	开兵、看都不看
kdbm	开编	开遍、开编
kdbu	开埠	开不、开埠
kdda	开打	开大、开打
kddh	开裆	开档、开裆
kddi	凯蒂、凯迪	凯迪、凯蒂
kddn	开吊	开掉、开吊
kddu	开赌	开度、开赌
kddv	快递地址、卡顿掉帧	开兑、快递地址、卡顿掉帧
kdfg	开封	开封、开锋
kdfu	开赴、开服	开服、开赴
kdgj	揩干	开干、揩干
kdgo	开国、开过、开锅	开过、开国、开锅
kdgz	开沟	开够、开沟
kdhe	开合	开盒、开合
kdhv	开会	开会、开回
kdig	开城	开成、开城
kdih	开场	开场、开敞
kdir	开船	开船、开串
kdji	开机	开机、开纪
kdjm	开建、开间	开间、开建
kdjn	开叫、开胶	开胶、开叫
kdjx	开价、铠甲、开架	铠甲、开价、开架
kdko	开阔	开阔、开扩
kdkx	锎、可大可小	锎、开胯、可大可小
kdkz	开口	开口、开扣
kdlb	看到了吧	凯琳、看到了吧
kdld	开来、困顿潦倒	困顿潦倒、开来
kdli	凯莉、凯丽、凯里、开立	凯丽、凯莉、凯里、开立
kdlk	凯迪拉克	开领、凯迪拉克
kdln	开聊	开料、开聊
kdlo	开罗	开罗、开咯
kdlw	凯勒	开累、凯勒
kdpd	开拍	开拍、开牌
kdpk	开屏、开瓶、开平	开瓶、开屏、开平
kdpn	开票	开票、开瓢
kdsa	凯撒	凯撒、恺撒
kdti	开题、楷体	楷体、开题
kdtn	塏	塏、开条
kdtp	勓	勓、开帖、开贴
kdtv	垲、看得太重	垲、开腿、看得太重
kdui	开始、开市、开释、扩大生产、扩大市场	开始、扩大生产、扩大市场、开市、开释
kduu	楷书、夸大事实	楷书、开书、夸大事实
kduz	开售	开售、开首
kdvc	宽大政策	开罩、宽大政策
kdvf	开诊	开阵、开诊
kdvg	开征、欬	开证、欬、开征
kdvu	克敌制胜	开著、克敌制胜
kdvz	扛鼎之作	开州、扛鼎之作
kdxl	开箱	开箱、开向
kdxr	凯旋	凯旋、开炫
kdxy	蒈	蒈、开训
kdyr	开元、开源、开园、开远	开源、开元、开园、开远
kdzi	凯子	凯子、开资、开子
keba	溘、磕巴	溘、磕巴、可把
kebu	可不、可怖	可怖、可不
keda	科大、可达、柯达	可达、科大、柯达
kedc	刻刀	可导、刻刀
kedd	可待、可带	可带、可待
kedi	克敌、科迪	科迪、克敌
kedv	客队	可对、客队
keer	科尔、科二	科二、科尔
kefh	客房	客房、可放
kegd	课改	课改、可改
keho	客货	客货、可获
kehu	客户	客户、可乎
kehx	刻画	刻画、刻划
keic	愙	愙、窠巢
keif	磕碜	磕碜、砢碜
keii	可耻	可耻、可吃
keij	渴而穿井	可产、渴而穿井
kejl	可将	可将、可讲
kejn	科教	科教、可叫
kejp	可解、䌀	可解、䌀、柯洁
kejq	窠臼、可就、碦	可就、窠臼、碦
kejr	课卷	课卷、苛捐
kejy	砢	砢、柯俊、克军
keke	苛刻、可可、咳咳、颗颗	苛刻、咳咳、可可、颗颗
keko	锞	锞、可扩
keld	克莱	可来、克莱
kele	可乐	可乐、渴了
keli	颗粒、克里	颗粒、可莉、克里
kell	可量	可凉、可量
kelq	客流、揢	客流、揢、可留
kelu	克鲁、刻录	刻录、克鲁
kelw	克雷	可累、克雷
kely	客轮	客轮、科伦
keni	可逆	可你、可逆
kepa	可怕、克	可怕、克、可啪
kepd	壳牌	可拍、壳牌
keqb	可亲	可亲、克勤
keqk	客卿	客卿、刻晴
keqn	可巧、柯桥	柯桥、可巧
kequ	可取	可取、可去
kesi	渴死	渴死、克斯
kesy	疴	疴、客损
keth	课堂、客堂	课堂、客堂、磕糖
ketu	客土、可图	可图、客土
keue	客舍	课设、客舍
keug	可生	可生、可升
keuh	客商	课上、刻上、客商
keuu	可数	可数、棵树
keuz	恪守	恪守、可售
kevg	苛政	苛政、可证
kevs	克重、刻	刻钟、刻、克重
kewf	课文	课文、可闻
kexk	可行、克星	克星、可行
kexy	可循、苛	可寻、苛、可循
keye	课业	可也、课业
keyi	可以、刻意、可疑、可意	可以、可疑、刻意、可意
keyu	课余	课余、可与
keyz	可有	可有、课友
kezd	刻在	刻在、可在
kezo	客座、可做	可做、客座
kezu	科组	科组、可组
kfdi	垦地	肯迪、垦地
kfdk	肯定、垦丁	肯定、啃腚、垦丁
kfdn	开发大脑	啃掉、开发大脑
kfgc	齦	齦、肯高
kfld	狂蜂浪蝶	肯来、狂蜂浪蝶
kfui	啃噬	啃食、啃噬
kfvy	口腹之欲、匡扶正义、狂风骤雨	狂风骤雨、匡扶正义、口腹之欲
kfyu	肯于	肯于、肯与
kgju	开工建设	坑距、开工建设
kgkg	坑坑	硁硁、坑坑
kgtn	坑	坑、坑条
kguj	客观实际、客观世界	客观世界、客观实际
kgvi	可贵之处	坑纸、可贵之处
kgww	旷古未闻	坑位、旷古未闻
khbc	抗暴	抗爆、抗暴
khbd	康柏、葵花宝典	葵花宝典、康柏
khbj	困惑不解	抗斑、困惑不解
khbm	抗辩	炕边、抗辩
khhv	康辉	康辉、康惠
khhy	抗婚	抗混、抗婚
khiy	开怀畅饮	糠醇、开怀畅饮
khji	抗击、考核奖惩	抗击、炕几、考核奖惩
khjm	康健	康健、抗检、抗碱
khjn	砊	砊、抗缴
khla	摃	摃、抗拉
khli	伉俪	伉俪、抗力
khlm	抗联	康联、抗联
khlp	空话连篇	抗裂、空话连篇
khmb	䗧	䗧、抗敏、慷民
khmk	抗命	抗命、康明
khmw	抗美	康美、抗美
khpd	考核评定	康派、考核评定
khug	抗生	抗生、亢盛
khuk	抗衰	抗摔、抗衰
khvi	可恨之处	抗旨、可恨之处
khww	康维	康威、康维
khxl	㼹	㼹、康翔
khxs	抗坏血酸	抗雄、抗坏血酸
khxy	客户协议	康讯、客户协议
kill	口齿伶俐、看出来了	看出来了、口齿伶俐
kjba	看吧	看吧、看罢
kjbc	看报	看报、看包
kjda	䀍	䀍、看打
kjdi	看低	看地、看低
kjdk	勘定	勘定、看定
kjdu	跨境电商	看读、跨境电商
kjfg	克己奉公	看疯、克己奉公
kjfj	砍翻	看番、砍翻
kjgv	科技工作者	看鬼、科技工作者
kjgx	空间构型	看卦、坎卦、空间构型
kjgz	科技工作	看够、科技工作
kjhc	看好、刊号	刊号、看好
kjhz	科技合作	看后、科技合作
kjjb	科技进步	看紧、看尽、科技进步
kjkj	看看、侃侃	看看、堪堪、侃侃
kjku	科举考试	看哭、科举考试
kjlz	看楼	看楼、看漏
kjma	看嘛	看嘛、看吗
kjmk	刊名	看命、刊名
kjmm	开机密码	看面、开机密码
kjqb	科技情报	看亲、科技情报
kjqk	看轻、看清	看清、看轻
kjqq	看球、瞰、矙	看球、瞰、矙、侃球
kjqr	䳚	䳚、看全
kjrf	看人	看人、砍人
kjtp	墈、看帖	墈、看帖、看贴
kjua	砍杀	看傻、砍杀、看啥
kjuh	看上	看上、砍伤
kjuj	看山	看山、侃山
kjuz	看守	看守、砍手
kjve	看着	看着、看者
kjvg	勘正	勘正、刊正
kjvs	看重、看中	看中、看重
kjxl	看相、看向、恐惧心理	看向、看相、恐惧心理
kjxx	砍下、看下	看下、砍下
kjya	看押	看押、看呀
kjyo	嵁	嵁、看哟
kjys	刊用	刊用、堪用
kjyy	开卷有益	看云、开卷有益
kjyz	堪忧	堪忧、刊有
kjzd	刊载	看在、刊载
kkbu	快步	快步、块布
kkdd	空空荡荡、苦苦等待	快带、苦苦等待、空空荡荡
kkdq	糩	糩、快丢
kkfw	可控范围	快飞、可控范围
kkgf	块根	快跟、块根
kkhh	快快活活	快航、快快活活
kkid	可靠程度	快拆、可靠程度
kkie	快车	快车、快撤
kkjn	慷慨解囊	快叫、慷慨解囊
kkmw	块煤	快没、块煤
kknl	刻苦耐劳、刻苦努力	刻苦努力、刻苦耐劳
kkoo	巜	巜、快哦
kkqk	看看情况	快请、看看情况
kkql	快枪	快抢、快枪
kkqm	块钱	块钱、快钱
kkru	快如	快如、快入
kkti	块体	块体、快替
kktn	块	块、快跳
kktp	塊	塊、快铁
kktv	㙕	㙕、快退
kkug	快生	快生、快升
kkuu	口口声声	快熟、口口声声
kkvv	苦苦挣扎	快追、苦苦挣扎
kkxq	苦苦相求	快修、苦苦相求
kkxx	开开心心、刻苦学习	快下、开开心心、刻苦学习
kkxy	快讯	快讯、快迅
kkyc	快要	快要、快摇
kkyj	开阔眼界	快烟、开阔眼界
kkzu	看看再说	快租、看看再说
klbj	苦乐不均	旷班、苦乐不均
klbu	看来不是	狂补、看来不是
kldh	哐当	哐当、狂荡
kldk	狂顶、框定	框定、狂顶
kldm	矿点	狂点、矿点
klds	矿洞	矿洞、狂动
klfu	匡复、匡扶	匡扶、匡复
klih	矿长、矿场	矿场、矿长
klii	快乐成长	狂吃、快乐成长
kljl	开了就是关了	狂降、开了就是关了
kllj	狂澜、快乐老家	狂澜、狂揽、快乐老家
kllm	狂恋	狂练、狂恋
kllp	狂烈	狂猎、狂烈
klmd	矿脉	狂买、矿脉、狂卖
klmn	矿苗	狂苗、矿苗
klnt	軠	軠、狂虐
klsc	懬	懬、狂扫
kltd	克里特岛	狂态、克里特岛
klti	矿体	矿体、狂踢
kltm	矿田	矿田、狂舔
klts	圹	圹、框筒
kltu	框图、狂徒	狂徒、框图
klua	矿砂、䯑	矿砂、䯑、狂杀
kluh	矿上	矿上、框上
klva	矿渣	矿渣、狂炸
klvi	矿质、旷职、可怜之处、可怜之人必有可恨之处	旷职、矿质、可怜之处、可怜之人必有可恨之处
klvr	可怜之人、鵟	狂转、鵟、狂赚、可怜之人
klxi	狂喜、快乐向前冲	狂喜、狂袭、快乐向前冲
klxx	可怜兮兮、快乐学习	狂下、可怜兮兮、快乐学习
klye	旷野、狂野、矿业	狂野、旷野、矿业
klyq	快乐源泉、看了一圈	看了一圈、快乐源泉
kmyb	快马扬鞭、快马一鞭	快马一鞭、快马扬鞭
kobh	濶	濶、扩帮
koji	扩及	扩及、阔肌
koqi	阔气	阔气、括起
krbu	款步	髋部、款步
krkl	宽旷	宽旷、宽框
krqx	抗日奇侠	抗日奇侠、款洽
krye	款爷、宽叶	宽叶、款爷
ksbw	空杯	空杯、恐被
ksdc	孔道	孔道、空岛、空刀
kser	空儿、空耳	空耳、空儿
ksfj	空泛、空翻	空翻、空泛
ksgc	控告、恐高	恐高、控告
ksgs	开锁公司	空宫、开锁公司
kshj	空喊	空喊、空焊
ksid	快速充电	控拆、快速充电
ksie	空车、空	空车、空、控车
ksig	空乘、空城	空城、空乘
ksih	空场、控场、空肠	控场、空场、空肠
ksjk	孔径	孔径、空镜、控精
ksjx	孔家	孔家、控价
ksle	控	控、空了、控了
ksly	空论	空论、空轮
ksmd	看似矛盾	控麦、看似矛盾
ksnh	㚚	㚚、空囊
ksnj	空难	空难、恐难、恐男
kspc	空炮、空泡、㤟	空泡、空炮、㤟
kspj	控盘	空盘、控盘
kspk	空瓶	空瓶、控评、空屏
ksql	空枪、空腔	空腔、空枪、控枪
ksqq	孔丘、控球	控球、孔丘
ksqy	亏损企业	空群、亏损企业
ksre	箜	箜、空惹
kssu	控诉、空速	控诉、空速、控速
kstd	快速通道	控台、快速通道
ksts	崆峒、空桶	空桶、恐同、崆峒
kstu	快速提升	控图、快速提升
kstz	空投、空头	空头、空投
ksuf	控申	孔深、控申
ksuu	空疏	孔数、空疏
ksuz	空手	空手、空守
ksvl	哭丧着脸	孔庄、哭丧着脸
ksvu	空竹	控住、空竹
kswu	空屋、空无	空无、空屋
ksxk	孔型、空行	空性、孔型、空行
ksxm	空闲	空闲、空弦
ksxt	空穴、孔穴	控血、空穴、孔穴
ksye	崆	崆、空页
ksyu	空域、空余	空余、空域
ktpd	开膛破肚、开天辟地	开天辟地、开膛破肚
kuai	酷爱	酷爱、苦艾
kuan	开始按钮、㠸	酷安、㠸、开始按钮
kubi	酷毙、苦逼	苦逼、酷毙
kuby	恪守不渝、开始表演、㵠	开始表演、恪守不渝、㵠
kucj	苦参	哭惨、苦参
kudr	苦短	苦短、库缎
kudu	苦读	苦读、苦度
kugo	苦果	哭过、苦果
kugx	苦瓜	苦瓜、裤褂
kuhu	看山还是山	酷虎、看山还是山
kuie	库车	库车、酷车
kuih	喾、枯肠、裤长	喾、裤长、枯肠
kuiy	窟	窟、苦春
kuji	枯寂	枯寂、酷极
kujl	矻	矻、酷匠
kujn	裤脚、哭叫	哭叫、裤脚
kule	苦了	哭了、苦了
kulw	苦累	苦累、酷蕾
kumc	可数名词	哭毛、可数名词
kumk	苦命	苦命、库名
kuqr	苦劝	苦劝、库券
kure	酷热	酷热、苦热
kuuz	枯瘦	枯瘦、苦手
kuvs	苦衷	苦衷、库中
kuvu	苦主、开始着手	苦主、枯竹、开始着手
kuxi	哭戏	哭戏、酷喜
kuxl	苦相	苦想、苦相
kuxm	裤线	裤线、酷现
kuxp	苦、䔯	苦、䔯、酷鞋
kuxq	枯朽、苦修	苦修、枯朽
kuxx	酷夏	哭瞎、酷夏
kuye	枯叶	枯叶、哭咽
kvba	潰	潰、魁拔、溃坝
kvdy	馗	馗、亏吨
kvfu	亏负	亏负、魁孚
kvgl	看着锅里	亏光、看着锅里
kvia	窺	窺、窥察
kvjp	匮竭	葵姐、匮竭
kvrj	喟然、岿然	岿然、喟然
kvsi	窥伺	窥伺、亏死
kvta	㙺	㙺、亏他
kvts	刲	刲、愧痛
kvve	亏折	亏着、亏折
kvxi	开展宣传	揆席、开展宣传
kvxj	空中小姐、可执行文件	可执行文件、空中小姐
kxbu	跨步、可惜不是	胯部、跨步、可惜不是
kxfu	夸父	跨服、夸父
kxgl	凯旋归来、科学管理	科学管理、凯旋归来
kxig	科学成果	跨城、科学成果
kxjp	跨界	跨界、跨接
kxju	科学技术、科学精神	跨距、科学技术、科学精神
kxll	康熙来了、科学理论	科学理论、康熙来了
kxni	开心农场	夸你、开心农场
kxpj	科学普及	跨盘、科学普及
kxvj	可笑之极	跨站、可笑之极
kxwj	科学无国界	夸完、科学无国界
kxxx	胯下	胯下、跨下
kxye	跨业	跨页、跨业
kxyj	科学依据、科学研究	科学研究、科学依据
kxyt	跨越	跨越、跨跃
kxzd	康熙字典	挎在、康熙字典
kxzo	跨、姱	跨、姱、跨坐
kybd	柯伊伯带、口语表达	口语表达、柯伊伯带
kybm	可以避免、科研部门	科研部门、可以避免
kyig	科研成果	捆成、科研成果
kykt	科研课题、锟、可盐可甜	可盐可甜、锟、科研课题
kyky	坤坤、快言快语、可以可以	坤坤、可以可以、快言快语
kyle	困了	困了、捆了
kytn	壼	壼、捆条
kyxt	菎	菎、困学
kyzd	困在	困在、稇载
kyzw	䠅	䠅、髡贼
kzbu	口部	口部、口布
kzdd	口袋	口袋、扣带
kzdn	扣掉	扣掉、抠掉
kzer	口耳、口儿	口儿、口耳
kzfu	口福、口服	口服、口福
kzhc	口号	口号、扣好
kzhv	口惠	扣回、口惠
kzig	口称	扣成、口称
kzji	叩击、口技	口技、叩击
kzjn	口角、口交、抠脚、扣缴	抠脚、口交、口角、扣缴
kzkz	快哉快哉、快走快走	扣扣、抠抠、快哉快哉、快走快走
kzqq	扣球	扣球、口球
kzqu	扣去	扣去、扣取
kztj	口谈	口谈、口痰
kztu	抠图	抠图、口吐
kzue	口舌	口舌、口射
kzuh	扣上	扣上、叩上
kzuz	口授	口授、扣手
kzxb	口信	口信、扣薪
kzxk	口型、口形	口型、口形、口醒
kzxq	蔻、蔲	蔻、蔲、口羞
kzxy	孔子学院	口讯、孔子学院
kzya	扣押、扣压	扣押、扣压、口牙
kzyj	扣眼	扣眼、口炎
kzzi	扣子、口子	口子、扣子
labj	蜡版	拉板、蜡版
ladc	拉倒	拉倒、拉到
ladg	拉登	拉登、拉灯
ladu	拉肚、恋爱大师	拉肚、辣度、恋爱大师
laer	拉尔	拉尔、腊尔
lafw	拉菲	拉菲、拉斐
lago	鑞	鑞、拉过
lags	离岸公司、㻝	拉弓、㻝、离岸公司
lagx	两岸关系	拉呱、两岸关系
lahl	蜡黄	蜡黄、拉簧
lahu	拉祜	拉忽、拉祜
lahv	懒癌患者	拉回、懒癌患者
laii	立案查处	辣翅、立案查处
lajb	拉近	拉近、拉进
lako	镴	镴、拉阔
laln	蜡疗	拉料、蜡疗
lamw	腊梅、拉美、辣妹、䗶	辣妹、腊梅、拉美、䗶
lapk	拉平	辣评、拉平
lapm	辣片	辣片、拉片
lauh	拉伤	拉上、拉伤
lavi	蜡质、拉直、蜡纸	拉直、蜡质、蜡纸
lavu	蜡烛、拉住	拉住、蜡烛
lawj	蜡丸	拉完、蜡丸
laxl	蜡像	蜡像、拉翔
laxm	拉线、拉纤	拉弦、拉线、拉纤
layz	蜡油、辣油	辣油、蜡油
lbbk	淋病、狼狈不堪	狼狈不堪、淋病
lbbw	潾、澟、凜	潾、澟、凜、林被、林北
lbgl	磷光	磷光、粼光
lbgr	林冠	临官、林冠
lbhe	林壑、临河	临河、林壑
lbho	磷火、啉	林火、啉、磷火
lbjn	兰博基尼	邻角、兰博基尼
lbjp	临界、临街、拉帮结派	临界、拉帮结派、临街
lblb	粼粼、凛凛、淋淋、琳琳	粼粼、凛凛、琳琳、淋淋
lble	临了	淋了、拎了、临了
lbli	邻里、淋漓、林立	淋漓、邻里、林立
lblu	履薄临深	林路、履薄临深
lblv	屡败屡战	淋滤、屡败屡战
lbqi	临期	临期、临泣
lbqy	两不情愿	林群、两不情愿
lbue	邻舍	邻舍、林舍
lbuv	临睡、临水	临水、临睡
lbuz	两把刷子	拎手、两把刷子
lbvh	㐭	㐭、临漳
lbwj	狼狈为奸	临晚、狼狈为奸
lbyr	林园	林园、临园
lbyu	淋浴、淋雨	淋雨、淋浴
lbzy	临别赠言	凛遵、临别赠言
lcai	老爱	老爱、嫪毐
lcba	老爸	老爸、老八
lcbm	老边	老边、老变
lcbw	老辈	老辈、老被
lccu	老粗、了此残生	老粗、老醋、了此残生
lcda	老大	老大、牢大
lcdj	老旦	老旦、老聃
lcee	醪	醪、老鹅
lcfa	劳乏	老发、劳乏
lcfj	劳烦、牢饭	劳烦、牢饭、老番
lcfu	老夫、老妇、老父	老妇、老夫、老父
lchc	老好、哰	老号、哰、老好
lchd	涝害	老孩、涝害
lche	老何	老何、老和
lchf	烙痕	老狠、烙痕
lchj	老汉、㗦	老汉、㗦、落汗
lcho	老火	老火、老货
lcig	老成、老城、㞠	老城、老成、㞠
lcih	老长	老长、老厂
lciz	老抽	老抽、老仇
lcjk	老景、老井	老井、老景
lcjp	老姐、老街、磱	老街、老姐、磱
lcjq	老酒、络、老旧、老九、老舅	老旧、络、老酒、老九、老舅
lcjy	劳军、老君	老君、劳军
lcla	劳拉、老辣	老辣、劳拉
lclc	姥姥、牢牢、㨓	牢牢、姥姥、㨓
lcli	劳力、老李	老李、劳力
lclq	老六、老刘	老刘、老六
lclu	老路、劳碌	劳碌、老路
lcmd	老迈	老迈、老麦
lcme	䵏	䵏、老么
lcpu	老仆	老仆、老铺
lcqi	老气、老七	捞起、老气、老七
lcqm	捞钱、老钱、老千	捞钱、老千、老钱
lcqu	老区、老去、捞取	老去、老区、捞取
lcsi	老四、老死	老死、老四
lctd	老态、老太	老太、老态
lcuf	劳神、老身	老身、劳神
lcuu	老鼠	老鼠、老书
lcvc	老赵	老赵、老招
lcve	老者	老者、捞着
lcvh	老丈、老张	老张、老丈
lcvs	老中	老钟、老中
lcvu	老朱、老猪	老猪、老朱
lcwh	老王、上老王论坛当老王	老王、老往、上老王论坛当老王
lcwj	老万	老万、老晚
lcwo	老挝、老窝	老窝、老挝
lcxb	劳心	劳心、老心
lcxk	劳形	老邢、劳形
lcxl	老乡、老相	老乡、老想、老相
lcxm	老仙	老仙、老先
lcxt	荖	荖、老血、老学
lcya	老鸦	老鸭、老鸦
lcyj	老眼、老严、㟹	老严、老眼、㟹
lczd	涝灾	老在、涝灾
ldbh	劳动保护	来帮、劳动保护
lddm	来电、来点	来点、来电
ldfa	倈	倈、来发
ldff	领导方法	来分、领导方法
ldfz	领导负责	来否、领导负责
ldgh	莱钢	莱钢、来港
ldgj	劳动工具	来干、劳动工具
ldgu	劳动果实	来古、劳动果实
ldgw	领导岗位	来给、领导岗位
ldgz	劳动改造、劳动工资	劳动工资、劳动改造
ldic	来潮	来朝、来潮
ldif	立地成佛	来沉、立地成佛
ldir	龙的传人	来穿、龙的传人
ldiy	领导成员	来春、领导成员
ldjg	领导机关、领导机构	领导机构、领导机关
ldjn	劳动技能	来叫、劳动技能
ldju	来得及时	来句、来得及时
ldjx	料敌机先	来家、料敌机先
ldjy	劳动教养、劳动就业	劳动就业、劳动教养
ldle	来了	来了、赖了
ldlj	零点零几、乱丢垃圾、六丁六甲	乱丢垃圾、零点零几、六丁六甲
ldma	来嘛	来吗、来嘛
ldmj	莱曼	莱曼、来慢
ldpi	赖皮	赖皮、癞皮
ldqk	老店欺客	来请、老店欺客
ldqu	来去、留得青山在不怕没柴烧、留得青山在，不怕没柴烧	来去、来取、留得青山在不怕没柴烧、留得青山在，不怕没柴烧
ldrc	理当如此	来绕、理当如此
ldru	狼多肉少	来入、狼多肉少
ldtk	来得太快、龙的天空	来听、来得太快、龙的天空
ldtn	来条	来条、来挑
ldtv	领导同志	来推、领导同志
ldui	来世、徕、来时、来势、落到实处	来世、徕、落到实处、来时、来势
ldux	陆地神仙	来耍、陆地神仙
ldvc	劳动仲裁、领导致辞	赖招、劳动仲裁、领导致辞
ldve	来者、来着	来着、来者
ldvi	来之	来之、来支
ldvj	来电转接	来战、来展、来电转接
ldvl	来到这里	来装、来到这里
ldvu	料敌制胜	来住、料敌制胜
ldwj	来玩、来晚	来晚、来玩
ldxi	莱西、莱、来袭	来袭、莱、莱西
ldxl	来想	来向、来想
ldxm	浪得虚名	来显、浪得虚名
ldxx	类地行星	来下、类地行星
ldya	崍、䲚、鯠	崍、䲚、鯠、来呀
ldyb	莱茵、利大于弊	来因、莱茵、利大于弊
ldye	略懂一二	来也、略懂一二
ldys	累得要死	来用、累得要死
ldyx	两点一线、两弹一星	两弹一星、两点一线
ldyy	乱点鸳鸯	来运、乱点鸳鸯
ldzi	来自、癞子、流动资产、牢底坐穿	来自、癞子、牢底坐穿、流动资产
ldzj	流动资金、老大自居	老大自居、流动资金
leby	乐而不淫、来而不往非礼也	来而不往非礼也、乐而不淫
lede	了得、乐得	乐得、了得
ledz	乐都	乐斗、乐都
leju	乐句	乐居、乐句
lele	乐乐、了了	乐了、乐乐、了了
leli	乐理	乐力、乐利、乐理
lemh	六耳猕猴	勒芒、六耳猕猴
lemi	乐迷	乐米、乐迷
lerj	了然	乐然、了然
leug	乐声	乐生、乐声
leuz	乐手	乐收、乐手
levi	了之、乐至	乐至、了之
lewf	乐而忘返	乐文、乐而忘返
lewu	乐舞、了无	了无、乐舞
lfhm	立方毫米、鸾凤和鸣	鸾凤和鸣、立方毫米
lfhu	流芳后世、绿肥红瘦	绿肥红瘦、流芳后世
lgbd	流感病毒	冷白、流感病毒
lgbj	六根不净	冷板、六根不净
lgfs	龙肝凤髓、六宫粉黛无颜色	六宫粉黛无颜色、龙肝凤髓
lggl	冷光	冷光、棱光
lgho	冷货	冷货、愣货
lgir	凉宫春日	冷川、凉宫春日
lgjq	碐	碐、冷就
lgmm	冷面	冷面、棱面
lgqq	睖	睖、冷秋
lgse	冷色	冷色、冷涩
lgtd	棱台、乐观态度	冷态、棱台、乐观态度
lgts	塄	塄、冷瞳
lgui	冷食、愣是	愣是、冷食
lgwl	里勾外连、里勾外联	里勾外联、里勾外连
lgxk	棱形	冷醒、棱形
lgxp	冷血	冷些、冷血
lgxq	两个星期、薐	冷袖、薐、两个星期
lgxu	论功行赏、两个小时、六个小时	两个小时、六个小时、论功行赏
lgyi	略高一筹	冷意、略高一筹
lgyj	冷艳、冷眼	冷眼、冷艳
lgyu	冷雨、冷遇、灵光一闪	冷雨、灵光一闪、冷遇
lhbc	浪、脸红脖子粗	浪、狼堡、脸红脖子粗
lhdc	廊道、誏	廊道、誏、朗道
lher	脸红耳热	狼儿、脸红耳热
lhfa	零回复惨案	浪法、零回复惨案
lhfg	浪峰	郎峰、浪峰
lhgc	琅、鋃	琅、鋃、浪高
lhgj	落后国家	琅玕、落后国家
lhhc	狼毫、狼嚎	狼嚎、狼毫
lhhz	唥	唥、狼吼
lhig	锒铛	狼城、锒铛
lhji	狼藉、浪迹	狼藉、狼籍、浪迹
lhjq	郎舅、郎酒	郎酒、郎舅
lhlh	朗朗、乐呵乐呵	朗朗、郎朗、乐呵乐呵
lhlq	来回来去、离婚冷静期	离婚冷静期、来回来去
lhmp	螂	螂、狼灭
lhrf	浪人、狼人	狼人、浪人
lhtj	良好条件	狼贪、良好条件
lhtz	榔头、浪头	浪头、榔头
lhuc	䯖	䯖、莨苕
lhuu	连环杀手	浪输、狼叔、连环杀手
lhvu	廊柱	狼蛛、廊柱
lhxk	狼性	狼性、狼行
lhxt	脸红心跳	狼血、脸红心跳
lhya	狼牙	狼牙、琅琊
lhyc	崀、㟍	崀、㟍、狼妖
lhys	浪涌	浪涌、狼用
lhzi	浪子	浪子、狼子
liba	篱笆、涖	篱笆、涖、犁耙
libd	礼拜、李白、立白	李白、礼拜、立白
libu	礼部、吏部、里程碑式	吏部、礼部、里程碑式
licd	理睬、理财、㦒	理财、理睬、㦒
lici	历次	历次、利刺
lidm	粴、糎	粴、糎、离店
lidn	连吃带拿	离掉、离调、连吃带拿
lido	力夺、利多	利多、力夺
lidz	粝	粝、里兜
lifu	礼服	礼服、梨脯
ligg	䥶、瓑	䥶、瓑、犁耕
ligr	立管、琍	立管、琍、礼官
ligs	理工、立功	立功、理工
lihc	利好	利好、理好
lihe	礼盒、离合	离合、礼盒
liho	罹祸、㗚	理货、㗚、罹祸
lihv	理会、例会	理会、例会、立绘
liil	流淌出来	力创、流淌出来
lijq	历久	利旧、历久
lijx	离家、例假	离家、李家、例假
lili	历历、莉莉、丽丽、粒粒	丽丽、历历、莉莉、粒粒
lilu	利禄	里路、利禄
limm	里面、里、立面、㼖、瓥	里面、里、力勉、㼖、瓥、立面
lipa	㯤	㯤、犁耙
lipg	李鹏、力捧、㻎	力捧、李鹏、㻎
lipn	豊	豊、礼票
liqk	沥青、理清、厘清	理清、沥青、厘清
liqy	离群、利群	利群、离群、礼裙
lirf	利刃、历任、丽人、离任、冷嘲热讽	利刃、冷嘲热讽、历任、丽人、离任
lisi	李斯、李四	李四、李斯
lisj	离散、磿	离散、磿、李三
lisr	痢、理算	痢、理算、历算
lito	塛	塛、力拓
litu	力图	力图、例图
liue	立射	丽舍、立射
liuf	立身	立身、离身
liug	厉声、立升、䙰	厉声、立升、䙰、立省
liuv	丽水、利税、沥水、溧水	丽水、沥水、利税、溧水
liuz	里手	离手、里手
livj	力战、流传至今	力战、里站、流传至今
liwj	力挽、流程文件	力挽、理完、流程文件
liwo	梨涡、棃、觻	离我、棃、觻、梨涡
liww	立委、秝	立威、秝、立委
lixb	离心、藜、蓠、立新	离心、藜、蓠、立新、李鑫、李信
lixm	历险、离线、䔆、荲	离线、历险、䔆、荲
lixp	荔、苈、沥血	荔、苈、里写、沥血
lixx	立夏、立下	立下、立夏
liyt	里约、立约	立约、里约、璃月
liyx	连成一线、临床医学	临床医学、连成一线
lizd	跞	跞、立在
lizs	理综	理综、李总
ljan	兰	兰、蓝桉
ljbn	理解不能、㳕	蓝标、㳕、理解不能
ljbu	滥捕、蓝布	蓝布、滥捕
ljcd	路经此地	滥采、路经此地
ljcs	历经沧桑、历尽沧桑	历尽沧桑、历经沧桑
ljdd	懒怠、蓝带	蓝带、懒怠
ljdg	蓝灯	蓝灯、兰登
