问题ID	原文摘录	状态	目标码表	格式	操作	原编码	原字词	新编码	新字词	目标候选位	备注	处理时间	处理结果	修改前SHA256	修改后SHA256
P0020-01	纠正P0018误解：绪是单字，不应额外加入xj；保留原全码xujq	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	删除	xj	绪				删除误加简码；xj后续候选自动前移，xujq保持不变	2026-09-01T21:09:04+10:00	删除 xj,2=绪	91fb7d602f7b4fcbe7c732a2d78c10125f4b72333c07d96bca84f10bb8ef918d	6fca71082d4a75e6fcf804c66970896b339e0d68e69a44edbc0d708c497eeaff
P0021-01	明确许久与绪的双码位规则：xujq首选为绪，许久及其他词顺延；xj首选为许久	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	调序	xujq	绪	xujq	绪	1	与原首选许久换位；xj保持许久、小姐、细节、下降	2026-09-01T22:18:06+10:00	xujq,2=绪 -> xujq,1=绪	6fca71082d4a75e6fcf804c66970896b339e0d68e69a44edbc0d708c497eeaff	aa0544c94690d9faa0584e880f2dabc0a82e9a543ef77695e5e664a4272e87e0
P0022-01	邦增加容错码bhw，按“丰”来拆	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	新增		邦	bhw	邦	1	保留自然码bhn、bhnp；不增加容错全码	2026-09-02T03:40:17+10:00	新增 bhw,1=邦	f20de35a656ca3282f4abf4e241376dabc24e0654eae7bb8d57341ea8d35e705	72ff23a886c4680b8051e10c4f19ac89339fcbf3fe022886b89ce856a4563c13
P0022-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	新增		邦	bhw	邦	1	原有简词不好玩、白话文、保护网、百合网依次后移；保留自然码bhn、bhnp	2026-09-02T03:40:17+10:00	新增 bhw,1=邦	a46772d00d3e02871c250209d1fa0b2414c00c5e5fb0368466a0f31b8b168c32	71c20bf204197ad22ecc1dfec6e0dd9f246a62567d6d9081afed1930dfe2e7e6
P0016-01	16，些和写，考虑互换位置，些来到二简 xpi来到三简，原有的xpi上的屑退到四码。然后，因为些成了二简，所以原本的xpg就空了出来，可以把斜给xpg	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	换位	xp / xpg / xpi	写 / 些 / 屑	xpi / xp / xpg	写 / 些 / 斜	1	些升二简、写退三简xpi（自然码前缀）、屑退全码xpiv、斜得三简xpg（自然码前缀）	2026-09-02T17:25:04+10:00	xp,1=些；xpi,1=写；xpg,1=斜；屑退xpiv	72ff23a886c4680b8051e10c4f19ac89339fcbf3fe022886b89ce856a4563c13	5c4d3b612aa6a77d81e9b5e620f9683c56da487ff2be4113cc0117428e01a6aa
P0016-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	换位	xp / xpg / xpi	写 / 些 / 屑	xpi / xp / xpg	写 / 些 / 斜	1	小时候、小苹果、橡皮管、修配厂候选位均不变；简词表无需改动	2026-09-02T17:25:04+10:00	xp：些、小时候；xpg：斜、小苹果、橡皮管；xpi：写、修配厂	71c20bf204197ad22ecc1dfec6e0dd9f246a62567d6d9081afed1930dfe2e7e6	0896209a43e4b69783e10dd8076e2efe525df63aa6a9f97454a3476afc1bfafd
P0017-01	17，gv的音，二简是贵，三简的gvm是空的，把贵也放在gvm上，二简三简都是贵	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	加码			gvm	贵	1	贵二简gv保留，增补三简gvm（全码gvmz自然前缀）；gvm原为空码	2026-09-02T19:50:14+10:00	新增gvm,1=贵	5c4d3b612aa6a77d81e9b5e620f9683c56da487ff2be4113cc0117428e01a6aa	ad0897d446b0203db754931aad5661effbc29d3d9a04004557bdeb667dc0985e
P0017-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	加码			gvm	贵	1	同步字词表；gv上贵、关注、各种候选序不变	2026-09-02T19:50:14+10:00	新增gvm,1=贵	0896209a43e4b69783e10dd8076e2efe525df63aa6a9f97454a3476afc1bfafd	6187a0cfe6c1c6f4063ce53b3be3b2ad983a1881e9283c3916a384b308c125b6
P0018-01	18，凡有二简且自然三简位无单字的字，一律三简位补该字，原有简词让位一位	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	批量加码			183个自然三简	对应二简字	1	95空码+88简词占位码全部补入；贵gvm(P0017)先行不重复计入	2026-09-02T20:55:58+10:00	新增183条三简，各码位单字唯一且居首	ad0897d446b0203db754931aad5661effbc29d3d9a04004557bdeb667dc0985e	6cc464eeb417d4f66b2338f9ba1ff6b5c86f602dc76841ef5fb6d0e8150bcd6b
P0018-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	批量加码			183个自然三简	对应二简字	1	88码位原简词顺延一位	2026-09-02T20:55:58+10:00	新增183条，居各码首选	6187a0cfe6c1c6f4063ce53b3be3b2ad983a1881e9283c3916a384b308c125b6	1f3be10cd7f76d5db024517cad9d85cd984814a2ae4bd7543343896a284768d6
P0018-03	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5简词表.tsv	TSV	移位	88码位204条简词	候选位n		候选位n+1		为183补字让出首位	2026-09-02T20:55:58+10:00	204条简词候选位+1	ce52dc3e025cf155a73ab54af1dd4e56639d4a18f53a188005d5620815ed4267	96668f1f6ac5c7feb60e29f34854838308449b5825682fd41b43d33700380fa3
