aaa=1,啊啊啊
fxv=2,副县长
fxv=3,发现者
fxw=1,飞行物
fxx=1,发消息
fxx=2,放下心
fxx=3,风险性
fxy=1,飞行员
fxy=2,法学院
fxy=3,分析员
fxz=1,浮现在
fxz=2,风信子
fxz=3,芳香族
fy=1,反应
fya=1,福原爱
fyb=1,风云榜
fyb=2,非一般
fyc=1,反义词
fyc=2,发洋财
fyc=3,飞燕草
fyd=1,发源地
fyd=2,反应堆
fyf=1,放一放
fyf=2,翻一番
fyg=1,发言稿
fyg=2,附庸国
fyh=1,负优化
fyh=2,反引号
fyi=1,反映出
fyi=2,翻译成
fyj=1,复印件
fyj=2,复印机
fyj=3,发邮件
fyk=1,反应快
fyl=1,反映了
fyl=2,防御力
fyl=3,非盈利
fym=1,反应慢
fym=2,复韵母
fyp=1,负一屏
fyp=2,翻译片
fyq=1,发言权
fyq=2,抚养权
fyq=3,服役期
fyr=1,发言人
fyr=2,抚养人
fyr=3,反应热
fys=1,飞也似
fys=2,风雅颂
fyt=1,菲亚特
fyu=1,复印室
fyv=1,风雨中
fyv=2,副院长
fyv=3,复印纸
fyw=1,非要我
fyw=2,敷衍我
fyx=1,防御性
fyx=2,发一下
fyx=3,法医学
fyy=1,发源于
fyy=2,发语音
fyy=3,沸羊羊
fyz=1,飞叶子
fz=1,房子
fz=2,负责
fz=3,否则
fzb=1,副总编
fzc=1,副总裁
fzd=1,复杂的
fzd=2,负责的
fzd=3,复杂度
fzf=1,房租费
fzf=2,痱子粉
fzf=3,肥皂粉
fzg=1,负罪感
fzh=1,复杂化
fzh=2,分组会
fzi=1,负资产
fzj=1,肥皂剧
fzl=1,放在了
fzl=2,父子俩
fzl=3,房子里
fzm=1,夫子庙
fzm=2,房祖名
fzp=2,肥皂泡
fzq=1,份子钱
fzq=2,发作期
fzr=1,负责人
fzr=2,负责任
fzs=2,分组赛
fzt=1,副总统
fzu=1,分子式
fzu=2,分子束
fzv=2,副组长
fzv=3,负增长
fzx=1,复杂性
fzx=2,发作性
fzy=1,副作用
fzy=2,反作用
fzy=3,负作用
gab=1,公安部
gab=2,国安部
gab=3,港澳办
gad=1,国奥队
gai=1,公安处
gaj=1,公安局
gaj=2,古埃及
gaj=3,国安局
gas=2,谷氨酸
gas=3,甘氨酸
gat=2,港澳台
gat=3,公安厅
gb=1,改变
gb=2,根本
gb=3,干部
gbb=1,干巴巴
gbc=1,嘎嘣脆
gbc=2,广播操
gbd=1,怪不得
gbd=2,顾不得
gbd=3,搞不懂
gbf=1,个办法
gbf=2,各部分
gbf=3,工本费
gbg=1,该不该
gbg=2,敢不敢
gbg=3,够不够
gbh=1,搞不好
gbh=2,该不会
gbh=3,更不会
gbi=1,搞不成
gbi=2,构不成
gbi=3,改编成
gbj=1,根本就
gbj=2,赶不及
gbj=3,广播剧
gbk=1,贵宾卡
gbl=1,改变了
gbl=2,过不了
gbl=3,管不了
gbm=1,各部门
gbm=2,官兵们
gbm=3,国标码
gbn=1,更不能
gbp=1,割包皮
gbq=1,过不去
gbq=2,搞不清
gbq=3,贵宾犬
gbr=1,给别人
gbr=2,跟别人
gbr=3,锅包肉
gbt=1,戈壁滩
gbt=2,更别提
gbt=3,胳膊腿
gbu=1,更别说
gbu=2,顾不上
gbu=3,跟不上
gbv=1,胳膊肘
gbv=2,管不着
gbv=3,管不住
gbw=1,各部委
gbw=2,广播网
gbw=3,官本位
gbx=1,根本性
gbx=2,鬼把戏
gbx=3,高帮鞋
gby=1,更不要
gby=2,更不用
gby=3,个把月
gbz=1,盖被子
gbz=2,光膀子
gbz=3,狗鼻子
gc=2,刚才
gcb=2,棺材板
gcb=3,公测版
gcc=1,高层次
gcc=2,光灿灿
gcd=2,观测到
gcf=2,构词法
gck=1,供参考
gcl=1,搞错了
gcm=2,干脆面
gcu=2,高材生
gcu=3,高才生
gcv=2,观测站
gcw=2,共存亡
gd=2,感到
gd=3,规定
gdb=2,古德拜
gdb=3,高蛋白
gdc=1,高档次
gdc=2,广东菜
gdc=3,古董瓷
gdd=1,更多的
gdd=2,搞得定
gdd=3,孤单单
gde=1,哥德尔
gdf=2,鬼地方
gdf=3,个地方
gdg=1,搞的鬼
gdg=2,孤独感
gdg=3,郭德纲
gdh=1,该多好
gdh=2,公道话
gdh=3,挂电话
gdi=1,干电池
gdj=2,赶得及
gdj=3,高等级
gdk=1,管得宽
gdl=1,感到了
gdl=2,搞定了
gdm=2,关帝庙
gdn=1,过大年
gdp=2,各党派
gdq=2,过得去
gdq=3,跟打器
gdr=2,更多人
gdr=3,古代人
gds=2,供电所
gdt=1,滚动条
gdu=2,高大上
gdu=3,顾得上
gdv=2,管得着
gdw=2,各单位
gdw=3,该单位
gdx=1,狗东西
gdx=2,个东西
gdx=3,公德心
gdy=2,干瞪眼
gdy=3,个多月
gdz=1,滚犊子
gdz=2,鬼点子
geb=1,过二百
ged=2,官二代
ged=3,狗耳朵
gef=1,高尔夫
gej=2,感恩节
gej=3,高尔基
gel=1,哥儿俩
gem=2,哥儿们
gey=2,孤儿院
gey=3,关二爷
gez=2,干儿子
gez=3,龟儿子
gf=2,官方
gf=3,功夫
gfb=1,官方版
gfb=2,国防部
gfd=1,广泛地
gfh=1,规范化
gfh=2,高仿号
gfi=1,工夫茶
gfi=2,郭富城
gfj=1,鼓风机
gfj=2,赶飞机
gfj=3,国防军
gfk=1,购房款
gfl=1,过分了
gfl=2,辜负了
gfl=3,鼓风炉
gfm=2,各方面
gfm=3,个方面
gfn=1,寡妇年
gfp=2,高分屏
gfq=1,高峰期
gfq=2,高发期
gfq=3,管风琴
gfr=1,贵妇人
gfs=2,咖啡色
gfu=1,高富帅
gfu=2,国防生
gfu=3,肝腹水
gfv=1,股份制
gfx=1,高风险
gfx=2,广泛性
gfx=3,规范性
gfy=1,搞副业
gfz=1,盖房子
gfz=2,高分子
gg=2,刚刚
gg=3,哥哥
ggb=2,公关部
ggc=2,广告词
ggd=2,高高的
ggd=3,乖乖地
gge=1,高个儿
gge=2,光棍儿
ggf=1,广告费
ggf=2,广告法
ggg=1,滚滚滚
ggg=2,嘎嘎嘎
ggg=3,高规格
ggh=1,刚刚好
ggh=2,规格化
ggj=1,咕咕叫
ggj=2,光棍节
ggj=3,更关键
ggk=1,观光客
ggk=2,刮刮卡
ggk=3,公共课
ggl=2,赶过来
ggl=3,尴尬了
ggm=1,干革命
ggn=1,乖乖女
ggn=2,肝功能
ggp=2,广告牌
ggp=3,改革派
ggq=2,赶过去
ggs=1,贵公司
ggs=2,该公司
ggt=2,观光团
ggt=3,狗骨头
ggu=1,广告商
ggu=2,供观赏
ggu=3,鬼故事
ggv=1,光顾着
ggv=2,改革者
ggv=3,观光者
ggw=2,拐个弯
ggx=2,高跟鞋
ggx=3,广告学
ggy=1,归功于
ggy=2,过过瘾
ggy=3,广告语
ggz=1,高个子
ggz=2,鬼谷子
gh=2,规划
ghb=1,高回报
ghb=2,高海拔
ghc=1,隔行词
ghd=2,更好的
ghd=3,更好地
ghe=1,干活儿
ghe=2,过会儿
ghf=1,鬼画符
ghf=2,挂号费
ghf=3,过户费
ghg=1,广寒宫
ghg=2,共和国
ghg=3,桂花糕
ghh=2,骨灰盒
ghi=2,勾画出
ghj=1,骨灰级
ghj=2,规划局
ghj=3,固化剂
ghk=1,更好看
ghk=2,更何况
ghl=1,赶回来
ghl=2,更好了
ghl=3,惯坏了
ghm=1,钢化膜
ghm=2,辜鸿铭
ghn=2,共患难
ghq=2,赶回去
ghu=2,干坏事
ghu=3,供货商
ghw=2,肝火旺
ghx=2,挂号信
ghx=3,关怀下
ghy=1,各行业
ghy=2,古汉语
ghz=2,古惑仔
ghz=3,乖孩子
gi=1,过程
gi=2,工程
gi=3,观察
gib=1,工程部
gib=2,工程兵
gib=3,高成本
gid=1,共产党
gid=2,观察到
gid=3,滚床单
gig=1,该成果
gih=1,国产化
gii=1,工程车
gii=2,国产车
gii=3,工程处
gij=1,歌唱家
gij=2,国产机
gij=3,工程机
gik=1,各厂矿
gil=1,改成了
gil=2,构成了
gil=3,工程量
gip=1,国产品
giq=1,滚出去
gis=1,观察所
git=1,高产田
giu=1,工程师
giu=2,逛超市
giu=3,狗吃屎
giv=1,过程中
giv=2,观察着
giv=3,观察者
giw=1,广场舞
giw=2,刚吃完
gix=1,工程学
gix=2,工程系
gix=3,供产销
giy=1,贯穿于
giy=2,观察员
giz=1,个锤子
gj=2,感觉
gj=3,国家
gja=2,宫颈癌
gjb=2,高脚杯
gjb=3,关禁闭
gjc=2,关键词
gjc=3,割韭菜
gjd=2,感觉到
gjd=3,根据地
gje=2,够劲儿
gjf=1,盖浇饭
gjf=2,国际范
gjf=3,过节费
gjg=2,哥几个
gjg=3,国际歌
gjh=2,感觉好
gjh=3,国际化
gji=2,公交车
gji=3,鬼见愁
gjj=1,公积金
gjj=2,过家家
gjj=3,国家级
gjk=1,公交卡
gjl=1,攻击力
gjl=2,高架路
gjl=3,工具类
gjm=2,关节面
gjm=3,郭敬明
gjn=2,过几年
gjn=3,关节囊
gjp=1,管家婆
gjp=2,跪键盘
gjq=2,高架桥
gjq=3,够交情
gjr=2,工具人
gjs=2,冠军赛
gjt=1,过几天
gjt=2,观景台
gjt=3,关节痛
gju=1,感觉上
gju=2,弓箭手
gju=3,关键是
gjv=2,公交站
gjw=2,归结为
gjw=3,干家务
gjx=2,感觉像
gjx=3,工具箱
gjy=1,关节炎
gjy=2,归咎于
gjy=3,归结于
gjz=2,关键字
gjz=3,关键在
gk=2,赶快
gk=3,公开
gkd=1,刚看到
gkd=2,搞快点
gkh=1,公开化
gkh=2,更可恨
gkj=1,高科技
gkj=2,刚看见
gkj=3,更快捷
gkk=1,公开课
gkl=1,赶快来
gkl=2,怪可怜
gkm=1,顾客们
gkp=1,更可怕
gkp=2,赶快跑
gkp=3,广口瓶
gkq=1,赶快去
gkq=2,港口区
gkq=3,国库券
gks=1,公开赛
gku=1,刚开始
gku=2,各科室
gkw=1,果壳网
gkx=1,公开信
gkx=2,概括性
gkz=1,赶快走
gl=2,过来
gl=3,管理
glb=1,哥伦布
glb=2,过两百
glb=3,佝偻病
glc=2,管理层
glc=3,关联词
gld=1,高利贷
gld=2,隔离带
gld=3,过滤掉
glf=1,过路费
glf=2,管理费
glf=3,锅炉房
glg=1,搞了个
glg=2,逛了逛
glg=3,管理岗
glh=1,过了会
glh=2,嘎拉哈
gli=1,勾勒出
gli=2,管理处
gli=3,公里处
glj=1,高露洁
glj=2,管理局
glj=3,古兰经
gll=1,过来了
gll=2,孤零零
gll=3,光溜溜
glm=1,格莱美
glm=2,古罗马
glm=3,够了吗
gln=1,过两年
gln=2,龚琳娜
glp=1,改良派
glp=2,瓜蒌皮
glq=2,管理器
glq=3,橄榄球
glr=2,过来人
glr=3,管理人
gls=1,过劳死
gls=2,管理所
glt=2,过两天
glt=3,格兰特
glu=1,橄榄树
glu=2,公路上
glu=3,公里数
glv=1,管理者
glv=2,橄榄枝
glv=3,过两招
glw=2,公路网
glx=1,过了些
glx=2,各类型
glx=3,管理学
gly=2,管理员
gly=3,橄榄油
glz=2,个例子
glz=3,过滤嘴
gm=1,革命
gm=2,感冒
gm=3,公民
gmb=1,搞明白
gmc=1,灌木丛
gmd=1,国民党
gmd=2,高密度
gmd=3,革命党
gme=1,哥们儿
gme=2,赶明儿
gmf=1,归谬法
gmg=1,鬼门关
gmh=1,规模化
gmh=2,观摩会
gmh=3,赶庙会
gmj=1,革命军
gmj=2,革命家
gmj=3,国民军
gmk=1,观摩课
gml=1,过马路
gml=2,购买力
gml=3,根目录
gmn=1,干嘛呢
gmp=1,擀面皮
gmp=2,革命派
gmq=1,冠名权
gmq=2,公民权
gmr=1,郭沫若
gmt=1,各媒体
gmt=2,关木通
gmt=3,鬼明堂
gmu=1,革命史
gmv=1,估摸着
gmv=2,擀面杖
gmv=3,购买者
gmw=1,个没完
gmw=2,刚忙完
gmx=1,革命性
gmx=2,个毛线
gmx=3,国民性
gmy=1,更没有
gmy=2,感冒药
gmy=3,过敏原
gmz=1,给面子
gmz=2,高帽子
gmz=3,各民族
gn=1,姑娘
gn=2,功能
gn=3,过年
gnb=1,跟你比
gnb=2,工农兵
gnb=3,功能表
gnc=1,狗奴才
gnc=2,国难财
gnd=1,给你的
gnd=2,给你点
gnd=3,高难度
gne=1,干女儿
gnf=1,归纳法
gnf=2,国内法
gng=1,概念股
gnh=1,过年好
gnh=2,概念化
gnh=3,高能耗
gni=1,归纳出
gnj=1,跟你讲
gnj=2,高年级
gnj=3,功能机
gnl=1,贾乃亮
gnm=1,给你们
gnm=2,跟你们
gnm=3,干你妈
gnn=1,姑奶奶
gnn=2,狗男女
gnn=3,搁哪呢
gnq=1,更年期
gnq=2,跟你去
gnq=3,过年前
gnt=1,功能图
gnu=1,跟你说
gnu=2,够你受
gnu=3,功能上
gnv=1,官能症
gnw=1,国内外
gnw=2,归纳为
gnx=1,功能性
gnx=2,概念性
gnx=3,功能型
gny=1,工农业
gny=2,国内游
gp=1,公平
gpb=1,高配版
gpb=2,光盘版
gpc=1,高频词
gpd=1,供配电
gpg=1,光屁股
gpg=2,狗皮膏
gph=1,搞破坏
gpi=1,跟屁虫
gpi=2,公平秤
gpm=1,瓜皮帽
gpt=1,高炮团
gpu=1,管培生
gpv=1,高品质
gpw=1,高品位
gpw=2,高品味
gpx=1,公平性
gpx=2,光谱学
gpx=3,股票型
gpy=1,够朋友
gpz=1,挂牌子
gpz=2,高频字
gq=1,过去
gq=2,感情
gq=3,歌曲
gqd=1,跟前的
gqd=2,过去的
gqd=3,感情的
gqi=1,搞清楚
gqj=1,国庆节
gqj=2,钢琴家
gqj=3,宫崎骏
gql=1,过去了
gql=2,刚起来
gql=3,关起来
gqm=1,更全面
gqm=2,关起门
gqm=3,鬼敲门
gqp=1,感情牌
gqq=1,钢琴曲
gqt=1,共青团
gqu=1,过去时
gqu=2,感情上
gqu=3,高情商
gr=2,果然
gr=3,个人
grb=1,光荣榜
grb=2,个人版
grd=2,公认的
grd=3,个人的
gri=2,管人痴
grj=2,给人家
grj=3,跟人家
grl=2,感染力
grl=3,感染率
grm=2,给人们
grm=3,工人们
grn=1,赶热闹
grq=2,共荣圈
grq=3,干扰球
gru=1,果然是
gru=2,个人史
grv=2,感染者
grw=2,公认为
grw=3,过任务
grx=1,感染性
grx=2,干扰项
gry=1,更容易
gry=2,古人云
grz=1,过日子
gs=2,告诉
gs=3,公司
gsb=2,过三百
gsb=3,过四百
gsc=1,公孙策
gsd=1,该死的
gsd=2,敢死队
gsd=3,高速度
gsf=1,公司法
gsi=1,姑苏城
gsi=2,钢丝床
gsl=2,告诉了
gsl=3,高速路
gsn=2,告诉你
gsq=2,钢丝球
gsr=2,公诉人
gst=2,告诉他
gst=3,告诉她
gsu=1,钢丝绳
gsu=2,甘肃省
gsv=1,跟随着
gsv=2,高素质
gsw=2,告诉我
gsy=1,硅酸盐
gt=1,共同
gt=2,沟通
gta=1,给他爱
gtb=1,改天吧
gtb=2,灌汤包
gtb=3,跟他比
gtc=1,感叹词
gtc=2,改套餐
gtd=1,给他的
gtd=2,共同的
gtd=3,共同点
gte=1,个头儿
gte=2,赶趟儿
gte=3,高挑儿
gtf=1,刮台风
gtf=2,哥特风
gtf=3,宫廷风
gth=1,感叹号
gth=2,个体户
gth=3,罐头盒
gti=1,共同处
gti=2,钢铁厂
gtj=1,国土局
gtj=2,跟他讲
gtj=3,感叹句
gtl=1,改天聊
gtl=2,古天乐
gtm=1,给他们
gtm=2,跟他们
gtm=3,干他妈
gtn=1,管他呢
gtq=1,光头强
gtq=2,港台腔
gtr=1,高投入
gts=1,古铜色
gtt=1,光秃秃
gtt=2,共同体
gtt=3,鬼探头
gtu=1,跟他说
gtu=2,跟她说
gtu=3,哥特式
gtv=1,高铁站
gtv=2,高通胀
gtx=1,钢铁侠
gtx=2,共同性
gtx=3,观天象
gtz=1,改天再
gtz=2,狗腿子
gu=2,故事
gu=3,感受
gub=2,给双倍
guc=2,古诗词
guc=3,更深层
gud=2,感受到
gud=3,归属地
guf=2,工时费
guf=3,高帅富
gug=2,归属感
guh=2,更适合
guh=3,古时候
gui=1,过山车
guj=2,赶时间
guj=3,工商局
guk=2,更深刻
guk=3,挂绳孔
gul=2,概率论
gul=3,感受力
gum=2,干什么
gum=3,搞什么
gup=2,高水平
gup=3,高射炮
guq=2,搞事情
guq=3,个事情
gur=2,过生日
gur=3,更深入
guu=2,高山上
guu=3,怪蜀黍
guv=2,感受着
guv=3,更甚者
guw=2,古生物
guw=3,古诗文
gux=1,观赏性
gux=2,故事性
gux=3,共时性
guy=1,狗屎运
guy=2,高收益
guy=3,更适应
guz=2,高山族
gv=2,关注
gv=3,观众
gva=1,港珠澳
gvb=2,公主抱
gvb=3,公主病
gvd=2,鬼知道
gvd=3,关注度
gvg=2,冠状沟
gvh=2,公众号
gvi=1,公证处
gvj=2,光着脚
gvj=3,干着急
gvl=2,高质量
gvl=3,关之琳
gvr=2,公证人
gvr=3,各种人
gvt=1,观众台
gvu=1,广州市
gvu=2,高中生
gvu=3,高智商
gvv=1,个正着
gvw=2,胳肢窝
gvx=2,观众席
gvx=3,感召下
gvy=2,更重要
gvy=3,弓着腰
gvz=1,过阵子
gvz=2,管住嘴
gw=2,各位
gw=3,国王
gwb=1,公文包
gwb=2,狗尾巴
gwc=1,狗尾草
gwd=1,给我的
gwd=2,格外的
gwd=3,购物袋
gwe=1,够味儿
gwg=1,过五关
gwh=1,管委会
gwh=2,古文化
gwi=2,购物车
gwj=1,歌舞剧
gwj=2,港务局
gwl=1,怪我咯
gwl=2,跟我来
gwm=1,给我们
gwm=2,跟我们
gwm=3,古文明
gwq=1,购物券
gwq=2,国务卿
gwr=1,光污染
gws=1,格瓦斯
gwt=1,个问题
gwt=2,歌舞厅
gwt=3,歌舞团
gwu=1,个位数
gwu=2,跟我说
gwu=3,岗位上
gww=1,沟洼洼
gwy=1,公务员
gwy=2,国务院
gwy=3,宫外孕
gwz=1,瓜娃子
gwz=2,古文字
gx=2,关系
gx=3,高兴
gxa=1,更喜爱
gxb=1,干细胞
gxb=2,共享版
gxb=3,冠心病
gxd=2,关系到
gxd=3,高兴的
gxf=2,高消费
gxh=2,个性化
gxh=3,更喜欢
gxi=1,搞宣传
gxj=2,盥洗间
gxj=3,裹小脚
gxk=1,各学科
gxl=1,高效率
gxl=2,更新了
gxl=3,公信力
gxn=1,高性能
gxn=2,恭喜你
gxn=3,感谢你
gxp=1,革新派
gxq=2,感兴趣
gxq=3,个星期
gxr=1,怪吓人
gxr=2,广西人
gxr=3,公休日
gxs=1,干休所
gxs=2,高晓松
gxt=2,过些天
gxt=3,高血糖
gxu=1,更像是
gxu=2,管闲事
gxu=3,个小时
gxv=1,关系着
gxv=2,光想着
gxw=2,关系网
gxx=1,感谢信
gxx=2,怪现象
gxy=1,更需要
gxy=2,高血压
gxy=3,管弦乐
gxz=2,工薪族
gy=2,关于
gy=3,公园
gyb=1,雇佣兵
gyb=2,过一遍
gyb=3,滚一边
gyc=1,各一次
gyc=2,卦爻辞
gyd=2,故意的
gyd=3,过于的
gyg=1,更应该
gyg=2,高压锅
gyg=3,过一个
gyh=1,过一会
gyh=2,工业化
gyh=3,肝硬化
gyi=2,关云长
gyi=3,鬼压床
gyj=1,雇佣军
gyj=2,冠亚军
gyj=3,工业级
gyl=2,给予了
gyl=3,够用了
gym=1,观音庙
gym=2,搞阴谋
gyp=1,工艺品
gyp=2,工业品
gyp=3,干一票
gyq=1,公元前
gyq=2,感应器
gyq=3,工业区
gys=2,够意思
gyt=1,葛优躺
gyt=2,挂羊头
gyu=1,更衣室
gyu=2,供应商
gyu=3,公约数
gyv=1,更严重
gyv=2,过一阵
gyv=3,概言之
gyw=2,关于我
gyx=2,改一下
gyx=3,过一些
gyy=1,工业园
gyy=2,个原因
gyy=3,归因于
gz=2,工作
gz=3,工资
gza=2,个子矮
gzb=1,工资表
gzb=2,工作表
gzb=3,工作簿
gzc=1,工作餐
gzd=1,狗仔队
gzd=2,工作队
gzd=3,工资单
gzf=2,工作服
gzf=3,公租房
gzg=1,公子哥
gzg=2,够资格
gzg=3,更糟糕
gzh=2,国字号
gzh=3,冠字号
gzi=2,工作处
gzj=2,给自己
gzj=3,跟自己
gzk=2,工作狂
gzk=3,工资卡
gzl=1,骨子里
gzl=2,工作量
gzl=3,瓜子脸
gzm=2,该怎么
gzq=2,工作区
gzq=3,干燥器
gzr=2,工作日
gzr=3,瓜子仁
gzt=1,高姿态
gzt=2,工作台
gzu=2,工作室
gzu=3,刽子手
gzv=1,工作者
gzv=2,工作中
gzv=3,狗杂种
gzw=2,国资委
gzx=1,干燥箱
gzy=1,该怎样
gzy=2,归罪于
gzy=3,过嘴瘾
gzz=1,工作组
gzz=2,狗崽子
ha=2,黑暗
ham=1,皇阿玛
ham=2,黑暗面
han=1,核按钮
hau=2,毫安时
hau=3,淮安市
hav=1,黑暗中
hav=2,昏暗中
hax=1,海岸线
hax=2,惠安县
hb=1,伙伴
hba=1,好棒啊
hbb=1,汉堡包
hbb=2,黑板报
hbb=3,好宝贝
hbc=1,还不错
hbc=2,很不错
hbc=3,黑板擦
hbd=1,恨不得
hbd=2,还不多
hbd=3,回不到
hbf=1,好办法
hbg=1,还不够
hbg=2,活不过
hbg=3,哈巴狗
hbh=1,会不会
hbh=2,好不好
hbh=3,很不好
hbi=1,喝杯茶
hbi=2,后半场
hbi=3,活不长
hbj=1,会比较
hbj=2,后半句
hbj=3,红白机
hbk=1,还不快
hbk=2,还包括
hbk=3,后半块
hbl=1,回不来
hbl=2,回报率
hbl=3,划不来
hbm=1,伙伴们
hbn=1,还不能
hbn=2,恨不能
hbn=3,何必呢
hbp=1,还不怕
hbp=2,黑白片
hbq=1,很抱歉
hbq=2,回不去
hbq=3,还不清
hbr=1,还不如
hbs=1,灰白色
hbt=1,好变态
hbt=2,好半天
hbu=1,还不是
hbu=2,还不少
hbu=3,后半生
hbv=1,还不止
hbv=2,还不知
hbv=3,黑白照
hbw=1,花不完
hbw=2,汉堡王
hbw=3,还不晚
hbx=1,后备箱
hbx=2,还不行
hbx=3,还必须
hby=1,后半夜
hby=2,很必要
hby=3,汉白玉
hbz=1,活靶子
hcc=1,汗涔涔
hcc=2,黄灿灿
hch=1,还凑合
hcj=1,好刺激
hck=1,海词库
hcm=2,很聪明
hct=2,好彩头
hcu=1,喝彩声
hcy=1,鹤草芽
hd=2,获得
hd=3,很多
hda=2,河对岸
hdb=1,很多遍
hdb=2,画大饼
hdb=3,合订本
hdc=1,喝倒彩
hdc=2,很多次
hdc=3,好多次
hdd=1,好端端
hdd=2,很大的
hdd=3,黄赌毒
hdf=1,好地方
hdf=2,好打发
hdg=1,很多个
hdg=2,好多个
hdh=1,划等号
hdh=2,好得很
hdh=3,好的话
hdi=1,海盗船
hdi=2,换电池
hdj=2,回到家
hdj=3,蝴蝶结
hdl=2,获得了
hdl=3,好多了
hdm=1,横断面
hdn=1,很多年
hdn=2,好多年
hdn=3,好的呢
hdo=1,好的哦
hdp=2,幻灯片
hdp=3,喝断片
hdq=1,很多钱
hdq=2,花点钱
hdq=3,红灯区
hdr=2,很多人
hdr=3,好多人
hdt=2,很多天
hdt=3,红地毯
hdu=1,还得是
hdu=2,很多事
hdu=3,很懂事
hdv=2,很多种
hdv=3,获得者
hdw=1,很到位
hdx=1,好东西
hdx=2,坏东西
hdx=3,互动性
hdy=1,还得要
hdz=2,护犊子
hdz=3,黄段子
heb=2,哈尔滨
hej=2,华尔街
hej=3,猴儿精
hem=2,荷尔蒙
hen=2,皇额娘
hew=2,孩儿王
hez=1,华尔兹
hf=2,恢复
hf=3,回复
hfb=1,很方便
hfb=2,好方便
hfd=1,恢复到
hfd=2,还房贷
hfd=3,核发电
hff=2,好方法
hff=3,后付费
hfh=1,火凤凰
hfh=2,黄飞鸿
hfh=3,合法化
hfi=1,混饭吃
hfi=2,划分出
hfi=3,化粪池
hfl=1,恢复了
hfl=2,黑凤梨
hfl=3,核废料
hfm=1,霍夫曼
hfn=1,黄蜂女
hfp=1,护肤品
hfq=1,恢复期
hfs=1,护发素
hfs=2,海飞丝
hfu=1,核辐射
hfu=2,合肥市
hfu=3,红富士
hfv=2,寒风中
hfv=3,黑非洲
hfw=1,划分为
hfx=1,后防线
hfx=2,合法性
hfx=3,挥发性
hfy=1,核反应
hfy=2,挥发油
hfz=1,很复杂
hfz=2,韩非子
hfz=3,好复杂
hg=2,韩国
hgb=1,化工部
hgd=1,好感度
hgd=2,花骨朵
hgd=3,哈工大
hge=2,火罐儿
hgf=1,黑寡妇
hgg=1,好哥哥
hgh=1,回个话
hgh=2,话赶话
hgi=1,化工厂
hgj=1,很关键
hgj=2,很感激
hgj=3,烘干机
hgk=2,海蛤壳
hgl=1,缓过来
hgl=2,花光了
hgl=3,红高粱
hgm=2,好哥们
hgm=3,会过面
hgn=1,还给你
hgn=2,灰姑娘
hgn=3,花姑娘
hgp=1,合格品
hgq=2,昏过去
hgr=2,韩国人
hgr=3,回锅肉
hgs=2,核苷酸
hgs=3,红骨髓
hgt=2,回过头
hgt=3,还给他
hgu=1,回过神
hgu=2,花果山
hgu=3,回过身
hgv=2,合格证
hgw=2,还给我
hgw=3,回过味
hgx=1,很高兴
hgx=2,很感谢
hgx=3,很关心
hgy=1,很过瘾
hgy=2,花岗岩
hgy=3,核工业
hgz=1,汉高祖
hh=2,哈哈
hh=3,好好
hhb=1,还好吧
hhb=2,豪华版
hhb=3,好伙伴
hhc=1,黄花菜
hhd=1,好好的
hhd=2,狠狠地
hhd=3,恨恨地
hhe=2,红孩儿
hhf=1,何海峰
hhf=2,换行符
hhg=1,红河谷
hhg=2,黄花岗
hhh=1,哈哈哈
hhh=2,黑乎乎
hhh=3,呵呵呵
hhi=2,很好吃
hhi=3,好好吃
hhj=1,恍惚间
hhj=2,航海家
hhj=3,哈哈镜
hhk=2,很好看
hhk=3,好好看
hhl=1,黄鹤楼
hhl=2,红黄蓝
hhl=3,黄昏恋
hhn=1,寒号鸟
hhq=1,混合器
hhr=1,合伙人
hhs=1,很划算
hhs=2,红褐色
hhs=3,黄褐色
hht=2,很好听
hht=3,好好听
hhu=1,挥挥手
hhu=2,欢呼声
hhu=3,活化石
hhv=1,混合着
hhv=2,回合制
hhv=3,呼唤着
hhw=2,好好玩
hhw=3,化合物
hhx=1,哈哈笑
hhx=2,好好学
hhx=3,很好笑
hhy=2,还会有
hhy=3,后花园
hhz=1,好孩子
hhz=2,还会在
hhz=3,坏孩子
hi=1,好吃
hi=2,火车
hi=3,好处
hib=1,后撤步
hib=2,何尝不
hib=3,火柴棒
hic=1,合成词
hid=1,好吃的
hid=2,缓冲带
hid=3,合唱队
hie=1,话茬儿
hif=1,很充分
hif=2,好处费
hig=1,很成功
hig=2,火柴棍
hih=1,护城河
hih=2,黑吃黑
hih=3,化成灰
hii=1,昏沉沉
hii=2,黑沉沉
hii=3,黄澄澄
hij=1,好成绩
hij=2,很吃惊
hij=3,很常见
hil=1,缓冲力
hip=1,火车票
hip=2,海产品
hiq=1,豁出去
hiq=2,缓冲区
hiq=3,缓冲期
hit=1,火车头
hit=2,合唱团
hiu=1,火车上
hiu=2,候车室
hiv=1,火车站
hiv=2,怀揣着
hiv=3,黑长直
hiy=1,还处于
hiy=2,很诧异
hj=2,回家
hj=3,环境
hjb=2,核聚变
hjb=3,好几遍
hjc=2,好几次
hjd=2,很久的
hjd=3,还记得
hjf=2,胡椒粉
hjf=3,海景房
hjg=2,好几个
hjg=3,活见鬼
hjh=2,好家伙
hjh=3,好机会
hji=1,话家常
hji=2,好交差
hjj=2,好解决
hjj=3,汗津津
hjl=1,好极了
hjl=2,含金量
hjl=3,环境里
hjm=2,哈基米
