问题ID	原文摘录	状态	目标码表	格式	操作	原编码	原字词	新编码	新字词	目标候选位	备注	处理时间	处理结果	修改前SHA256	修改后SHA256
P0020-01	纠正P0018误解：绪是单字，不应额外加入xj；保留原全码xujq	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	删除	xj	绪				删除误加简码；xj后续候选自动前移，xujq保持不变	2026-09-01T21:09:04+10:00	删除 xj,2=绪	91fb7d602f7b4fcbe7c732a2d78c10125f4b72333c07d96bca84f10bb8ef918d	6fca71082d4a75e6fcf804c66970896b339e0d68e69a44edbc0d708c497eeaff
P0021-01	明确许久与绪的双码位规则：xujq首选为绪，许久及其他词顺延；xj首选为许久	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	调序	xujq	绪	xujq	绪	1	与原首选许久换位；xj保持许久、小姐、细节、下降	2026-09-01T22:18:06+10:00	xujq,2=绪 -> xujq,1=绪	6fca71082d4a75e6fcf804c66970896b339e0d68e69a44edbc0d708c497eeaff	aa0544c94690d9faa0584e880f2dabc0a82e9a543ef77695e5e664a4272e87e0
P0016-01	16，些和写，考虑互换位置，些来到二简 xpi来到三简，原有的xpi上的屑退到四码。然后，因为些成了二简，所以原本的xpg就空了出来，可以把斜给xpg	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	换位	xp / xpg / xpi	写 / 些 / 屑	xpi / xp / xpg	写 / 些 / 斜	1	些升二简、写退三简xpi（自然码前缀）、屑退全码xpiv、斜得三简xpg（自然码前缀）	2026-09-02T17:25:04+10:00	xp,1=些；xpi,1=写；xpg,1=斜；屑退xpiv	72ff23a886c4680b8051e10c4f19ac89339fcbf3fe022886b89ce856a4563c13	5c4d3b612aa6a77d81e9b5e620f9683c56da487ff2be4113cc0117428e01a6aa
P0016-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	换位	xp / xpg / xpi	写 / 些 / 屑	xpi / xp / xpg	写 / 些 / 斜	1	小时候、小苹果、橡皮管、修配厂候选位均不变；简词表无需改动	2026-09-02T17:25:04+10:00	xp：些、小时候；xpg：斜、小苹果、橡皮管；xpi：写、修配厂	71c20bf204197ad22ecc1dfec6e0dd9f246a62567d6d9081afed1930dfe2e7e6	0896209a43e4b69783e10dd8076e2efe525df63aa6a9f97454a3476afc1bfafd
P0017-01	17，gv的音，二简是贵，三简的gvm是空的，把贵也放在gvm上，二简三简都是贵	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	加码			gvm	贵	1	贵二简gv保留，增补三简gvm（全码gvmz自然前缀）；gvm原为空码	2026-09-02T19:50:14+10:00	新增gvm,1=贵	5c4d3b612aa6a77d81e9b5e620f9683c56da487ff2be4113cc0117428e01a6aa	ad0897d446b0203db754931aad5661effbc29d3d9a04004557bdeb667dc0985e
P0017-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	加码			gvm	贵	1	同步字词表；gv上贵、关注、各种候选序不变	2026-09-02T19:50:14+10:00	新增gvm,1=贵	0896209a43e4b69783e10dd8076e2efe525df63aa6a9f97454a3476afc1bfafd	6187a0cfe6c1c6f4063ce53b3be3b2ad983a1881e9283c3916a384b308c125b6
P0018-01	18，凡有二简且自然三简位无单字的字，一律三简位补该字，原有简词让位一位	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	批量加码			183个自然三简	对应二简字	1	95空码+88简词占位码全部补入；贵gvm(P0017)先行不重复计入	2026-09-02T20:55:58+10:00	新增183条三简，各码位单字唯一且居首	ad0897d446b0203db754931aad5661effbc29d3d9a04004557bdeb667dc0985e	6cc464eeb417d4f66b2338f9ba1ff6b5c86f602dc76841ef5fb6d0e8150bcd6b
P0018-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	批量加码			183个自然三简	对应二简字	1	88码位原简词顺延一位	2026-09-02T20:55:58+10:00	新增183条，居各码首选	6187a0cfe6c1c6f4063ce53b3be3b2ad983a1881e9283c3916a384b308c125b6	1f3be10cd7f76d5db024517cad9d85cd984814a2ae4bd7543343896a284768d6
P0018-03	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5简词表.tsv	TSV	移位	88码位204条简词	候选位n		候选位n+1		为183补字让出首位	2026-09-02T20:55:58+10:00	204条简词候选位+1	ce52dc3e025cf155a73ab54af1dd4e56639d4a18f53a188005d5620815ed4267	96668f1f6ac5c7feb60e29f34854838308449b5825682fd41b43d33700380fa3
P0019-01	19，wubd首选居然是伍佰，应该是五百	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	换位	wubd,1 / wubd,4	伍佰 / 五百	wubd,4 / wubd,1	五百 / 伍佰	1	中间两词位置不变	2026-09-02T21:02:07+10:00	wubd：五百、为数不多、无事不登三宝殿、伍佰	1f3be10cd7f76d5db024517cad9d85cd984814a2ae4bd7543343896a284768d6	089b0b0049844d0fa1d673908c7aec7cc630dc63276206efeb4ae19683c6a8b0
P0020-01	20，加耒根于n键，首根位无痛；尾位9字换码	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	批量改码	9字尾位旧码	耒诔誄洡䒹銇㑍筙䋘	9字新码	同左		耒lwno→lwnn 诔/誄lwdo→lwdn(居类后) 洡lwbo→lwbn 䒹lwxo→lwxn 銇lwgo→lwgn 㑍lwfo→lwfn 筙ldro→ldrn 䋘iojo→iojn；简码lwn/lwd不动仍为前缀	2026-09-02T22:45:55+10:00	见备注；耕族51字首根同键不变码	6cc464eeb417d4f66b2338f9ba1ff6b5c86f602dc76841ef5fb6d0e8150bcd6b	284c47da536b03771e53a0faf5249ef03e28b8ca18ee8547dbe0d67594574abb
P0020-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	批量改码	同上	同上	同上	同上		同步字词表	2026-09-02T22:45:55+10:00	同上	089b0b0049844d0fa1d673908c7aec7cc630dc63276206efeb4ae19683c6a8b0	b770bf93670849a3cac78b208630623a532573c5729cc9d7696abc3f145de852
P0021-01	21，发拆分bug：折八又应为折撇又点，末根又→点	已修复	work/重开工程/02_规范拆分/最终规范拆分表_待核验.tsv	TSV	改拆分	折＋八＋又	发拨泼废袯酦䥽	折＋撇＋又＋点	同左		末根列又→点	2026-09-04T21:20:37+10:00	7字拆分修正		
P0021-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	批量改码	7字末码q	发拨泼废袯酦䥽	7字末码a	同左		发faoq→faoa 拨bolq→bola(居拨拉前) 泼pobq→poba 废fwsq→fwsa(居飞洒前) 袯bouq→boua(末) 酦poeq→poea(末) 䥽pokq→poka(钋后)；一简f、三简fws保留仍为前缀；错拆bug废旧码	2026-09-04T21:20:37+10:00	见备注	284c47da536b03771e53a0faf5249ef03e28b8ca18ee8547dbe0d67594574abb	dda7a52de3eb139c7c7a1bdb49916747c8402216419203b7ed9e5da1f792a9ea
P0021-03	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	批量改码	同上	同上	同上	同上		同步字词表；发拨泼废居新码位首选	2026-09-04T21:20:37+10:00	见备注	b770bf93670849a3cac78b208630623a532573c5729cc9d7696abc3f145de852	f3a6754f8ef726482fa001164fff0cd0330374cf9871ca9143c0567e3a8e70c0
P0022-01	22，一开头二字词一律次选起排，串内按词频	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	批量移位	206码位原序	一开头二字词	首选归第一个非一词条目，二字词串自第2位按词频降序			三字以上一词不参与；孤词码位不动	2026-09-04T21:46:22+10:00	206码位重排	f3a6754f8ef726482fa001164fff0cd0330374cf9871ca9143c0567e3a8e70c0	d73271627ce3931137fc2daf12afac89069cc0a20f4bba8e603263b6164ab49f
P0022-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5简词表.tsv	TSV	移位	25条候选位		随新序重算				2026-09-04T21:46:22+10:00	25条更新	96668f1f6ac5c7feb60e29f34854838308449b5825682fd41b43d33700380fa3	c2621f8341778e11ce7d0a3e99ee8c17788998fc47b7d41b9e5e36583a6bf807
P0023-01	23，普查裁决：云运、变边、农弄、王望四对二简三简互换	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	换位	yy/yyn bm/bmp ns/nsg wh/whv	云运变边农弄王望	按裁决新位	同左	1	运yy云yyn；边bm变bmp；弄ns农nsi（nsg腾空）；望wh王whg（whv腾空，维护者玩花招前移）；全码与其余候选位均不动	2026-09-04T22:30:27+10:00	四对互换	dda7a52de3eb139c7c7a1bdb49916747c8402216419203b7ed9e5da1f792a9ea	92f8fe8989a474be0f2f7a423dd3c4b79bb7d4db5fb40ecdddeffc7eec468bd3
P0023-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	换位	同上	同上	同上	同上	1	同步字词表	2026-09-04T22:30:27+10:00	四对互换	d73271627ce3931137fc2daf12afac89069cc0a20f4bba8e603263b6164ab49f	afae3ab40476ef7c2238f6819ed00a0028ce8c1faa3501c77630c063dc6a7d66
P0023-03	同上	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5简词表.tsv	TSV	移位	whv,2/3	维护者/玩花招	whv,1/2	同左		望升二简后whv词前移	2026-09-04T22:30:27+10:00	2条前移	c2621f8341778e11ce7d0a3e99ee8c17788998fc47b7d41b9e5e36583a6bf807	8d1174eee18725b48ca9a1437eaf5a1960e1f0cef8ee4ac345272704a5500f46
P0024-01	24，删业无横立业根；亚改挂业同键	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	批量改码	14字末码n	业显湿虚壶嘘墟㠊憈鱋繊魖譃驉	14字末码w	同左		业yewn→yeww 显xmqn→xmqw(㫫后) 湿uibn→uibw 虚xuan→xuaw 壶hutn→hutw 嘘uihn/xuhn→uihw/xuhw(吁后) 墟xutn→xutw(圩后) 及扩展7字；三简yew/xmq/uib/xua/hut/xuh全保	2026-09-04T23:20:07+10:00	见备注	92f8fe8989a474be0f2f7a423dd3c4b79bb7d4db5fb40ecdddeffc7eec468bd3	e3a73c787f02a0242ff2b52becbe8e47398975742640dfa187314f6687cc4791
P0024-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	批量改码	同上	同上	同上	同上		同步字词表	2026-09-04T23:20:07+10:00	见备注	afae3ab40476ef7c2238f6819ed00a0028ce8c1faa3501c77630c063dc6a7d66	9bb102e709e3b119b22cfbf1699bc4bbabfcc7d1ddbed48a2adeb0a469ad92ec
P0025-01	26，宐乱拆修正	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	改码	yiib	宐	yiit	宐	4	宐照宜拆宀＋且，与宜同码居末	2026-09-04T23:36:01+10:00	yiit：宜羛冝宐	e3a73c787f02a0242ff2b52becbe8e47398975742640dfa187314f6687cc4791	fa75e04eff8b74cf9d083bc413630158971a688b83c21c8dfb169c3be17f9854
P0025-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	改码	yiib	宐	yiit	宐	4	同步	2026-09-04T23:36:01+10:00	同上	9bb102e709e3b119b22cfbf1699bc4bbabfcc7d1ddbed48a2adeb0a469ad92ec	96c556f48718723fd4374d0ff57dcea379699aca952ac34a5b009b58e6bad434
P0026-01	27，冉拆分冂丨二→冂土	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	批量改码	47字末码n	冉再苒媾篝聃髯等	47字末码t	同左		有简让全落位；简码全保	2026-09-04T23:45:37+10:00	见问题清单	fa75e04eff8b74cf9d083bc413630158971a688b83c21c8dfb169c3be17f9854	ee508354b18696500333d2a7629d8c52b0ca4d254097a0fcafe5bfedd4a27b8f
P0026-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	批量改码	同上	同上	同上	同上		同步	2026-09-04T23:45:37+10:00	同上	96c556f48718723fd4374d0ff57dcea379699aca952ac34a5b009b58e6bad434	96042d6984d09d94dc5aef437c56783c0be14dcafebcc80ba4792414d9d9f3dd
P0027-01	28，立冓头根𠀎于m	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	批量改码	冓gznt 斠jnnp 遘gzn/gznp 觏gznz 覯gzna 顜jlna	六字及遘三简	冓gzmt(居鞲前) 斠jnmp 遘gzmp 觏gzmz 覯gzma 顜jlma	同左		遘三简废除；其余落空码或按有简让全	2026-09-04T23:55:57+10:00	六字换码	ee508354b18696500333d2a7629d8c52b0ca4d254097a0fcafe5bfedd4a27b8f	43505e95781cdd849e2920cfcc623549bfc05fe9cb34fad7fdfcca757424914b
P0027-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	批量改码	同上	同上	同上	同上		同步	2026-09-04T23:55:57+10:00	同上	96042d6984d09d94dc5aef437c56783c0be14dcafebcc80ba4792414d9d9f3dd	db825403b709e3d22d2eb369185477d1f5bc0e819d574b0fa4e7566cdcbb31c1
P0028-01	29，尚头改党字头并常尝团聚	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	批量改码	尝ihg/ihgt 坣thgt 䟫iggz 场ih 常ihi	六项	尝ihi/ihit 坣thit(堂前) 䟫igiz 常ih		1	场退二简保iht；简词表候选位零变动	2026-09-05T00:11:25+10:00	ih=常 ihi=尝 iht=场	43505e95781cdd849e2920cfcc623549bfc05fe9cb34fad7fdfcca757424914b	0581e82845034692f5bb3c03efaee2982353cbedcdaea9ec4c1d4c0a73b9736f
P0028-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	批量改码	同上	同上	同上		1	同步	2026-09-05T00:11:25+10:00	同上	db825403b709e3d22d2eb369185477d1f5bc0e819d574b0fa4e7566cdcbb31c1	6e501da9e51424b81476f29d25db371162877ef748242db57ca0d74c30e45cfb
P0030-01	32，字架掉队字补拆13字	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	批量改码	旧码见备份	臝䌴㱻䯁㬯辬辦辯䉸袬䘱䘕䡓	臝lowo 䌴lojk 㱻lolk 䯁lonk 㬯lpqk 辬bjsa 辦bjsp 辯bmsd 䉸bmrd 袬䘱yunh 䘕hhkn 䡓jrkp			按赢/辡/衣/行字架规则改写	2026-09-05T00:38:59+10:00	13字换码	0581e82845034692f5bb3c03efaee2982353cbedcdaea9ec4c1d4c0a73b9736f	60c1270c6453e4a3a508af35932341038805b6314450d40b920c8510711d8ba4
P0030-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	批量改码	同上	同上	同上			同步	2026-09-05T00:38:59+10:00	同上	6e501da9e51424b81476f29d25db371162877ef748242db57ca0d74c30e45cfb	24dadcc89bfcbb659ff0e2ac315a99fa98982147afc6ff4b981d7e10fb71b26d
P0031-01	33，㞑亪修拆与夾族大人人正名	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	批量改码	52字旧码	㞑亪及夾族50字	㞑wwib 亪yepo 夾族头p→n尾a→g			全部扩展区生僻字；撞车按序排后	2026-09-05T00:51:45+10:00	52字换码	60c1270c6453e4a3a508af35932341038805b6314450d40b920c8510711d8ba4	b3bec54b85c65e4f41b4a9f5beb707ea097e41be685b732714a44b49f6cdc4d5
P0031-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	批量改码	同上	同上	同上			同步	2026-09-05T00:51:45+10:00	同上	24dadcc89bfcbb659ff0e2ac315a99fa98982147afc6ff4b981d7e10fb71b26d	fc09ca50553e6e94e7081eaace31c74d945d4f75ae9c5042108516a0850a807c
P0032-01	34，立走下根龰于k	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	批量改码	69字末码a	疌捷婕睫寁徙屣蓰等	69字末码k			三键比选k最优；简码全保	2026-09-05T01:10:13+10:00	69字换码	b3bec54b85c65e4f41b4a9f5beb707ea097e41be685b732714a44b49f6cdc4d5	a0eca599f67c9639a3190a0c7480c38852c4cdfb9706917cd25f9a10c193750e
P0032-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	批量改码	同上	同上	同上			同步	2026-09-05T01:10:13+10:00	同上	fc09ca50553e6e94e7081eaace31c74d945d4f75ae9c5042108516a0850a807c	2d483c37f261fa4f6f0eeafba7427880cf0633288d728af3a7126d50a212420f
P0033-01	35，囙飮拆分修正	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	改码	ybqo	囙	ybeo	囙	3	囙修囗＋折；飮改飠族惯例零变码	2026-09-05T01:22:34+10:00	囙居胤㐆后	a0eca599f67c9639a3190a0c7480c38852c4cdfb9706917cd25f9a10c193750e	c70b6bfb2378d79b7b50922a35e1cb2068bb6eef36ca285d16cdd592a3d14809
P0034-01	37，觉jiào词11条迁码	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	批量改码	11词尾jt	睡觉等	11词尾jn			按词频落位；一觉遵一词次选	2026-09-05T01:45:38+10:00	uvjn=睡觉水饺	47a138fbf758a1fe250429459ae2d67833dc0186f4df8d3f0d0182c7ba15ca92	a828558b11d02e26daf9dc1fbf3e80e08b3185018e5d47f7ff3dad98d20b3135
P0035-01	38，康族归肀与丢改拆千	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	改码	丢dqt/dqtt	丢	丢dqw/dqwt	丢	1	康族36字中段折二→肀零变码	2026-09-05T01:54:50+10:00	dqw原空码	c70b6bfb2378d79b7b50922a35e1cb2068bb6eef36ca285d16cdd592a3d14809	6028024af599dbcced0893b8c41ddffe1bbb6eb08d25b34cd9a9e31ac531964e
P0035-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	改码	同上	同上	同上	同上	1	同步；简词表dqt词前移	2026-09-05T01:54:50+10:00	同上	a828558b11d02e26daf9dc1fbf3e80e08b3185018e5d47f7ff3dad98d20b3135	bb0fe13d3cb0cb8da9d69f6264142a33d32beb3d282c15c6f2cf9ac698600b4c
P0036-01	40，繁根八连立	已修复	releases/v0.8.5/01_正式码表/夜莺码v0.8.5单字版.txt	纯表	批量改码	1123字旧码	繁体扩展字	按繁根同家键新码			有简让全落位；映射清单见27_繁根批实装/	2026-09-05T02:24:38+10:00	媽=妈码 張=张码等	50d48ea6e78766667c4aa93669f71f27daddad9c6b91a12e194fbcb5a49b09f4	c5c4a453c048062f6fc3151c4b5e8b4eadfd3217873f56fbba29c14aa28ff224
P0036-02	同上	已修复	releases/v0.8.5/01_正式码表/夜莺0.8.5字词表.txt	纯表	批量改码	同上	同上	同上			同步；扩展字表候选位全表重算	2026-09-05T02:24:38+10:00	同上	971578565b392de1159ca0484f99f2c130c1466b237cc25642e9b57e37804a6d	c6ccdc54f56209045586118445512c1522bb4cdb668121b70eb4e19aa4608cba
P0037-01	42，汉汗含涵颔连环简码	已修复	releases/v0.9.1/01_正式码表/夜莺码v0.9.1单字版.txt	纯表	换位	hj含 hjb汉 hjz颔 hjbw汗涵	含汉颔汗涵	hj汉 hjb汗 hjz含 hjbw涵汗		1	颔三简废除；简词表候选位不变	2026-09-05T03:44:15+10:00	零无理码	（见git）	d5cb064933bbaad260172c80d42f8f76f2ece68ff033d1c25d9b29a7226b2b83
P0037-02	同上	已修复	releases/v0.9.1/01_正式码表/夜莺0.9.1字词表.txt	纯表	换位	同上	同上	同上		1	同步	2026-09-05T03:44:15+10:00	同上	（见git）	ee813da33f306f57928b6571c29c25f6e8632914a2eb4bf4a6b9d19b6b81dd09
P0038-01	44，方放互换简码	已修复	releases/v0.9.1/01_正式码表/夜莺码v0.9.1单字版.txt	纯表	换位	fh方 fhs放	方放	fh放 fhs方	放方	1	全码与简词顺序保留	2026-09-06T01:12:48+10:00	放二简、方三简；均为全码自然前缀	d5cb064933bbaad260172c80d42f8f76f2ece68ff033d1c25d9b29a7226b2b83	02849e917f6758db372356ffd8da4b8ffe7dac64c2a00c6c114db05cdc632fa3
P0038-02	44，方放互换简码	已修复	releases/v0.9.1/01_正式码表/夜莺0.9.1字词表.txt	纯表	换位	fh方 fhs放	方放	fh放 fhs方	放方	1	全码与简词顺序保留	2026-09-06T01:12:48+10:00	放二简、方三简；均为全码自然前缀	ee813da33f306f57928b6571c29c25f6e8632914a2eb4bf4a6b9d19b6b81dd09	a7d79a399f45405d2b996e65e6a943a92084d7a123d3095045676dc278004ad6
P0039-01	45，利根保留并加禾刂全码容错	已修复	releases/v0.9.1/01_正式码表/夜莺码v0.9.1单字版.txt	纯表	增加容错	原码全部保留	29字	30条全码容错	见无理码表U019—U048	冲突次选起，空位首选	简码及规范拆分不变	2026-09-06T01:34:25+10:00	新增30条；原候选相对顺序不变	02849e917f6758db372356ffd8da4b8ffe7dac64c2a00c6c114db05cdc632fa3	e47941824b59556297544b97bfa8ce4879540c1c7a1df02aa8cef689b817a49b
P0039-02	45，利根保留并加禾刂全码容错	已修复	releases/v0.9.1/01_正式码表/夜莺0.9.1字词表.txt	纯表	增加容错	原码全部保留	29字	30条全码容错	见无理码表U019—U048	冲突次选起，空位首选	简码及规范拆分不变	2026-09-06T01:34:25+10:00	新增30条；原候选相对顺序不变	a7d79a399f45405d2b996e65e6a943a92084d7a123d3095045676dc278004ad6	a5aca85633c8efe7a975964df44dcf6596a303e60260ed95b730ac813939ad0c
P0040-01	46，利族容错不让扩展字首选；liwo梨首选	已修复	releases/v0.9.1/01_正式码表/夜莺码v0.9.1单字版.txt	纯表	调序	liws liwo liwc liss lixs	利梨犁痢莉	同码	利梨犁痢莉	1	仅调整5个码位；原码保留	2026-09-06T01:39:31+10:00	核心容错优先于扩展字；liwo按明确裁决优先于离我	e47941824b59556297544b97bfa8ce4879540c1c7a1df02aa8cef689b817a49b	5a5d34076863117662c3bf2dcfcd589ef780d156ea05133f0c3b2e2feed11bc5
P0040-02	46，利族容错不让扩展字首选；liwo梨首选	已修复	releases/v0.9.1/01_正式码表/夜莺0.9.1字词表.txt	纯表	调序	liws liwo liwc liss lixs	利梨犁痢莉	同码	利梨犁痢莉	1	仅调整5个码位；原码保留	2026-09-06T01:39:31+10:00	核心容错优先于扩展字；liwo按明确裁决优先于离我	a5aca85633c8efe7a975964df44dcf6596a303e60260ed95b730ac813939ad0c	d3e134a4ff37a1a5df629efc1de5bca90c37f89ca0e65239d23eb1f8dbf3db09
P0041-01	47，居族全码容错（据除外）	已修复	releases/v0.9.1/01_正式码表/夜莺码v0.9.1单字版.txt	纯表	增加容错	原码保留	23字	23条全码	见U049—U071	依裁决	居juip、剧juis首选；据不新增	2026-09-06T02:01:49+10:00	原码简码与原候选相对顺序保留	5a5d34076863117662c3bf2dcfcd589ef780d156ea05133f0c3b2e2feed11bc5	54985ca20b481a94558827f1f549afc48a1e7eb8cfb1890250aac8e0cdf06207
P0041-02	47，居族全码容错（据除外）	已修复	releases/v0.9.1/01_正式码表/夜莺0.9.1字词表.txt	纯表	增加容错	原码保留	23字	23条全码	见U049—U071	依裁决	居juip、剧juis首选；据不新增	2026-09-06T02:01:49+10:00	原码简码与原候选相对顺序保留	d3e134a4ff37a1a5df629efc1de5bca90c37f89ca0e65239d23eb1f8dbf3db09	f1b065872094f723c726f3939a4b8c38a56e5fef85172959bcb5b651707656ce
P0042-01	48，撤销一开头二字词统一次选	已修复	releases/v0.9.1/01_正式码表/夜莺0.9.1字词表.txt	纯表	恢复排序	206码位	一开头二字词	原码保留	原词保留	基线原序	原P0022及一觉特殊排序失效；保留后续非排序修改	2026-09-06T03:54:28+10:00	"{""原操作提交"": ""2137710"", ""原始基线"": ""2137710^"", ""恢复码位"": 206, ""直接恢复"": 192, ""合并后续变化"": 14, ""配套更新"": {""夜莺码v0.9.1简词表.tsv"": 21, ""夜莺码v0.9.1扩展字表.tsv"": 63}, ""一觉"": ""保留yijn，按参考词序放在一脚后、一角前"", ""字词集合与行数"": ""完全不变""}"	f1b065872094f723c726f3939a4b8c38a56e5fef85172959bcb5b651707656ce	6ed06c79e1a8e8ed032d42dd891d0df70c51255920410511495bbe2d24d314f0
P0043-01	49，七个高频一词全码升首选	已修复	releases/v0.9.1/01_正式码表/夜莺0.9.1字词表.txt	纯表	调序	七码位原序	一个一起一直一下一些一般一点	原码	同左	1	仅七个全码位，原候选依次顺延；简码不动	2026-09-06T04:01:56+10:00	七词全码首选，字词集合及编码不变	6ed06c79e1a8e8ed032d42dd891d0df70c51255920410511495bbe2d24d314f0	817eceaf1845dcef632187f1fd3de50c985fd48c233beeaa3ea2882d5288b321
P0044-01	50，一词按综合词频调序	已修复	releases/v0.9.1/01_正式码表/夜莺0.9.1字词表.txt	纯表	词频调序	49码位原序	一开头二字词	原码	原词	综合分降序	仅一开头二字全码词参与比较；相邻两词都有六万词表综合分时高分前移，同分保序；不交换两个非一词，不跨越单字、三字以上词和缺分词；简码不动。	2026-09-06T04:15:08+10:00	49码位65条一词位置变化	817eceaf1845dcef632187f1fd3de50c985fd48c233beeaa3ea2882d5288b321	a2bdea63e67700040c72a784dc0cdbd9c7ff0cf06dd478934c78248d8acd19f0
P0045-01	51，一边一只全码手工首选	已修复	releases/v0.9.1/01_正式码表/夜莺0.9.1字词表.txt	纯表	调序	yibm yivi	一边 一只	原码	同左	1	人工裁决优先于词频；一直保留简词，yivi退次	2026-09-06T04:27:19+10:00	只改两码位，原候选相对顺序及简码保留	a2bdea63e67700040c72a784dc0cdbd9c7ff0cf06dd478934c78248d8acd19f0	948d5d1925e18aecdba49cb4664b2efcb2a47dd279ed58042ffa65b941302d61
P0046-01	52，一旦与已成定局换位	已修复	releases/v0.9.1/01_正式码表/夜莺0.9.1字词表.txt	纯表	调序	yidj	一旦	yidj	一旦	1	已成定局退次；人工裁决	2026-09-06T04:28:05+10:00	一旦、已成定局	948d5d1925e18aecdba49cb4664b2efcb2a47dd279ed58042ffa65b941302d61	f6a833b1d46a34bb72bf27a385427b69524ade76a0427519e246b41d7c686b5a
P0047-01	53，一边改优先简词，恢复以便全码首选	已修复	releases/v0.9.1/01_正式码表/夜莺0.9.1字词表.txt	纯表	调序	yb yibm	一般 一边 一半 以便	原码	同左	yb词序一边一半一般；yibm以便首选	因保yb首选；一般仍yibj首选	2026-09-06T04:32:24+10:00	只调整yb及yibm；覆盖第51条的一边全码首选裁决	f6a833b1d46a34bb72bf27a385427b69524ade76a0427519e246b41d7c686b5a	14db2209c4e608aabe0d6749d5a2a4c68acb62a32edb7dc17aff3176e7ebf6b9
P0048-01	54，战接vja，占全码首选	已修复	releases/v0.9.1/01_正式码表/夜莺码v0.9.1单字版.txt	纯表	简码换字及全码调序	vja占；vjah站占	占 战 站	vja战；vjah占站	战 占 站	1	占撤vja；战原全码vjar保留；站vjah退次	2026-09-06T04:36:59+10:00	战vja首选，占vjah首选	54985ca20b481a94558827f1f549afc48a1e7eb8cfb1890250aac8e0cdf06207	b6e849030ae6d7125786b7986aef85bca3b47de842c356fe0dc1759590c0f0c6
P0048-02	54，战接vja，占全码首选	已修复	releases/v0.9.1/01_正式码表/夜莺0.9.1字词表.txt	纯表	简码换字及全码调序	vja占；vjah站占	占 战 站	vja战；vjah占站	战 占 站	1	占撤vja；战原全码vjar保留；站vjah退次	2026-09-06T04:36:59+10:00	战vja首选，占vjah首选	14db2209c4e608aabe0d6749d5a2a4c68acb62a32edb7dc17aff3176e7ebf6b9	25ad6e7b4ae99b4c4c8df93656caaf6552ce837b969cb4531e820904a49962be
