a=1,也
hkcd=1,怀才
hkci=1,坏词
hkcj=1,槐蚕
hkcu=1,坏醋
hkd=1,淮
hkd=2,很快地
hkd=3,很肯定
hkd=4,汇款单
hkdc=1,坏道
hkde=1,坏的
hkdf=1,淮
hkdg=1,黑客帝国
hkdh=1,坏档
hkdh=2,坏党
hkdi=1,会哭的孩子有奶吃
hkdj=1,坏蛋
hkdl=1,坏道
hkdl=2,好看的皮囊千篇一律
hkdm=1,坏点
hkdn=1,坏掉
hkdn=2,坏调
hkds=1,槐东
hkdy=1,𣸎
hkdy=2,瀤
hken=1,怀恩
hker=1,槐耳
hkf=1,喝咖啡
hkf=2,后空翻
hkf=3,黑咖啡
hkfg=1,花开富贵
hkfh=1,槐房
hkfi=1,混口饭吃
hkg=1,很可观
hkg=2,航空港
hkge=1,怀个
hkgh=1,淮钢
hkgi=1,怀归
hkgl=1,怀光
hkgo=1,坏过
hkgq=1,很快过去
hkgr=1,坏官
hkgs=1,淮工
hkgs=2,航空公司
hkgu=1,怀古
hkgu=2,踝骨
hkgv=1,怀归
hkgx=1,户口关系
hkh=1,喊口号
hkh=2,花括号
hkhd=1,淮海
hkhe=1,淮河
hkhf=1,怀恨
hkhk=1,坏坏
hkhl=1,花开花落
hkho=1,坏货
hkht=1,航空航天
hkhx=1,坏话
hkhx=2,槐花
hkhx=3,怀化
hkhx=4,航空航天大学
hki=1,徊
hkie=1,坏车
hkif=1,横看成岭侧成峰
hkig=1,坏成
hkig=2,怀诚
hkik=1,怀揣
hkik=2,徊
hkir=1,淮川
hkiu=1,坏处
hkiu=2,横空出世
hkiy=1,怀春
hkj=1,很快就
hkj=2,黑科技
hkj=3,航空局
hkjh=1,很快就好
hkjh=2,很快就会
hkjl=1,怀姜
hkjl=2,很快就来
hkjm=1,坏件
hkjn=1,槐角
hkjn=2,很快就能
hkjp=1,怀杰
hkjq=1,怀旧
hkjr=1,坏卷
hkju=1,淮剧
hkju=2,坏疽
hkju=3,很快结束
hkjx=1,划开界线
hkjy=1,淮军
hkjz=1,坏件
hkk=1,很可靠
hkk=2,划框框
hkkc=1,怀靠
hkkl=1,淮矿
hkkr=1,坏款
hkkv=1,花开堪折直须折
hkkz=1,淮口
hkl=1,害苦了
hkla=1,坏啦
hklb=1,槐林
hkld=1,怀来
hkld=2,花开两朵
hkle=1,坏了
hkle=2,怀了
hkli=1,怀里
hklm=1,怀恋
hklu=1,怀炉
hklu=2,坏路
hklv=1,花开两朵，各表一枝
hklv=2,花开两朵各表一枝
hklz=1,何苦来哉
hkm=1,槐
hkma=1,坏吗
hkmg=1,槐
hkmi=1,槐米
hkmj=1,航空母舰
hkmk=1,坏名
hkmm=1,怀缅
hkmp=1,坏灭
hkmu=1,槐木
hkmx=1,槐木
hkn=1,很可能
hkn=2,还可能
hkne=1,何苦乃尔
hknh=1,很可能会
hknj=1,淮南
hknj=2,很可能就
hknk=1,怀宁
hknm=1,怀念
hknu=1,很可能是
hknz=1,淮南
hkoo=1,坏哦
hkp=1,很可怕
hkp=2,好可怕
hkpb=1,壶口瀑布
hkpj=1,坏盘
hkpy=1,海阔凭鱼跃
hkq=1,缓口气
hkq=2,航空器
hkqi=1,坏棋
hkqk=1,怀庆
hkqm=1,怀谦
hkqq=1,怀秋
hkr=1,还款日
hkr=2,汇款人
hkrc=1,何苦如此
hkrf=1,坏人
hkrs=1,怀荣
hkrz=1,怀柔
hks=1,好开森
hksi=1,坏死
hksj=1,花开似锦
hksj=2,花开四季
hksj=3,海克斯科技
hkss=1,坏怂
hksu=1,怀素
hksy=1,坏损
hkt=1,坏
hkt=2,会客厅
hktb=1,坏
hktd=1,怀胎
hkte=1,怀特
hktk=1,海阔天空
hktu=1,虎口逃生
hktv=1,坏腿
hktv=2,红框挑战
hktx=1,虎口脱险
hkty=1,壊
hkty=2,壞
hktz=1,坏透
hku=1,何况是
hku=2,会客室
hku=3,喝口水
hkud=1,好客山东
hkuh=1,怀上
hkui=1,坏事
hkuj=1,淮山
hkul=1,海枯石烂
hkun=1,好客山东欢迎你
hkus=1,淮山
hkuu=1,槐树
hkuu=2,坏书
hkuv=1,坏水
hkuv=2,淮水
hkuz=1,坏兽
hkvd=1,坏债
hkve=1,怀着
hkvf=1,淮镇
hkvf=2,怀贞
hkvh=1,坏账
hkvi=1,怀志
hkvl=1,怀庄
hkvs=1,怀中
hkvu=1,坏猪
hkvz=1,淮州
hkwn=1,昏聩无能
hkwo=1,坏我
hkwu=1,海康威视
hkww=1,怀伟
hkx=1,怀
hkx=2,很可惜
hkx=3,很开心
hkx=4,很可笑
hkxb=1,坏心
hkxe=1,黄口小儿
hkxi=1,淮西
hkxk=1,怀兴
hkxl=1,怀想
hkxl=2,怀乡
hkxm=1,怀先
hkxn=1,坏笑
hkxs=1,坏熊
hkxt=1,踝靴
hkxt=2,坏血
hkxy=1,懐
hkxy=2,懷
hky=1,还可以
hky=2,很可以
hky=3,航空业
hkya=1,坏呀
hkyb=1,淮阴
hkyb=2,坏银
hkyb=3,坏淫
hkyb=4,槐荫
hkyc=1,怀药
hkye=1,汇款余额
hkyh=1,淮阳
hkyh=2,淮扬
hkyi=1,怀疑
hkyj=1,黑框眼镜
hkyk=1,怀英
hkyr=1,怀远
hkyu=1,虎口余生
hkyu=2,怀玉
hkyy=1,怀孕
hkyy=2,还可以这样
hkyz=1,怀有
hkz=1,踝
hkzd=1,坏在
hkzg=1,踝
hkzi=1,坏字
hl=1,黄
hl=2,后来
hl=3,回来
hl=4,寒冷
hla=1,鳇
hlam=1,海来阿木
hlan=1,黄安
hlan=2,磺胺
hlao=1,晃拗
hlap=1,合理安排
hlaw=1,鳇
hlb=1,皇
hlb=2,胡萝卜
hlb=3,好了吧
hlb=4,核裂变
hlba=1,黄吧
hlbb=1,癀
hlbc=1,谎报
hlbc=2,黄暴
hlbd=1,黄白
hlbd=2,黄柏
hlbe=1,呼伦贝尔
hlbf=1,黄本
hlbf=2,花了不少工夫
hlbh=1,皇榜
hlbi=1,黄笔
hlbj=1,黄斑
hlbj=2,荒坂
hlbj=3,①
hlbj=4,忽略不计
hlbk=1,混乱不堪
hlbm=1,黄边
hlbm=2,呼伦贝尔盟
hlbn=1,黄标
hlbo=1,黄渤
hlbo=2,黄柏
hlbo=3,黄播
hlbp=1,囫囵半片
hlbq=1,很了不起
hlbs=1,胡萝卜素
hlbt=1,哈利波特
hlbu=1,旱涝保收
hlbu=2,黄布
hlbu=3,花了不少
hlbv=1,汗流不止
hlbv=2,衡量标准
hlbv=3,火力不足恐惧症
hlbw=1,何乐不为
hlbw=2,㿠
hlbx=1,花了不少心血
hlby=1,呼伦贝尔大草原
hlbz=1,火力不足
hlbz=2,活力不足
hlc=1,荒
hlcb=1,黄
hlcc=1,荒草
hlcd=1,黄菜
hlcd=2,含量测定
hlce=1,皇册
hlce=2,黄册
hlcj=1,黄灿
hlcj=2,惶惭
hlco=1,黄厝
hlcs=1,黄聪
hlcu=1,慌促
hlcv=1,荒
hlcy=1,荒村
hld=1,湟
hld=2,后来的
hld=3,合理的
hld=4,红绿灯
hlda=1,黄疸
hldb=1,潢
hldc=1,荒岛
hldc=2,黄岛
hldd=1,黄带
hldd=2,画梁雕栋
hlde=1,黄的
hlde=2,慌得
hldg=1,黄灯
hldh=1,晃荡
hldh=2,②
hldh=3,③
hldh=4,晃晃荡荡
hldi=1,皇帝
hldi=2,荒地
hldi=3,黄帝
hldi=4,哈啰单车
hldj=1,荒诞
hldj=2,黄疸
hldj=3,①
hldj=4,画龙点睛
hldk=1,黄定
hldl=1,荒岛
hldl=2,黄岛
hldl=3,很蓝的啦
hldm=1,黄点
hldm=2,晃点
hldo=1,奛
hldp=1,黄碟
hldp=2,合理搭配
hldr=1,黄段
hlds=1,晃动
hldu=1,黄渡
hldu=2,皇都
hldv=1,黄队
hldv=2,欢乐斗地主
hldw=1,滉
hldw=2,湟
hldy=1,欢乐豆效应
hldz=1,黄豆
hle=1,隍
hleb=1,挥泪而别
hlee=1,荒厄
hleh=1,黄鹤
hlek=1,喝了一口
hlen=1,皇恩
hler=1,晃儿
hlew=1,何乐而不为
hlew=2,隍
hlf=1,活雷锋
hlfa=1,黄发
hlfd=1,火力发电
hlff=1,黄粉
hlfg=1,黄蜂
hlfh=1,黄芳
hlfh=2,黄方
hlfi=1,火力发电厂
hlfj=1,黄帆
hlfj=2,黄番
hlfj=3,很浪费时间
hlft=1,哈利法塔
hlfu=1,皇甫
hlfw=1,荒废
hlfw=2,皇妃
hlg=1,火龙果
hlg=2,欢乐谷
hlg=3,护理工
hlgb=1,挥泪告别
hlgc=1,黄高
hlgd=1,黄盖
hlge=1,黄阁
hlgg=1,红脸关公
hlgh=1,黄冈
hlgi=1,黄贵
hlgl=1,黄光
hlgl=2,缓了过来
hlgn=1,狐狸给鸡拜年
hlgo=1,晃过
hlgo=2,黄果
hlgp=1,皇冠
hlgq=1,昏了过去
hlgr=1,皇冠
hlgs=1,皇宫
hlgu=1,荒古
hlgu=2,皇姑
hlgv=1,黄贵
hlgx=1,黄瓜
hlgy=1,互利共赢
hlgy=2,欢乐谷效应
hlgz=1,黄狗
hlgz=2,荒沟
hlh=1,煌
hlh=2,晃了晃
hlh=3,挥了挥
hlh=4,合理化
hlhb=1,爌
hlhc=1,黄浩
hlhd=1,黄海
hlhe=1,黄河
hlhe=2,黄鹤
hlhf=1,合理合法
hlhg=1,黄恒
hlhg=2,画龙画虎难画骨
hlhh=1,互利互惠
hlhh=2,巴黎和会
hlhj=1,荒寒
hlhk=1,黄淮
hlhl=1,晃晃
hlhl=2,惶惶
hlhl=3,黄黄
hlhl=4,好了好了
hlho=1,惶惑
hlhq=1,换来换去
hlhq=2,晃来晃去
hlhr=1,忽冷忽热
hlhs=1,黄宏
hlht=1,糊里糊涂
hlht=2,胡里胡涂
hlht=3,晃了晃头
hlhu=1,恍惚
hlhu=2,花里胡哨
hlhu=3,挥了挥手
hlhu=4,恍恍惚惚
hlhv=1,慌里慌张
hlhv=2,呼兰河传
hlhv=3,黄绿合战
hlhw=1,话里话外
hlhw=2,煌
hlhw=3,黄黑
hlhx=1,谎话
hlhx=2,黄花
hlhx=3,①
hlhx=4,活灵活现
hlhy=1,黄昏
hlhy=2,合理化建议
hlhz=1,皇后
hlhz=2,互利合作
hli=1,蝗
hlia=1,黄茶
hlib=1,蟥
hlic=1,皇朝
hlic=2,黄巢
hlie=1,黄车
hlif=1,黄晨
hlif=2,黄尘
hlig=1,皇城
hlig=2,谎称
hlih=1,黄厂
hlii=1,黄池
hlij=1,黄婵
hliq=1,豁了出去
hlir=1,荒川
hlis=1,蝗虫
hlit=1,好了疮疤忘了痛
hliu=1,皇储
hliv=1,合理冲撞
hliw=1,徨
hliw=2,蝗
hliy=1,黄春
hliz=1,回炉重造
hlj=1,凰
hlj=2,狐狸精
hlj=3,黑龙江
hlj=4,回老家
hljb=1,黄金
hljb=2,𨱑
hljb=3,黄巾
hljb=4,汗流浃背
hljfjiri=1,黄道吉日
hlji=1,惶急
hlji=2,黄鸡
hlji=3,③
hlji=4,皇皇汲汲
hljj=1,喝了假酒
hljk=1,黄精
hljl=1,黄酱
hljm=1,黄建
hljn=1,荒郊
hljp=1,黄姐
hljp=2,黄阶
hljq=1,黄酒
hljq=2,鹤立鸡群
hljr=1,黄娟
hljs=1,惶窘
hljt=1,皇爵
hlju=1,后来居上
hlju=2,黄菊
hljw=1,幌
hljw=2,锽
hljw=3,凰
hljx=1,皇家
hljx=2,惑乱军心
hljy=1,皇军
hljz=1,黄建
hlk=1,海陆空
hlka=1,黄卡
hlkc=1,皇考
hlkd=1,黄凯
hlkd=2,后来看到
hlke=1,黄科
hlke=2,黄客
hlkf=1,合理开发
hlkg=1,黄坑
hlkh=1,黄康
hlkh=2,毁林开荒
hlkj=1,黄侃
hlkj=2,黄刊
hlkj=3,晃看
hlkl=1,海伦凯勒
hlkq=1,呼了口气
hlkr=1,黄宽
hlks=1,惶恐
hlks=2,慌恐
hlkt=1,赫拉克利特
hlkt=2,赫拉克里特
hlku=1,喝了口水
hlku=2,黄裤
hlkv=1,黄奎
hlkw=1,喤
hlky=1,黄坤
hlkz=1,黄口
hll=1,回来了
hll=2,轰隆隆
hll=3,灰溜溜
hll=4,好利来
hllb=1,黄林
hllb=2,荒林
hllc=1,黄老
hlld=1,黄濑
hlle=1,慌了
hlle=2,黄了
hllh=1,黄浪
hlli=1,黄历
hlli=2,黄鹂
hllj=1,获利了结
hllj=2,黄蓝
hllk=1,皇陵
hlll=1,荒凉
hlll=2,皇粮
hlll=3,黄梁
hlll=4,黄粱
hllm=1,黄连
hlln=1,荒料
hllo=1,黄螺
hllq=1,黄流
hllr=1,慌乱
hllr=2,荒乱
hlls=1,黄龙
hllu=1,黄璐
hllu=2,荒路
hllv=1,黄绿
hllw=1,黄磊
hlly=1,遑论
hlly=2,合理利用
hlly=3,葫芦里卖的什么药
hllz=1,黄楼
hllz=2,合理利用规则
hlm=1,好了吗
hlm=2,红楼梦
hlm=3,好了没
hlm=4,回来没
hlma=1,皇马
hlma=2,黄麻
hlma=3,黄妈
hlmb=1,黄敏
hlmc=1,黄毛
hlmc=2,黄帽
hlmf=1,黄焖
hlmh=1,慌忙
hlmh=2,②
hlmh=3,③
hlmh=4,慌慌忙忙
hlmi=1,黄米
hlmj=1,荒蛮
hlmj=2,黄漫
hlmk=1,黄明
hlmm=1,黄粱美梦
hlmm=2,活力满满
hlmm=3,汗流满面
hlmn=1,黄庙
hlmo=1,荒漠
hlmq=1,荒谬
hlmr=1,荒蛮
hlmr=2,黄漫
hlmu=1,荒木
hlmw=1,皇妹
hlmw=2,黄梅
hlmw=3,黄眉
hlmx=1,荒木
hlmy=1,好了没有
hlmz=1,黄某
hln=1,媓
hln=2,火烈鸟
hln=3,后两年
hlna=1,黄娜
hlnc=1,晃脑
hlni=1,黄泥
hlnj=1,黄南
hlnj=2,蝗蝻
hlnk=1,黄宁
hlnl=1,获利能力
hlnm=1,荒年
hlnm=2,虎老娘们
hlnn=1,黄鸟
hlnq=1,黄牛
hlnv=1,皇女
hlnw=1,媓
hlnz=1,黄南
hlo=1,晃
hlow=1,晃
hlp=1,厚脸皮
hlp=2,黄脸婆
hlp=3,侯亮平
hlpb=1,皇品
hlpc=1,黄袍
hlpc=2,皇袍
hlpd=1,黄牌
hlpd=2,皇牌
hlpe=1,荒僻
hlpe=2,黄陂
hlpf=1,获利颇丰
hlpg=1,黄鹏
hlpi=1,荒僻
hlpi=2,黄陂
hlpj=1,黄盼
hlpj=2,黄盘
hlpk=1,黄瓶
hlpk=2,黄屏
hlpm=1,黄片
hlpm=2,簧片
hlpn=1,黄票
hlpo=1,黄婆
hlpo=2,荒坡
hlpq=1,虎落平阳被犬欺
hlps=1,黄婆
hlps=2,荒坡
hlpu=1,黄埔
hlpu=2,黄浦
hlpw=1,黄培
hlpx=1,黄瓶
hlpy=1,虎落平阳
hlq=1,花力气
hlq=2,呼啦圈
hlq=3,火力圈
hlqb=1,皇亲
hlqb=2,黄芩
hlqi=1,黄芪
hlqi=2,荒弃.
hlqi=3,荒弃
hlqk=1,火力全开
hlql=1,黄强
hlql=2,黄腔
hlql=3,好了起来
hlql=4,喊了起来
hlqm=1,荒歉
hlqn=1,黄桥
hlqq=1,荒丘
hlqq=2,黄球
hlqr=1,皇权
hlqr=2,黄泉
hlqs=1,黄琼
hlqt=1,黄雀
hlqu=1,晃去
hlqy=1,黄群
hlqy=2,黄裙
hlr=1,后来人
hlrc=1,惶扰
hlre=1,黄热
hlrf=1,黄人
hlrh=1,黄壤
hlrj=1,恍然
hlrj=2,惶然
hlro=1,恍若
hlrs=1,黄蓉
hlru=1,恍如
hlrv=1,黄瑞
hlry=1,黄润
hlry=2,护理人员
hls=1,黄绿色
hls=2,欢乐颂
hls=3,葫芦丝
hlsc=1,皇嫂
hlse=1,黄色
hlsf=1,黄森
hlsh=1,黄桑
hlsj=1,黄三
hlsm=1,红绿色盲
hlsr=1,磺酸
hlss=1,惶悚
hlsu=1,活力四射
hlsy=1,皇孙
hlt=1,昏了头
hlt=2,胡辣汤
hltc=1,黄桃
hltd=1,黄台
hlte=1,黄特
hltg=1,黄腾
hlth=1,荒唐
hlth=2,黄汤
hlti=1,黄体
hlti=2,②
hlti=3,③
hlti=4,惶惶惕惕
hltj=1,黄痰
hltj=2,荒滩
hltk=1,黄婷
hltk=2,黄庭
hltl=1,后浪推前浪
hltl=2,黄推
hltm=1,皇天
hltm=2,黄天
hltm=3,荒田
hltn=1,黄条
hltn=2,华伦天奴
hlto=1,皇柝
hltp=1,黄铁
hlts=1,黄铜
hlts=2,皇统
hltu=1,黄土
hltu=2,黄图
hltv=1,黄推
hlty=1,黄屯
hltz=1,囫囵吞枣
hltz=2,晃头
hlu=1,磺
hlu=2,黑历史
hlu=3,华莱士
hlu=4,轰隆声
hlua=1,黄沙
hlua=2,荒沙
hlub=1,磺
hluc=1,黄少
hlud=1,横拉竖挡
hlue=1,簧舌
hlue=2,会来事儿
hluf=1,慌神
hluf=2,晃神
hluf=3,晃身
hluf=4,恍神
hlug=1,黄生
hluh=1,皇上
hlui=1,皇室
hlui=2,黄石
hluj=1,荒山
hluj=2,黄鳝
hluj=3,黄山
hluj=4,花落谁家
hluk=1,黄帅
hlul=1,黄爽
hluo=1,黄硕
hlus=1,荒山
hlus=2,黄鳝
hlus=3,黄山
hlut=1,好了伤疤忘了疼
hlut=2,好了伤疤忘了痛
hluu=1,黄书
hluu=2,皇叔
hluv=1,黄水
hluv=2,湟水
hluw=1,寒来暑往
hluy=1,喝凉水都塞牙
hluy=2,合理使用
hluy=3,互利双赢
hlv=1,簧
hlv=2,晃着
hlv=3,后来者
hlv=4,荷兰猪
hlvb=1,簧
hlvc=1,黄昭
hlvc=2,虎狼之词
hlvd=1,黄寨
hlve=1,皇者
hlve=2,晃着
hlvf=1,黄振
hlvg=1,荒政
hlvh=1,慌张
hlvh=2,②
hlvh=3,③
hlvh=4,慌慌张张
hlvi=1,荒置
hlvi=2,黄纸
hlvj=1,皇战
hlvj=2,毫厘之间
hlvk=1,荒政
hlvl=1,黄庄
hlvo=1,黄卓
hlvr=1,黄专
hlvs=1,黄忠
hlvt=1,混乱状态
hlvu=1,虎狼之师
hlvv=1,慌乱之中
hlvv=2,混乱之中
hlvw=1,篁
hlvw=2,艎
hlvw=3,虎狼之威
hlvx=1,虎狼之穴
hlvx=2,虎狼之心
hlvy=1,何陋之有
hlvz=1,黄州
hlvz=2,黄轴
hlw=1,璜
hlw=2,好莱坞
hlw=3,互联网
hlw=4,葫芦娃
hlwb=1,璜
hlwb=2,狐狸尾巴
hlwf=1,黄文
hlwf=2,皇文
hlwh=1,黄网
hlwj=1,黄湾
hlwj=2,后来我就
hlwl=1,互联网络
hlwl=2,狐狸尾巴藏不了
hlwo=1,肓
hlws=1,互联网公司
hlwt=1,互联网嘴替
hlwu=1,荒芜
hlwu=2,恍悟
hlwv=1,化零为整
hlww=1,皇位
hlww=2,瑝
hlwy=1,互联网没有记忆
hlwy=2,葫芦娃救爷爷
hlx=1,慌
hlx=2,恍
hlx=3,合理性
hlx=4,厚礼蟹
hlxb=1,黄鑫
hlxd=1,葫芦兄弟
hlxd=2,后来先到
hlxe=1,恍
hlxf=1,赫鲁晓夫
hlxg=1,恍
hlxi=1,黄西
hlxi=2,皇系
hlxj=1,花了许多时间
hlxl=1,黄翔
hlxm=1,黄线
hlxn=1,黄晓
hlxp=1,黄歇
hlxq=1,黄秀
hlxr=1,黄轩
hlxr=2,黄宣
hlxs=1,皇兄
hlxt=1,黄雪
hlxt=2,厚里谢特
hlxu=1,黄旭
hlxu=2,翰林学士
hlxv=1,慌
hlxw=1,惶
hlxw=2,恍
hlxx=1,黄霞
hly=1,谎
hly=2,很乐意
hly=3,翰林院
hly=4,海洛因
hlya=1,黄牙
hlya=2,黄鸭
hlyb=1,荒淫
hlyb=2,火了一把
hlyc=1,黄瑶
hlye=1,荒野
hlye=2,黄页
hlyf=1,谎言
hlyf=2,晃眼
hlyg=1,换了一个
hlyg=2,黄鱼
hlyg=3,好良言难劝该死鬼
hlyh=1,话里有话
hlyi=1,黄奕
hlyi=2,黄衣
hlyj=1,谎言
hlyj=2,晃眼
hlyk=1,喝了一口
hlyk=2,红了眼眶
hlyl=1,红鲤鱼与绿鲤鱼与驴
hlym=1,黄粱一梦
hlyr=1,荒原
hlyr=2,黄猿
hlys=1,黄勇
hlyt=1,黄月
hlyt=2,喉咙一甜
hlyt=3,红了樱桃
hlyu=1,黄鱼
hlyu=2,哼了一声
hlyu=3,火力优势
hlyu=4,喊了一声
hlyv=1,换了一种
hlyv=2,谎
hlyv=3,火力压制
hlyv=4,坏了一锅粥
hlyx=1,魂类游戏
hlyy=1,黄云
hlyy=2,黄晕
hlyz=1,晃悠
hlyz=2,黄油
hlyz=3,黄游
hlyz=4,晃晃悠悠
hlz=1,遑
hlz=2,哈喇子
hlz=3,还留在
hlz=4,话篓子
hlzd=1,蝗灾
hlze=1,黄泽
hlzh=1,洪涝灾害
hlzh=2,旱涝灾害
hlzi=1,皇子
hlzi=2,幌子
hlzl=1,黄总
hlzm=1,花剌子模
hlzo=1,慌作
hlzr=1,黄钻
hlzs=1,黄总
hlzu=1,皇族
hlzw=1,遑
hlzz=1,回炉再造
hm=1,还没
hm=2,后面
hm=3,画面
hm=4,好吗
hm=5,虎码
hmb=1,很明白
hmb=2,坏毛病
hmb=3,毫米波
hmbb=1,海绵宝宝
hmbc=1,好马不吃回头草
hmbi=1,好梦不长
hmbm=1,黑猫白猫
hmbt=1,好马不回头
hmbu=1,猴面包树
hmbx=1,昏迷不醒
hmc=1,花名册
hmd=1,黑名单
hmd=2,还没到
hmd=3,还没定
hmdd=1,还没达到
hmdd=2,还没等到
hmdh=1,河姆渡文化
hmdh=2,还没到时候
hmdj=1,毁灭殆尽
hmdx=1,合目的性
hme=1,黑木耳
hmed=1,汉密尔顿
hmed=2,哈密尔顿
hmeq=1,毁灭一切
hmf=1,很麻烦
hmf=2,好麻烦
hmg=1,哈密瓜
hmg=2,还没给
hmg=3,画面感
hmg=4,红玫瑰
hmgb=1,画面过曝
hmgi=1,毁灭高潮
hmgl=1,汗马功劳
hmgv=1,毫米汞柱
hmh=1,荒漠化
hmha=1,忽明忽暗
hmha=2,或明或暗
hmhm=1,好嘛好嘛
hmhm=2,忽明忽灭
hmiw=1,还没吃完
hmj=1,护目镜
hmj=2,喝闷酒
hmj=3,黄焖鸡
hmjf=1,黄焖鸡米饭
hmjg=1,鹤鸣九皋
hmjh=1,后门进虎
hmji=1,黑猫警长
hmjj=1,红木家具
hmjl=1,荒谬绝伦
hmjs=1,虹膜解锁
hmju=1,豪门巨室
hmjv=1,黑猫警长
hmk=1,汗毛孔
hmk=2,毫毛孔
hmkd=1,还没看到
hmkd=2,哈曼卡顿
hmkr=1,噷
hml=1,花木兰
hmla=1,话密了嗷
hmlb=1,汉莫拉比
hmld=1,横眉冷对
hmld=2,汉莫拉比法典
hmlj=1,还没来得及
hmll=1,很明了了
hmlm=1,横眉立目
hmlt=1,哈姆雷特
hmlt=2,哈姆莱特
hmlt=3,缓慢流淌
hmlv=1,横眉冷对千夫指
hmlv=2,虹猫蓝兔七侠传
hmly=1,横眉冷眼
hmm=1,灰蒙蒙
hmm=2,黑蒙蒙
hmm=3,黑茫茫
hmmd=1,好妹妹乐队
hmn=1,画眉鸟
hmni=1,好梦难成
hmnm=1,横眉怒目
hmny=1,好梦难圆
hmpa=1,好马配好鞍
hmq=1,很明确
hmq=2,回马枪
hmq=3,豁免权
hmqj=1,豪门千金
hmr=1,还没让
hmr=2,很茫然
hmru=1,讳莫如深
hms=1,红霉素
hmsh=1,侯门似海
hmsv=1,火冒三丈
hmt=1,海绵体
hmt=2,海马体
hmt=3,河漫滩
hmtk=1,画面太美我不敢看
hmtm=1,画面太美
hmu=1,轰鸣声
hmu=2,海面上
hmu=3,画面上
hmu=4,还没睡
hmud=1,好谋善断
hmuj=1,蒿目时艰
hmuj=2,好谋少决
hmum=1,横眉竖目
hmuu=1,荷马史诗
hmuw=1,话没说完
hmuy=1,横眉竖眼
hmve=1,活命之恩
hmvl=1,毫末之利
hmvv=1,慌忙之中
hmw=1,好吗？
hmw=2,还没玩
hmw=3,海明威
hmw=4,还没完
hmwe=1,好吗？”
hmwl=1,横蛮无理
hmwy=1,浩渺无垠
hmx=1,很明显
hmx=2,毁灭性
hmx=3,黄梅戏
hmxh=1,还没想好
hmxi=1,和睦相处
hmxj=1,毁灭性打击
hmxu=1,盒马鲜生
hmxu=2,缓慢行驶
hmxu=3,很明显是
hmxy=1,虎门销烟
hmy=1,还没有
hmy=2,鸿门宴
hmy=3,很满意
hmyd=1,还没有到
hmyd=2,很满意的
hmyd=3,还没有定
hmyl=1,很满意了
hmyl=2,豪迈有力
hmyq=1,还没有去
hmyq=2,毁灭一切
hmyq=3,怀民亦未寝
hmys=1,很没意思
hmyt=1,黄毛丫头
hmyu=1,回眸一笑百媚生
hmyv=1,画面一转
hmyw=1,还没有完
hmyx=1,回眸一笑
hmz=1,很满足
hmz=2,红帽子
hn=1,很难
hn=2,还能
hn=3,怀念
hn=4,糊弄
hnb=1,汉尼拔
hnbd=1,好男不与女斗
hnbd=2,好男不跟女斗
hnbi=1,海纳百川
hnbi=2,很难不支持
hnbi=3,河南拔智齿
hnbj=1,很难比较
hnbm=1,很难避免
hnbn=1,还能不能
hnbr=1,很难辨认
hnbu=1,黄泥巴掉裤裆，不是屎也是屎
hnbv=1,很难保证
hnbw=1,很难把握
hnbz=1,河南梆子
hnc=1,湖南菜
hncj=1,海内存知己
hnd=1,很难得
hnd=2,海南岛
hnd=3,黄牛党
hndf=1,很难对付
hndq=1,华南地区
hndx=1,河南大学
hndx=2,湖南大学
hne=1,好男儿
hnef=1,好男儿志在四方
hnfh=1,好女费汉
hnfj=1,很难发觉
hnfq=1,患难夫妻
hnfx=1,很难发现
hng=1,还能够
hng=2,好你个
hng=3,很难过
hngb=1,很难改变
hngq=1,怀念过去
hngq=2,糊弄过去
hnh=1,华南虎
hnh=2,花鸟画
hnh=3,坏男孩
hnhn=1,糊弄糊弄
hnhr=1,患难何曾见一人
hnhy=1,何年何月
hni=1,喝奶茶
hnid=1,汗牛充栋
hnig=1,婚内出轨
hniu=1,湖南长沙
hniu=2,很难承受
hniy=1,花鸟虫鱼
hnj=1,回娘家
hnjq=1,患难见真情
hnju=1,很难接受
hnju=2,很难解释
hnjy=1,很难驾驭
hnk=1,很难看
hnk=2,好难看
hnk=3,贺年卡
hnkk=1,很难开口
hnkv=1,很难控制
hnl=1,很努力
hnl=2,活腻了
hnlg=1,华南理工
hnlj=1,很难理解
hnln=1,红男绿女
hnmy=1,猴年马月
hnn=1,滑腻腻
hnp=1,贺年片
hnpd=1,很难判断
hnqb=1,很难区别
hnqd=1,很难确定
hnqf=1,很难区分
hnr=1,很难让
hnr=2,还能让
hnr=3,好男人
hnr=4,好女人
hnrr=1,很难让人
hnrr=2,还能让人
hnt=1,混凝土
hnt=2,很难听
hntd=1,很难听到
hntp=1,很难突破
hnty=1,很难统一
hnu=1,还能是
hnu=2,河南省
hnu=3,后脑勺
hnu=4,很难说
hnue=1,后脑勺儿
hnui=1,很难收场
hnux=1,很难实现
hnvd=1,很难知道
hnvj=1,患难之交
hnvy=1,还能这样
hnw=1,海内外
hnwu=1,湖南卫视
hnwu=2,河南卫视
hnxx=1,很难想象
hnxx=2,很难相信
hny=1,还能用
hnyd=1,后娘养的
hnyf=1,很难应付
hnyg=1,患难与共
hnyi=1,花鸟鱼虫
hnyj=1,核能预警
hnyn=1,画女硬说男
hnyn=2,画男硬说女
hnyq=1,和你一起
hnyy=1,和你一样
hnz=1,还能再
