a=1,啊
fipf=1,非常佩服
fipj=1,非常平静
fipp=1,风尘仆仆
fipq=1,非常迫切
fipt=1,非常普通
fipu=1,非常朴实
fipw=1,非常平稳
fiqd=1,非常强大
fiqf=1,非常气愤
fiqg=1,非常奇怪
fiqi=1,非常清楚
fiqm=1,非常奇妙
fiqs=1,非常轻松
firg=1,非常任理事国
firl=1,非常热烈
firn=1,非常热闹
firt=1,非常认同
firu=1,风吹日晒
firv=1,非常认真
firx=1,非常荣幸
firy=1,非常容易
fisb=1,非常随便
fisx=1,废除死刑
fitb=1,非常特别
fiti=1,非常突出
fitk=1,非常痛苦
fitu=1,非常特殊
fitx=1,非常痛心
fiud=1,非常手段
fiud=2,非常少的
fiug=1,非常设机构
fiuh=1,非常适合
fiuj=1,付出生命的代价
fiuk=1,非常深刻
fiuk=2,非常时刻
fium=1,浮出水面
fiuq=1,非常时期
fiuq=2,非常生气
fiur=1,非常深入
fiux=1,非常熟悉
fiuy=1,发出声音
fivd=1,非常值得
fivd=2,非常重要的
fivh=1,非常之好
fivi=1,非常之处
fivj=1,覆车之鉴
fivj=2,房产中介
fivl=1,覆巢之下安有完卵
fivm=1,复仇者联盟
fivq=1,非常正确
fivq=2,非常准确
fivu=1,非常重视
fivu=2,非常之时
fivw=1,非池中物
fivx=1,非常之行
fivx=2,覆巢之下
fivy=1,非常重要
fiwd=1,非常稳定
fiwj=1,发出文件
fiwl=1,覆巢无完卵
fiwm=1,非常完美
fiwr=1,非诚勿扰
fiwx=1,非常危险
fixf=1,非常兴奋
fixh=1,非常喜欢
fixj=1,反唇相讥
fixj=2,反唇相稽
fixk=1,非常辛苦
fixr=1,非常信任
fixr=2,非常吸引人
fixs=1,非常相似
fixu=1,非常欣赏
fixv=1,非常细致
fixw=1,非常希望
fixw=2,非常向往
fixx=1,反常现象
fixx=2,非常小心
fixy=1,非常需要
fixy=2,非常幸运
fixy=3,放长线钓大鱼
fixz=1,丰川祥子
fiyd=1,风吹雨打
fiyg=1,非常严格
fiyg=2,非常应该
fiyh=1,非常遗憾
fiyh=2,非常友好
fiyl=1,风吹雨淋
fiym=1,非常优美
fiym=2,非常有名
fiyq=1,付出一切
fiyq=2,非常有趣
fiys=1,风吹云散
fiys=2,非常严肃
fiyv=1,非常严重
fiyx=1,非常有限
fiyx=2,非常优秀
fiyy=1,妇产医院
fiyy=2,非常有用
fiyz=1,非常用字
fizg=1,非常糟糕
fizr=1,非常自然
fizx=1,逢场作戏
fizx=2,非常仔细
fjan=1,翻案
fjan=2,帆
fjan=3,犯案
fjan=4,㠶
fjan=5,凣
fjap=1,幡
fjaq=1,饭
fjba=1,反霸
fjba=2,䀀
fjba=3,盕
fjbd=1,泛白
fjbd=2,翻白
fjbf=1,范本
fjbf=2,翻本
fjbh=1,反绑
fjbh=2,番邦
fjbh=3,分久必合
fjbi=1,反比
fjbi=2,饭毕
fjbj=1,翻版
fjbj=2,帆板
fjbj=3,瀿
fjbk=1,犯病
fjbl=1,分斤掰两
fjbm=1,翻遍
fjbm=2,翻边
fjbm=3,渢
fjbo=1,反驳
fjbo=2,饭钵
fjbu=1,帆布
fjbu=2,反哺
fjbv=1,氾
fjbw=1,翻倍
fjbw=2,反被
fjbx=1,泛
fjbx=2,附加保险
fjbx=3,㴀
fjcd=1,饭菜
fjce=1,反侧
fjcg=1,分筋错骨
fjci=1,凡此
fjco=1,犯错
fjcu=1,分筋错骨手
fjcy=1,风卷残云
fjdc=1,反倒
fjdc=2,翻到
fjdc=3,反导
fjdh=1,反党
fjdh=2,返档
fjdh=3,翻江倒海
fjdi=1,翻地
fjdi=2,反帝
fjdi=3,非机动车
fjdl=1,封疆大吏
fjdm=1,饭店
fjdm=2,饭点
fjdn=1,訉
fjdn=2,翻掉
fjdo=1,繁多
fjdp=1,飞机大炮
fjdp=2,䊩
fjdp=3,籵
fjdr=1,附近的人
fjds=1,翻动
fjds=2,反动
fjdu=1,贩毒
fjdu=2,泛读
fjdv=1,反对
fjdz=1,翻斗
fjdz=2,奿
fjep=1,返
fjeq=1,反
fjer=1,反而
fjer=2,范儿
fjfa=1,犯法
fjfg=1,反讽
fjfh=1,反方
fjfj=1,翻翻
fjfj=2,繁
fjfj=3,翻番
fjfj=4,泛泛
fjfj=5,䋣
fjfj=6,䌓
fjfj=7,緐
fjfu=1,反复
fjfu=2,反腐
fjfu=3,繁复
fjfw=1,翻飞
fjfw=2,饭费
fjfw=3,附加服务
fjfz=1,饭否
fjgc=1,梵高
fjgd=1,翻盖
fjgd=2,翻改
fjge=1,反戈
fjgg=1,翻耕
fjgh=1,返岗
fjgj=1,反感
fjgj=2,封建割据
fjgj=3,副交感神经
fjgl=1,反光
fjgo=1,翻过
fjgo=2,犯过
fjgo=3,返国
fjgp=1,璠
fjgp=2,鐇
fjgr=1,饭馆
fjgr=2,反观
fjgs=1,返工
fjgs=2,反攻
fjgs=3,反共
fjgs=4,翻工
fjgs=5,翻供
fjgu=1,反骨
fjgv=1,犯规
fjgv=2,返归
fjgx=1,番瓜
fjgx=2,反挂
fjgy=1,翻滚
fjhc=1,番号
fjhd=1,反害
fjhd=2,返还
fjhe=1,饭盒
fjhe=2,反核
fjhh=1,返航
fjhj=1,泛函
fjhj=2,放假回家
fjhj=3,分进合击
fjhl=1,泛黄
fjhm=1,房间号码
fjhs=1,泛红
fjhs=2,翻红
fjhv=1,返回
fjhv=2,反悔
fjhw=1,反黑
fjhx=1,繁华
fjhx=2,繁花
fjhx=3,反话
fjhy=1,犯浑
fjhz=1,饭后
fjia=1,反差
fjia=2,反查
fjic=1,反超
fjic=2,返潮
fjie=1,翻车
fjif=1,凡尘
fjif=2,反衬
fjig=1,返程
fjig=2,繁盛
fjih=1,反常
fjih=2,翻唱
fjih=3,风紧扯呼
fjih=4,繁昌
fjir=1,帆船
fjir=2,反串
fjir=3,翻船
fjis=1,反冲
fjis=2,犯冲
fjiu=1,翻出
fjiu=2,泛出
fjiu=3,反刍
fjiw=1,坊间传闻
fjiz=1,范畴
fjiz=2,犯愁
fjjb=1,范进
fjjb=2,犯禁
fjjd=1,非奸即盗
fjji=1,反击
fjji=2,反季
fjjk=1,返京
fjjk=2,犯境
fjjl=1,翻浆
fjjl=2,反将
fjjm=1,犯贱
fjjm=2,繁简
fjjm=3,凡间
fjjn=1,翻搅
fjjn=2,矾
fjjn=3,反角
fjjp=1,犯戒
fjjp=2,繙
fjjp=3,䋦
fjjp=4,反接
fjjr=1,翻卷
fjju=1,饭局
fjju=2,番剧
fjjx=1,返家
fjjx=2,反甲
fjka=1,饭卡
fjkd=1,翻开
fjkh=1,反抗
fjkj=1,翻看
fjkn=1,钒
fjkp=1,𫔍
fjkr=1,返款
fjkr=2,饭款
fjks=1,反恐
fjku=1,费尽口舌
fjkv=1,反馈
fjky=1,犯困
fjkz=1,反口
fjkz=2,反扣
fjlc=1,烦劳
fjld=1,风急浪大
fjle=1,犯了
fjle=2,反了
fjle=3,烦了
fjlg=1,风急浪高
fjli=1,反例
fjli=2,范例
fjli=3,返利
fjli=4,饭粒
fjlj=1,泛滥
fjlj=2,泛蓝
fjlk=1,翻领
fjll=1,饭量
fjll=2,㼝
fjll=3,泛亮
fjlm=1,翻脸
fjlm=2,反链
fjlq=1,反流
fjlr=1,烦乱
fjlr=2,繁乱
fjls=1,樊笼
fjlu=1,翻录
fjlv=1,泛绿
fjlx=1,费尽了心
fjma=1,飜
fjma=2,反码
fjma=3,范马
fjmc=1,繁茂
fjmc=2,翻毛
fjmd=1,贩卖
fjmf=1,烦闷
fjmh=1,繁忙
fjmi=1,繁密
fjmm=1,反面
fjmm=2,翻
fjmm=3,翻面
fjmp=1,番
fjmp=2,非镜面屏
fjmp=3,勫
fjmr=1,风景迷人
fjmr=2,鷭
fjmu=1,反目
fjmu=2,风景名胜
fjmw=1,饭没
fjmw=2,泛美
fjmx=1,封建迷信
fjmx=2,飞机模型
fjmy=1,𬸪
fjnc=1,烦恼
fjni=1,烦你
fjni=2,烦腻
fjnj=1,犯难
fjnm=1,颿
fjnm=2,凡念
fjnm=3,翻年
fjnn=1,凡
fjnn=2,䭵
fjnn=3,軓
fjnr=1,附加内容
fjns=1,翻弄
fjny=1,弗吉尼亚
fjny=2,佛吉尼亚
fjnz=1,费尽脑子
fjon=1,梵
fjon=2,樊
fjon=3,杋
fjoo=1,烦哦
fjoo=2,棥
fjpb=1,凡品
fjpb=2,返聘
fjpd=1,反派
fjpd=2,翻拍
fjpd=3,饭拍
fjpf=1,饭盆
fjpi=1,翻皮
fjpj=1,翻盘
fjpj=2,反叛
fjpm=1,翻篇
fjpm=2,反骄破满
fjpn=1,饭票
fjpq=1,畈
fjpu=1,反扑
fjpu=2,饭铺
fjqc=1,费尽钱财
fjqf=1,飞机起飞
fjqi=1,泛起
fjqi=2,翻起
fjqj=1,富家千金
fjqj=2,放假期间
fjqk=1,烦请
fjqk=2,反清
fjqk=3,返青
fjql=1,翻墙
fjql=2,反呛
fjqm=1,饭前
fjqm=2,饭钱
fjqm=3,返钱
fjqp=1,番茄
fjqq=1,販
fjqq=2,反求
fjqr=1,饭圈
fjqr=2,返券
fjqt=1,䀟
fjqt=2,梵缺
fjqz=1,负荆请罪
fjrc=1,烦扰
fjrf=1,凡人
fjrf=2,犯人
fjrf=3,烦人
fjrh=1,风景如画
fjri=1,反日
fjrj=1,幡然
fjrp=1,燔
fjrp=2,籓
fjrp=3,䉒
fjrp=4,䉊
fjrs=1,繁荣
fjru=1,翻入
fjru=2,繁缛
fjrz=1,烦
fjsb=1,罚酒三杯
fjse=1,反色
fjsi=1,反思
fjsi=2,烦死
fjsl=1,费尽思量
fjsl=2,腹肌撕裂
fjso=1,繁琐
fjso=2,反锁
fjso=3,烦琐
fjsu=1,凡俗
fjsu=2,反诉
fjsx=1,抚今思昔
fjsx=2,封建思想
fjtg=1,翻腾
fjtg=2,风急天高
fjth=1,饭堂
fjti=1,繁体
fjti=2,饭替
fjtj=1,反弹
fjtj=2,反贪
fjtj=3,翻弹
fjtj=4,附加条件
fjtk=1,饭厅
fjtk=2,泛听
fjtm=1,翻天
fjtm=2,梵天
fjtn=1,翻跳
fjtn=2,反调
fjtp=1,墦
fjtp=2,軬
fjtp=3,凡铁
fjtr=1,饭团
fjts=1,饭桶
fjtv=1,反推
fjtv=2,封建统治
fjtx=1,富甲天下
fjtz=1,烦透
fjtz=2,反投
fjua=1,犯傻
fjua=2,反杀
fjuc=1,饭勺
fjud=1,翻晒
fjud=2,封建时代
fjue=1,反射
fjuf=1,翻身
fjuf=2,反身
fjuh=1,犯上
fjuh=2,反伤
fjuh=3,封建社会
fjui=1,凡是
fjui=2,凡事
fjui=3,反噬
fjui=4,范式
fjuj=1,翻山
fjuq=1,封建时期
fjuq=2,非军事区
fjuu=1,翻书
fjuu=2,番薯
fjuu=3,飞机失事
fjuv=1,反水
fjuv=2,返税
fjuz=1,反手
fjuz=2,贩售
fjvc=1,翻找
fjvd=1,封建制度
fjvf=1,反震
fjvf=2,发家致富
fjvg=1,反正
fjvg=2,反证
fjvi=1,繁殖
fjvi=2,反之
fjvi=3,饭制
fjvi=4,泛指
fjvi=5,反制
fjvj=1,反战
fjvj=2,范进中举
fjvj=3,反间之计
fjvl=1,饭庄
fjvl=2,缚鸡之力
fjvm=1,非静止画面
fjvo=1,饭桌
fjvr=1,反转
fjvr=2,翻转
fjvs=1,繁重
fjvs=2,繁中
fjvv=1,费尽周折
fjvv=2,犯
fjvv=3,封建专制
fjvv=4,䐪
fjvx=1,抚今追昔
fjvx=2,封建主义思想
fjvy=1,封建主义
fjvy=2,封见主义
fjvz=1,泛舟
fjvz=2,飞机制造
fjwd=1,番外
fjwf=1,反问
fjwf=2,范文
fjwf=3,梵文
fjwi=1,封建王朝
fjwj=1,饭碗
fjwj=2,翻完
fjwu=1,反诬
fjwu=2,繁芜
fjwv=1,封建王朝
fjww=1,范围
fjww=2,反胃
fjxb=1,翻新
fjxb=2,烦心
fjxc=1,分家析产
fjxd=1,房价下跌
fjxi=1,反洗
fjxj=1,蘩
fjxj=2,费尽心机
fjxk=1,反省
fjxk=2,繁星
fjxl=1,反响
fjxl=2,反向
fjxl=3,风景秀丽
fjxl=4,返乡
fjxm=1,返现
fjxm=2,犯嫌
fjxn=1,返校
fjxn=2,返销
fjxp=1,藩
fjxp=2,䕰
fjxp=3,犯些
fjxp=4,犯邪
fjxq=1,翻修
fjxq=2,返修
fjxs=1,费尽心思
fjxu=1,凡需
fjxu=2,反序
fjxv=1,范
fjxx=1,犯下
fjxx=2,费尽心血
fjxx=3,䒦
fjyb=1,梵音
fjyb=2,翻印
fjyc=1,反咬
fjyc=2,反要
fjye=1,翻页
fjye=2,反野
fjyf=1,富甲一方
fjyh=1,翻样
fjyh=2,放假以后
fjyi=1,翻译
fjyi=2,反义
fjyj=1,繁衍
fjyj=2,翻眼
fjyj=3,反将一军
fjyk=1,反应
fjyk=2,反映
fjym=1,风景优美
fjyr=1,丰俭由人
fjys=1,翻涌
fjys=2,返佣
fjyt=1,翻阅
fjyt=2,翻越
fjyu=1,繁育
fjyu=2,番禺
fjyu=3,反语
fjyy=1,贩运
fjyy=2,犯晕
fjyy=3,佛教用语
fjyz=1,烦忧
fjyz=2,饭友
fjyz=3,反犹
fjza=1,繁杂
fjza=2,烦杂
fjzc=1,烦躁
fjzc=2,反遭
fjzd=1,富家子弟
fjzg=1,范增
fjzi=1,贩子
fjzp=1,蹯
fjzp=2,封建糟粕
fjzp=3,嬏
fjzp=4,㛯
fjzq=1,贩
fjzr=1,防君子不防小人
fjzr=2,婏
fjzu=1,返祖
fjzu=2,返租
fjzv=1,犯罪
fjzw=1,反贼
fjzw=2,嬎
fkau=1,疯狂暗示
fkbg=1,逢考必过
fkdg=1,富可敌国
fkdh=1,疯狂打电话
fkdi=1,疯狂动物城
fkdj=1,浮夸的演技
fkdn=1,放空大脑
fkdv=1,反恐斗争
fkfu=1,付款方式
fkhz=1,反恐合作
fkil=1,罚款处理
fkip=1,凡客诚品
fkiq=1,翻空出奇
fkjb=1,防空警报
fkjl=1,访客记录
fkjv=1,佛靠金装
fkjy=1,反恐精英
fkld=1,防空雷达
fkld=2,福克兰群岛
fklj=1,风口浪尖
fknz=1,放空脑子
fkqi=1,俯瞰全场
fksx=1,放开思想
fktd=1,飞科剃须刀
fktd=2,付款通道
fkue=1,罚款数额
fkui=1,疯狂输出
fkuj=1,放开手脚
fkux=1,佛口蛇心
fkux=2,佛口圣心
fkuy=1,方可使用
fkuy=2,分开使用
fkwv=1,反客为主
fkxs=1,疯狂星期四
fkyj=1,反馈意见
fkyp=1,反抗压迫
fkyr=1,疯狂原始人
fkyv=1,妇科炎症
fkyy=1,疯狂英语
flbh=1,法律保护
flbh=2,费力不讨好
flbj=1,放浪不羁
flbj=2,翻录必究
flbq=1,分类标签
flbr=1,翻脸不认
flbr=2,翻脸不认人
flbv=1,法律保障
flbv=2,翻脸不认账
flck=1,分类词库
flcp=1,福利彩票
flcz=1,风流才子
fldc=1,发了大财
fldf=1,反垄断法
fldj=1,犯了大忌
fldk=1,符拉迪沃斯托克
fldm=1,飞离地面
fldv=1,峰峦叠嶂
fldw=1,法律地位
fldy=1,福利待遇
fled=1,弗雷尔卓德
flel=1,焚林而猎
flet=1,焚林而田
flfd=1,风力发电
flfg=1,法律法规
flfk=1,奋力反抗
flfm=1,非驴非马
flfq=1,翻来覆去
flfq=2,飞来飞去
flfw=1,法律服务
flfz=1,纷乱复杂
flgd=1,法律规定
flgj=1,分裂国家
flgp=1,放了个屁
flgt=1,翻了个底朝天
flgw=1,犯了个错误
flhd=1,发来贺电
flhd=2,福利活动
flhh=1,飞来横祸
flhj=1,法律环境
flht=1,返老还童
flhu=1,风林火山
flii=1,翻脸成仇
flim=1,分离重码
fliu=1,法律常识
flix=1,法律程序
flix=2,风流成性
fliz=1,泛滥成灾
fljd=1,风流绝代
fljg=1,分类价格
fljj=1,福利基金
fljl=1,费了九牛二虎之力
fljq=1,分裂间期
flju=1,傅雷家书
flju=2,法律解释
fljv=1,奋力角逐
fljx=1,封狼居胥
flkf=1,法兰克福
flkh=1,风流快活
flkk=1,发来看看
flkl=1,富兰克林
flkt=1,弗兰肯斯坦
flkz=1,法律空子
flld=1,佛罗里达
flld=2,佛罗里达半岛
fllj=1,分类垃圾
fllj=2,费了老劲
fllq=1,风里来，雨里去
fllq=2,风里来雨里去
fllr=1,佛罗里达不养闲人
flls=1,佛罗伦萨
fllv=1,佛罗里达州
fllx=1,费力劳心
flmb=1,犯了毛病
flmg=1,弗拉门戈
flmg=2,弗拉明戈
flmu=1,风流名士
flnl=1,服了你了
flpb=1,奋力拼搏
flpj=1,防狼喷剂
flpw=1,防狼喷雾
flpx=1,法律培训
flqg=1,风流千古
flqj=1,奋力抢救
flqw=1,法律权威
flrj=1,峰峦如聚
flrm=1,纷乱如麻
flrw=1,风流人物
flry=1,风流儒雅
flss=1,法律诉讼
flth=1,富丽堂皇
fltl=1,分类讨论
fltl=2,法律条例
fltt=1,风流倜傥
fltt=2,犯了天条
fltw=1,法律条文
flud=1,法律手段
flud=2,放老实点
fluq=1,福禄双全
fluv=1,放量上涨
fluv=2,风流水转
flux=1,福禄寿喜
flux=2,福禄寿禧
fluy=1,福利事业
flvc=1,法律制裁
flvc=2,涪陵榨菜
flvd=1,法律制度
flvg=1,奋力追赶
flvi=1,飞流直下三千尺
flvk=1,饭来张口
flvk=2,发聋振聩
flvm=1,分离重码
flvn=1,犯了众怒
flvu=1,法律知识
flvx=1,飞流直下
flvy=1,分离主义
flvy=2,分裂主义
flwb=1,法力无边
flwd=1,非礼勿动
flwh=1,法律委员会
flwj=1,法律文件
flwq=1,翻脸无情
flwt=1,非礼勿听
flwu=1,非礼勿视
flwu=2,法律文书
flwv=1,分类网站
flwy=1,非礼勿言
flxd=1,父老兄弟
flxd=2,放量下跌
flxg=1,法兰西玫瑰
flxh=1,放浪形骸
flxl=1,法律效力
flxq=1,父老乡亲
flxq=2,奋力向前
flxs=1,风流潇洒
flxy=1,扶老携幼
flyb=1,奋力一搏
flyb=2,翻了一倍
flyd=1,弗洛伊德
flyf=1,翻了一番
flyg=1,发了一个
flyg=2,风浪越大鱼越贵
flyh=1,傅里叶变换
flyj=1,法律依据
flyk=1,傅立叶展开
flys=1,风流云散
flyu=1,风流韵事
flyu=2,法律意识
flyv=1,法律援助
flyy=1,风灵月影
flzr=1,法律责任
flzt=1,飞龙在天
flzx=1,法律咨询
fmbd=1,负面报道
fmbd=2,放明白点
fmbh=1,分门别户
fmbl=1,锋芒毕露
fmbl=2,分门别类
fmbr=1,锋芒逼人
fmbv=1,分秒必争
fmdi=1,粉墨登场
fmdz=1,佛门弟子
fmeq=1,奋袂而起
fmgl=1,放马过来
fmhp=1,放马后炮
fmib=1,飞沫传播
fmii=1,反目成仇
fmiz=1,发明创造
fmjb=1,放慢脚步
fmjc=1,反面教材
fmjd=1,佛门净地
fmjd=2,放慢进度
fmjj=1,封茗囧菌
fmjl=1,佛门戒律
fmjs=1,反面角色
fmjt=1,佛门净土
fmlj=1,凤毛麟角
fmnj=1,风马牛不相及
fmpj=1,负面评价
fmpl=1,负面评论
fmqf=1,夫目前犯
fmqg=1,风靡全国
fmqg=2,风貌全国
fmqq=1,风靡全球
fmqq=2,肥马轻裘
fmqx=1,负面情绪
fmrw=1,反面人物
fmsx=1,锋芒所向
fmuw=1,父母双亡
fmve=1,父母之恩
fmvl=1,发明专利
fmvm=1,父母之命
fmvy=1,凤鸣朝阳
fmwi=1,反目为仇
fmwj=1,奉命唯谨
fmwq=1,反面无情
fmxd=1,父母兄弟
fmxs=1,伐毛洗髓
fmxu=1,奉命行事
fmxw=1,负面新闻
fmys=1,负面因素
fmyu=1,风靡一时
fmyx=1,负面影响
fmyz=1,蜂蜜柚子
fmzb=1,父母之邦
fmzy=1,负面作用
fnbk=1,非你不可
fndb=1,妇女代表
fndh=1,妇女大会
fndn=1,愤怒的小鸟
fndt=1,非牛顿流体
fndw=1,妇女地位
fnet=1,妇女儿童
fnfw=1,份内份外
fngc=1,肥醲甘脆
fngj=1,逢年过节
fngx=1,父女关系
fnhi=1,飞鸟和蝉
fnhl=1,佛怒火莲
fnjc=1,飞鸟尽良弓藏
fnjc=2,飞鸟尽，良弓藏
fnjf=1,妇女解放
fnjk=1,妇女健康
fnjt=1,烦恼皆因强出头
fnks=1,菲尼克斯
fnlh=1,妇女联合会
fnlr=1,父女两人
fnmp=1,放你妈狗屁
fnmu=1,非你莫属
fnnp=1,放你娘的屁
fnql=1,妇女权利
fnqu=1,父女情深
fnqy=1,妇女权益
fntl=1,佛怒唐莲
fntt=1,妇女团体
fnvu=1,分内之事
fnvu=2,份内之事
fnvy=1,妇女之友
fnwu=1,妇女卫生
fnym=1,放你一马
fnym=2,冯诺依曼
fnzv=1,妇女组织
fodc=1,佛道
fodm=1,佛典
fodm=2,佛殿
fofa=1,佛法
foft=1,佛
foft=2,仏
fogl=1,佛光
fohc=1,佛号
fohv=1,佛会
fojh=1,非欧几何
fojk=1,佛经
fojn=1,佛教
fojn=2,佛脚
fojx=1,佛家
fokj=1,佛龛
folc=1,佛老
foli=1,佛理
foli=2,佛历
fomf=1,佛门
fopk=1,佛坪
foqm=1,佛前
foqu=1,佛曲
fosi=1,佛寺
fota=1,佛塔
foth=1,佛堂
foto=1,佛陀
fotz=1,佛头
foui=1,佛事
fouj=1,佛山
fouo=1,佛说
fouu=1,佛书
fouz=1,佛手
fovu=1,佛珠
fovu=2,佛主
foxb=1,佛心
foxk=1,佛性
foxl=1,佛像
foxl=2,佛相
foxt=1,佛学
foya=1,佛牙
foyb=1,佛印
foye=1,佛爷
foyr=1,佛缘
fozu=1,佛祖
fpbh=1,风评被害
fpdd=1,奉陪到底
fpfa=1,分配方案
fpfu=1,分配方式
fpfv=1,风评反转
fpgp=1,分配公平
fpgv=1,返璞归真
fpkf=1,扶贫开发
fplc=1,浮皮潦草
fplj=1,风平浪静
fplr=1,分配利润
fpmr=1,疯批美人
fpqk=1,分配情况
fprw=1,分配任务
fprw=2,反派人物
fpsd=1,反派死于话多
fptd=1,分配土地
fptv=1,分配体制
fptx=1,幅频特性
fpuk=1,抚平伤口
fpvc=1,分配政策
fpvd=1,分配制度
fpwb=1,分配完毕
fpwk=1,访贫问苦
fpxy=1,幅频响应
fpyq=1,发朋友圈
fpyz=1,分配原则
fqbd=1,分歧不大
fqbh=1,饭前便后
fqbk=1,非去不可
fqbx=1,肺气不宣
fqcv=1,风前残烛
fqdk=1,放弃抵抗
fqdv=1,反其道而行之
fqdx=1,反其道而行
fqdy=1,分清敌友
fqea=1,夫妻恩爱
fqfd=1,富强发达
fqfg=1,非亲非故
fqfh=1,饭前饭后
fqfk=1,分期付款
fqfk=2,奋起反抗
fqfm=1,反清复明
fqfm=2,夫妻反目
fqfp=1,夫妻肺片
fqfp=2,分期分批
fqgf=1,番茄工作法
fqgq=1,夫妻感情
fqgx=1,夫妻关系
fqht=1,发起话题
fqhy=1,负屈含冤
fqid=1,番茄炒蛋
fqiy=1,风起潮涌
fqiz=1,负气出走
fqjg=1,发起进攻
fqkf=1,分期开发
fqkl=1,分情况讨论
fqll=1,飞起来了
fqlv=1,番茄连招
fqmq=1,父亲母亲
fqmv=1,富强民主
fqmx=1,分期免息
fqmx=2,富强民主文明和谐
fqmy=1,扶清灭洋
fqrv=1,非全日制
fqsd=1,放轻松点
fqtd=1,番茄土豆
fqth=1,非全贴合
fqtm=1,非全贴合屏幕
fqtp=1,发起投票
fqtx=1,发起偷袭
fquf=1,分清是非
fquf=2,夫妻双方
fquf=3,风情少妇
fquh=1,夫妻生活
fquh=2,夫妻双双把家还
fqun=1,肺气上逆
fquu=1,夫妻双双
fquv=1,酚醛树脂
fqvh=1,焚琴煮鹤
fqvj=1,夫妻之间
fqvj=2,反求诸己
fqvl=1,放弃治疗
fqvm=1,风樯阵马
fqvv=1,奋起直追
fqvx=1,风气之先
fqwh=1,房前屋后
fqwh=2,饭圈文化
fqwj=1,非请勿进
fqwr=1,非请勿入
fqwu=1,废寝忘食
fqwv=1,风情万种
fqwx=1,发起位置共享
fqxu=1,番茄小说
fqxu=2,饭前洗手
fqxx=1,发群消息
fqyb=1,枫桥夜泊
fqyd=1,风轻云淡
fqyd=2,风清云淡
fqyi=1,夫妻一场
fqyj=1,飞起一脚
fqyl=1,风清月朗
fqyl=2,分区压力
fqym=1,风趣幽默
fqyq=1,放弃一切
fqyv=1,风情月债
fqyy=1,风起云涌
fqyz=1,封妻荫子
fqzb=1,飞墙走壁
fqzr=1,负起责任
fqzu=1,飞禽走兽
frbg=1,放任不管
frbg=2,法人变更
frbu=1,逢人便说
frbx=1,凡人不可貌相
frby=1,怫然不悦
frby=2,服软不服硬
frdb=1,法人代表
frdh=1,福如东海
frdj=1,肥肉大酒
frdw=1,法人地位
fref=1,废然而返
frfq=1,繁荣富强
frft=1,丰乳肥臀
frfv=1,繁荣发展
frfy=1,附儒风雅
frhj=1,肥肉厚酒
frhw=1,翻然悔悟
frhw=2,幡然悔悟
friu=1,繁荣昌盛
friu=2,芙蓉出水
friv=1,斐然成章
frjd=1,福人居福地
frjj=1,繁荣经济
frjt=1,富人家庭
frju=1,逢人就说
frjv=1,妇孺皆知
frkv=1,放入口中
frlz=1,反人类罪
frnl=1,芙蓉女儿诔
frnv=1,肤如凝脂
frqg=1,夫荣妻贵
frqh=1,逢人且说三分话
frsf=1,发人所未发
frsl=1,否认三连
fruf=1,法人身份
fruh=1,疯人说疯话
frum=1,奉若神明
frus=1,发人深思
fruu=1,发人深省
fruu=2,否认事实
frux=1,发人深省
frvb=1,奉若至宝
frvh=1,逢人只说三分话
frvj=1,妇人之见
frvm=1,凡人之躯，比肩神明
frvq=1,凡人之躯
frvr=1,妇人之仁
frvw=1,防人之心不可无
frvx=1,防人之心
frwd=1,繁荣稳定
frwh=1,繁荣文化
frwj=1,乏人问津
frwy=1,芙蓉王源
frxi=1,妇人心肠
frxj=1,飞入寻常百姓家
frxv=1,凡人修仙传
frxv=2,凡人修真
frxw=1,幡然醒悟
frxw=2,繁荣兴旺
frxx=1,凡人修仙
fryq=1,否认一切
fryq=2,扶弱抑强
fryu=1,弗如远甚
fryx=1,富人游戏
fryz=1,方枘圆凿
frzg=1,法人资格
frzl=1,放任自流
frzs=1,怫然作色
frzy=1,放任自由
frzy=2,凡人遭殃
fsbk=1,非死不可
fsdj=1,富商大贾
fsdk=1,奋死抵抗
fsdq=1,分散对齐
fsdx=1,发送短信
fsfs=1,放松放松
fsfv=1,飞速发展
fsfx=1,分散风险
fsgq=1,发思古之幽情
fsgy=1,发送给朋友
fshd=1,粉丝互动
fshx=1,粉丝画像
fsjh=1,粉丝见面会
fsjj=1,富商巨贾
fsjs=1,俯拾即是
fsju=1,非死即伤
fskd=1,逢山开道
fslb=1,粉丝列表
fslj=1,粉丝滤镜
fsly=1,副司令员
fsnd=1,粉丝粘度
fsnx=1,粉丝黏性
fsrl=1,烦死人了
fsrq=1,风俗人情
fssq=1,福寿双全
fssw=1,发散思维
fstm=1,俯首听命
fsub=1,发送失败
fsux=1,放松身心
fsvq=1,肤色正确
fswl=1,烦死我了
fswy=1,方遂吾愿
fsxg=1,风俗习惯
fsxu=1,飞速行驶
fsxv=1,粉碎性骨折
fsxx=1,封锁消息
fszj=1,父死子继
fszs=1,飞沙走石
ftbd=1,坟头蹦迪
ftbj=1,非他不嫁
ftbk=1,非他不可
ftbq=1,非她不娶
ftbr=1,粪土不如
ftdc=1,飞天大草
ftdd=1,飞天遁地
ftde=1,肥头大耳
ftdh=1,赴汤蹈火
ftdh=2,分田到户
ftdx=1,非同等闲
ftel=1,纷沓而来
ftev=1,纷沓而至
