字	内部名次	外部名次	来源
欲	1286	899	内部+外部
零	990	1267	内部+外部
束	1660	900	内部+外部
腿	992	1305	内部+外部
舞	1152	902	内部+外部
申	993	1220	内部+外部
伙	1963	904	内部+外部
批	995	932	内部+外部
粥	996	2916	内部+外部
兹	997	1963	内部+外部
享	998	1133	内部+外部
私	1448	908	内部+外部
折	999	1034	内部+外部
债	1000	1557	内部+外部
薄	1003	1247	内部+外部
缓	1655	912	内部+外部
姜	1004	1968	内部+外部
页	1005	1172	内部+外部
税	1006	1502	内部+外部
织	1341	915	内部+外部
陆	1008	1008	内部+外部
赫	1009	1562	内部+外部
概	1834	918	内部+外部
倍	1011	1361	内部+外部
滴	1012	1844	内部+外部
醒	1337	920	内部+外部
损	1013	1189	内部+外部
码	1015	1293	内部+外部
湾	1018	1506	内部+外部
休	1413	926	内部+外部
摇	1825	927	内部+外部
洋	1143	928	内部+外部
坑	1021	2228	内部+外部
败	1438	929	内部+外部
监	1051	930	内部+外部
弗	1026	1554	内部+外部
兄	1969	933	内部+外部
颗	1027	1381	内部+外部
耶	1028		内部
录	1029	1023	内部+外部
淡	1030	1069	内部+外部
庭	1291	937	内部+外部
弹	1033	1054	内部+外部
访	1525	940	内部+外部
仁	1054	942	内部+外部
症	1037	1572	内部+外部
缺	1038	952	内部+外部
聊	1040	1930	内部+外部
羊	1041	1500	内部+外部
避	1498	947	内部+外部
航	1042	1501	内部+外部
阴	1254	948	内部+外部
挑	1045	1029	内部+外部
雄	1205	950	内部+外部
策	1046	966	内部+外部
秘	1786	951	内部+外部
庆	1047	1087	内部+外部
瘦	1048	1770	内部+外部
汇	1049	1532	内部+外部
姑	2099	954	内部+外部
菲	1052	1622	内部+外部
恐	1620	957	内部+外部
脆	1053	2054	内部+外部
释	1520	959	内部+外部
遍	1342	960	内部+外部
握	1613	961	内部+外部
丹	1058	1124	内部+外部
构	1059	1084	内部+外部
幅	1060	1375	内部+外部
虑	1973	964	内部+外部
朗	1063	1266	内部+外部
玛	1064	1552	内部+外部
迷	1162	969	内部+外部
堡	1066	1591	内部+外部
混	1067	1053	内部+外部
检	1105	970	内部+外部
烂	1068	1839	内部+外部
伸	1833	971	内部+外部
圆	1069	1095	内部+外部
饼	1070	2453	内部+外部
攻	1242	973	内部+外部
滑	1071	1323	内部+外部
摆	1073	980	内部+外部
危	1714	976	内部+外部
凯	1074	1627	内部+外部
俩	1075	1652	内部+外部
睛	2638	979	内部+外部
剑	1077	1062	内部+外部
尾	1078	1401	内部+外部
隆	1079	1470	内部+外部
帝	1080	1013	内部+外部
勇	1238	982	内部+外部
判	1428	983	内部+外部
搭	1082	1435	内部+外部
材	1171	984	内部+外部
敏	1083	1320	内部+外部
载	1084	1081	内部+外部
妻	1523	987	内部+外部
剂	1087	1759	内部+外部
签	1089	1449	内部+外部
趣	1571	990	内部+外部
逛	1090	2610	内部+外部
嘴	1109	991	内部+外部
井	1091	1415	内部+外部
逐	1638	992	内部+外部
沃	1092	1977	内部+外部
操	1269	993	内部+外部
宜	1093	1139	内部+外部
午	1424	994	内部+外部
贷	1094	1789	内部+外部
冬	1095	1302	内部+外部
浪	1326	996	内部+外部
宇	1097	1235	内部+外部
默	1336	998	内部+外部
嫩	1098	2515	内部+外部
毫	2197	999	内部+外部
霍	1099	1574	内部+外部
订	1100	1535	内部+外部
爸	1101	1511	内部+外部
珠	1361	1001	内部+外部
鼓	1588	1002	内部+外部
域	1103	1350	内部+外部
阶	1641	1003	内部+外部
孔	1174	1004	内部+外部
池	1106	1393	内部+外部
固	1459	1006	内部+外部
键	1107	1692	内部+外部
扎	1108	1340	内部+外部
诸	1472	1009	内部+外部
佩	1110	1308	内部+外部
陪	1111	1201	内部+外部
遗	1856	1010	内部+外部
堆	1112	1298	内部+外部
爷	1720	1011	内部+外部
帅	1113	1854	内部+外部
述	1570	1012	内部+外部
秒	1115	2087	内部+外部
闭	1804	1014	内部+外部
洪	1117	1285	内部+外部
巨	1221	1017	内部+外部
尝	1119	1237	内部+外部
透	1147	1018	内部+外部
牙	1120	1067	内部+外部
桶	1121	2483	内部+外部
吹	1122	1292	内部+外部
尤	1146	1020	内部+外部
奶	1123	1115	内部+外部
鞋	1124	1763	内部+外部
拥	1430	1022	内部+外部
浓	1125	1411	内部+外部
启	1126	1170	内部+外部
协	1127	1120	内部+外部
跨	1128	1499	内部+外部
熊	1129	1701	内部+外部
弱	1131	1027	内部+外部
麻	1130	1042	内部+外部
敌	1888	1028	内部+外部
链	1132	2226	内部+外部
典	1133	1147	内部+外部
韦	1134		内部
迹	2063	1031	内部+外部
抽	1265	1032	内部+外部
鸟	1136	1325	内部+外部
忍	1512	1033	内部+外部
饱	1137	2036	内部+外部
仓	1138	1859	内部+外部
旺	1139	2284	内部+外部
虎	1140	1090	内部+外部
皇	1374	1037	内部+外部
郡	1141		内部
患	1142	1555	内部+外部
献	1724	1039	内部+外部
蒸	1145	2388	内部+外部
纷	2022	1041	内部+外部
呈	1149	1664	内部+外部
童	1232	1046	内部+外部
尊	1565	1047	内部+外部
舍	1365	1048	内部+外部
侧	1153	1215	内部+外部
唯	1648	1049	内部+外部
沈	1154	1207	内部+外部
董	1155	1426	内部+外部
乃	1403	1052	内部+外部
辉	1158	1423	内部+外部
币	1159	1548	内部+外部
末	1160	1249	内部+外部
附	1195	1055	内部+外部
迟	1881	1056	内部+外部
敬	1528	1057	内部+外部
鬼	1163	1309	内部+外部
润	1165	1603	内部+外部
祝	1166	1362	内部+外部
拼	1167	1629	内部+外部
萌	1168	2824	内部+外部
秦	1169	1339	内部+外部
搜	1170	1611	内部+外部
皆	1172	1290	内部+外部
训	1367	1066	内部+外部
拟	1173	1711	内部+外部
洞	1251	1068	内部+外部
播	1176	1479	内部+外部
茨	1177		内部
魔	1178	1424	内部+外部
芳	1376	1072	内部+外部
兼	1180	1405	内部+外部
瓶	1181	1462	内部+外部
革	1483	1074	内部+外部
斤	1183	1840	内部+外部
横	1423	1076	内部+外部
赢	1184	1799	内部+外部
液	1185	1644	内部+外部
择	1301	1078	内部+外部
骂	1186	1547	内部+外部
乘	1211	1079	内部+外部
培	1187	1385	内部+外部
审	1188	1166	内部+外部
刺	1388	1080	内部+外部
晒	1189	2632	内部+外部
猛	1701	1082	内部+外部
租	1191	1609	内部+外部
逃	1611	1083	内部+外部
冯	1194	1631	内部+外部
途	1656	1088	内部+外部
凉	1197	1465	内部+外部
奔	1669	1089	内部+外部
溪	1198	2224	内部+外部
岩	1199	1590	内部+外部
喷	1200	1706	内部+外部
巧	1577	1091	内部+外部
洲	1201	1181	内部+外部
榜	1202	2500	内部+外部
针	1290	1093	内部+外部
驻	1203	1538	内部+外部
徒	2216	1094	内部+外部
泪	1204	1104	内部+外部
闪	1796	1096	内部+外部
娜	1206	1743	内部+外部
遭	1207	1245	内部+外部
绍	1375	1098	内部+外部
延	1208	1142	内部+外部
聚	1215	1099	内部+外部
骑	1209	1397	内部+外部
蟹	1210	3020	内部
昌	1212	1753	内部+外部
诚	1325	1102	内部+外部
闲	1580	1105	内部+外部
冠	1217	1351	内部+外部
序	1480	1107	内部+外部
震	1400	1108	内部+外部
旗	1219	1365	内部+外部
仿	1978	1109	内部+外部
缘	1488	1110	内部+外部
甘	1223	1370	内部+外部
婚	1303	1112	内部+外部
饮	1224	1380	内部+外部
潮	1225	1231	内部+外部
亡	1849	1114	内部+外部
宏	1226	1900	内部+外部
骗	1227	1314	内部+外部
忠	1277	1116	内部+外部
肥	1228	1705	内部+外部
烦	1651	1117	内部+外部
津	1229	1471	内部+外部
豪	1230	1354	内部+外部
闹	1432	1119	内部+外部
曹	1231	1515	内部+外部
佐	1233	2141	内部+外部
泉	1234	1414	内部+外部
残	1715	1122	内部+外部
乔	1235	1372	内部+外部
胃	1236	2075	内部+外部
仪	1237	1246	内部+外部
柳	1352	1125	内部+外部
妹	1533	1126	内部+外部
酷	1239	2009	内部+外部
映	1574	1127	内部+外部
魏	1240	1585	内部+外部
吨	1241	1858	内部+外部
叹	2500	1129	内部+外部
愈	2010	1130	内部+外部
肌	1244	1934	内部+外部
凭	1245	1229	内部+外部
授	1476	1132	内部+外部
胖	1246	1779	内部+外部
屏	1247	1913	内部+外部
暴	1425	1134	内部+外部
镜	1248	1206	内部+外部
偷	1439	1135	内部+外部
暖	1249	1818	内部+外部
贾	1250	1785	内部+外部
寒	1463	1138	内部+外部
涂	1252	1832	内部+外部
爽	1253	2298	内部+外部
弃	1742	1140	内部+外部
奈	1256	1474	内部+外部
竹	1257	1352	内部+外部
辈	2392	1143	内部+外部
辛	1258	1268	内部+外部
疼	1259	1710	内部+外部
颜	1357	1145	内部+外部
蔡	1260	1868	内部+外部
俊	1262	1400	内部+外部
冒	1732	1148	内部+外部
眉	1880	1149	内部+外部
箱	1264	1295	内部+外部
腻	1266	2797	内部+外部
吕	1267	1566	内部+外部
径	1959	1153	内部+外部
恒	1271	1898	内部+外部
辞	2170	1156	内部+外部
酥	1272	3131	内部
伴	1441	1157	内部+外部
邦	1273	1443	内部+外部
怒	1644	1158	内部+外部
豆	1274	1827	内部+外部
湿	1275	1811	内部+外部
仔	1276	1593	内部+外部
钢	1278	1467	内部+外部
隔	1279	1163	内部+外部
扣	1280	1700	内部+外部
穷	1355	1164	内部+外部
锁	1281	1198	内部+外部
拜	1625	1165	内部+外部
莉	1282	2029	内部+外部
档	1284	1921	内部+外部
悲	2184	1168	内部+外部
柔	1894	1169	内部+外部
潘	1287	1980	内部+外部
摩	1288	1348	内部+外部
袋	1289	1265	内部+外部
纵	2016	1173	内部+外部
扫	1526	1174	内部+外部
枪	1292	1182	内部+外部
迫	2480	1176	内部+外部
振	1408	1177	内部+外部
紫	1295	1318	内部+外部
撞	1296	1316	内部+外部
丈	2578	1179	内部+外部
咬	1297	1579	内部+外部
舰	1300	1504	内部+外部
央	1537	1183	内部+外部
戈	1302	1793	内部+外部
触	1615	1184	内部+外部
予	1535	1185	内部+外部
炎	1304	1580	内部+外部
孤	2122	1186	内部+外部
鸭	1305	2250	内部+外部
缩	1616	1187	内部+外部
擦	1306	1735	内部+外部
町	1308		内部
促	1360	1190	内部+外部
慧	1310	1442	内部+外部
番	1667	1191	内部+外部
彭	1311	1610	内部+外部
罢	2576	1192	内部+外部
肝	1312	1940	内部+外部
距	1313	1428	内部+外部
奋	2406	1194	内部+外部
撑	1314	2113	内部+外部
肾	1315	2512	内部+外部
幕	1371	1196	内部+外部
燕	1316	1239	内部+外部
犹	2264	1197	内部+外部
添	1317	1926	内部+外部
珍	1491	1199	内部+外部
柱	1319	1758	内部+外部
喊	1320	1358	内部+外部
抬	1889	1200	内部+外部
鹏	1321	1974	内部+外部
挖	1322	1831	内部+外部
妙	1773	1202	内部+外部
穆	1323	1731	内部+外部
摸	1402	1203	内部+外部
汗	1324	1588	内部+外部
劲	1621	1205	内部+外部
挤	1327	1487	内部+外部
侯	1328	1396	内部+外部
夺	1781	1208	内部+外部
胸	1329	1297	内部+外部
昨	1636	1209	内部+外部
枚	1332	1824	内部+外部
竞	1333	1384	内部+外部
貌	2416	1212	内部+外部
撒	1334	1594	内部+外部
谋	2011	1213	内部+外部
串	1335	1914	内部+外部
贫	1855	1216	内部+外部
逼	1338	1383	内部+外部
扶	1663	1217	内部+外部
俄	1339	1508	内部+外部
阻	2002	1218	内部+外部
搬	1340	1761	内部+外部
邓	1343	1645	内部+外部
岸	1707	1221	内部+外部
彼	2150	1222	内部+外部
赏	1440	1223	内部+外部
舒	1346	1271	内部+外部
稍	1347	1338	内部+外部
抵	1567	1225	内部+外部
仙	1348	1233	内部+外部
浩	1349	1857	内部+外部
插	1358	1227	内部+外部
迅	2111	1228	内部+外部
详	1351	1377	内部+外部
煎	1353	2839	内部+外部
碎	1354	1407	内部+外部
咱	1725	1232	内部+外部
腰	1356	1373	内部+外部
符	1563	1234	内部+外部
炖	1359		内部
肩	1710	1236	内部+外部
递	1912	1238	内部+外部
填	1362	2043	内部+外部
悦	1363	2105	内部+外部
洁	1410	1240	内部+外部
拒	2014	1241	内部+外部
沟	1366	1737	内部+外部
郎	1409	1242	内部+外部
凝	2255	1243	内部+外部
灰	1370	1277	内部+外部
铺	1373	1410	内部+外部
丑	1377	1838	内部+外部
袁	1378	1568	内部+外部
菌	1379	1950	内部+外部
壮	1934	1255	内部+外部
忧	2143	1256	内部+外部
疾	1382	1283	内部+外部
沿	1560	1257	内部+外部
轴	1383	2566	内部+外部
惯	1891	1258	内部+外部
欣	1384	1310	内部+外部
丢	1401	1259	内部+外部
频	1386	1683	内部+外部
凤	1387	1273	内部+外部
壁	1699	1262	内部+外部
惜	2390	1263	内部+外部
潜	1390	1469	内部+外部
婆	1975	1264	内部+外部
脏	1391	1787	内部+外部
恋	1393	1639	内部+外部
偶	1394	1481	内部+外部
仲	1395	1300	内部+外部
忆	2084	1269	内部+外部
饿	1397	1896	内部+外部
努	1422	1270	内部+外部
翼	1398	1569	内部+外部
葱	1399	2905	内部+外部
枝	1759	1272	内部+外部
灭	1623	1274	内部+外部
胆	1823	1276	内部+外部
焦	1404	1445	内部+外部
猜	1405	1581	内部+外部
旦	2105	1278	内部+外部
桑	1406	1634	内部+外部
孟	1555	1279	内部+外部
拖	1407	1399	内部+外部
陷	1832	1280	内部+外部
俗	2042	1281	内部+外部
绕	1445	1282	内部+外部
储	1411	1659	内部+外部
泥	1412	1463	内部+外部
瞧	2801	1284	内部+外部
盒	1414	2081	内部+外部
贤	1415	1804	内部+外部
帐	2318	1287	内部+外部
岭	1416	2162	内部+外部
糊	1675	1288	内部+外部
澳	1417	1803	内部+外部
泛	1727	1289	内部+外部
蒋	1419	1514	内部+外部
夹	1420	1708	内部+外部
碰	1431	1291	内部+外部
粗	1421	1333	内部+外部
奉	1737	1294	内部+外部
倾	2061	1296	内部+外部
碳	1426	2832	内部+外部
狂	1514	1299	内部+外部
纹	1429	1879	内部+外部
琴	1433	1345	内部+外部
琳	1434	2429	内部+外部
厉	2202	1304	内部+外部
黎	1435	1617	内部+外部
析	1436	1459	内部+外部
尖	1612	1306	内部+外部
柏	1437	1723	内部+外部
括	1637	1307	内部+外部
崔	1442	2136	内部+外部
垂	2179	1311	内部+外部
跃	1933	1312	内部+外部
晋	1444	1657	内部+外部
浅	1446	1776	内部+外部
耐	1447	1476	内部+外部
烫	1450	2840	内部+外部
荡	2155	1319	内部+外部
肖	1451	1976	内部+外部
乙	1452	1947	内部+外部
膜	1454	2128	内部+外部
赖	1524	1322	内部+外部
盆	1455	2122	内部+外部
驾	1456	1625	内部+外部
允	1939	1324	内部+外部
邀	1457	1848	内部+外部
暂	1627	1327	内部+外部
锦	1460	1478	内部+外部
署	1461	1606	内部+外部
祥	1485	1329	内部+外部
轨	1462	2021	内部+外部
染	1487	1330	内部+外部
庙	1464	1870	内部+外部
滚	1744	1331	内部+外部
瓜	1465	1949	内部+外部
浮	1752	1332	内部+外部
媒	1466	1682	内部+外部
涉	1467	1382	内部+外部
刑	1942	1334	内部+外部
孝	1469	1995	内部+外部
丸	1470	2424	内部+外部
扑	2138	1337	内部+外部
铜	1471	1732	内部+外部
拆	1473	2080	内部+外部
晨	1474	1408	内部+外部
陶	1475	1454	内部+外部
魂	1797	1341	内部+外部
疗	1477	1509	内部+外部
腾	1597	1343	内部+外部
岗	1478	1907	内部+外部
臣	1805	1344	内部+外部
嫁	1479	1945	内部+外部
悉	1906	1346	内部+外部
肺	1481	2148	内部+外部
络	1548	1347	内部+外部
剩	1482	1363	内部+外部
措	1948	1349	内部+外部
吵	1484	2053	内部+外部
译	1486	1546	内部+外部
殊	2301	1353	内部+外部
脂	1489	2325	内部+外部
胎	1490	2117	内部+外部
呆	1696	1355	内部+外部
拌	1492	3299	内部
旋	2078	1357	内部+外部
浦	1493	2322	内部+外部
虫	1494	1560	内部+外部
寄	1674	1359	内部+外部
悄	3126	1360	内部+外部
剪	1497	2248	内部+外部
册	1499	1689	内部+外部
芬	1500	2037	内部+外部
督	1905	1364	内部+外部
阅	1501	1647	内部+外部
沪	1502	2754	内部+外部
返	1708	1366	内部+外部
锡	1503	2203	内部+外部
召	1546	1367	内部+外部
吓	1504	1537	内部+外部
彻	2036	1368	内部+外部
柯	1505		内部
宾	1592	1369	内部+外部
莎	1506		内部
坦	1507	1434	内部+外部
冈	1508	2212	内部+外部
吐	1509	1371	内部+外部
肠	1510	2064	内部+外部
拔	1536	1374	内部+外部
坊	1513	2531	内部+外部
违	1645	1376	内部+外部
粒	1515	1792	内部+外部
臂	2137	1378	内部+外部
挡	1516	1720	内部+外部
尺	2260	1379	内部+外部
盈	1517	2115	内部+外部
寿	1518	1498	内部+外部
癌	1521	2010	内部+外部
磨	1522	1458	内部+外部
亏	1558	1387	内部+外部
叔	1650	1388	内部+外部
墨	1527	1480	内部+外部
伏	1784	1389	内部+外部
贺	1529	1697	内部+外部
唤	2865	1390	内部+外部
爬	1530	1573	内部+外部
妮	1531	2235	内部+外部
邻	2148	1392	内部+外部
杆	1532	2076	内部+外部
怨	2422	1394	内部+外部
漫	1668	1398	内部+外部
羽	1538	1750	内部+外部
醋	1539	2998	内部+外部
籍	1540	1730	内部+外部
蛇	1541	1635	内部+外部
赴	1542	1850	内部+外部
恨	1768	1402	内部+外部
斌	1543	2564	内部+外部
贯	2239	1403	内部+外部
阁	1544	1597	内部+外部
凌	1585	1404	内部+外部
桂	1545	1937	内部+外部
询	1691	1406	内部+外部
钙	1547	3015	内部
狼	1549	1575	内部+外部
罚	1771	1409	内部+外部
汪	1550	1874	内部+外部
抹	1551	2033	内部+外部
荷	1552	1605	内部+外部
伍	1647	1412	内部+外部
宿	1846	1413	内部+外部
哲	1556	1523	内部+外部
繁	2062	1416	内部+外部
绪	2090	1418	内部+外部
筑	1629	1419	内部+外部
鸿	1561	1925	内部+外部
湘	1562	2168	内部+外部
恢	2534	1420	内部+外部
匹	1976	1421	内部+外部
御	1564	1543	内部+外部
尘	2146	1422	内部+外部
扔	1566	1808	内部+外部
仰	2438	1425	内部+外部
纽	1568	1899	内部+外部
勤	1569	1431	内部+外部
描	2263	1427	内部+外部
盗	1662	1429	内部+外部
耀	1572	1886	内部+外部
截	1573	1439	内部+外部
渡	1717	1430	内部+外部
壳	1575	2069	内部+外部
劝	1694	1432	内部+外部
乳	1576	1956	内部+外部
莲	1606	1433	内部+外部
傻	1578	1782	内部+外部
葛	1579	1790	内部+外部
踪	2740	1437	内部+外部
捷	1581	1941	内部+外部
幽	2308	1438	内部+外部
迈	1582	1775	内部+外部
废	1583	1447	内部+外部
欠	1584	1924	内部+外部
荒	2085	1440	内部+外部
恰	2115	1441	内部+外部
茂	1586	2360	内部+外部
宅	1587	1880	内部+外部
颇	1741	1444	内部+外部
鑫	1589		内部
醉	1794	1446	内部+外部
嗯	1591		内部
掩	2581	1448	内部+外部
捞	1593	2473	内部+外部
崎	1594	2798	内部+外部
姚	1595	2089	内部+外部
丧	2574	1450	内部+外部
综	1596	1651	内部+外部
灾	1945	1451	内部+外部
鼻	1604	1452	内部+外部
煲	1598		内部
侵	2162	1453	内部+外部
抛	1600	1681	内部+外部
肃	2398	1455	内部+外部
朴	1601	2155	内部+外部
裁	1979	1456	内部+外部
胶	1602	2268	内部+外部
俱	2055	1457	内部+外部
鹿	1605	2061	内部+外部
昂	1607	2012	内部+外部
匆	3443	1461	外部
煤	1608	1872	内部+外部
粘	1609	2321	内部+外部
赔	1610	1794	内部+外部
拾	2529	1464	内部+外部
涛	1614	2118	内部+外部
涌	1953	1468	内部+外部
锋	1617	1495	内部+外部
卓	1618	1809	内部+外部
尿	1619	2025	内部+外部
赤	1622	1492	内部+外部
扰	2383	1475	内部+外部
萧	1624	1512	内部+外部
傅	1820	1477	内部+外部
唔	1626		内部
哎	1628	2090	内部+外部
孕	1630	2255	内部+外部
捕	2223	1482	内部+外部
植	1631	1529	内部+外部
惑	2684	1483	内部+外部
昆	1632	1751	内部+外部
飘	1914	1484	内部+外部
迁	1633	1713	内部+外部
屈	2127	1485	内部+外部
犬	1634	2577	内部+外部
鸣	1729	1486	内部+外部
砸	1635	2120	内部+外部
毁	1792	1488	内部+外部
斜	1898	1489	内部+外部
廷	1639	1786	内部+外部
翔	1640	2276	内部+外部
污	1780	1491	内部+外部
斑	1642	2137	内部+外部
慰	2765	1493	内部+外部
塘	1643	2522	内部+外部
覆	1830	1496	内部+外部
框	1646	2326	内部+外部
栏	1649	2223	内部+外部
颈	1652	2152	内部+外部
炮	1653	1503	内部+外部
弘	1654	2570	内部+外部
蜜	1658	2147	内部+外部
轩	1659	2124	内部+外部
绩	1661	1760	内部+外部
扩	1684	1510	内部+外部
踩	1664	2414	内部+外部
础	1811	1513	内部+外部
喂	1665	1942	内部+外部
亭	1666	2001	内部+外部
躺	1670	1621	内部+外部
贸	1958	1519	内部+外部
栋	1671	2676	内部+外部
肤	1672	1973	内部+外部
玲	1673	1884	内部+外部
轰	2248	1521	内部+外部
盟	1721	1522	内部+外部
娃	1676	1834	内部+外部
撤	2113	1524	内部+外部
兽	1677	1584	内部+外部
碧	1678	1902	内部+外部
侠	2031	1526	内部+外部
晶	1679	1756	内部+外部
袭	1918	1527	内部+外部
凶	2120	1528	内部+外部
拳	1681	1602	内部+外部
殿	1682	1553	内部+外部
涅	1683		内部
援	2266	1530	内部+外部
寸	1685	1860	内部+外部
梨	1686	2890	内部+外部
粮	1937	1533	内部+外部
彦	1687		内部
玄	1879	1534	内部+外部
账	1688	2267	内部+外部
岳	1689	1618	内部+外部
冻	1690	2179	内部+外部
辑	1692	1619	内部+外部
妖	2188	1539	内部+外部
嫌	1693	1829	内部+外部
箭	1994	1540	内部+外部
晕	1695	2127	内部+外部
奴	2212	1541	内部+外部
桃	1697	1812	内部+外部
删	1698	2833	内部+外部
估	1735	1544	内部+外部
尸	2372	1545	内部+外部
幼	1700	1670	内部+外部
蒜	1702	3255	内部
旭	1703	2838	内部+外部
惨	1944	1549	内部+外部
兑	1704	2506	内部+外部
矿	1705	1601	内部+外部
漏	1706	2091	内部+外部
腹	1709	1672	内部+外部
瑟	1711	1865	内部+外部
仇	2501	1556	内部+外部
踢	1712	2194	内部+外部
碟	1713	2816	内部+外部
障	1787	1558	内部+外部
龄	1716	1699	内部+外部
幻	1941	1561	内部+外部
坡	1718	1727	内部+外部
滨	1719	2601	内部+外部
裂	1965	1563	内部+外部
刊	2198	1564	内部+外部
慈	1845	1565	内部+外部
苑	1722	2835	内部+外部
鼠	1723	1813	内部+外部
役	2013	1567	内部+外部
涵	1726	2351	内部+外部
岂	3248	1570	内部+外部
锐	1728	1904	内部+外部
邪	2044	1571	内部+外部
叉	1730	2285	内部+外部
驶	1731	1675	内部+外部
稿	1733	1767	内部+外部
躲	1897	1576	内部+外部
催	1734	1952	内部+外部
疯	1790	1577	内部+外部
辩	2386	1578	内部+外部
墓	1736	1891	内部+外部
膏	1738	2735	内部+外部
沾	1739	2231	内部+外部
辅	1740	1978	内部+外部
艘	1746	1582	内部+外部
哼	2608	1583	内部+外部
趋	1743	1653	内部+外部
狠	2028	1586	内部+外部
氧	1745	2067	内部+外部
衡	1865	1587	内部+外部
淘	1747	2540	内部+外部
崇	1915	1589	内部+外部
艳	1748	2088	内部+外部
懒	1749	2139	内部+外部
苗	1750	1875	内部+外部
薇	1751	3005	内部
巡	1952	1592	内部+外部
吾	1753	1709	内部+外部
堵	1754	2171	内部+外部
偿	2313	1595	内部+外部
壶	1755	2384	内部+外部
愤	3082	1596	内部+外部
妆	1756	2704	内部+外部
熬	1757	2627	内部+外部
盾	1872	1598	内部+外部
曰	1758	1608	内部+外部
矛	2580	1599	内部+外部
笼	1760	1885	内部+外部
侍	2504	1600	内部+外部
弯	1761	1687	内部+外部
馅	1762	3369	内部
逸	1763	2293	内部+外部
鼎	1764	2217	内部+外部
胞	2319	1604	内部+外部
昭	1765	2186	内部+外部
逢	1766	2216	内部+外部
砍	1767	1923	内部+外部
铭	1769	2196	内部+外部
毅	1770	2057	内部+外部
霜	1772	2392	内部+外部
昏	2709	1612	内部+外部
雾	1774	1698	内部+外部
奏	2208	1613	内部+外部
杭	1775	2279	内部+外部
薛	1776	1724	内部+外部
艇	2347	1615	内部+外部
藤	1777	2169	内部+外部
樱	1778	2648	内部+外部
谭	1779	2006	内部+外部
蕾	1782	3182	内部
戒	1817	1620	内部+外部
兔	1783	2334	内部+外部
裕	1785	2163	内部+外部
炼	2006	1623	内部+外部
苍	2375	1624	内部+外部
姬	1788		内部
驱	1890	1626	内部+外部
哟	1789	2534	内部+外部
埋	1810	1628	内部+外部
霸	1791	1680	内部+外部
敦	1793	1876	内部+外部
乏	2385	1630	内部+外部
怡	1795	2538	内部+外部
诊	2093	1632	内部+外部
皱	2485	1633	内部+外部
稀	1798	1784	内部+外部
畅	1799	2189	内部+外部
漂	1919	1636	内部+外部
函	1800	2096	内部+外部
恭	2244	1637	内部+外部
芝	1801	2214	内部+外部
酶	1802		内部
柴	1803	1932	内部+外部
侦	2559	1640	内部+外部
燃	1861	1641	内部+外部
裙	1806	2391	内部+外部
贼	2048	1642	内部+外部
绘	1807	1971	内部+外部
碍	2691	1643	内部+外部
抄	1808	2184	内部+外部
辰	1809	2249	内部+外部
呵	2502	1646	内部+外部
渣	1812	3046	内部
欺	2624	1648	内部+外部
哇	1813	2302	内部+外部
牵	1899	1649	内部+外部
朵	1814	1677	内部+外部
陵	1815	1892	内部+外部
殖	2794	1650	内部+外部
菊	1816	2450	内部+外部
硕	1819	2367	内部+外部
慌	2491	1655	内部+外部
聘	1821	2338	内部+外部
慕	1997	1656	内部+外部
尹	1822		内部
捡	1826	2572	内部+外部
宪	2070	1660	内部+外部
熙	1827	2549	内部+外部
宙	3099	1661	内部+外部
伪	1828	1673	内部+外部
聪	1981	1662	内部+外部
撕	1829	2153	内部+外部
摘	1831	2071	内部+外部
脉	2009	1665	内部+外部
劫	2323	1666	内部+外部
摔	1835	2050	内部+外部
遵	2236	1669	内部+外部
坎	1836	2494	内部+外部
忌	1837	1882	内部+外部
砖	1838	2364	内部+外部
仗	2626	1671	内部+外部
颖	1839	2548	内部+外部
棋	1840	2072	内部+外部
鹰	1841	1764	内部+外部
牧	1917	1674	内部+外部
暨	1842		内部
纲	1843	2085	内部+外部
踏	1904	1676	内部+外部
扯	1844	1961	内部+外部
袖	2287	1678	内部+外部
胁	2969	1679	内部+外部
挣	1847	1777	内部+外部
铝	1848	3160	内部
窝	1850	1985	内部+外部
漆	1851	2253	内部+外部
厨	1852	2112	内部+外部
盯	2051	1684	内部+外部
勃	2023	1685	内部+外部
逊	1854	1856	内部+外部
扭	2157	1686	内部+外部
抚	2421	1688	内部+外部
刮	1857	2330	内部+外部
淋	1858	2264	内部+外部
晴	1859	1987	内部+外部
励	2008	1690	内部+外部
谱	1860	2365	内部+外部
颤	3337	1691	外部
韵	1862	2526	内部+外部
贡	1884	1693	内部+外部
辖	1863	1815	内部+外部
怜	2973	1694	内部+外部
垫	1864	2615	内部+外部
腊	2384	1695	内部+外部
椅	2083	1696	内部+外部
耗	1866	1791	内部+外部
邱	1867		内部
赠	1868	2172	内部+外部
齿	1869	1938	内部+外部
唉	1870	1936	内部+外部
缴	1871	1984	内部+外部
凑	1874	2038	内部+外部
爹	2053	1704	内部+外部
逆	1875	1877	内部+外部
廖	1876		内部
俺	1877	2327	内部+外部
娇	2193	1707	内部+外部
钻	1878	1714	内部+外部
狮	1882	2174	内部+外部
糕	1883	2542	内部+外部
肚	1923	1712	内部+外部
丘	1885	1951	内部+外部
柜	1886	2094	内部+外部
浑	2768	1715	内部+外部
弓	1887	1897	内部+外部
牢	2297	1716	内部+外部
艰	2426	1717	内部+外部
敲	1986	1718	内部+外部
惧	2812	1719	内部+外部
荐	1893	2497	内部+外部
