a	啊
kfh	啃
kfu	裉
kgh	吭
kgj	硁
kgk	铿
khc	慷
khd	糠
khf	伉
khk	钪
khl	抗
khr	炕
kht	𡐓
khv	亢
khw	闶
khy	𩾌
kjf	侃
kjg	龛
kjj	磡
kjk	衎
kjm	勘
kjo	槛
kjq	瞰
kjt	坎
kjw	刊
kjx	莰
kjy	崁
kkf	侩
kkg	会
kkh	哙
kkl	㧟
kkr	筷
kkt	块
kkv	脍
kkx	蒯
kky	鲙
klb	洭
kld	诳
klh	哐
klj	矿
kln	夼
klo	框
klq	旷
klr	筐
kls	邝
klt	圹
klv	狂
klw	匡
klz	贶
kol	扩
kom	蛞
kos	廓
kow	阔
kri	宽
kru	髋
kse	恐
ksf	倥
ksj	硿
ksl	控
ksn	孔
ksr	箜
kst	埪
ksy	崆
kue	酷
kuh	哭
kui	窟
kuj	矻
kun	刳
kuo	枯
kuu	裤
kux	苦
kva	馈
kvb	溃
kvc	愧
kvd	馗
kve	聩
kvf	傀
kvh	喹
kvi	窥
kvl	揆
kvm	蝰
kvn	奎
kvo	櫆
kvp	魁
kvq	睽
kvr	篑
kvt	逵
kvw	匮
kvx	葵
kvy	岿
kvz	跬
kxf	侉
kxl	挎
kxn	夸
kxt	垮
kxv	胯
kxz	姱
kyc	悃
kye	醌
kyg	琨
kyk	锟
kyl	捆
kyn	髡
kyq	昆
kyr	焜
kys	堃
kyt	坤
kyu	裈
kyw	阃
kyy	鲲
kyz	婫
kzh	叩
kzi	寇
kzl	扣
kzo	𫸩
kzq	眍
kzr	筘
kzx	蔻
laa	辣
lah	啦
laj	砬
lak	镴
lam	蜡
lap	剌
laq	旯
las	瘌
lat	垃
lav	腊
lax	落
lay	𬶟
lba	吝
lbb	淋
lbc	霖
lbd	遴
lbe	辚
lbf	赁
lbg	琳
lbh	啉
lbj	磷
lbk	麟
lbl	拎
lbn	临
lbo	檩
lbq	瞵
lbr	箖
lbs	廪
lbv	膦
lbx	蔺
lby	鳞
lbz	邻
lcb	涝
lce	酪
lcf	佬
lch	唠
lci	牢
lcj	络
lck	铑
lcl	捞
lcn	耢
lco	栳
lcr	烙
lcs	痨
lct	𫭼
lcx	劳
lcy	崂
lcz	姥
ldb	濑
ldf	俫
ldi	赉
ldk	铼
ldo	梾
ldp	赖
ldq	睐
ldr	籁
lds	癞
ldu	徕
ldx	莱
ldy	崃
lea	饹
leb	泐
lef	仂
leh	叻
lem	勒
ler	簕
ley	鳓
lgc	愣
lgo	棱
lgt	堎
lgy	崚
lha	郎
lhb	浪
lhg	琅
lhh	啷
lhk	锒
lhm	螂
lho	榔
lhq	㫰
lhr	烺
lhs	廊
lht	埌
lhv	狼
lhw	阆
lhx	莨
lhy	崀
lia	立
lib	沥
lic	骊
lid	粒
lie	栗
lif	例
lig	理
lih	哩
lii	戾
lij	砺
lik	锂
lim	蛎
lin	吏
lio	李
lip	力
liq	隶
lir	利
lis	历
lit	坜
liu	礼
liv	离
liw	黎
lix	莉
liy	丽
liz	励
lja	斓
ljb	澜
ljc	懒
ljd	谰
ljj	缆
ljk	镧
ljl	拦
ljn	览
ljo	栏
ljr	烂
lju	褴
ljw	阑
ljx	蓝
ljy	岚
lkb	凌
lkc	零
lke	聆
lkf	伶
lkg	玲
lkh	呤
lki	羚
lkj	绫
lkk	铃
lkm	蛉
lko	棂
lkp	陵
lkq	灵
lkt	坽
lku	祾
lkx	菱
lky	岭
lkz	领
lla	良
llb	梁
llc	悢
lld	粮
lle	辆
llf	俩
llj	𫟅
llo	椋
llp	魉
llq	量
llt	墚
llu	亮
llw	靓
llx	莨
llz	踉
lmb	濂
lmc	怜
lme	联
lmg	琏
lmi	帘
lmj	练
lmk	链
lml	殓
lmm	蠊
lmn	奁
lmo	楝
lmp	恋
lmr	炼
lms	廉
lmt	敛
lmu	裢
lmv	脸
lmx	莲
lmy	鲢
lnb	潦
lnc	憭
lnd	料
lne	聊
lnf	僚
lnh	嘹
lni	寮
lnj	缭
lnk	钌
lnl	撩
lnn	辽
lno	橑
lnp	尥
lnq	瞭
lnr	燎
lns	疗
lnt	𪤗
lnu	髎
lnv	獠
lnx	蓼
lnz	嫽
loa	逻
lob	洛
loc	骆
lof	倮
log	珞
loh	啰
loj	络
lok	锣
lol	摞
lom	螺
loo	椤
loq	雒
lor	箩
los	瘰
lou	裸
lov	猡
low	蠃
lox	落
lpb	冽
lpg	劣
lph	咧
lpl	烈
lpn	鬣
lpt	埒
lpv	猎
lpy	𫚭
lpz	趔
lqa	馏
lqb	流
lqc	骝
lqg	琉
lqj	硫
lqk	镠
lql	留
lqm	鹨
lqn	飗
lqo	柳
lqp	疁
lqr	熘
lqs	瘤
lqv	六
lrb	滦
lrj	卵
lrp	銮
lsb	泷
lsd	垄
lsg	珑
lsh	咙
lsi	窿
lsl	拢
lso	栊
lsp	隆
lsq	眬
lsr	笼
lss	癃
lsv	胧
lsx	茏
lte	圙
ltk	锊
ltl	掠
ltw	䂮
lua	卢
lub	泸
luc	露
lue	辘
luf	僇
lug	璐
luh	噜
luj	碌
luk	鹿
lul	撸
lum	戮
luo	麓
lup	陆
luq	录
lur	炉
lus	庐
lut	垆
luu	禄
luv	胪
luw	稑
lux	芦
luy	鲁
luz	鹭
lva	虑
lvb	滤
lvc	驴
lvf	侣
lvh	吕
lvi	履
lvj	绿
lvk	铝
lvl	捋
lvo	榈
lvr	氯
lvs	旅
lvt	垏
lvu	律
lvv	𦝼
lvw	闾
lvx	葎
lwb	泪
lwc	雷
lwd	诔
lwe	酹
lwf	儡
lwh	嘞
lwj	磊
lwk	镭
lwl	擂
lwm	勒
lwn	耒
lwo	檑
lwp	累
lws	癗
lwt	垒
lwv	肋
lww	羸
lwx	蕾
lwz	嫘
lyb	沦
lye	轮
lyf	伦
lyg	仑
lyj	纶
lyk	𬬭
lyl	抡
lyt	𫭢
lzb	漏
lzc	露
lzd	娄
lzf	偻
lzh	喽
lzk	镂
lzl	搂
lzm	蝼
lzn	耧
lzp	陋
lzq	䁖
lzr	篓
lzs	瘘
lzt	𪣻
lzu	髅
lzv	𦝼
lzx	蒌
lzy	嵝
mac	马
mag	玛
mah	嘛
maj	码
mal	抹
mam	蚂
mao	杩
mas	麻
mau	祃
mav	犸
maz	妈
mba	皿
mbb	泯
mbc	悯
mbf	敏
mbg	珉
mbh	黾
mbj	缗
mbl	抿
mbq	旻
mbu	愍
mbw	闽
mbx	苠
mby	岷
mca	帽
mcb	泖
mcc	牦
mce	貌
mcg	瑁
mcj	卯
mck	锚
mcl	贸
mcm	毛
mcn	髦
mco	懋
mcp	耄
mcq	昴
mcs	矛
mct	鄚
mcw	冒
mcx	茂
mcy	峁
mdc	霾
mdh	唛
mdk	鿏
mdn	迈
mdp	卖
mdt	埋
mdv	脉
mdw	麦
mdx	荬
mfb	懑
mfg	𫞩
mfk	钔
mfl	扪
mfr	焖
mfw	门
mga	幪
mgc	懵
mge	艋
mgh	𫑡
mgj	礞
mgk	锰
mgm	虻
mgn	孟
mgo	檬
mgq	盟
mgv	猛
mgx	蒙
mgy	㠓
mhb	漭
mhc	牻
mhj	硭
mhm	蟒
mho	杧
mhp	尨
mhs	厖
mhv	盲
mhx	芒
mia	芈
mib	泌
mid	迷
mie	醚
mih	咪
mii	密
mik	麋
mim	觅
mio	弥
miq	眯
mis	靡
miu	祢
miv	猕
miw	秘
mix	蘼
mja	馒
mjb	漫
mjc	慢
mjd	谩
mjj	缦
mjk	镘
mjm	螨
mjn	鬘
mjp	蛮
mjq	曼
mjt	埋
mjx	蔓
mjy	鳗
mjz	嫚
mkb	溟
mke	酩
mkg	命
mkh	鸣
mki	冥
mkk	铭
mkm	螟
mkq	明
mkx	茗
mmb	沔
mmc	勔
mmf	偭
mmh	呒
mmj	绵
mmn	丏
mmo	棉
mmq	眠
mmr	免
mmv	腼
mmw	冕
mmy	𩾃
mmz	娩
mnb	淼
mne	邈
mnh	喵
mnj	缪
mnl	描
mno	杪
mnq	瞄
mns	庙
mnx	苗
mnz	妙
moa	馍
mob	没
mod	谟
moe	貊
mog	无
moi	寞
moj	𬙊
mok	镆
mol	摸
mom	靺
mon	耱
mop	陌
mor	默
mos	魔
mot	莫
mov	膜
mow	秣
mox	茉
moy	末
moz	嬷
mph	咩
mpo	乜
mpr	篾
mpx	蔑
mqj	缪
mub	沐
muc	牧
muf	仫
muk	钼
mul	拇
mum	毪
muo	木
mup	母
muq	睦
mut	幕
muv	亩
muw	穆
mux	苜
muz	姆
mwb	湄
mwc	霉
mwe	酶
mwf	每
mwg	玫
mwi	眉
mwk	镁
mwo	梅
mwp	魅
mwq	昧
mwr	煤
mws	糜
mwu	袂
mwx	莓
mwy	嵋
mwz	媒
mzd	谋
mzf	侔
mzh	哞
mzj	缪
mzm	蛑
mzq	眸
mzs	鍪
mzt	牟
nag	拿
nah	哪
nai	乸
naj	纳
nak	钠
nal	捺
nap	南
nau	衲
nav	肭
nax	𦰡
naz	娜
ncb	淖
ncc	恼
ncg	瑙
nch	呶
ncj	硇
nck	铙
ncl	挠
ncm	蛲
ncn	孬
nct	垴
ncv	猱
ncw	闹
ndc	耐
nde	迺
ndf	佴
ndn	奈
ndo	柰
ndr	氖
ndv	乃
ndx	萘
ned	讷
neh	哪
nff	恁
ngh	嗯
nha	馕
nhh	囔
nhl	攮
nhq	曩
nhy	齉
nia	逆
nib	泥
nic	霓
nie	𫐐
nif	倪
nig	𫠜
nih	呢
nik	铌
nil	拟
nip	𨺙
niq	昵
nis	旎
nit	坭
niv	腻
niw	匿
nix	薿
niy	鲵
niz	妮
nje	囡
njh	喃
njm	蝻
njo	楠
njp	男
njq	难
njt	赧
njv	腩
njx	萳
njz	婻
nkb	凝
nke	聍
nkf	佞
nkh	咛
nki	甯
nkl	拧
nko	柠
nkv	狞
nkx	苧
nle	酿
nmd	粘
nmj	碾
nml	捻
nmm	廿
nmn	辇
nmt	埝
nmw	黏
nmx	蔫
nmy	鲇
nmz	念
nni	尿
nnv	脲
nnx	茑
nny	袅
noc	懦
nod	糯
nof	傩
noh	喏
nok	锘
nol	挪
nox	𦰡
noz	娜
npe	聂
nph	啮
npk	镍
npl	捏
npo	乜
npp	陧
npw	𫔶
npx	孽
npy	臬
npz	蹑
nqc	忸
nqj	纽
nqk	钮
nql	扭
nqo	杻
nqv	狃
nqz	妞
nsb	浓
nse	𬪩
nsf	侬
nsg	弄
nsh	哝
nsv	脓
nsw	秾
nts	疟
nuf	傉
nur	笯
nuz	怒
nva	衄
nvc	恧
nvk	钕
nwa	馁
oub	沤
ouc	怄
oud	讴
ouf	偶
ouh	呕
oun	耦
our	𬉼
out	𫭟
ouw	鸥
oux	藕
paa	帕
pab	潖
pae	舥
pag	琶
pah	啪
pal	扒
pam	爬
pan	耙
pao	杷
par	筢
pax	葩
paz	趴
pba	贫
pbc	牝
pbe	聘
pbg	频
pbl	拼
pbx	𬞟
pbz	嫔
pcb	泡
pch	咆
pcl	抛
pcn	匏
pcr	炮
pcs	疱
pcu	袍
pcv	狍
pcw	刨
pdb	派
pdf	俳
pdh	哌
pdl	排
pdn	牌
pdr	簰
pdu	徘
pdx	蒎
pdy	迫
pfa	盆
pfb	湓
pgb	澎
pgc	怦
pgh	嘭
pgj	碰
pgl	捧
pgm	蟛
pgo	棚
pgr	篷
pgt	彭
pgu	烹
pgv	鹏
pgx	蓬
phb	滂
phc	雱
phi	旁
phj	磅
phm	螃
phn	耪
php	乓
phq	逄
phs	庞
phu	彷
phv	膀
phy	鳑
pia	罴
pib	淠
pic	霹
pie	貔
pif	僻
pig	琵
pih	啤
pii	劈
pij	砒
pik	铍
pil	批
pim	蜱
pin	丕
pio	枇
pip	毗
piq	睥
pis	疲
pit	坯
piv	脾
piw	匹
pix	苉
piy	郫
piz	媲
pja	判
pjb	潘
pje	磐
pjj	磻
pjm	蟠
pjn	爿
pjo	攀
pjp	畔
pjq	盼
pju	袢
pjv	胖
pjz	蹒
pka	瓶
pkb	泙
pkf	凭
pkg	玶
pki	屏
pkm	蚲
pko	枰
pkp	乒
pkt	坪
pkx	萍
pky	鲆
pkz	娉
pmc	骗
pmd	谝
pmf	偏
pmi	翩
pmo	楩
pmr	篇
pmt	𡎚
pmv	胼
pmz	蹁
pnb	漂
pnc	骠
pne	飘
pnh	嘌
pnj	缥
pnl	殍
pnm	螵
pno	朴
pnq	瞟
pnx	薸
pnz	嫖
pob	婆
pod	粕
poe	颇
pof	繁
pog	珀
pok	钋
pom	鄱
poo	朴
por	笸
pot	坡
pow	叵
poy	迫
ppa	瞥
ppk	𬭯
ppr	氕
ppx	苤
pub	浦
pud	谱
pue	圃
puf	仆
pug	璞
puh	噗
puk	铺
pul	扑
pum	氆
puo	朴
puq	曝
put	埔
puv	脯
puw	匍
pux	葡
puz	蹼
pwa	帔
pwb	沛
pwc	霈
pwe	醅
pwf	佩
pwh	呸
pwj	辔
pwk	锫
pwn	裴
pwp	陪
pws	旆
pwt	培
pwv	胚
pwz	赔
pzl	抔
pzn	裒
qbb	沁
qbc	骎
qbe	覃
qbf	侵
qbg	琴
qbh	嗪
qbi	秦
qbk	钦
qbl	擒
qbm	勤
qbo	檎
qbx	芹
qby	嵚
qbz	衾
qia	齐
qib	汽
qic	骑
qid	讫
qie	𬨂
qif	乞
qig	企
qih	器
qii	启
qij	绮
qik	麒
qim	期
qin	奇
qio	棋
qip	耆
qir	气
qis	旗
qit	七
qiu	祁
qiv	弃
qiw	契
qix	芪
qiy	崎
qiz	起
qka	亲
qkb	清
qkc	情
qke	轻
qkf	倾
qki	綮
qkj	卿
qkm	蜻
qkq	晴
qkr	氢
qks	庆
qkt	顷
qku	勍
qkw	青
qkx	擎
qky	鲭
qlg	戗
qlh	呛
qli	羌
qlk	锵
qll	抢
qlm	蜣
qln	戕
qlo	枪
qlr	炝
qlt	墙
qlu	襁
qlv	腔
qlx	蔷
qlz	嫱
qma	虔
qmb	潜
qmc	悭
qmd	谦
qme	堑
qmf	倩
qmh	歉
qmi	骞
qmj	缱
qmk	钱
qml	扦
qmm	遣
qmn	牵
qmo	杄
qmp	乾
qmr	签
qms	欠
qmt	佥
qmv	肷
qmw	千
qmx	芡
qmy	嵌
qna	乔
qnb	翘
qnc	悄
qnd	谯
qne	巧
qnf	侨
qng	劁
qni	窍
qnj	硗
qnk	锹
qnl	撬
qnm	鞘
qno	樵
qnq	瞧
qnt	壳
qnu	敲
qnx	荞
qny	峭
qnz	跷
qpa	妾
qpc	怯
qpf	伽
qpi	窃
qpk	锲
qpn	郄
qpr	箧
qpt	切
qpw	挈
qpx	茄
qpz	趄
qqa	酋
qqb	湫
qqd	糗
qqe	囚
qqf	俅
qqg	璆
qqk	𨱇
qqm	虬
qqn	求
qqo	楸
qqp	邱
qqs	龟
qqv	犰
qqw	秋
qqx	萩
qqy	鳅
qqz	赇
qrc	悛
qrd	诠
qre	圈
qrf	佺
qrg	瑔
qri	券
qrj	绻
qrk	铨
qrm	蜷
qrn	犬
qro	权
qrp	畎
qrq	劝
qrr	筌
qrs	痊
qrx	荃
qry	泉
qrz	婘
qse	邛
qsg	琼
qsi	穹
qsr	筇
qsx	茕
qtg	雀
qti	𬒈
qtj	确
qtm	鹊
qto	榷
qtr	炔
qts	瘸
qtt	悫
qtw	阙
qtz	缺
qua	躯
qub	渠
quc	驱
qud	诎
que	取
qug	龋
qui	屈
quj	磲
quk	衢
qum	蛆
quo	㭕
qup	曲
quq	瞿
qur	黢
qus	癯
qut	坥
quu	祛
quv	朐
quw	鸲
qux	蘧
quy	鼩
quz	趣
qxa	卡
qxb	洽
qxl	掐
qxu	髂
qxx	葜
qye	囷
qyk	麇
qyt	逡
qyu	裙
rca	饶
rcl	扰
rco	桡
rcx	荛
rcz	娆
rex	惹
rfa	饪
rfd	认
rfe	轫
rff	仁
rfj	纫
rfs	忍
rft	壬
rfu	衽
rfv	韧
rfw	稔
rfx	荏
rfz	妊
rgl	扔
rhb	瀼
rhf	儴
rhh	嚷
rhl	攘
rhn	瓤
rht	壤
rhu	禳
rhw	穰
rhx	蘘
ric	驲
rjb	染
rjm	蚺
rjn	髯
rjr	燃
rjw	冉
rjx	苒
rof	偌
roo	弱
ror	箬
rox	蒻
roz	婼
rrg	瓀
rrp	阮
rrt	堧
rrz	媆
rsb	溶
rsg	瑢
rsi	冗
rsj	绒
rsk	镕
rsm	蝾
rsn	融
rso	榕
rsr	戎
rsv	狨
rsx	荣
rsy	嵘
rub	汝
ruc	颥
ruf	儒
rug	入
ruh	嚅
ruj	缛
ruk	铷
rum	乳
run	孺
rus	辱
ruu	褥
rux	茹
ruz	嬬
rva	睿
rvb	汭
rvk	锐
rvm	蚋
rvo	枘
rvx	蕊
ryw	闰
rzd	糅
rze	𫐓
rzl	揉
rzm	鞣
rzs	柔
rzz	蹂
saa	飒
sab	洒
saf	仨
sal	撒
sam	靸
sav	脎
sax	卅
scb	溞
scc	骚
scj	缫
scl	搔
scs	瘙
sct	埽
scv	臊
scz	嫂
sdh	噻
sdi	塞
sdv	腮
sdy	鳃
seb	涩
seg	瑟
sei	塞
sek	铯
sep	啬
sew	穑
shh	嗓
shj	磉
shl	搡
shp	丧
shq	颡
sia	四
sib	泗
sic	驷
sie	虒
sif	似
sih	嗣
sij	丝
sik	锶
sil	死
sim	蛳
sin	肆
sio	司
sip	思
sir	笥
sis	厮
sit	寺
siu	祀
siv	巳
siw	私
siy	㟃
siz	姒
sja	馓
sjd	糁
sjg	伞
sjm	散
sjt	叁
sob	娑
sog	琐
soh	嗦
soi	羧
soj	缩
sok	锁
soo	梭
soq	睃
sox	蓑
sre	酸
srv	狻
srx	蒜
ssa	颂
ssb	淞
ssc	悚
ssd	诵
ssg	怂
ssi	宋
ssl	㧐
sso	松
ssx	菘
ssy	嵩
ssz	娀
sua	塑
sub	溯
suc	愫
sud	诉
sue	酥
suf	俗
suh	嗉
sui	宿
suj	缩
sun	夙
sup	速
suq	肃
sur	簌
suw	素
sux	蔌
suy	稣
suz	蹜
sva	遂
svb	濉
svd	谇
sve	𫟦
svg	璲
svh	虽
svi	邃
svj	碎
svk	𬭼
svp	随
svq	睢
svr	燧
svs	旞
svu	髓
svw	穗
svx	荽
svy	祟
syg	隼
syl	损
syo	榫
syr	笋
syv	狲
syx	荪
sza	馊
szb	溲
sze	艘
szh	嗖
szk	锼
szl	擞
szm	螋
szn	飕
szq	瞍
szs	廋
szx	薮
szy	叟
tab	沓
tai	它
taj	鿎
tak	铊
tal	挞
tam	鞳
tao	榻
taq	遢
tat	塔
tau	褟
tav	獭
taw	闼
tay	鳎
taz	踏
tcb	逃
tcc	慆
tcd	讨
tch	饕
tcj	绦
tcl	掏
tcn	焘
tco	桃
tcp	陶
tcv	韬
tcx	萄
tdb	汰
tdc	骀
tde	酞
tdi	泰
tdk	钛
tdl	抬
tdn	态
tdt	台
tdv	胎
tdx	苔
tdy	鲐
tdz	跆
tek	铽
ten	忑
tew	慝
tgi	誊
tgr	熥
tgv	腾
tgx	藤
tha	躺
thb	烫
thd	糖
thf	倘
thg	瑭
thh	嘡
thi	堂
thk	镗
thl	搪
thm	螳
thn	耥
tho	樘
ths	唐
tht	塘
thv	膛
thz	趟
tia	剃
tib	涕
tic	惕
tie	醍
tif	体
tig	瑅
tih	啼
tii	屉
tij	缇
tik	锑
til	擿
tin	替
tio	梯
tiq	题
tiu	裼
tiv	逖
tix	荑
tiy	鳀
tiz	踢
tja	忐
tjb	潭
tjc	惔
tjd	谭
tje	覃
tjf	倓
tjg	璮
tjh	叹
tjj	碳
tjk	钽
tjl	探
tjm	毯
tjo	弹
tjq	昙
tjr	郯
tjs	痰
tjt	坦
tju	袒
tjx	菼
tjy	炭
tjz	贪
tkb	汀
tkc	霆
tke	艇
tkf	停
tkg	珽
tkh	听
tkj	𬘩
tkk	铤
tkm	蜓
tko	梃
tkr	烃
tks	厅
tkt	廷
tku	亭
tkx	葶
tkz	婷
tmb	添
tmc	恬
tmg	瑱
tml	殄
tmm	黇
tmn	忝
tmp	田
tmq	晪
tmt	填
tmv	腆
tmw	甜
tnd	调
tnf	佻
tng	龆
tni	窕
tnl	挑
tnm	蜩
tnn	髫
tnq	眺
tnr	笤
tns	迢
tnu	祧
tnv	朓
tny	粜
tnz	跳
tob	沱
toc	驼
toe	酡
tof	佗
toh	唾
toi	橐
toj	砣
tok	铊
tol	拖
tom	妥
too	椭
top	陀
tor	箨
tos	庹
tot	坨
tov	脱
tox	萚
toy	鸵
toz	跎
tpa	帖
tpl	餮
tpx	萜
tpz	贴
trb	湍
trl	抟
trp	疃
trq	彖
trr	煓
trv	猯
tsa	童
tsb	潼
tsc	恸
tsd	𫍣
tse	酮
tsf	佟
tsg	仝
tsh	嗵
tsj	统
tsk	铜
tsl	捅
tsn	彤
tso	桶
tsq	瞳
tsr	筒
tss	痛
tst	通
tsw	穜
tsx	茼
tsy	峒
tsz	㛚
tua	凸
tub	涂
tuc	𬳿
tue	酴
tug	途
tuh	吐
tui	突
tuk	钍
tuo	梌
tur	兔
tut	土
tuu	徒
tuv	腯
tuw	秃
tux	荼
tvc	退
tvm	蜕
tvp	魋
tvr	忒
tvu	褪
tvv	腿
tvw	颓
tya	饨
tyc	忳
tye	囤
tyi	臀
tyn	屯
tyq	暾
tyr	焞
tyt	坉
tyu	褪
tyv	豚
tyy	鲀
tzf	偷
tzl	投
tzu	骰
tzw	透
uab	鲨
uac	霎
uaf	傻
uah	啥
uaj	砂
uak	铩
uan	杀
uao	杉
uas	厦
uaw	歃
uax	莎
uay	煞
ucb	潲
ucd	韶
uce	艄
ucg	玿
uch	哨
ucj	绍
ucl	捎
ucm	鞘
uco	梢
ucq	睄
ucr	烧
ucs	邵
ucw	稍
ucx	苕
udr	筛
uds	色
uea	射
ueb	涉
uec	慑
ueg	舍
uek	麝
uel	摄
uem	蛇
uen	奢
ues	厍
uet	赦
ueu	社
uev	猞
uew	舌
uey	𪨶
uez	赊
ufa	身
ufb	沈
ufc	慎
ufd	谂
ufe	甡
uff	什
ufg	珅
ufh	哂
ufi	审
ufj	绅
ufk	𬬹
ufm	甚
ufn	肾
ufo	椹
ufp	申
ufq	瞫
ufr	燊
ufs	蜃
uft	参
ufu	神
ufv	胂
ufx	莘
ufy	鲹
ufz	婶
ugc	牲
uge	升
ugg	省
ugj	绳
ugp	陞
ugq	圣
ugr	盛
ugt	声
ugv	胜
ugw	剩
ugy	嵊
uhf	伤
uhg	尚
uhi	赏
uhj	绱
uhl	殇
uhq	晌
uhr	熵
uht	墒
uhw	觞
uhz	商
uia	师
uib	湿
uic	驶
uid	试
uie	轼
uif	使
uig	食
uih	史
uii	实
uij	石
uik	氏
uil	势
uim	世
uin	事
uio	柿
uip	十
uiq	匙
uir	式
uis	施
uit	士
uiu	视
uiv	市
uiw	适
uix	莳
uiy	示
uiz	始
uja	单
ujb	汕
ujc	骟
ujd	讪
uje	舢
ujg	珊
uji	扇
ujj	缮
ujk	善
ujl	擅
ujm	蟮
ujn	删
ujo	杉
ujp	陕
ujq	晱
ujr	煽
ujs	疝
ujt	埏
uju	衫
ujv	膳
ujw	闪
ujx	苫
ujy	鳝
ujz	姗
uka	帅
ukl	摔
ukm	蟀
ukn	衰
ukv	甩
ulb	漴
ulc	霜
ulj	礵
uln	爽
ulz	孀
uoa	朔
uod	数
uoj	硕
uok	铄
uol	搠
uor	烁
uox	蒴
uoz	妁
url	拴
uro	栓
urv	腨
urw	闩
uua	署
uub	淑
uud	数
uue	输
uuf	倏
uug	舒
uui	属
uuj	纾
uuk	𬬸
uul	殊
uum	墅
uun	竖
uuo	术
uup	束
uuq	暑
uur	戍
uus	庶
uut	殳
uuu	熟
uuv	腧
uuw	黍
uux	蔬
uuy	鼠
uuz	恕
uva	帨
uvd	谁
uvq	睡
uvw	税
uxc	耍
uxh	唰
uyh	吮
uym	舜
uyo	楯
uyq	瞬
uza	首
uze	艏
uzg	售
uzi	守
uzj	绶
uzl	授
uzm	受
uzn	寿
uzo	收
uzs	瘦
uzu	熟
uzv	狩
vaa	馇
vab	渣
vac	霅
vad	诈
vae	轧
vaf	乍
vah	喳
vai	鲝
vaj	砟
vak	铡
val	扎
vam	蚱
van	奓
vao	札
vaq	眨
var	劄
vas	痄
vaw	闸
vay	鲊
vca	罩
vcb	兆
vcd	诏
vch	啁
vci	着
vck	钊
vcl	招
vcm	爪
vco	棹
vcp	朝
vcq	照
vcr	笊
vcs	召
vcy	𬶐
vcz	赵
vda	斋
vde	豸
vdi	宅
vdl	摘
vdm	翟
vds	瘵
veb	浙
ved	谪
vee	辙
veh	啫
vei	着
vej	磔
vek	锗
vel	折
veo	柘
vep	者
ves	遮
vet	喆
veu	褶
vex	蔗
vfa	贞
vfb	浈
vfc	震
vfd	诊
vfe	甄
vff	侦
vfg	珍
vfi	鸩
vfj	砧
vfk	镇
vfl	振
vfm	斟
vfn	鬒
vfo	枕
vfp	阵
vfq	昣
vfr	箴
vfs	疹
vft	圳
vfu	祯
vfv	朕
vfw	稹
vfx	蓁
vfy	臻
vfz	赈
vga	郑
vgc	怔
vgd	证
vgk	铮
vgl	挣
vgn	政
vgo	烝
vgp	整
vgq	睁
vgr	筝
vgs	症
vgu	征
vgv	狰
vgx	蒸
vgy	峥
vha	帐
vhb	涨
vhd	章
vhe	长
vhf	仗
vhg	璋
vhi	掌
vhm	蟑
vho	杖
vhp	障
vhq	暲
vhs	瘴
vhv	胀
vhy	嶂
vhz	账
via	置
vib	治
vic	制
vid	识
vie	质
vif	值
vig	止
vih	只
vii	窒
vij	纸
vik	铚
vil	指
vim	蜘
vio	植
vip	直
viq	彘
vir	知
vis	痣
vit	志
viu	徵
viv	脂
viw	秩
vix	芝
viy	至
viz	趾
vja	占
vjb	沾
vjd	粘
vje	斩
vjf	偡
vji	展
vjj	绽
vjl	搌
vjm	毡
vjn	飐
vjo	栈
vjq	瞻
vjr	盏
vjs	詹
vjv	鹯
vjx	蘸
vjy	崭
vla	幢
vld	戆
vll	撞
vln	状
vlo	桩
vls	庄
voa	卓
vob	浊
vod	诼
voe	酌
vof	倬
vog	琢
voh	啄
voi	着
voj	斫
vok	镯
vol	捉
voo	棁
voq	叕
vor	灼
vos	𬸦
vou	禚
vox	茁
vra	馔
vrb	沌
vrf	传
vrg	瑑
vrh	啭
vrj	砖
vrl	撰
vrr	篆
vrv	䏝
vrx	专
vry	颛
vrz	赚
vse	舯
vsf	仲
vsg	众
vsh	忠
vsi	冢
vsj	终
vsk	钟
vsn	衷
vso	柊
vsq	螽
vsv	肿
vsw	重
vsx	茽
vsz	踵
vub	注
vuc	驻
vud	诸
vue	逐
vuf	住
vug	珠
vuh	嘱
vuj	纻
vuk	铸
vul	拄
vum	蛛
vuo	柱
vup	煮
vuq	瞩
vur	竹
vus	疰
vut	助
vuu	祝
vuv	猪
vux	著
vuy	朱
vuz	贮
vvc	惴
vvg	隹
vvj	缀
vvk	锥
vvo	椎
vvp	坠
vvw	赘
vxm	爪
vxn	髽
vyd	谆
vyi	窀
vyj	𬘯
vyk	衠
vyv	肫
vza	州
vzb	洲
vzc	骤
vzd	诌
vze	轴
vzf	㑇
vzh	咒
vzi	宙
vzj	纣
vzo	粥
vzp	胄
vzq	帚
vzr	籀
vzv	肘
vzx	荮
vzy	皱
vzz	妯
wab	洼
waf	佤
wah	哇
wai	窊
wal	挖
wam	蛙
wap	畖
wat	坬
wau	袜
wav	腽
waz	娃
wdn	歪
wdy	崴
wfa	文
wfb	温
wfc	雯
wfe	璺
wfg	玟
wfh	吻
wfj	纹
wfm	蚊
wfo	榅
wfr	炆
wfs	瘟
wfw	稳
wfx	蕰
wfy	鳁
wga	瓮
wgb	滃
wgh	嗡
wgk	𬭩
wgx	蕹
whb	汪
whc	惘
whe	辋
who	枉
whp	魍
whq	旺
whu	往
