字	全码	同项序号	核定简码
甚	ufiz	0	ufi
甜	tmxi	0	tmx
生	ugkx	0	ug
用	ysde	0	ys
田	tmaa	0	tma
由	yzaa	0	yza
甲	jxaa	0	jxa
申	ufaa	0	ufa
电	dmaa	0	dma
男	njak	0	nja
町	dkan	0	dka
画	hxrl	0	hxr
界	jpay	0	jpay
留	lqxa	0	lqx
略	ltag	0	lt
番	fjba	0	fjb
番	pjba	0	pjb
疑	yigl	0	yig
疗	lncx	0	lnc
疼	tgcd	0	tg
疾	jics	0	jics
病	bkcd	0	bkc
症	vgcy	0	vgc
痛	tsce	0	tsc
瘦	uzcg	0	uzc
登	dgxr	0	dgx
白	bdll	0	bd
百	bdrl	0	bdr
的	deld	0	d
的	dild	0	dil
皆	jpgl	0	jpg
皇	hllt	0	hll
皮	pihh	0	pi
盆	pfvt	0	pfv
益	yivt	0	yivt
盐	yjpt	0	yjp
监	jmht	0	jmht
盒	hedt	0	hed
盖	gdmt	0	gdm
盖	gemt	0	gem
盘	pjct	0	pj
盛	igbt	0	igb
盛	ugbt	0	ugb
目	muaa	0	mu
直	vibr	0	vibr
相	xlaa	0	xla
省	ugfa	0	ugf
省	xkfa	0	xkfa
眉	mwta	0	mwt
看	kjma	0	k
真	vfbv	0	vf
眼	yjaw	0	yj
着	vcma	0	vcm
着	vema	0	vem
着	voma	0	vom
睛	jkar	0	jkar
睡	uvar	0	uva
督	dusa	0	dus
瞧	qnaw	0	qna
知	visj	0	visj
短	drsr	0	drs
石	djcc	0	djc
石	uicc	0	uic
码	macn	0	macn
研	yjcq	0	yjc
破	poch	0	po
硬	ykce	0	ykc
确	qtch	0	qtc
碎	svcb	0	svc
碗	wjct	0	wjc
碰	pgce	0	pgc
碳	tjcw	0	tjc
示	uiqq	0	uiq
礼	livz	0	liv
社	uevp	0	uev
祖	zuvr	0	zuv
祝	vuvn	0	vuv
神	ufva	0	ufv
祥	xlvb	0	xlv
票	pnyq	0	pn
禁	jbaq	0	jba
福	fuva	0	fuva
离	libo	0	lib
秀	xqcn	0	xqc
私	sick	0	sic
秋	qqcw	0	qqc
种	iscy	0	isc
种	vscy	0	vs
科	kecb	0	kec
秒	mnck	0	mn
秘	bicv	0	bic
秘	micv	0	mic
租	zucr	0	zuc
秦	qbmc	0	qbm
积	jicv	0	jicv
称	ifcf	0	ifc
称	igcf	0	igcf
移	yicx	0	yic
程	igct	0	igct
稍	uccr	0	ucc
税	uvcn	0	uvc
稳	wfcv	0	wfc
穆	muck	0	muc
究	jqsh	0	jqs
穷	qssk	0	qs
空	ksss	0	ks
穿	irsk	0	ir
突	tusv	0	tus
窗	ilsq	0	ils
立	lihh	0	lih
站	vjhj	0	vj
竞	jkhn	0	jkh
竟	jken	0	jke
章	vheb	0	vhe
童	tshw	0	tsh
端	drhl	0	drh
竹	vumm	0	vum
笑	xnmv	0	xnm
笔	bimh	0	bim
符	fumt	0	fumt
第	dimb	0	dim
等	dgmn	0	dg
答	damj	0	dam
策	cemg	0	cem
签	qmmp	0	qmm
简	jmma	0	jmm
算	srmq	0	sr
管	grmh	0	grm
箱	xlma	0	xlm
篇	pmmq	0	pmm
米	mibb	0	mi
类	lwbv	0	lw
粉	ffbo	0	ffb
粗	cubr	0	cub
粥	vzzz	0	vzz
精	jkbr	0	jkb
糊	hubr	0	hub
糖	thbj	0	thb
系	jikf	0	jik
系	xikf	0	xik
素	suxf	0	sux
索	sobf	0	so
紧	jbhf	0	jbh
紫	ziyf	0	ziy
累	lwaf	0	lwa
红	hsfs	0	hs
约	ycfd	0	ycf
约	ytfd	0	ytf
级	jifs	0	jif
纪	jift	0	jift
纯	iyfz	0	iyf
纳	nafd	0	naf
纵	zsfd	0	zsf
纷	fffo	0	fff
纸	vifn	0	vif
纹	wffq	0	wff
线	xmfb	0	xmf
练	lmfc	0	lmf
组	zufr	0	zu
细	xifa	0	xif
织	vifv	0	vifv
终	vsfd	0	vsf
绍	ucfj	0	ucf
经	jkfs	0	jk
结	jpfj	0	jpf
绕	rcfh	0	rc
给	gwfj	0	gw
给	jifj	0	jifj
络	lcfg	0	lcf
络	lofg	0	lof
绝	jtft	0	jtf
统	tsfn	0	tsf
继	jifz	0	jifz
续	xufv	0	xuf
维	wwfp	0	wwf
绿	lufo	0	luf
绿	lvfo	0	lvf
缓	hrfg	0	hrf
编	bmfq	0	bmf
缘	yrfy	0	yrf
缩	sufl	0	suf
缩	sofl	0	sof
缺	qtbv	0	qtb
网	whle	0	whl
罗	lotx	0	lo
罢	batk	0	batk
罪	zvtx	0	zvt
置	vitr	0	vit
署	uutt	0	uutt
羊	yhbb	0	yhb
美	mwmv	0	mw
群	qydb	0	qy
翻	fjbn	0	fjbn
翼	yinv	0	yin
老	lckg	0	lc
考	kckz	0	kc
者	veka	0	vek
而	erll	0	e
耐	ndln	0	ndl
耳	ermm	0	erm
耶	yemy	0	yem
聊	lnmi	0	lnm
职	vimv	0	vim
联	lmmv	0	lmm
聚	jumd	0	jum
肉	rzld	0	rz
肌	jird	0	jir
肖	xnfr	0	xnf
肝	gjrx	0	gjr
股	gurw	0	gu
肥	fwrt	0	fwr
肩	jmtr	0	jmt
肯	kfyr	0	kf
育	yubr	0	yub
肺	fwrg	0	fwrg
肾	ufhr	0	ufh
胃	wwar	0	wwa
胆	djrr	0	djr
背	bwxr	0	bwxr
胎	tdrj	0	tdr
胖	pjre	0	pjr
胖	phre	0	ph
胜	ugrx	0	ugr
胡	hurr	0	hur
胸	xsrl	0	xsr
能	ngkg	0	ng
脂	vira	0	vir
脆	cvrt	0	cv
脏	zhrp	0	zh
脑	ncrl	0	nc
脚	jnry	0	jnr
脱	torn	0	tor
脸	lmrp	0	lmr
腰	ycrm	0	ycr
腻	nirq	0	nir
腾	tgrn	0	tgr
腿	tvro	0	tvr
膜	morq	0	morq
臂	bwtr	0	bwt
臂	bitr	0	bitr
臣	ifmm	0	ifm
自	zill	0	zi
至	vihh	0	vihh
致	vihg	0	vih
舍	uedj	0	ued
舒	uudg	0	uud
舞	wudh	0	wudh
航	hhcd	0	hhc
般	bjcw	0	bjc
舰	jmcq	0	jmc
船	ircj	0	irc
良	lldw	0	lld
色	seot	0	se
色	udot	0	udo
艺	yiqz	0	yiq
艾	aiqe	0	aiq
艾	yiqe	0	yiqe
节	jpqy	0	jpq
芬	ffqo	0	ffq
花	hxqg	0	hxq
芳	fhql	0	fhq
苏	suqk	0	su
若	roqj	0	ro
苦	kuqr	0	kuq
英	ykqv	0	ykq
范	fjqt	0	fjq
茨	ciqd	0	ciq
茶	iaqf	0	iaq
草	ccqb	0	cc
荡	dhqx	0	dhq
荣	rsqa	0	rsq
药	ycqd	0	ycq
莉	liqe	0	liq
莫	moqq	0	moq
莱	ldqk	0	ldq
获	hoqv	0	hoq
菌	jyqc	0	jyq
菜	cdqb	0	cd
菲	fwqx	0	fwq
萌	mgqr	0	mgq
营	ykqj	0	ykqj
萨	saqk	0	sa
落	laqg	0	laq
落	lcqg	0	lcqg
落	loqg	0	loq
著	vuqa	0	vuq
著	voqa	0	voq
董	dsqw	0	dsq
葱	csqv	0	csq
蒂	diqg	0	diq
蒋	jlqn	0	jlq
蒙	mgqy	0	mgqy
蒸	vgqw	0	vgq
蓝	ljqt	0	ljq
蔡	cdqq	0	cdq
薄	bcqn	0	bcq
薄	boqn	0	boq
藏	chqm	0	ch
藏	zhqm	0	zhq
虎	husd	0	hus
虑	lvsv	0	lvs
虚	xusr	0	xus
虫	isww	0	isw
虽	svjw	0	svj
虾	xxws	0	xxw
蛋	djlw	0	djl
蛮	mjyw	0	mjy
融	rshw	0	rsh
蟹	xphw	0	xph
血	xptt	0	xpt
血	xttt	0	xtt
行	hhxx	0	hh
行	hgxx	0	hgx
行	xkxx	0	xkx
街	jpxp	0	jpx
衣	yigg	0	yigg
补	buvs	0	buv
表	bnxg	0	bn
袁	yrpg	0	yrp
袋	ddzg	0	ddzg
被	bwvh	0	bw
装	vlxg	0	vl
西	xiyy	0	xi
要	ycym	0	yc
见	jmqq	0	jmq
见	xmqq	0	xmq
观	grgq	0	grg
规	gvvq	0	gvv
视	uivq	0	uiv
觉	jnsq	0	jns
觉	jtsq	0	jt
角	jnhh	0	jnh
角	jthh	0	jth
解	jphn	0	jph
解	xphn	0	xphn
触	iuhw	0	iuh
言	yjmm	0	yjm
警	jkqm	0	jkqm
计	jimb	0	jimb
订	dkmn	0	dkm
认	rfmd	0	rfm
讨	tcmn	0	tcm
让	rhmr	0	rh
训	xymy	0	xym
议	yime	0	yim
讯	xymb	0	xy
记	jimt	0	jimt
讲	jlmj	0	jlmj
许	xumb	0	xum
论	lymg	0	ly
设	uemw	0	ue
访	fhml	0	fhm
证	vgmy	0	vgm
评	pkmb	0	pk
识	uimv	0	uimv
识	vimv	0	vimv
诉	sumf	0	sum
词	cimj	0	cimj
译	yime	0	yime
试	uims	0	uims
诗	uimn	0	uimn
诚	igmz	0	igm
话	hxmj	0	hxm
该	gdmd	0	gd
详	xlmb	0	xlmb
语	yumj	0	yum
误	wumv	0	wum
说	uvmn	0	uvm
说	uomn	0	uo
请	qkmr	0	qk
诸	vuma	0	vuma
诺	nomj	0	no
读	dzmv	0	dzm
读	dumv	0	dum
课	kema	0	kem
谁	uvmp	0	uvmp
调	dnmj	0	dnm
调	tnmj	0	tnm
谈	tjmw	0	tj
谋	mzma	0	mzm
谓	wwmr	0	wwm
谢	xpmn	0	xpm
谷	guvj	0	guv
豆	dzrr	0	dzr
象	xlbb	0	xlb
豪	hcky	0	hcky
貌	mcyn	0	mcy
贝	bwqq	0	bwq
负	fuoq	0	fuoq
财	cdqn	0	cdqn
责	zexq	0	zex
贤	xmhq	0	xmh
败	bdqg	0	bdq
货	hozq	0	hozq
质	vikq	0	vik
贫	pbvq	0	pbv
购	gzqk	0	gz
贴	tpqj	0	tpq
贵	gvwq	0	gv
贷	ddzq	0	ddzq
费	fwkq	0	fwk
贾	guyq	0	guy
贾	jxyq	0	jxy
资	zioq	0	zio
赏	uhsq	0	uhs
赖	ldgq	0	ldg
赚	vrqj	0	vrq
赛	sdsq	0	sd
赞	zjnq	0	zj
赢	ykdq	0	ykd
赫	hepy	0	hep
走	zzkk	0	zz
赵	vcke	0	vck
赶	gjkx	0	gjk
起	qikt	0	qik
超	ickj	0	ic
越	ytkb	0	ytk
趣	qukg	0	quk
足	zukk	0	zuk
跃	ytkv	0	ytkv
跌	dpks	0	dp
跑	pckt	0	pc
距	jukl	0	juk
跟	gfkw	0	gf
跨	kxkz	0	kx
路	lukg	0	lu
跳	tnkn	0	tnk
身	ufqq	0	ufq
车	iecc	0	ie
车	jucc	0	juc
轨	gvch	0	gvc
转	vrck	0	vr
轮	lycg	0	lyc
软	rrcd	0	rr
轴	vzca	0	vzc
轻	qkcs	0	qkcs
载	zdbc	0	zdb
较	jnce	0	jnc
辆	llcd	0	llc
辈	bwxc	0	bwxc
辉	hvfc	0	hvf
输	uuce	0	uuc
辛	xbhh	0	xbh
辞	cixh	0	cix
辣	lahg	0	lah
边	bmko	0	bmk
达	davo	0	dav
迅	xyzo	0	xyz
过	gono	0	go
迎	ykyo	0	yky
运	yyro	0	yyr
近	jbfo	0	jbfo
返	fjko	0	fjko
还	hdro	0	hd
还	hrro	0	hrr
这	veqo	0	ve
进	jbjo	0	jbj
远	yrro	0	yrr
违	wweo	0	wwe
连	lmco	0	lm
迟	iito	0	iito
迪	diao	0	dia
迫	pdlo	0	pdl
迫	polo	0	pol
述	uuao	0	uuao
迷	mibo	0	mib
迹	jiyo	0	jiy
追	vvho	0	vv
退	tvwo	0	tvw
送	ssvo	0	ss
适	uixo	0	uix
逃	tcoo	0	tco
选	xrno	0	xr
透	tzco	0	tzc
逐	vuyo	0	vuy
递	dibo	0	dibo
途	tudo	0	tud
通	tsko	0	tsk
逛	glho	0	glh
速	sugo	0	sug
造	zcno	0	zcn
逼	biro	0	bir
遇	yuao	0	yua
遍	bmto	0	bmt
道	dcvo	0	dcv
遗	yiwo	0	yiw
遭	zcro	0	zcr
避	bito	0	bito
邀	yclo	0	ycl
邓	dggy	0	dgg
那	nazy	0	na
邦	bhry	0	bhr
邻	lbvy	0	lbv
郎	lhdy	0	lhd
郑	vgvy	0	vgv
郡	jydy	0	jydy
部	buhy	0	bu
郭	goky	0	gok
都	dzky	0	dz
都	duky	0	duk
配	pwyt	0	pw
酒	jqoy	0	jqo
酥	suyc	0	suy
酱	jlxy	0	jlxy
酷	kuyj	0	kuy
酸	sryg	0	sry
醒	xkyx	0	xky
采	cdbb	0	cdbb
释	uibe	0	uibe
里	liww	0	li
重	isxw	0	is
重	vsxw	0	vsx
野	yewg	0	yew
量	llaw	0	lla
金	jbnn	0	jb
针	vfnb	0	vfn
钟	vsny	0	vsn
钢	ghne	0	ghn
钱	qmnb	0	qmn
铁	tpns	0	tp
铜	tsnj	0	tsn
银	ybnw	0	ybn
铺	punl	0	pun
链	lmno	0	lmn
销	xnnr	0	xnn
锁	sonq	0	son
锅	gond	0	gon
错	cona	0	co
锦	jbng	0	jbn
键	jmno	0	jmn
镇	vfnv	0	vfnv
镜	jknn	0	jkn
长	ihhh	0	ih
长	vhhh	0	vhh
门	mfll	0	mfl
闪	ujld	0	ujl
闭	biln	0	bil
问	wflj	0	wf
闲	xmla	0	xml
间	jmla	0	jm
闹	nclg	0	ncl
闻	wflm	0	wfl
队	dvyd	0	dvy
防	fhyl	0	fhy
阳	yhya	0	yhy
阴	ybyr	0	yby
阵	vfyc	0	vfy
阶	jpyy	0	jpy
阻	zuyr	0	zuy
阿	aayn	0	aa
阿	eeyn	0	eey
附	fuyt	0	fuy
际	jiyq	0	jiyq
陆	lqyb	0	lqy
陆	luyb	0	luy
陈	ifyc	0	if
降	jlyh	0	jly
降	xlyh	0	xly
限	xmyw	0	xmy
院	yryn	0	yry
除	iuyv	0	iuy
险	xmyp	0	xmyp
陪	pwyj	0	pwy
陶	tcyb	0	tcy
陷	xmyl	0	xmyl
隆	lsyx	0	lsy
随	svyo	0	svy
隐	ybyv	0	ybyv
隔	geyh	0	gey
难	njgp	0	njg
雄	xsbp	0	xsb
雅	yakp	0	yakp
集	jipa	0	jipa
雨	yull	0	yul
雪	xtld	0	xtl
零	lklv	0	lkl
雷	lwla	0	lwl
需	xull	0	xu
震	vfll	0	vfl
霍	holp	0	hol
露	lzlg	0	lzl
露	lulg	0	lul
青	qkxr	0	qkx
静	jkxd	0	jkx
非	fwxx	0	fw
靠	kcnx	0	kcn
面	mmll	0	mm
革	geii	0	gei
鞋	xpip	0	xpi
韦	wwee	0	wwee
韩	hjbe	0	hjb
音	ybee	0	ybe
页	yeqq	0	yeq
顶	dknq	0	dknq
项	xlsq	0	xls
顺	uyyq	0	uy
须	xukq	0	xuk
顾	gucq	0	guc
顿	dyrq	0	dy
预	yugq	0	yugq
领	lkvq	0	lkvq
频	pbyq	0	pby
颗	keaq	0	kea
题	tiaq	0	tia
颜	yjhq	0	yjh
额	eesq	0	ee
风	fgde	0	fg
飞	fwzz	0	fwz
食	uidw	0	uid
餐	cjxw	0	cjxw
饭	fjgg	0	fj
饮	ybgd	0	ybg
饰	uigg	0	uig
饱	bcgt	0	bcg
饼	bkgq	0	bkg
饿	eegb	0	eeg
馆	grgh	0	grgh
首	uzvl	0	uzv
香	xlca	0	xlc
马	mann	0	man
驻	vunp	0	vun
驾	jxkn	0	jxkn
骂	majj	0	majj
验	yjnp	0	yjn
骑	qinn	0	qin
骗	pmnq	0	pmn
骨	gubb	0	gub
高	gckj	0	gc
鬼	gvnn	0	gvn
魂	hyrn	0	hyr
魏	wwcn	0	wwcn
魔	mocn	0	mocn
鱼	yuyy	0	yuy
鲁	luya	0	luya
鲜	xmyb	0	xmyb
鸟	nncc	0	nn
鸡	jigc	0	jig
鸭	yaac	0	yaa
鹏	pgrc	0	pgr
麦	mdxg	0	mdx
麻	maca	0	maca
黄	hlie	0	hl
黎	lico	0	lico
黑	hwtt	0	hw
默	motv	0	mot
鼓	gupg	0	gup
齐	qiqy	0	qiq
龙	lskk	0	ls
丐	gdrz	0	gdr
丘	qqee	0	qqe
丙	bkrd	0	bkr
丛	csdr	0	csd
丞	igzr	0	igz
丧	shbl	0	shb
丫	yavy	0	yav
乍	vadr	0	vad
乏	fakf	0	fak
乖	gkxg	0	gkx
乞	qidz	0	qidz
乳	rubz	0	rub
乾	qmbz	0	qmb
亥	hdbd	0	hdb
亨	hgkx	0	hgk
亩	muba	0	mub
亭	tkkn	0	tkk
仆	puzs	0	puz
仇	izzh	0	izzh
仇	qqzh	0	qqz
仑	lydg	0	lyd
仕	uizp	0	uizp
仗	vhzd	0	vhz
仰	yhzy	0	yhz
伍	wuzq	0	wuz
伐	fazb	0	faz
伞	sjdb	0	sjd
伪	wwzk	0	wwzk
估	guzr	0	guz
伶	lkzv	0	lkz
伺	cizj	0	ciz
伺	sizj	0	sizj
伽	gazj	0	gaz
伽	jxzj	0	jxzj
伽	qpzj	0	qpz
佑	yzzj	0	yzzj
佟	tszd	0	tsz
佣	ysze	0	ysz
佬	lczg	0	lcz
佰	bdzl	0	bdzl
侃	kjzy	0	kjz
侄	vizh	0	vizh
侍	uizn	0	uizn
侠	xxzv	0	xxz
侣	lvzj	0	lvz
侥	jnzh	0	jnz
侥	yczh	0	ycz
侦	vfzq	0	vfz
侨	qnzy	0	qnz
侬	nszg	0	nsz
侮	wuzl	0	wuzl
侵	qbzg	0	qbz
俏	qnzr	0	qnzr
俘	fuzx	0	fuzx
俞	yuee	0	yuee
俭	jmzp	0	jmzp
俯	fuzt	0	fuzt
俱	juzv	0	juz
俺	anza	0	anz
倘	thzj	0	thz
倚	yizn	0	yizn
倡	ihza	0	ihz
倦	jrzt	0	jrz
倩	qmzr	0	qmz
倪	nizn	0	niz
偿	ihzk	0	ihzk
傅	fuzn	0	fuzn
傍	bhzl	0	bhz
催	cvzp	0	cvz
傲	aozg	0	aoz
傻	uazg	0	uaz
僚	lnzf	0	lnz
僧	sgza	0	sg
僵	jlzr	0	jlz
僻	pizh	0	piz
儒	ruzl	0	ruz
兆	vcon	0	vcon
兑	dvvn	0	dvv
兔	tuxx	0	tux
兜	dzln	0	dzl
兮	xivz	0	xivz
兽	uzvj	0	uzvj
冀	jixv	0	jix
冈	ghle	0	ghl
冉	rjlr	0	rjl
冢	vssy	0	vss
冤	yrsx	0	yrs
冥	mksv	0	mks
冶	yeoj	0	yeoj
冻	dsoc	0	dsoc
凄	qiom	0	qiom
凌	lkog	0	lko
凑	czov	0	cz
凛	lboq	0	lbo
凰	hldt	0	hld
凳	dgxd	0	dgxd
凶	xsel	0	xse
凸	tuyr	0	tuyr
凹	aoyr	0	aoy
函	hjzl	0	hjz
凿	zcel	0	zce
刁	dnzr	0	dnz
刃	rfod	0	rfod
刊	kjxo	0	kjx
删	ujdo	0	ujd
刨	bclo	0	bclo
刨	pclo	0	pcl
刮	gxxo	0	gxx
刹	iaeo	0	iaeo
刹	uaeo	0	uaeo
剁	dodo	0	dod
剃	tibo	0	tib
削	xnfo	0	xnfo
削	xtfo	0	xtf
剔	tiao	0	tiao
剖	pzho	0	pz
剥	bcdo	0	bcd
剥	bodo	0	bod
割	geso	0	ges
剿	jnyo	0	jny
劈	pito	0	pit
劝	qrgk	0	qrg
劣	lpfk	0	lpf
劫	jppk	0	jpp
励	lisk	0	lisk
勃	bobk	0	bobk
勉	mmxk	0	mmxk
勋	xyjk	0	xyj
勘	kjik	0	kji
募	muqk	0	muqk
勤	qbik	0	qbi
勺	ucld	0	ucl
勾	gzlk	0	gzlk
勿	wuxx	0	wux
匀	yylo	0	yyl
匆	csxd	0	csx
匈	xsll	0	xsl
匕	bikz	0	bikz
匙	iiag	0	iia
匙	uiag	0	uia
匠	jllf	0	jll
匡	kllt	0	kll
匣	xxla	0	xxl
匪	fwlx	0	fwl
匹	piln	0	pil
匿	nilj	0	nil
卑	bwlb	0	bwl
卒	cubb	0	cubb
卒	zubb	0	zub
卓	vosb	0	vos
卜	boss	0	bos
卜	buss	0	bus
卤	luse	0	luse
卦	gxps	0	gxp
卧	woms	0	wom
卯	mcii	0	mci
卵	lrii	0	lri
卸	xpdy	0	xpd
卿	qkiy	0	qki
厄	eect	0	eec
厌	yjcv	0	yjcv
厕	ceco	0	cec
厘	licw	0	licw
厝	coca	0	coc
厢	xlca	0	xlca
厦	uacg	0	uac
厦	xxcg	0	xxc
厨	iucn	0	iuc
叉	iagd	0	iag
叙	xudg	0	xud
叛	pjvg	0	pjvg
叠	dpgr	0	dpg
叨	dcjo	0	dcj
叨	tcjo	0	tcj
叩	kzjy	0	kzj
叭	bajv	0	bajv
叮	dkjn	0	dkj
吁	xujx	0	xuj
吁	yujx	0	yuj
吊	dnjg	0	dnj
吏	lire	0	lir
吓	hejs	0	hejs
吓	xxjs	0	xxj
吖	aajy	0	aaj
吝	lbqj	0	lbq
吞	tyvj	0	ty
吟	ybjv	0	ybj
吩	ffjo	0	ffj
吭	hhjd	0	hhj
吭	kgjd	0	kgj
吱	vijg	0	vijg
吱	zijg	0	zij
吻	wfjx	0	wfj
吼	hzjz	0	hzj
吾	wuqj	0	wuqj
呃	eejt	0	eejt
呐	najd	0	najd
呕	ouje	0	ouj
呗	bwjq	0	bwj
呛	qljt	0	qlj
呜	wujc	0	wujc
呦	yzjk	0	yzj
呵	hejn	0	hejn
呻	ufja	0	ufj
咋	zajr	0	zaj
咋	zejr	0	zej
咋	vajr	0	vaj
咏	ysjn	0	ysj
咐	fujt	0	fuj
咒	vzjd	0	vzj
咕	gujr	0	guj
咖	gajj	0	gaj
咖	kajj	0	kaj
咦	yijh	0	yij
咧	lpjo	0	lpj
咨	zioj	0	zioj
咩	mpjb	0	mpj
咪	mijb	0	mij
咯	gejg	0	gej
咯	kajg	0	kajg
咯	lojg	0	loj
咯	lojg	1	lojg
咳	hdjd	0	hdj
咳	kejd	0	kej
咽	yjjv	0	yjj
咽	yejv	0	yejv
哀	aigj	0	aig
哄	hsjv	0	hsj
哆	dojx	0	doj
哇	wajp	0	waj
哉	zdbj	0	zdbj
哎	aije	0	aij
哑	yaje	0	yaje
哒	dajo	0	daj
哗	hxjb	0	hxj
哟	yojd	0	yo
哨	ucjr	0	ucj
哩	lijw	0	lij
哮	xnjx	0	xnj
哲	veej	0	veej
哺	bujl	0	buj
哼	hgjx	0	hgj
哼	hgjx	1	hgjx
唇	iycj	0	iyc
唉	aijs	0	aijs
唑	zojp	0	zoj
唔	wujj	0	wujj
唠	lcjk	0	lcj
唾	tojr	0	toj
啃	kfjr	0	kfj
啡	fwjx	0	fwj
啤	pijb	0	pij
啪	pajl	0	paj
啸	xnjv	0	xnjv
啼	tijg	0	tij
喀	kajg	0	kajg
喂	wwjl	0	wwjl
喇	lajo	0	lajo
喉	hzjs	0	hzjs
喔	wojh	0	woj
喘	irjl	0	irjl
喧	xrjr	0	xrj
喵	mnja	0	mnj
喻	yuje	0	yuje
喽	lzjm	0	lzj
嗅	xqjv	0	xqj
嗒	dajj	0	dajj
嗓	shja	0	shj
嗖	szjg	0	szj
嗜	uija	0	uija
嗡	wgjn	0	wgj
嗣	sijj	0	sij
嗨	hdjl	0	hdjl
嗯	ngjv	0	ngj
嗲	dxjx	0	dx
嗽	szjd	0	szjd
嘀	dijr	0	dij
嘎	gajb	0	gajb
嘱	vujo	0	vuj
嘲	icjr	0	icjr
嘶	sijf	0	sijf
嘻	xijj	0	xijj
嘿	hwjt	0	hwj
噢	oojv	0	oo
噪	zcja	0	zcj
噬	uijd	0	uijd
噶	gajl	0	ga
嚎	hcjy	0	hcjy
嚣	xnjj	0	xnjj
嚷	rhjg	0	rhj
嚼	jnjn	0	jnj
嚼	jtjn	0	jtj
囊	nhsg	0	nh
囚	qqid	0	qqi
圭	gvpp	0	gvp
圳	vfpy	0	vfp
圾	jips	0	jips
址	vipy	0	vipy
坂	bjpg	0	bjp
坊	fhpl	0	fhp
坎	kjpd	0	kjp
坛	tjpk	0	tjp
坝	bapq	0	bap
坞	wupc	0	wup
坟	ffpq	0	ffp
坠	vvyp	0	vvy
坡	poph	0	pop
坤	kypa	0	kyp
坦	tjpr	0	tjpr
坨	topg	0	top
坪	pkpb	0	pkp
垃	laph	0	lap
垄	lskp	0	lsk
垒	lwkp	0	lwk
垢	gzpj	0	gzp
垣	yrpr	0	yrpr
垫	dmep	0	dme
垮	kxpz	0	kxp
埋	mdpw	0	mdp
埋	mjpw	0	mjp
埔	bupl	0	bup
埔	pupl	0	pup
埠	bupb	0	bupb
埼	qipn	0	qip
堕	doyp	0	doy
堤	dipl	0	dip
堪	kjpz	0	kjpz
堰	yjpm	0	yjpm
堵	dupa	0	dup
塌	tapn	0	tapn
塑	suvp	0	suv
塘	thpj	0	thp
墅	uuwp	0	uuw
墓	muqp	0	muqp
墟	xupr	0	xup
墨	motp	0	motp
墩	dypg	0	dyp
壤	rhpg	0	rhp
壬	rfpp	0	rfp
壳	kepd	0	kep
壳	qnpd	0	qnp
壶	hupr	0	hup
壹	yipr	0	yip
夕	xixx	0	xix
夭	yckv	0	yck
夷	yihh	0	yih
夸	kxvz	0	kxv
奎	kvvp	0	kvv
奏	zzmv	0	zzm
契	qixv	0	qix
奕	yiyv	0	yiyv
奠	dmvv	0	dmv
奢	ueva	0	ueva
奴	numg	0	numg
奸	jmmx	0	jmmx
妃	fwmt	0	fwm
妄	whbm	0	whbm
妆	vlxm	0	vlxm
妍	yjmq	0	yjmq
妒	dumt	0	dumt
妓	jimg	0	jimg
妖	ycmv	0	ycm
妞	nqmp	0	nqm
妥	tobm	0	tob
妨	fhml	0	fhml
妮	nimg	0	nim
姊	zimk	0	zim
姚	ycmn	0	ycmn
姥	lcmg	0	lcm
姨	yimh	0	yimh
姬	jimm	0	jimm
姻	ybmv	0	ybm
姿	ziom	0	ziom
娃	wamp	0	wam
娄	lzbm	0	lzb
娅	yame	0	yam
娇	jnmy	0	jnm
娟	jrmr	0	jrm
娥	eemb	0	eem
娱	yumv	0	yumv
娴	xmma	0	xmm
娶	qumm	0	qumm
婉	wjmt	0	wjm
婊	bnmg	0	bnm
婕	jpmd	0	jpmd
婧	jkmr	0	jkm
婴	ykqm	0	ykqm
婶	ufma	0	ufm
婷	tkmn	0	tkm
媚	mwmt	0	mwmt
媛	yrmg	0	yrm
媳	ximv	0	xim
嫂	scmg	0	scm
嫉	jims	0	jims
嫌	xmmj	0	xmmj
嫡	dimr	0	dimr
孕	yynx	0	yyn
孚	fubx	0	fub
孜	zixg	0	zixg
孰	uukh	0	uukh
孵	fuix	0	fui
孽	npqx	0	npq
宅	vdsg	0	vds
宙	vzsa	0	vzs
宛	wjst	0	wjst
宠	issk	0	iss
宦	hrsm	0	hrs
宪	xmsn	0	xms
宰	zdsh	0	zds
宴	yjsm	0	yjs
宵	xnsr	0	xns
宸	ifsl	0	ifs
宿	susl	0	sus
宿	xqsl	0	xqs
寂	jisg	0	jisg
寅	ybsv	0	ybs
寇	kzsg	0	kzs
寓	yuso	0	yuso
寝	qbsg	0	qbs
寞	mosq	0	mosq
寡	gxso	0	gxs
寨	vdsf	0	vdsf
寮	lnsf	0	lns
寸	cynn	0	cyn
寿	uzrn	0	uzr
尉	wwtn	0	wwtn
尉	yutn	0	yutn
尘	iffp	0	iff
尧	ychh	0	ych
尬	gaby	0	gab
尴	gjbt	0	gjb
尸	uitt	0	uit
尹	ybdk	0	ybd
尿	nnto	0	nnt
尿	svto	0	svt
屁	pitg	0	pitg
屈	qutu	0	qut
屎	uitb	0	uitb
屑	xptr	0	xptr
屠	tuta	0	tut
屡	lvtm	0	lvt
履	lvtg	0	lvtg
屯	tyrz	0	tyr
屿	yuur	0	yuu
岂	qiut	0	qiut
岐	qiug	0	qiug
岑	cfuv	0	cf
岔	iavu	0	iav
