词	简码	候选位	级别
不闪不避	bubb	1	4
不是不报	bubb	2	4
不是不报，时候未到	bubd	2	4
不是白叫的	bubd	3	4
不是办法	bubf	1	4
拜神拜鬼	bubg	1	4
不受保护	bubh	2	4
不是不会	bubh	3	4
绊手绊脚	bubj	3	4
不是本人	bubr	1	4
保熟保甜	bubt	1	4
半熟不熟	bubu	4	4
不是不行	bubx	3	4
博士毕业	buby	1	4
不输不赢	buby	2	4
比上不足，比下有余	buby	3	4
比上不足比下有余	buby	4	4
不舍得	bud	1	3
不是的	bud	2	3
保守党	bud	3	3
波士顿	bud	4	3
辨识度	bud	5	3
北师大	bud	6	3
巴适得板	budb	1	4
北师大版	budb	2	4
比啥都强	budq	1	4
办事大厅	budt	2	4
博识多通	budt	3	4
不是对手	budu	1	4
八十大寿	budu	2	4
本山大叔	budu	3	4
不删档测试	budu	4	4
不是东西	budx	1	4
不舒服	buf	2	3
被说服	buf	3	3
不设防	buf	4	3
标识符	buf	5	3
不施粉黛	bufd	2	4
别说废话	bufh	4	4
不甚分明	bufm	1	4
饱受非议	bufy	1	4
不是个	bug	2	3
北上广	bug	3	3
壁上观	bug	4	3
半手工	bug	5	3
饱受诟病	bugb	1	4
别是个傻子吧	bugb	2	4
不是个省油的灯	bugd	3	4
不是个办法	bugf	1	4
不少工夫	bugf	2	4
保守估计	bugj	4	4
不是哥们	bugm	1	4
不是，哥们	bugm	2	4
布什戈门	bugm	3	4
北上广深	bugu	3	4
备受关注	bugv	2	4
倍受鼓舞	bugw	2	4
不是个东西	bugx	3	4
不是很	buh	2	3
不适合	buh	3	3
不说话	buh	4	3
博士后	buh	5	3
不识货	buh	6	3
不是很懂	buhd	2	4
不是很高	buhg	1	4
不是很差	buhi	2	4
不是很快	buhk	1	4
表示毫无压力	buhl	2	4
不是好鸟	buhn	1	4
不说话装高手	buhu	2	4
冰水混合物	buhw	2	4
不识好人心	buhx	1	4
办事处	bui	1	3
被删除	bui	2	3
不是吃素的	buid	1	4
不是长久之计	buij	1	4
八十出头	buit	1	4
不胜传说	buiu	3	4
白上吹雪	buix	2	4
必杀技	buj	1	3
保时捷	buj	2	3
不睡觉	buj	3	3
不涉及	buj	4	3
保释金	buj	5	3
不实际	buj	6	3
备受煎熬	buja	1	4
饱受煎熬	buja	2	4
不是绝对	bujd	1	4
办事机构	bujg	1	4
不说假话	bujh	1	4
饱受饥寒	bujh	2	4
不守纪律	bujl	3	4
逼上绝路	bujl	4	4
本身就是	buju	4	4
必胜客	buk	2	3
别墅靠海	bukh	2	4
笔试科目	bukm	1	4
别说了	bul	2	3
不说了	bul	3	3
不顺利	bul	4	3
鄙视链	bul	5	3
不熟练	bul	6	3
伴手礼	bul	7	3
本硕连读	buld	3	4
百世轮回	bulh	2	4
闭上了眼睛	bulj	1	4
表示理解	bulj	2	4
不甚了解	bulj	3	4
不识庐山真面目	bulm	1	4
不失礼貌	bulm	2	4
备受凌辱	bulr	1	4
碧水蓝天	bult	1	4
不识庐山真面目，只缘身在此山中	bulv	2	4
博士论文	bulw	3	4
闭上了眼	buly	2	4
不是吗	bum	1	3
不是么	bum	2	3
报上名来	buml	2	4
不是每个人	bumr	1	4
表示满意	bumy	2	4
白水泥	bun	1	3
不是你的	bund	3	4
不是那个	bung	2	4
不是那里	bunl	1	4
不是那么	bunm	1	4
八十年前	bunq	1	4
不是那么回事	bunu	1	4
不是难事	bunu	2	4
不是那样	buny	2	4
保守派	bup	2	3
不生气	buq	2	3
别生气	buq	3	3
不上去	buq	4	3
变声器	buq	5	3
变声期	buq	6	3
保税区	buq	7	3
比试切磋	buqc	1	4
不受侵犯	buqf	2	4
不少人	bur	2	3
不是人	bur	3	3
半兽人	bur	4	3
不是任何	burh	2	4
不食人间烟火	burh	3	4
变声软件	burj	2	4
八十岁	bus	1	3
别说什么	busm	1	4
毕生所学	busx	1	4
保守思想	busx	2	4
白砂糖	but	2	3
百事通	but	3	3
不是特别	butb	1	4
备受推崇	buti	2	4
本是同根生，相煎何太急	butj	3	4
表示同情	butq	2	4
别睡太死	buts	3	4
本是同根生	butu	2	4
表示同意	buty	1	4
不是说	buu	2	3
别说是	buu	3	3
博士生	buu	4	3
不顺手	buu	5	3
办实事	buu	6	3
不是省油的灯	buud	2	4
不是时候	buuh	1	4
巴氏杀菌	buuj	3	4
摆事实讲道理	buul	2	4
闭上双眼	buuy	2	4
不是指	buv	1	3
不慎重	buv	2	3
不是真的	buvd	1	4
保守治疗	buvl	2	4
备受瞩目	buvm	1	4
不是这么	buvm	2	4
八十周年	buvn	1	4
不受支配	buvp	1	4
毕生追求	buvq	1	4
百兽之王	buvw	1	4
不是这样	buvy	3	4
饱受争议	buvy	4	4
不是我	buw	1	3
八十万	buw	2	3
不失为	buw	3	3
不是我的菜	buwc	1	4
不是味儿	buwe	1	4
不食五谷	buwg	1	4
百事无成	buwi	1	4
不是为了	buwl	1	4
不是我们	buwm	2	4
不是我说你	buwn	1	4
博士文凭	buwp	1	4
不是完全	buwq	1	4
不是问题	buwt	1	4
不是我说	buwu	3	4
必输无疑	buwy	1	4
不熟悉	bux	2	3
办手续	bux	3	3
不识相	bux	4	3
半身像	bux	5	3
不顺心	bux	6	3
不是兄弟	buxd	1	4
背上行囊	buxn	4	4
不受限制	buxv	1	4
不实信息	buxx	3	4
闭上眼	buy	1	3
不属于	buy	2	3
不适应	buy	3	3
半山腰	buy	4	3
不顺眼	buy	5	3
不适用	buy	6	3
不实用	buy	7	3
不说也罢	buyb	1	4
不是有意的	buyd	2	4
不是一个	buyg	1	4
不食烟火	buyh	2	4
闭上眼睛	buyj	2	4
冰山一角	buyj	3	4
补上一课	buyk	2	4
不实言论	buyl	1	4
不是一路	buyl	2	4
搬上银幕	buym	2	4
八十一难	buyn	1	4
不是一路人	buyr	3	4
不是冤家不聚头	buyt	4	4
不受约束	buyu	4	4
不是一种	buyv	2	4
不是因为	buyw	1	4
不是以为	buyw	2	4
不受影响	buyx	1	4
不是有意	buyy	3	4
不识字	buz	1	3
倍受尊敬	buzj	1	4
表示尊重	buzv	3	4
不是滋味	buzw	1	4
不知	bv	1	2
标准	bv	2	2
帮助	bv	3	2
编者按	bva	1	3
爆炸案	bva	2	3
爆炸案件	bvaj	1	4
不着边	bvb	1	3
标准版	bvb	2	3
不置褒贬	bvbb	2	4
暴涨暴跌	bvbd	2	4
半殖半封	bvbf	1	4
备战备荒	bvbh	2	4
避战不出	bvbi	1	4
保证不打死你	bvbn	2	4
不重不轻	bvbq	1	4
不转不是中国人	bvbr	1	4
不着寸缕	bvcl	2	4
不知从何说起	bvcq	1	4
不知从何时起	bvcq	2	4
不知从什么时候开始	bvcu	1	4
本周词云	bvcy	1	4
不知道	bvd	1	3
不值得	bvd	2	3
不着调	bvd	3	3
巴掌大	bvd	4	3
不值当	bvd	5	3
包装袋	bvd	6	3
编织袋	bvd	7	3
不正当	bvd	8	3
不准动	bvd	9	3
标准答案	bvda	1	4
不知道怎么办	bvdb	1	4
不知道的	bvdd	1	4
秉烛待旦	bvdd	2	4
不知道好歹	bvdd	3	4
不知对否	bvdf	1	4
巴掌大的地方	bvdf	2	4
不知道什么时候	bvdh	2	4
不知多久	bvdj	1	4
不知当讲不当讲	bvdj	2	4
不知道了	bvdl	1	4
不知道怎么样了	bvdl	2	4
不知道为什么	bvdm	1	4
不知道呢	bvdn	1	4
不知道捏	bvdn	2	4
不知道什么时候起	bvdq	1	4
不知道从什么时候起	bvdq	2	4
不知道什么意思	bvds	1	4
不值得一提	bvdt	1	4
不知道从什么时候开始	bvdu	1	4
不争的事实	bvdu	2	4
不正当关系	bvdx	1	4
标准大气压	bvdy	1	4
不知道怎么样	bvdy	2	4
不战而屈人之兵	bveb	1	4
辩证法	bvf	1	3
补助费	bvf	2	3
包装费	bvf	3	3
编制方案	bvfa	1	4
标准方程	bvfi	1	4
标准俯卧撑	bvfi	2	4
变着法子	bvfz	1	4
不正规	bvg	1	3
不粘锅	bvg	2	3
不知高低	bvgd	1	4
兵者诡道	bvgd	2	4
本质高手	bvgu	1	4
辩证关系	bvgx	1	4
兵者诡道也	bvgy	1	4
包装盒	bvh	1	3
标准化	bvh	2	3
表彰会	bvh	3	3
抱着怀疑的态度	bvhd	2	4
不知悔改	bvhg	1	4
不知好坏	bvhh	1	4
不知何处	bvhi	1	4
不着痕迹	bvhj	1	4
别装糊涂	bvht	1	4
不知何时	bvhu	1	4
不知火舞	bvhw	1	4
屏住呼吸	bvhx	1	4
摒住呼吸	bvhx	2	4
白昼黑夜	bvhy	1	4
变着花样	bvhy	2	4
不正常	bvi	1	3
不支持	bvi	2	3
不忠诚	bvi	3	3
标准差	bvi	4	3
标准尺度	bvid	1	4
扮猪吃虎	bvih	1	4
扮猪吃老虎	bvih	2	4
不支持了	bvil	1	4
编制程序	bvix	1	4
保值储蓄	bvix	2	4
B站	bvj	1	3
不着急	bvj	2	3
别着急	bvj	3	3
不正经	bvj	4	3
保证金	bvj	5	3
标准间	bvj	6	3
补助金	bvj	7	3
标准件	bvj	8	3
白斩鸡	bvj	9	3
宾主尽欢	bvjh	1	4
标准结局	bvjj	1	4
不知进取	bvjq	2	4
不追既往	bvjw	1	4
爆炸极限	bvjx	2	4
被指控	bvk	1	3
败者寇	bvk	2	3
笔诛口伐	bvkf	2	4
标准开局	bvkj	1	4
板着脸	bvl	1	3
绷着脸	bvl	2	3
宝芝林	bvl	3	3
不知利害	bvlh	1	4
不知廉耻	bvli	1	4
不斩来使	bvlu	1	4
不知鹿死谁手	bvlu	2	4
屏住了呼吸	bvlx	1	4
被抓了现行	bvlx	2	4
不知名	bvm	1	3
本周末	bvm	2	3
不知名的	bvmd	2	4
笔诛墨伐	bvmf	1	4
半殖民地半封建社会	bvmh	1	4
半殖民地半封建	bvmj	2	4
彼之蜜糖	bvmt	1	4
报章媒体	bvmt	2	4
本周内	bvn	1	3
不知恁地	bvnd	1	4
不撞南墙不回头	bvnt	1	4
不知疲倦	bvpj	1	4
彼之砒霜	bvpu	1	4
不值钱	bvq	1	3
不知情	bvq	2	3
不争气	bvq	3	3
保质期	bvq	4	3
百褶裙	bvq	5	3
不准确	bvq	6	3
不正确	bvq	7	3
播种期	bvq	8	3
本质区别	bvqb	1	4
不知其所以然	bvqr	1	4
辨证求因	bvqy	1	4
班主任	bvr	1	3
白种人	bvr	2	3
变种人	bvr	3	3
不知如何	bvrh	1	4
不知如何是好	bvrh	2	4
不招人待见	bvrj	1	4
包装容器	bvrq	1	4
别招惹她	bvrt	1	4
标志认证	bvrv	1	4
笔者认为	bvrw	2	4
不知什么时候	bvsh	2	4
不着四六	bvsl	1	4
不知道什么	bvsm	1	4
不知所以然	bvsr	1	4
不知所谓	bvsw	2	4
爆炸头	bvt	1	3
不中听	bvt	2	3
不折腾	bvt	3	3
八阵图	bvt	4	3
饼状图	bvt	5	3
拜占庭帝国	bvtg	1	4
不知天高地厚	bvth	1	4
不中听的话	bvth	2	4
帮助他人	bvtr	1	4
本质特征	bvtv	1	4
保障体系	bvtx	1	4
不只是	bvu	1	3
本质上	bvu	2	3
不真实	bvu	3	3
爆炸声	bvu	4	3
背着手	bvu	5	3
保证书	bvu	6	3
不知什么时候	bvuh	1	4
败者食尘	bvui	1	4
伯仲叔季	bvuj	2	4
不知生死	bvus	1	4
保重身体	bvut	1	4
本质上是	bvuu	1	4
不治身亡	bvuw	1	4
闭着双眼	bvuy	1	4
不知什么原因	bvuy	2	4
标志着	bvv	1	3
包装纸	bvv	2	3
不注重	bvv	3	3
不主张	bvv	4	3
标准指法	bvvf	2	4
不知真假	bvvj	3	4
标准状况	bvvk	1	4
保证质量	bvvl	1	4
不传之秘	bvvm	1	4
不止这些	bvvx	1	4
帮助中心	bvvx	2	4
北镇中学	bvvx	3	4
不知者不罪	bvvz	1	4
爆炸物	bvw	1	3
不指望	bvw	2	3
别指望	bvw	3	3
标志物	bvw	4	3
编织物	bvw	5	3
帮助文档	bvwd	1	4
不知为何	bvwh	1	4
帮助文件	bvwj	1	4
避之唯恐不及	bvwj	2	4
败者为寇	bvwk	1	4
辩证唯物论	bvwl	1	4
不知为什么	bvwm	1	4
摆正位置	bvwv	1	4
不知为不知	bvwv	2	4
辩证唯物主义	bvwy	1	4
帮助下	bvx	1	3
标志性	bvx	2	3
爆炸性	bvx	3	3
包装箱	bvx	4	3
保障性	bvx	5	3
编织线	bvx	6	3
不知下落	bvxl	1	4
摆正心态	bvxt	1	4
保障系统	bvxt	2	4
不知虚实	bvxu	1	4
标准形式	bvxu	2	4
保证需要	bvxy	1	4
不准吸烟	bvxy	2	4
标志性动作	bvxz	1	4
不至于	bvy	1	3
不重要	bvy	2	3
不注意	bvy	3	3
不中用	bvy	4	3
不至于吧	bvyb	2	4
不只一次	bvyc	2	4
不止一个	bvyg	2	4
不沾烟火	bvyh	1	4
憋着一肚子火	bvyh	2	4
闭着眼睛	bvyj	1	4
不眨眼睛	bvyj	2	4
保障有力	bvyl	2	4
本质要求	bvyq	1	4
不值一钱	bvyq	2	4
补中益气	bvyq	3	4
秉烛夜谈	bvyt	2	4
不占优势	bvyu	1	4
白纸一张	bvyv	1	4
不止一种	bvyv	2	4
笔者以为	bvyw	2	4
备注一下	bvyx	1	4
不知缘由	bvyy	2	4
不知足	bvz	1	3
不知怎的	bvzd	1	4
不知咋的	bvzd	2	4
不知自量	bvzl	1	4
不知怎么	bvzm	2	4
不知怎么回事	bvzu	1	4
把我	bw	2	2
帮我	bw	3	2
帮我安排	bwap	1	4
保温杯	bwb	2	3
不忘本	bwb	3	3
不为别的	bwbd	1	4
把握不好	bwbh	2	4
百闻不如一见	bwbj	3	4
把握不了	bwbl	1	4
霸王本色	bwbs	1	4
并无不妥	bwbt	1	4
把握不住	bwbv	1	4
霸王餐	bwc	2	3
保温层	bwc	3	3
不枉此行	bwcx	1	4
不稳定	bwd	2	3
被问到	bwd	3	3
不稳定因素	bwds	2	4
博闻多识	bwdu	1	4
不无得意	bwdy	1	4
不玩儿	bwe	1	3
被窝儿	bwe	2	3
把握分寸	bwfc	1	4
百万粉丝	bwfs	1	4
被我发现	bwfx	1	4
百万分之一	bwfy	1	4
不畏浮云遮望眼	bwfy	2	4
博物馆	bwg	2	3
不为过	bwg	3	3
不稳固	bwg	4	3
保温柜	bwg	5	3
不无感慨	bwgk	1	4
不外乎	bwh	2	3
把握好	bwh	3	3
比我好	bwh	4	3
霸王花	bwh	5	3
不无好处	bwhi	1	4
保卫和平	bwhp	1	4
不外乎是	bwhu	1	4
霸王茶姬	bwij	1	4
百万撤离	bwil	3	4
别忘记	bwj	2	3
不畏惧	bwj	3	3
被误解	bwj	4	3
霸王举鼎	bwjd	1	4
不畏艰难	bwjn	2	4
保卫家园	bwjy	3	4
保卫科	bwk	2	3
被围困	bwk	3	3
避无可避	bwkb	1	4
不问可知	bwkv	1	4
别忘了	bwl	1	3
备忘录	bwl	2	3
霸王龙	bwl	3	3
不玩了	bwl	4	3
别忘了啊	bwla	2	4
别无良策	bwlc	1	4
不完美	bwm	2	3
不文明	bwm	3	3
不为名	bwm	4	3
ban位买房	bwmf	2	4
不为名不为利	bwml	2	4
不为牛后	bwnh	2	4
保温瓶	bwp	2	3
包围圈	bwq	2	3
比我强	bwq	3	3
不完全	bwq	4	3
不问青红皂白	bwqb	2	4
不完全统计	bwqj	2	4
别无其他	bwqt	1	4
不完全是	bwqu	2	4
不畏权势	bwqu	3	4
博闻强识	bwqv	1	4
百味人生	bwru	2	4
不外如是	bwru	3	4
不为所惑	bwsh	1	4
不为所知	bwsv	1	4
百万填词	bwtc	2	4
被委托方	bwtf	2	4
霸王条款	bwtk	2	4
别无他念	bwtn	1	4
别无他途	bwtt	1	4
病危通知书	bwtu	1	4
别无他选	bwtx	1	4
伴我同行	bwtx	2	4
别无他想	bwtx	3	4
别无他用	bwty	1	4
办完事	bwu	2	3
不完善	bwu	3	3
八位数	bwu	4	3
不外是	bwu	5	3
不问是非	bwuf	3	4
把握住	bwv	2	3
不完整	bwv	3	3
保卫战	bwv	4	3
布娃娃	bww	1	3
别问我	bww	2	3
不枉我	bww	3	3
别问我怎么知道的	bwwd	2	4
别问我为什么	bwwm	1	4
不为五斗米折腰	bwwy	1	4
别无想法	bwxf	1	4
比我想象的要好	bwxh	2	4
别往心里去	bwxq	1	4
变为现实	bwxu	1	4
霸王项羽	bwxy	1	4
别无下载	bwxz	2	4
不文雅	bwy	2	3
百万英镑	bwyb	2	4
霸王硬上弓	bwyg	1	4
不无遗憾	bwyh	2	4
百万运镜	bwyj	2	4
百无一漏	bwyl	1	4
百无一用是书生	bwyu	2	4
伴我一生	bwyu	3	4
帮我一下	bwyx	1	4
鼻洼子	bwz	2	3
百味杂陈	bwzi	4	4
必须	bx	1	2
不行	bx	2	2
不想	bx	3	2
必须把	bxb	1	3
补习班	bxb	2	3
便携版	bxb	3	3
白血病	bxb	4	3
白细胞	bxb	5	3
笔削褒贬	bxbb	2	4
表现不错	bxbc	1	4
不许百姓点灯	bxbd	2	4
边学边干	bxbg	1	4
包学包会	bxbh	1	4
本性不坏	bxbh	2	4
本性暴露	bxbl	1	4
本相毕露	bxbl	2	4
补血补气	bxbq	1	4
本虚标实	bxbu	1	4
半信不信	bxbx	1	4
报喜不报忧	bxby	2	4
包心菜	bxc	1	3
不限次数	bxcu	1	4
不晓得	bxd	1	3
不许动	bxd	2	3
表兄弟	bxd	3	3
保鲜袋	bxd	4	3
保险单	bxd	5	3
必须达到	bxdd	1	4
不晓得好歹	bxdd	2	4
不祥的预感	bxdg	1	4
不幸得很	bxdh	2	4
不惜代价	bxdj	1	4
不懈的努力	bxdl	1	4
不懈地努力	bxdl	2	4
便携电脑	bxdn	1	4
不幸的是	bxdu	2	4
不想多说	bxdu	3	4
不幸的消息	bxdx	2	4
不幸而言中	bxev	2	4
变戏法	bxf	1	3
不相符	bxf	2	3
不幸福	bxf	3	3
保险费	bxf	4	3
不嫌烦	bxf	5	3
备选方案	bxfa	1	4
必须服从	bxfc	1	4
冰雪覆盖	bxfg	1	4
不相符合	bxfh	2	4
不许反悔	bxfh	3	4
不想付出	bxfi	1	4
报销发票	bxfp	1	4
不想放弃	bxfq	1	4
表现方式	bxfu	1	4
不习惯	bxg	1	3
保险柜	bxg	2	3
不锈钢	bxg	3	3
不相干	bxg	4	3
百香果	bxg	5	3
不相关	bxg	6	3
八项规定	bxgd	2	4
报效国家	bxgj	1	4
八仙过海，各显其能	bxgn	1	4
八仙过海，各显神通	bxgt	1	4
不信鬼神	bxgu	1	4
不喜欢	bxh	1	3
不像话	bxh	2	3
不稀罕	bxh	3	3
保鲜盒	bxh	4	3
不消化	bxh	5	3
不想活	bxh	6	3
不想活了	bxhl	1	4
不喜欢你	bxhn	1	4
表现出	bxi	1	3
不寻常	bxi	2	3
不想吃	bxi	3	3
变形虫	bxi	4	3
表现出来	bxil	1	4
表现出了	bxil	2	4
必须承认	bxir	1	4
表现出色	bxis	1	4
不相冲突	bxit	1	4
笔下超生	bxiu	1	4
编写程序	bxix	1	4
步行街	bxj	1	3
保险金	bxj	2	3
变形记	bxj	3	3
碧血剑	bxj	4	3
本小姐	bxj	5	3
不想加班	bxjb	1	4
不想见到	bxjd	1	4
不像假的	bxjd	2	4
保险金额	bxje	1	4
保险机构	bxjg	2	4
必须坚持	bxji	1	4
必须加强	bxjq	2	4
必须接受	bxju	1	4
不辛苦	bxk	1	3
必修课	bxk	2	3
保修卡	bxk	3	3
白辛苦	bxk	4	3
必修课程	bxki	1	4
必须考虑	bxkl	1	4
不行了	bxl	1	3
不下来	bxl	2	3
表现力	bxl	3	3
办下来	bxl	4	3
不限量	bxl	5	3
表现良好	bxlh	1	4
不想离开	bxlk	1	4
保险理赔	bxlp	1	4
必先利其器	bxlq	1	4
八旬老人	bxlr	1	4
不行吗	bxm	1	3
保鲜膜	bxm	2	3
表兄妹	bxm	3	3
帮下忙	bxm	4	3
不像你	bxn	1	3
报喜鸟	bxn	2	3
别想那么多	bxnd	1	4
本性难改	bxng	1	4
必须能够	bxng	2	4
巴西牛排	bxnp	1	4
屏息凝神	bxnu	1	4
冰雪女王	bxnw	1	4
不削能玩	bxnw	2	4
秉性难移	bxny	2	4
必需品	bxp	1	3
保险赔付	bxpf	1	4
不消片刻	bxpk	1	4
表现平平	bxpp	1	4
不想去	bxq	1	3
不下去	bxq	2	3
保修期	bxq	3	3
白血球	bxq	4	3
边线球	bxq	5	3
保险起见	bxqj	2	4
不下去了	bxql	1	4
不信任	bxr	1	3
变性人	bxr	2	3
不相容	bxr	3	3
保险人	bxr	4	3
鼻息肉	bxr	5	3
不惜任何代价	bxrj	1	4
不相容性	bxrx	1	4
不恤人言	bxry	1	4
不逊色	bxs	1	3
保险丝	bxs	2	3
冰雪四拼	bxsp	1	4
不幸死亡	bxsw	1	4
不相同	bxt	1	3
不协调	bxt	2	3
波形图	bxt	3	3
保险套	bxt	4	3
办学条件	bxtj	1	4
不像他想象的那样	bxty	1	4
不像她想象的那样	bxty	2	4
不像是	bxu	1	3
半小时	bxu	2	3
不现实	bxu	3	3
便携式	bxu	4	3
八小时	bxu	5	3
办喜事	bxu	6	3
不许失败	bxub	1	4
不现实的	bxud	1	4
不嫌事大	bxud	2	4
半小时前	bxuq	1	4
变性手术	bxuu	1	4
必须慎重	bxuv	1	4
八小时工作制	bxuv	2	4
不幸身亡	bxuw	1	4
八小时以外	bxuw	2	4
不相适应	bxuy	1	4
被选中	bxv	1	3
八仙桌	bxv	2	3
败血症	bxv	3	3
剥削者	bxv	4	3
不屑置辩	bxvb	1	4
不想知道	bxvd	1	4
不想长大	bxvd	2	4
不像真的	bxvd	3	4
不朽之物	bxvw	1	4
不幸中的万幸	bxvx	1	4
不信这个邪	bxvx	2	4
不幸中的大幸	bxvx	3	4
宝相庄严	bxvy	1	4
不希望	bxw	1	3
抱希望	bxw	2	3
表现为	bxw	3	3
不想玩了	bxwl	1	4
不相往来	bxwl	2	4
布响丸辣	bxwl	3	4
不喜勿喷	bxwp	1	4
不喜勿入	bxwr	1	4
百星王者	bxwv	1	4
不像我想象的那样	bxwy	1	4
不相信	bxx	1	3
不小心	bxx	2	3
保险箱	bxx	3	3
不信邪	bxx	4	3
不新鲜	bxx	5	3
便携性	bxx	6	3
不惜血本	bxxb	1	4
不修小节	bxxj	1	4
不相信你	bxxn	1	4
本星系群	bxxq	1	4
不相信他	bxxt	2	4
不相信我	bxxw	1	4
必须相信	bxxx	1	4
不需要	bxy	1	3
必须要	bxy	2	3
不屑于	bxy	3	3
必须有	bxy	4	3
不逊于	bxy	5	3
不限于	bxy	6	3
不像样	bxy	7	3
表现欲	bxy	8	3
不像演的	bxyd	1	4
不孝有三无后为大	bxyd	2	4
不孝有三，无后为大	bxyd	3	4
不祥预感	bxyg	2	4
不幸遇害	bxyh	2	4
不消一会	bxyh	3	4
把心一横	bxyh	4	4
不惜一切代价	bxyj	1	4
不需要了	bxyl	1	4
不幸遇难	bxyn	1	4
不惜一切	bxyq	1	4
不像以前	bxyq	2	4
不幸言中	bxyv	2	4
表现优秀	bxyx	1	4
不羡鸳鸯不羡仙	bxyx	2	4
暴雪游戏	bxyx	3	4
必须要有	bxyy	2	4
不像样子	bxyz	1	4
不想走	bxz	1	3
表现在	bxz	2	3
不暇自哀	bxza	1	4
必须做到	bxzd	1	4
必先自宫	bxzg	2	4
表现自己	bxzj	1	4
不孝子孙	bxzs	2	4
不幸遭遇	bxzy	1	4
不要	by	1	2
不用	by	2	2
必要	by	3	2
鼻咽癌	bya	1	3
不一般	byb	1	3
搏一搏	byb	2	3
比一比	byb	3	3
避一避	byb	4	3
抱一抱	byb	5	3
暴雨般	byb	6	3
半月板	byb	7	3
百依百从	bybc	1	4
不要不要的	bybd	2	4
不愠不火	bybh	1	4
病因病机	bybj	1	4
闭眼不看	bybk	1	4
半倚半靠	bybk	2	4
巴音布鲁克	bybk	3	4
不要逼脸	bybl	1	4
不要碧莲	bybl	2	4
百亿补贴	bybt	1	4
不孕不育	byby	2	4
不要白不要	byby	3	4
并以此	byc	1	3
褒义词	byc	2	3
贬义词	byc	3	3
饱一餐饿一餐	bycc	1	4
不要错过	bycg	2	4
宾语从句	bycj	1	4
便宜从事	bycu	2	4
本月词云	bycy	1	4
不一定	byd	1	3
不由得	byd	2	3
必要的	byd	3	3
不要动	byd	4	3
比亚迪	byd	5	3
本月底	byd	6	3
榜一大哥	bydg	1	4
不一定会	bydh	1	4
必要的话	bydh	2	4
百元大钞	bydi	1	4
备用电池	bydi	2	4
包邮到家	bydj	1	4
不要多久	bydj	2	4
不远的将来	bydl	2	4
拜亚动力	bydl	3	4
不一定能	bydn	1	4
不用多说	bydu	1	4
不一定是	bydu	2	4
不要当真	bydv	1	4
不用担心	bydx	2	4
不要担心	bydx	3	4
不一定要	bydy	1	4
不一定有	bydy	2	4
不一定在	bydz	1	4
百益而无一害	byeh	1	4
白眼儿狼	byel	1	4
不以恶小而为之	byev	1	4
八月份	byf	1	3
饱眼福	byf	2	3
补邮费	byf	3	3
补运费	byf	4	3
匕瘾犯了	byfl	1	4
不要放弃	byfq	1	4
别有风趣	byfq	2	4
不应该	byg	1	3
不用管	byg	2	3
本应该	byg	3	3
不要管	byg	4	3
搬运工	byg	5	3
殡仪馆	byg	6	3
不应该的	bygd	1	4
便宜贵贱	bygj	1	4
不用管了	bygl	1	4
不应该是	bygu	1	4
不要高兴得太早	bygz	1	4
不一会	byh	1	3
毕业后	byh	2	3
不要慌	byh	3	3
八音盒	byh	4	3
边缘化	byh	5	3
冰与火	byh	6	3
不愿回答	byhd	1	4
哺育后代	byhd	2	4
冰与火之歌	byhg	1	4
表演痕迹	byhj	1	4
不要害怕	byhp	1	4
不用害怕	byhp	2	4
不一回事	byhu	1	4
抱有幻想	byhx	1	4
不要灰心	byhx	2	4
必有回响	byhx	3	4
不远处	byi	1	3
不夜城	byi	2	3
百叶窗	byi	3	3
本月初	byi	4	3
不易察觉	byij	2	4
不用吹灰之力	byil	1	4
不愿承认	byir	1	4
不要嘲笑一个有梦想的人	byir	2	4
巴以冲突	byit	1	4
不以成败论英雄	byix	2	4
暴雨成灾	byiz	1	4
不要紧	byj	1	3
不用急	byj	2	3
备用金	byj	3	3
备用机	byj	4	3
不以己悲	byjb	1	4
北影教材	byjc	1	4
边缘检测	byjc	2	4
不要见怪	byjg	1	4
半夜叫天光	byjg	2	4
不亦君子乎	byjh	1	4
奔逸绝尘	byji	2	4
半夜鸡叫	byjj	1	4
八一建军节	byjj	2	4
不宜久留	byjl	1	4
表演节目	byjm	1	4
八一军旗	byjq	1	4
边缘计算	byjs	1	4
不用解释	byju	1	4
不宜居住	byjv	1	4
不要紧张	byjv	2	4
拨云见雾	byjw	1	4
不遗巨细	byjx	1	4
不用看	byk	1	3
不愉快	byk	2	3
不依靠	byk	3	3
不用客气	bykq	1	4
不要客气	bykq	2	4
不亦快哉	bykz	1	4
不要扣我工资	bykz	2	4
不用了	byl	1	3
不要脸	byl	2	3
不要了	byl	3	3
白眼狼	byl	4	3
半夜里	byl	5	3
柏油路	byl	6	3
保有量	byl	7	3
博弈论	byl	8	3
不越雷池半步	bylb	1	4
不予理睬	bylc	1	4
不要脸的	byld	1	4
不用来了	byll	1	4
不义联盟	bylm	1	4
白云蓝天	bylt	1	4
不用劳神	bylu	1	4
不依赖于	byly	1	4
不要命	bym	1	3
本月末	bym	2	3
不要每次	bymc	1	4
不要命地	bymd	1	4
不要命的	bymd	2	4
抱有目的	bymd	3	4
不要迷恋哥	bymg	1	4
便宜没好货	bymh	1	4
把油门当刹车	bymi	1	4
不要命了	byml	1	4
柏油马路	byml	2	4
不要勉强	bymq	1	4
不要没事找事	bymu	1	4
便宜没好货好货不便宜	bymy	2	4
不要面子	bymz	1	4
