序	字	读音	最短码	位
1088	妙	miao	mnz	1
1089	给	ji	jijh	1
1090	烂	lan	ljr	1
1091	糖	tang	thd	1
1092	耳	er	ere	1
1093	宣	xuan	xri	1
1094	挂	gua	gx	1
1095	秒	miao	mn	1
1096	七	qi	qit	1
1097	旁	pang	ph	1
1098	悲	bei	bwnc	1
1099	执	zhi	vild	1
1100	勇	yong	yst	1
1101	都	du	dup	1
1102	妇	fu	fuzq	1
1103	醉	zui	zve	1
1104	绑	bang	bhj	1
1105	吵	chao	ich	1
1106	挥	hui	hvl	1
1107	草	cao	cc	1
1108	奋	fen	ffn	1
1109	忆	yi	yic	1
1110	还	huan	hrn	1
1111	层	ceng	cgi	1
1112	末	mo	moy	1
1113	敬	jing	jkxq	1
1114	景	jing	jkq	1
1115	汤	tang	th	1
1116	匙	shi	uiq	1
1117	钥	yao	yck	1
1118	副	fu	fu	1
1119	初	chu	iuu	1
1120	折	zhe	vel	1
1121	摩	mo	mosl	1
1122	废	fei	fws	1
1123	北	bei	bwn	1
1124	雪	xue	xtc	1
1125	禁	jin	jbo	1
1126	龙	long	ls	1
1127	铁	tie	tp	1
1128	敌	di	diw	1
1129	素	su	suw	1
1130	诚	cheng	igd	1
1131	贵	gui	gvm	1
1132	旦	dan	djq	1
1133	谅	liang	lldg	1
1134	桌	zhuo	vo	1
1135	黄	huang	hl	1
1136	粉	fen	ffd	1
1137	见	xian	xmzz	1
1138	旧	jiu	jqa	1
1139	雄	xiong	xsp	1
1140	恭	gong	gsmc	1
1141	稍	shao	ucw	1
1142	埃	ai	ait	1
1143	依	yi	yif	1
1144	摇	yao	ycl	1
1145	徒	tu	tuu	1
1146	补	bu	buu	1
1147	躲	duo	doa	1
1148	迈	mai	mdn	1
1149	源	yuan	yrb	1
1150	舒	shu	uug	1
1151	汽	qi	qibr	1
1152	窗	chuang	il	1
1153	厅	ting	tks	1
1154	泰	tai	tdi	1
1155	灭	mie	mp	1
1156	章	zhang	vhd	1
1157	夏	xia	xxn	1
1158	疼	teng	tg	1
1159	碎	sui	svj	1
1160	圈	quan	qre	1
1161	孤	gu	gun	1
1162	着	zhuo	voi	1
1163	弱	ruo	roo	1
1164	角	jue	jtw	1
1165	滑	hua	hxb	1
1166	拒	ju	jul	1
1167	款	kuan	krt	1
1168	菲	fei	fwx	1
1169	纹	wen	wfj	1
1170	河	he	heb	1
1171	劲	jin	jbe	1
1172	幻	huan	hrjo	1
1173	童	tong	tsa	1
1174	熟	shu	uuu	1
1175	残	can	cj	1
1176	鸟	niao	nn	1
1177	蓝	lan	ljx	1
1178	盖	gai	gdi	1
1179	骑	qi	qic	1
1180	彼	bi	biu	1
1181	翻	fan	fjm	1
1182	洲	zhou	vzb	1
1183	闪	shan	ujw	1
1184	欧	ou	ou	1
1185	沉	chen	ifb	1
1186	砸	za	zaj	1
1187	饿	e	eea	1
1188	拖	tuo	to	1
1189	藏	cang	ch	1
1190	卷	juan	jr	1
1191	瓜	gua	gxm	1
1192	例	li	lif	1
1193	瓶	ping	pka	1
1194	拳	quan	qri	1
1195	朝	chao	icp	1
1196	牢	lao	lci	1
1197	墙	qiang	qlt	1
1198	露	lu	luc	1
1199	互	hu	huq	1
1200	典	dian	dmw	1
1201	垃	la	lat	1
1202	漫	man	mjb	1
1203	胁	xie	xpv	1
1204	触	chu	iuw	1
1205	圾	ji	jitq	1
1206	胸	xiong	xsv	1
1207	染	ran	rjb	1
1208	财	cai	cdz	1
1209	惹	re	rex	1
1210	阴	yin	ybp	1
1211	孕	yun	yyv	1
1212	硬	ying	ykj	1
1213	销	xiao	xnk	1
1214	劫	jie	jptp	1
1215	袭	xi	xid	1
1216	降	jiang	jlp	1
1217	虫	chong	ism	1
1218	嫌	xian	xmz	1
1219	累	lei	lwp	1
1220	怖	bu	buc	1
1221	默	mo	mor	1
1222	握	wo	wo	1
1223	缺	que	qtz	1
1224	育	yu	yuv	1
1225	雨	yu	yuc	1
1226	采	cai	cdm	1
1227	施	shi	uis	1
1228	辈	bei	bwne	1
1229	陷	xian	xmpy	1
1230	蹈	dao	dcz	1
1231	限	xian	xmpc	1
1232	巨	ju	juww	1
1233	针	zhen	vfkp	1
1234	逼	bi	bin	1
1235	犹	you	yzv	1
1236	迫	po	poy	1
1237	墨	mo	mort	1
1238	青	qing	qkw	1
1239	扮	ban	bjls	1
1240	邦	bang	bhn	1
1241	邀	yao	ycy	1
1242	净	jing	jkb	1
1243	席	xi	xis	1
1244	赞	zan	zjc	1
1245	伍	wu	wufu	1
1246	逮	dai	ddq	1
1247	伯	bo	bof	1
1248	访	fang	fhd	1
1249	叛	pan	pjaq	1
1250	良	liang	lla	1
1251	闹	nao	nc	1
1252	沃	wo	wob	1
1253	俄	e	eef	1
1254	驾	jia	jxpc	1
1255	猪	zhu	vuv	1
1256	淘	tao	tcbz	1
1257	冠	guan	griy	1
1258	尾	wei	wwi	1
1259	洞	dong	dsb	1
1260	伟	wei	wwfv	1
1261	欠	qian	qms	1
1262	扯	che	iel	1
1263	丑	chou	izo	1
1264	竞	jing	jka	1
1265	雅	ya	yau	1
1266	厉	li	lizz	1
1267	厨	chu	ius	1
1268	允	yun	yyt	1
1269	授	shou	uzl	1
1270	村	cun	cyo	1
1271	寓	yu	yuib	1
1272	怒	nu	nu	1
1273	庆	qing	qks	1
1274	谓	wei	wwd	1
1275	堆	dui	dvt	1
1276	估	gu	guf	1
1277	液	ye	yeb	1
1278	烈	lie	lpl	1
1279	帅	shuai	uka	1
1280	婊	biao	bnz	1
1281	磨	mo	mosj	1
1282	鲜	xian	xmy	1
1283	键	jian	jmk	1
1284	丁	ding	dkyy	1
1285	余	yu	yuga	1
1286	绍	shao	ucj	1
1287	扫	sao	sc	1
1288	范	fan	fjx	1
1289	损	sun	syl	1
1290	惯	guan	grc	1
1291	剂	ji	jia	1
1292	辩	bian	bms	1
1293	李	li	lio	1
1294	刑	xing	xkns	1
1295	减	jian	jmb	1
1296	傲	ao	aof	1
1297	瑟	se	seg	1
1298	摸	mo	mo	1
1299	泡	pao	pcb	1
1300	帕	pa	paa	1
1301	途	tu	tug	1
1302	调	tiao	tnd	1
1303	愚	yu	yuqc	1
1304	娃	wa	waz	1
1305	瓦	wa	wal	1
1306	订	ding	dkd	1
1307	寄	ji	jii	1
1308	矶	ji	jijn	1
1309	赚	zhuan	vrz	1
1310	材	cai	cdo	1
1311	盒	he	hega	1
1312	鼓	gu	gut	1
1313	爵	jue	jtm	1
1314	皇	huang	hly	1
1315	夺	duo	don	1
1316	邮	you	yzpp	1
1317	版	ban	bjn	1
1318	俱	ju	juf	1
1319	盗	dao	dcb	1
1320	愉	yu	yucl	1
1321	尺	chi	iiii	1
1322	珍	zhen	vfg	1
1323	序	xu	xus	1
1324	踢	ti	tiz	1
1325	憾	han	hjc	1
1326	汰	tai	tdb	1
1327	隔	ge	gep	1
1328	幕	mu	mut	1
1329	鼠	shu	uuy	1
1330	插	cha	ial	1
1331	杉	shan	ujo	1
1332	猎	lie	lpv	1
1333	潜	qian	qmb	1
1334	构	gou	gzo	1
1335	烤	kao	kcr	1
1336	悔	hui	hvc	1
1337	暂	zan	zje	1
1338	爽	shuang	uln	1
1339	尚	shang	uhg	1
1340	辛	xin	xbs	1
1341	讯	xun	xydp	1
1342	彻	che	ieu	1
1343	敏	min	mbf	1
1344	吹	chui	iv	1
1345	侦	zhen	vff	1
1346	绪	xu	xujq	1
1347	吐	tu	tuh	1
1348	颗	ke	keq	1
1349	罚	fa	faa	1
1350	欲	yu	yua	1
1351	九	jiu	jqd	1
1352	括	kuo	ko	1
1353	盛	sheng	ugr	1
1354	盯	ding	dkqy	1
1355	艾	ai	aix	1
1356	征	zheng	vgu	1
1357	稳	wen	wfw	1
1358	啤	pi	pih	1
1359	胆	dan	djv	1
1360	琳	lin	lbg	1
1361	乡	xiang	xlj	1
1362	启	qi	qii	1
1363	胎	tai	tdv	1
1364	帐	zhang	vha	1
1365	赏	shang	uhi	1
1366	甲	jia	jxpp	1
1367	遭	zao	zcn	1
1368	抛	pao	pcl	1
1369	翰	han	hjpm	1
1370	尤	you	yzd	1
1371	震	zhen	vfc	1
1372	塔	ta	tat	1
1373	梯	ti	tio	1
1374	豪	hao	hcu	1
1375	述	shu	uuop	1
1376	乖	guai	gkw	1
1377	咬	yao	ych	1
1378	阵	zhen	vfp	1
1379	祷	dao	dcu	1
1380	仪	yi	yifn	1
1381	朗	lang	lha	1
1382	蜜	mi	miim	1
1383	耍	shua	uxc	1
1384	宫	gong	gsi	1
1385	帽	mao	mca	1
1386	拼	pin	pbl	1
1387	惜	xi	xic	1
1388	宁	ning	nk	1
1389	钻	zuan	zr	1
1390	虚	xu	xua	1
1391	鼻	bi	biy	1
1392	祖	zu	zuu	1
1393	池	chi	iib	1
1394	拾	shi	uilh	1
1395	泳	yong	ysbr	1
1396	频	pin	pbg	1
1397	勒	le	lem	1
1398	尖	jian	jmg	1
1399	违	wei	wwvp	1
1400	赖	lai	ldp	1
1401	诊	zhen	vfd	1
1402	鲍	bao	bcy	1
1403	忠	zhong	vsh	1
1404	宾	bin	bbi	1
1405	惧	ju	juca	1
1406	策	ce	cer	1
1407	核	he	heo	1
1408	拯	zheng	vgln	1
1409	痕	hen	hfs	1
1410	批	pi	pil	1
1411	申	shen	ufp	1
1412	乘	cheng	igwt	1
1413	辣	la	las	1
1414	零	ling	lkc	1
1415	躺	tang	tha	1
1416	祈	qi	qiuy	1
1417	址	zhi	vitg	1
1418	熊	xiong	xs	1
1419	掩	yan	yjl	1
1420	荒	huang	hlx	1
1421	肥	fei	fwv	1
1422	占	zhan	vjah	1
1423	撤	che	ielq	1
1424	羊	yang	yhk	1
1425	辞	ci	ciw	1
1426	督	du	dua	1
1427	增	zeng	zg	1
1428	援	yuan	yrlq	1
1429	擦	ca	ca	1
1430	献	xian	xmpn	1
1431	佳	jia	jxft	1
1432	绿	lv	lvj	1
1433	若	ruo	ro	1
1434	姻	yin	ybz	1
1435	邪	xie	xpu	1
1436	郎	lang	lh	1
1437	描	miao	mnl	1
1438	匹	pi	piw	1
1439	软	ruan	rr	1
1440	惨	can	cjc	1
1441	恢	hui	hvcr	1
1442	梅	mei	mwo	1
1443	浴	yu	yubh	1
1444	纯	chun	iy	1
1445	贴	tie	tpz	1
1446	符	fu	fur	1
1447	侵	qin	qbf	1
1448	爬	pa	pam	1
1449	尉	wei	wwiy	1
1450	挖	wa	wa	1
1451	载	zai	zdp	1
1452	骄	jiao	jnc	1
1453	农	nong	nsi	1
1454	兽	shou	uzah	1
1455	嫁	jia	jxz	1
1456	晨	chen	ifq	1
1457	洋	yang	yhb	1
1458	喊	han	hjh	1
1459	没	mo	mob	1
1460	杜	du	duo	1
1461	络	luo	loj	1
1462	摔	shuai	ukl	1
1463	羞	xiu	xqi	1
1464	邻	lin	lbz	1
1465	颜	yan	yja	1
1466	灰	hui	hvp	1
1467	欺	qi	qimg	1
1468	堡	bao	bcft	1
1469	端	duan	dra	1
1470	椅	yi	yio	1
1471	障	zhang	vhp	1
1472	慈	ci	cia	1
1473	陆	lu	lup	1
1474	茶	cha	iax	1
1475	怨	yuan	yrl	1
1476	贺	he	hep	1
1477	率	lv	lv	1
1478	剪	jian	jmas	1
1479	额	e	eei	1
1480	豆	dou	dzn	1
1481	裂	lie	lpln	1
1482	挡	dang	dhl	1
1483	偏	pian	pmf	1
1484	卧	wo	wok	1
1485	敲	qiao	qn	1
1486	洁	jie	jpb	1
1487	丧	sang	shp	1
1488	厂	chang	ihs	1
1489	春	chun	iyi	1
1490	奏	zou	zzi	1
1491	省	sheng	ugg	1
1492	购	gou	gzz	1
1493	黎	li	liw	1
1494	域	yu	yut	1
1495	闲	xian	xmw	1
1496	姓	xing	xkz	1
1497	宇	yu	yui	1
1498	葬	zang	zhx	1
1499	售	shou	uzg	1
1500	涂	tu	tub	1
1501	糊	hu	hud	1
1502	碍	ai	aij	1
1503	党	dang	dhi	1
1504	壮	zhuang	vlnt	1
1505	裁	cai	cdp	1
1506	佩	pei	pwf	1
1507	咪	mi	mih	1
1508	珠	zhu	vug	1
1509	账	zhang	vhz	1
1510	埋	mai	mdt	1
1511	唔	wu	wuhh	1
1512	固	gu	gue	1
1513	琴	qin	qbg	1
1514	柜	gui	gvow	1
1515	貌	mao	mce	1
1516	漏	lou	lzb	1
1517	耐	nai	ndc	1
1518	莎	sha	uax	1
1519	娜	na	naz	1
1520	荡	dang	dhx	1
1521	扣	kou	kzl	1
1522	仰	yang	yhf	1
1523	桑	sang	sh	1
1524	仇	chou	izf	1
1525	倍	bei	bwf	1
1526	略	lve	lt	1
1527	霍	huo	hoc	1
1528	牧	mu	muc	1
1529	辑	ji	jie	1
1530	桥	qiao	qno	1
1531	喷	pen	pf	1
1532	牲	sheng	ugc	1
1533	昏	hun	hyk	1
1534	肤	fu	fuvn	1
1535	饰	shi	uiaa	1
1536	灾	zai	zdi	1
1537	晓	xiao	xnq	1
1538	愤	fen	ffc	1
1539	巡	xun	xya	1
1540	厕	ce	ces	1
1541	坞	wu	wut	1
1542	贱	jian	jmz	1
1543	闯	chuang	ilw	1
1544	盟	meng	mgq	1
1545	咒	zhou	vzh	1
1546	窃	qie	qpi	1
1547	辜	gu	gups	1
1548	篮	lan	ljra	1
1549	屎	shi	uiid	1
1550	伪	wei	wwfp	1
1551	距	ju	juz	1
1552	凭	ping	pkf	1
1553	捐	juan	jrl	1
1554	滩	tan	tjbg	1
1555	挣	zheng	vgl	1
1556	勃	bo	bopp	1
1557	延	yan	yje	1
1558	夹	jia	jxn	1
1559	欣	xin	xby	1
1560	饮	yin	yba	1
1561	朵	duo	dono	1
1562	圆	yuan	yre	1
1563	宽	kuan	kr	1
1564	驶	shi	uic	1
1565	伸	shen	uff	1
1566	析	xi	xio	1
1567	植	zhi	vio	1
1568	佛	fo	fo	1
1569	田	tian	tmp	1
1570	媒	mei	mwzo	1
1571	裙	qun	qyu	1
1572	倾	qing	qkf	1
1573	辱	ru	rus	1
1574	敦	dun	dyu	1
1575	缝	feng	fgj	1
1576	妞	niu	nqz	1
1577	惑	huo	horc	1
1578	矩	ju	jur	1
1579	绕	rao	rc	1
1580	谷	gu	gua	1
1581	祸	huo	hou	1
1582	乌	wu	wuy	1
1583	宗	zong	zsi	1
1584	益	yi	yiaa	1
1585	壁	bi	biit	1
1586	趴	pa	paz	1
1587	凡	fan	fjn	1
1588	狼	lang	lhv	1
1589	汇	hui	hvb	1
1590	殊	shu	uul	1
1591	溜	liu	lqbp	1
1592	诱	you	yzdv	1
1593	含	han	hjz	1
1594	诗	shi	uidy	1
1595	济	ji	jib	1
1596	仔	zi	zif	1
1597	缩	suo	soj	1
1598	燃	ran	rjr	1
1599	狠	hen	hfv	1
1600	甩	shuai	ukv	1
1601	虎	hu	hua	1
1602	抵	di	dil	1
1603	妓	ji	jizq	1
1604	炒	chao	icr	1
1605	逊	xun	xyn	1
1606	揭	jie	jplw	1
1607	粗	cu	cu	1
1608	晕	yun	yyq	1
1609	澡	zao	zcb	1
1610	偿	chang	ihf	1
1611	牵	qian	qmn	1
1612	岸	an	any	1
1613	涉	she	ueb	1
1614	呐	na	nahg	1
1615	肚	du	duvt	1
1616	绳	sheng	ugj	1
1617	蕾	lei	lwx	1
1618	奸	jian	jmzw	1
1619	瞎	xia	xxq	1
1620	链	lian	lmk	1
1621	蛇	she	uem	1
1622	讶	ya	yad	1
1623	暖	nuan	nr	1
1624	哎	ai	aihn	1
1625	瞒	man	mjqy	1
1626	豁	huo	hoi	1
1627	逐	zhu	vue	1
1628	阁	ge	gew	1
1629	胞	bao	bcv	1
1630	呵	he	heh	1
1631	缘	yuan	yrj	1
1632	肩	jian	jmi	1
1633	巫	wu	wue	1
1634	渴	ke	keb	1
1635	筑	zhu	vurn	1
1636	励	li	liz	1
1637	艰	jian	jmqc	1
1638	予	yu	yuss	1
1639	泄	xie	xpb	1
1640	冻	dong	dsbe	1
1641	卢	lu	lua	1
1642	泽	ze	zeb	1
1643	婴	ying	ykz	1
1644	拨	bo	bola	1
1645	积	ji	jiwa	1
1646	幽	you	yzy	1
1647	荷	he	hex	1
1648	乳	ru	rum	1
1649	癌	ai	ais	1
1650	遵	zun	zyap	1
1651	龄	ling	lkgz	1
1652	湖	hu	hub	1
1653	汁	zhi	vibp	1
1654	骚	sao	scc	1
1655	罐	guan	grz	1
1656	忽	hu	huj	1
1657	齿	chi	iig	1
1658	云	yun	yy	1
1659	肠	chang	ihv	1
1660	酱	jiang	jlne	1
1661	钢	gang	ghk	1
1662	押	ya	yal	1
1663	姿	zi	zibz	1
1664	戈	ge	ger	1
1665	擅	shan	ujl	1
1666	恰	qia	qx	1
1667	患	huan	hrh	1
1668	柔	rou	rzs	1
1669	篇	pian	pmr	1
1670	牺	xi	xice	1
1671	割	ge	gei	1
1672	阶	jie	jppa	1
1673	酸	suan	sre	1
1674	剑	jian	jmt	1
1675	玻	bo	bog	1
1676	唐	tang	ths	1
1677	拔	ba	bal	1
1678	趟	tang	thz	1
1679	召	zhao	vcs	1
1680	扭	niu	nql	1
1681	稣	su	suy	1
1682	裸	luo	lou	1
1683	眠	mian	mmq	1
1684	胶	jiao	jnvn	1
1685	融	rong	rsn	1
1686	仿	fang	fhf	1
1687	脉	mai	mdv	1
1688	抬	tai	tdl	1
1689	韩	han	hjp	1
1690	芬	fen	ffx	1
1691	詹	zhan	vjs	1
1692	隆	long	lsp	1
1693	芭	ba	bax	1
1694	焦	jiao	jng	1
1695	赋	fu	fuzg	1
1696	悉	xi	ximc	1
1697	径	jing	jkue	1
1698	撑	cheng	igl	1
1699	汗	han	hjb	1
1700	泥	ni	ni	1
1701	贩	fan	fjz	1
1702	佬	lao	lcf	1
1703	哼	heng	hgh	1
1704	宴	yan	yji	1
1705	寸	cun	cyy	1
1706	艘	sou	sze	1
1707	誉	yu	yugd	1
1708	惩	cheng	igu	1
1709	陈	chen	if	1
1710	潮	chao	icb	1
1711	兔	tu	tur	1
1712	歇	xie	xpq	1
1713	墓	mu	mutt	1
1714	赫	he	het	1
1715	胃	wei	wwpv	1
1716	舌	she	uew	1
1717	舍	she	ueg	1
1718	挤	ji	jila	1
1719	脆	cui	cv	1
1720	巾	jin	jba	1
1721	桶	tong	tso	1
1722	页	ye	yez	1
1723	穷	qiong	qs	1
1724	询	xun	xydq	1
1725	缠	chan	ijj	1
1726	妆	zhuang	vlnz	1
1727	妒	du	duzi	1
1728	蜂	feng	fgm	1
1729	遥	yao	ycm	1
1730	伏	fu	fufn	1
1731	佑	you	yzfh	1
1732	柯	ke	keo	1
1733	舰	jian	jme	1
1734	夸	kua	kxn	1
1735	衫	shan	uju	1
1736	旋	xuan	xrs	1
1737	企	qi	qig	1
1738	侧	ce	cef	1
1739	筹	chou	izr	1
1740	递	di	diap	1
1741	酪	lao	lce	1
1742	刷	shua	ux	1
1743	纵	zong	zsjg	1
1744	宜	yi	yii	1
1745	衬	chen	ifu	1
1746	铃	ling	lkk	1
1747	猛	meng	mgv	1
1748	耀	yao	ycg	1
1749	耻	chi	iie	1
1750	扬	yang	yhl	1
1751	君	jun	jy	1
1752	污	wu	wub	1
1753	殿	dian	dmi	1
1754	瘾	yin	ybs	1
1755	亿	yi	yifl	1
1756	册	ce	cen	1
1757	唤	huan	hrhn	1
1758	棍	gun	gyo	1
1759	填	tian	tmt	1
1760	振	zhen	vfl	1
1761	疾	ji	jis	1
1762	慰	wei	wwic	1
1763	谍	die	dpd	1
1764	扎	zha	val	1
1765	璃	li	ligb	1
1766	大	dai	ddn	1
1767	睁	zheng	vgq	1
1768	恶	wu	wuw	1
1769	忌	ji	jivc	1
1770	陌	mo	mop	1
1771	返	fan	fjep	1
1772	奉	feng	fgi	1
1773	扇	shan	uji	1
1774	肌	ji	jivn	1
1775	齐	qi	qia	1
1776	廊	lang	lhs	1
1777	仓	cang	chg	1
1778	堪	kan	kjto	1
1779	慌	huang	hlc	1
1780	鉴	jian	jmnk	1
1781	猴	hou	hzv	1
1782	凌	ling	lkb	1
1783	芝	zhi	vix	1
1784	韦	wei	wwv	1
1785	脖	bo	bov	1
1786	奈	nai	ndn	1
1787	杆	gan	gjow	1
1788	仁	ren	rff	1
1789	嫉	ji	jizr	1
1790	税	shui	uvw	1
1791	哟	yo	yo	1
1792	孔	kong	ksn	1
1793	叶	ye	yeh	1
1794	湿	shi	uib	1
1795	揍	zou	zzl	1
1796	捉	zhuo	vol	1
1797	亨	heng	hgu	1
1798	箭	jian	jmra	1
1799	幅	fu	fua	1
1800	恕	shu	uuz	1
1801	吊	diao	dnh	1
1802	京	jing	jku	1
1803	臂	bi	biiv	1
1804	塑	su	sua	1
1805	踏	ta	taz	1
1806	泪	lei	lwb	1
1807	丰	feng	fgw	1
1808	罩	zhao	vca	1
1809	尴	gan	gjp	1
1810	尬	ga	gap	1
1811	郁	yu	yup	1
1812	姨	yi	yiz	1
1813	崩	beng	bgy	1
1814	拆	chai	id	1
1815	币	bi	bie	1
1816	朱	zhu	vuy	1
1817	魅	mei	mwp	1
1818	港	gang	ghb	1
1819	署	shu	uua	1
1820	勾	gou	gzwt	1
1821	炮	pao	pcr	1
1822	玉	yu	yug	1
1823	奴	nu	nuz	1
1824	抚	fu	fulg	1
1825	唇	chun	iys	1
1826	孙	sun	sy	1
1827	腐	fu	fusg	1
1828	桃	tao	tco	1
1829	宙	zhou	vzi	1
1830	截	jie	jppg	1
1831	砍	kan	kj	1
1832	宠	chong	isi	1
1833	腰	yao	ycv	1
1834	膀	bang	bhv	1
1835	俗	su	suf	1
1836	弯	wan	wjp	1
1837	恼	nao	ncc	1
1838	渐	jian	jmby	1
1839	蛮	man	mjp	1
1840	轨	gui	gve	1
1841	弥	mi	mio	1
1842	闷	men	mfwc	1
1843	陛	bi	bip	1
1844	爹	die	dpa	1
1845	措	cuo	col	1
1846	萝	luo	loxl	1
1847	债	zhai	vdf	1
1848	培	pei	pwt	1
1849	滋	zi	zibj	1
1850	舱	cang	che	1
1851	吞	tun	ty	1
1852	肿	zhong	vsv	1
1853	秋	qiu	qqw	1
1854	毯	tan	tjm	1
1855	详	xiang	xld	1
1856	奔	ben	bfn	1
1857	仙	xian	xmf	1
1858	侠	xia	xxf	1
1859	庄	zhuang	vls	1
1860	廉	lian	lms	1
1861	袖	xiu	xqu	1
1862	霉	mei	mwc	1
1863	愈	yu	yulc	1
1864	磁	ci	cij	1
1865	厄	e	ees	1
1866	淋	lin	lbb	1
1867	逗	dou	dznp	1
1868	缓	huan	hrj	1
1869	储	chu	iuf	1
1870	碗	wan	wjj	1
1871	嘲	chao	ichv	1
1872	肺	fei	fwva	1
1873	氧	yang	yhr	1
1874	绩	ji	jijz	1
1875	撕	si	sily	1
1876	囚	qiu	qqe	1
1877	垒	lei	lwt	1
1878	鹰	ying	yks	1
1879	娶	qu	quez	1
1880	炉	lu	lur	1
1881	勤	qin	qbm	1
1882	井	jing	jkl	1
1883	旗	qi	qis	1
1884	艇	ting	tke	1
1885	垫	dian	dml	1
1886	塞	sai	sdi	1
1887	葡	pu	pux	1
1888	冬	dong	dsq	1
1889	萄	tao	tcx	1
1890	滴	di	dib	1
1891	仔	zai	zdf	1
1892	栋	dong	dso	1
1893	渡	du	dub	1
1894	钓	diao	dnk	1
1895	薪	xin	xbxy	1
1896	驱	qu	quc	1
1897	钉	ding	dkk	1
1898	榄	lan	ljoz	1
1899	横	heng	hg	1
1900	踩	cai	cdzm	1
1901	橄	gan	gjoq	1
1902	拘	ju	julh	1
1903	犬	quan	qrn	1
1904	佣	yong	ysf	1
1905	忧	you	yzc	1
1906	甘	gan	gjm	1
1907	坠	zhui	vvp	1
1908	宰	zai	zdis	1
1909	腾	teng	tgv	1
1910	贼	zei	zw	1
1911	霸	ba	bac	1
1912	胖	pang	phv	1
1913	溃	kui	kvb	1
1914	昂	ang	ah	1
1915	拦	lan	ljl	1
1916	便	pian	pmfn	1
1917	脾	pi	piv	1
1918	尿	niao	nni	1
1919	凉	liang	llbg	1
1920	役	yi	yiu	1
1921	崇	chong	isy	1
1922	菌	jun	jyx	1
1923	哀	ai	ain	1
1924	淡	dan	djb	1
1925	赔	pei	pwz	1
1926	熬	ao	aow	1
1927	革	ge	gem	1
1928	卑	bei	bwy	1
1929	谬	miu	mq	1
1930	抑	yi	yilp	1
1931	漠	mo	mobt	1
1932	矿	kuang	klj	1
1933	屠	tu	tuiq	1
1934	逻	luo	loa	1
1935	腔	qiang	qlv	1
1936	衡	heng	hgk	1
1937	搅	jiao	jnl	1
1938	逛	guang	glv	1
1939	膝	xi	xiv	1
1940	趁	chen	ifz	1
1941	僵	jiang	jlf	1
1942	摧	cui	cvl	1
1943	晃	huang	hlq	1
1944	盾	dun	dye	1
1945	肖	xiao	xng	1
1946	妥	tuo	tom	1
1947	铺	pu	puk	1
1948	赐	ci	ciz	1
1949	尘	chen	ifg	1
1950	堵	du	dut	1
1951	骂	ma	mahc	1
1952	窝	wo	woi	1
1953	薄	bo	box	1
1954	浮	fu	fub	1
1955	跃	yue	ytzn	1
1956	厚	hou	hzs	1
1957	岩	yan	yjy	1
1958	诈	zha	vad	1
1959	挨	ai	ail	1
1960	扑	pu	pu	1
1961	喉	hou	hzhr	1
1962	谊	yi	yidt	1
1963	疲	pi	pis	1
1964	崔	cui	cvy	1
1965	诸	zhu	vud	1
1966	董	dong	dsx	1
1967	肃	su	suq	1
1968	倦	juan	jrf	1
1969	搏	bo	boly	1
1970	诅	zu	zud	1
1971	葛	ge	gex	1
1972	幼	you	yzj	1
1973	佐	zuo	zofe	1
1974	械	xie	xpo	1
1975	沟	gou	gzb	1
1976	蛛	zhu	vum	1
1977	宿	su	sui	1
1978	差	chai	idi	1
1979	映	ying	ykqn	1
1980	刮	gua	gxw	1
1981	纠	jiu	jqj	1
1982	胳	ge	gevq	1
1983	挽	wan	wjl	1
1984	愧	kui	kvc	1
1985	泉	quan	qry	1
1986	催	cui	cvf	1
1987	袜	wa	wau	1
1988	晋	jin	jbw	1
1989	叉	cha	iaq	1
1990	捡	jian	jml	1
1991	狮	shi	uiva	1
1992	棕	zong	zso	1
1993	瘦	shou	uzs	1
1994	亏	kui	kv	1
1995	和	huo	how	1
1996	腊	la	lav	1
1997	懒	lan	ljc	1
1998	蹲	dun	dyz	1
1999	央	yang	yhw	1
2000	惠	hui	hvn	1
2001	灌	guan	grb	1
2002	乏	fa	fae	1
2003	侣	lv	lvf	1
2004	娱	yu	yuz	1
2005	矮	ai	air	1
2006	披	pi	pie	1
2007	疫	yi	yis	1
2008	谱	pu	pud	1
2009	轰	hong	hse	1
2010	栏	lan	ljo	1
2011	拐	guai	gkl	1
2012	挪	nuo	nol	1
2013	沿	yan	yjbh	1
2014	悬	xuan	xrt	1
2015	槟	bin	bboa	1
2016	腹	fu	fuvq	1
2017	贫	pin	pba	1
2018	膊	bo	bovy	1
2019	讽	feng	fgd	1
2020	裹	guo	gon	1
2021	诡	gui	gvd	1
2022	番	fan	fjmp	1
2023	劝	quan	qrq	1
2024	噩	e	eeg	1
2025	稿	gao	gcw	1
2026	慧	hui	hvw	1
2027	粹	cui	cvd	1
2028	雾	wu	wucp	1
2029	瘤	liu	lqs	1
2030	嘉	jia	jxt	1
2031	淫	yin	ybb	1
2032	姬	ji	jizk	1
2033	雕	diao	dnn	1
2034	喘	chuan	irhc	1
2035	唉	ai	aih	1
2036	茨	ci	cix	1
2037	鲨	sha	uab	1
2038	隶	li	liq	1
2039	添	tian	tmb	1
2040	肝	gan	gjv	1
2041	仗	zhang	vhf	1
2042	锋	feng	fgk	1
2043	蜡	la	lam	1
2044	扩	kuo	kol	1
2045	沮	ju	jub	1
2046	浑	hun	hyb	1
2047	疏	shu	uuoa	1
2048	芙	fu	fux	1
2049	煮	zhu	vup	1
