aaba=1,阿爸
ihrf=2,常任
ihrj=1,怅然
ihrw=1,车毁人亡
ihrz=1,长肉
ihso=1,场所
ihsy=1,长孙
ihtd=1,常态
ihtj=1,畅谈
ihtj=3,长叹
ihtj=4,长谈
ihtk=1,长亭
ihtn=1,长条
ihtn=2,唱跳
ihtn=3,冲昏头脑
ihts=1,畅通
ihts=2,长痛
ihtu=1,长途
ihtv=1,长腿
ihua=1,长沙
ihue=1,长舌
ihue=2,常设
ihue=3,长蛇
ihug=1,昌盛
ihug=2,长生
ihuh=1,厂商
ihuh=3,场上
ihui=1,尝试
ihui=2,常识
ihui=3,常事
ihui=4,长势
ihui=5,长石
ihui=6,长诗
ihuj=1,长衫
ihuk=1,唱衰
ihuo=1,常说
ihuu=1,常数
ihuy=1,畅顺
ihuy=2,长顺
ihuz=1,长寿
ihuz=2,常熟
ihvd=1,长斋
ihve=1,长者
ihve=2,唱着
ihvg=1,长征
ihvi=1,长治
ihvi=2,厂址
ihvj=1,场站
ihvl=1,吹灰之力
ihvo=1,长桌
ihvs=1,场中
ihvu=1,常驻
ihvu=2,常住
ihvu=3,长住
ihvu=4,厂主
ihvz=1,常州
ihwa=1,长袜
ihwd=1,场外
ihwd=2,厂外
ihwf=1,常温
ihwf=2,长文
ihwh=1,怅惘
ihwh=2,畅旺
ihwj=1,畅玩
ihwl=1,吃喝玩乐
ihwu=1,常务
ihwu=2,厂务
ihww=1,肠胃
ihww=2,常委
ihxb=1,尝新
ihxi=1,唱戏
ihxi=2,超乎寻常
ihxk=1,畅行
ihxk=2,长兴
ihxl=1,畅想
ihxl=2,畅享
ihxl=3,唱响
ihxm=1,长线
ihxm=2,尝鲜
ihxn=1,畅销
ihxn=2,长啸
ihxn=3,长效
ihxq=1,长袖
ihxq=3,厂休
ihxs=1,长兄
ihxt=1,长靴
ihxu=1,畅叙
ihxv=1,楚汉相争
ihxx=1,承欢膝下
ihya=1,常压
ihya=2,长牙
ihyb=1,畅饮
ihyb=2,长音
ihye=1,长夜
ihye=2,肠液
ihyh=1,徜徉
ihyh=2,长阳
ihyi=1,倡议
ihyi=2,长椅
ihyi=3,肠衣
ihyi=4,昌邑
ihyj=1,肠炎
ihyj=2,常言
ihyj=3,长眼
ihyk=1,长缨
ihyk=2,长影
ihyl=1,出乎意料
ihyl=2,出乎预料
ihyr=1,长远
ihyr=2,长圆
ihys=1,常用
ihyu=1,长于
ihyu=2,鲳鱼
ihyw=1,出乎意外
ihyy=1,长运
ihyz=1,常有
ihyz=2,畅游
ihyz=3,长幼
ihyz=4,长有
ihzi=1,肠子
ihzi=2,厂子
ihzi=3,场子
ihzu=1,长足
ihzv=1,长醉
iiai=1,痴爱
iibc=1,吃饱
iibh=1,翅膀
iibi=1,赤壁
iibi=3,持币
iibj=1,踌躇不决
iibm=1,池边
iibo=1,赤膊
iibq=1,踌躇不前
iibq=2,踟蹰不前
iibs=1,超尘拔俗
iibu=1,吃不
iibw=1,赤背
iicc=1,吃草
iicd=1,吃菜
iicd=2,愁肠寸断
iich=1,持仓
iicu=1,吃醋
iicy=1,尺寸
iidc=1,迟到
iidc=2,赤道
iidd=1,痴呆
iidd=2,彻彻底底
iidj=1,赤胆
iidk=1,吃定
iidm=1,吃点
iidm=2,迟点
iidn=1,吃掉
iido=1,褫夺
iidr=1,楚楚动人
iidu=1,尺度
iidy=1,迟钝
iidy=2,吃顿
iidz=1,赤豆
iifa=1,吃法
iifg=1,赤峰
iifg=2,敕封
iifj=1,吃饭
iigf=1,齿根
iigl=1,吃光
iigo=1,吃过
iigr=1,吃惯
iigu=1,耻骨
iigu=2,持股
iigu=3,尺骨
iigx=1,吃瓜
iihe=1,吃喝
iihf=1,齿痕
iihh=1,吃吃喝喝
iihj=1,痴汉
iiho=1,吃货
iihr=1,迟缓
iihr=2,弛缓
iihs=1,赤红
iihu=1,赤狐
iihv=1,吃灰
iihx=1,赤化
iihy=1,吃荤
iihz=1,斥候
iiia=1,吃茶
iiic=1,赤潮
iiif=1,赤忱
iiig=1,驰骋
iiig=2,赤诚
iiig=3,炽盛
iiig=4,吃撑
iiii=2,迟迟
iiii=3,痴痴
iiii=4,吃吃
iiir=1,吃穿
iiir=2,吃串
iiiu=1,彳亍
iiiu=2,踟蹰
iiiz=1,持筹
iijb=1,吃紧
iijh=1,重出江湖
iiji=1,吃鸡
iiji=2,驰骋疆场
iijj=1,出出进进
iijj=2,长长久久
iijk=1,吃惊
iijm=1,持剑
iijn=1,赤脚
iijp=1,持戒
iijq=1,持久
iijq=2,吃酒
iijx=1,持家
iika=1,持卡
iikb=1,彳亍口巴
iike=1,吃客
iike=2,齿科
iikj=1,赤坎
iikk=1,诚诚恳恳
iikl=1,痴狂
iikl=2,楚楚可怜
iikn=1,重重困难
iiku=1,吃苦
iikv=1,吃亏
iikz=1,吃口
iila=1,吃辣
iile=1,吃了
iilg=1,齿冷
iili=1,吃力
iilk=1,敕令
iill=1,吃粮
iilm=1,痴恋
iilo=1,赤裸
iilp=1,炽烈
iilq=1,哧溜
iils=1,赤龙
iily=1,齿轮
iily=3,垂垂老矣
iilz=1,赤露
iima=1,尺码
iima=2,斥骂
iime=1,吃么
iimi=1,痴迷
iimi=2,侈靡
iimk=1,驰名
iiml=1,初出茅庐
iimm=1,吃面
iimm=2,缠缠绵绵
iimu=1,迟暮
iimv=1,踌躇满志
iimw=1,赤眉
iind=1,吃奶
iinf=1,插翅难飞
iing=1,称臣纳贡
iini=1,吃腻
iinn=1,吵吵闹闹
iint=1,插翅难逃
iinv=1,痴女
iinw=1,池内
iiou=1,吃藕
iipb=2,赤贫
iiph=1,吃胖
iipi=1,吃屁
iipk=1,持平
iipp=1,吹吹拍拍
iiqk=1,痴情
iiqk=2,吃请
iiql=1,持枪
iiqq=1,持球
iiqu=1,驰驱
iire=1,炽热
iirf=1,吃人
iirf=2,痴人
iiri=1,赤日
iirr=1,吵吵嚷嚷
iirr=2,出出入入
iiru=1,耻辱
iirz=1,吃肉
iise=1,赤色
iiss=1,赤松
iisu=1,吃素
iith=1,池塘
iith=2,吃糖
iits=1,赤铜
iitu=1,吃土
iitu=2,赤兔
iitv=1,斥退
iitz=1,吃透
iiuc=1,赤芍
iiuf=1,赤身
iiug=1,吃剩
iiui=1,吃食
iiuu=1,敕书
iiuv=1,池水
iiuv=2,吃水
iiuv=3,赤水
iiuz=1,赤手
iiuz=2,吃手
iiva=1,叱咤
iivc=1,池沼
iivd=1,吃斋
iive=1,吃着
iivg=1,持证
iivi=1,迟滞
iivs=1,持重
iivu=1,吃住
iivu=2,赤柱
iivx=1,吃穿住行
iivy=1,吃准
iivz=1,池州
iiwj=1,吃完
iiwo=1,吃我
iiwu=1,迟误
iiww=1,颤颤巍巍
iixb=1,痴心
iixb=2,赤心
iixd=1,赤诚相待
iixk=1,齿形
iixl=1,吃香
iixl=2,吃相
iixl=3,吃翔
iixm=1,痴线
iixm=2,赤县
iixn=1,耻笑
iixn=2,痴笑
iixn=3,嗤笑
iixp=1,持械
iixp=2,赤血
iixu=1,持续
iixx=1,吃下
iixy=1,唇齿相依
iixy=2,陈陈相因
iiyb=2,齿音
iiyc=1,吃药
iiyd=1,蠢蠢欲动
iiyd=2,吃穿用度
iiyi=1,迟疑
iiyr=1,驰援
iiyu=1,池鱼
iiyu=2,吃鱼
iiyy=1,绰绰有余
iiyy=3,抽抽噎噎
iiyy=4,迟迟疑疑
iiyz=1,持有
iiyz=2,蚩尤
iizc=1,迟早
iizc=2,吃枣
iize=1,斥责
iize=2,叱责
iizi=1,池子
iizi=2,尺子
iizi=3,斥资
iizi=4,赤字
iizi=5,赤子
iizo=1,池座
iizu=1,赤足
iizv=1,痴醉
iizv=2,吃嘴
ijbn=2,觇标
ijbx=1,除旧布新
ijdc=1,铲刀
ijdg=1,超级大国
ijdi=1,产地
ijdj=1,产蛋
ijdk=1,禅定
ijdl=1,长江电力
ijdn=1,初见端倪
ijdn=2,超级大脑
ijdq=1,长江大桥
ijds=1,颤动
ijdz=1,颤抖
ijdz=2,缠斗
ijee=1,产额
ijer=1,产儿
ijer=2,乘机而入
ijfa=1,阐发
ijfh=1,产房
ijfh=2,禅房
ijfr=1,成绩斐然
ijfr=3,醇酒妇人
ijfu=1,产妇
ijfu=2,搀扶
ijgm=1,初具规模
ijgs=1,蟾宫
ijgv=1,馋鬼
ijgx=1,穿街过巷
ijhd=1,谗害
ijhe=1,掺和
ijhv=1,忏悔
ijhz=1,产后
ijie=1,铲车
ijig=1,产程
ijig=2,禅城
ijij=1,潺潺
ijij=2,颤颤
ijil=1,产床
ijis=1,馋虫
ijiu=1,铲除
ijiu=2,产出
ijiu=3,蟾蜍
ijix=1,初见成效
ijjb=1,缠紧
ijjd=1,初级阶段
ijji=1,禅机
ijjm=1,产检
ijjn=1,缠脚
ijjp=1,缠结
ijjr=1,婵娟
ijjx=1,产假
ijjx=2,掺假
ijke=1,产科
ijkt=1,吃尽苦头
ijlb=1,禅林
ijlg=1,戳脊梁骨
ijli=1,颤栗
ijli=2,禅理
ijll=1,产量
ijll=2,产粮
ijlm=1,蝉联
ijlr=1,产卵
ijlu=1,成家立室
ijlv=1,产率
ijly=1,成家立业
ijly=2,长江流域
ijmc=1,馋猫
ijmf=1,禅门
ijmk=1,阐明
ijmk=2,蝉鸣
ijmm=1,缠绵
ijmo=1,缠磨
ijmw=1,谄媚
ijmw=2,产煤
ijng=1,产能
ijpb=1,产品
ijpk=1,铲平
ijpl=1,船坚炮利
ijpo=1,产婆
ijpy=1,冲积平原
ijqi=1,产期
ijqm=1,产前
ijqq=1,铲球
ijqr=1,产权
ijqu=1,产区
ijrc=1,缠绕
ijrf=1,缠人
ijrh=1,禅让
ijro=1,孱弱
ijru=1,掺入
ijru=2,产褥
ijrx=1,出将入相
ijsb=1,传经送宝
ijsh=1,成吉思汗
ijsi=1,禅寺
ijsx=1,长江三峡
ijth=1,禅堂
ijtq=1,长江天堑
ijtr=1,重见天日
ijtu=1,铲土
ijtu=2,创巨痛深
ijtv=1,蝉蜕
ijtz=1,缠头
ijuf=1,缠身
ijug=1,产生
ijug=2,颤声
ijuh=1,缠上
ijui=1,阐释
ijui=2,禅师
ijuq=1,触景生情
ijuq=2,触景伤情
ijuu=1,阐述
ijuz=1,缠手
ijvb=1,传家之宝
ijve=1,缠着
ijvf=1,颤振
ijvh=1,禅杖
ijvi=1,产值
ijvj=1,长久之计
ijvu=1,缠住
ijvx=1,初级中学
ijwu=1,产物
ijxh=1,创价学会
ijxm=1,产险
ijxm=2,产线
ijxn=1,产销
ijxn=2,谄笑
ijxq=1,禅修
ijxt=1,铲雪
ijxt=2,禅学
ijxx=1,初级小学
ijyb=1,颤音
ijye=1,产业
ijyh=1,阐扬
ijyi=1,蝉翼
ijyi=2,禅意
ijyj=1,谗言
ijyr=1,产院
ijyr=3,禅院
ijyu=1,谄谀
ijyu=2,产于
ijyx=1,除旧迎新
ijyz=1,颤悠
ijyz=2,臭脚丫子
ijza=1,掺杂
ijzd=1,缠在
ijzh=1,串家走户
ijzi=1,铲子
ijzi=2,产自
ijzj=1,筹集资金
ijzs=1,禅宗
ijzu=1,缠足
ijzv=1,馋嘴
ijzx=1,穿街走巷
ikce=1,揣测
ikdh=1,插科打诨
ikdu=1,揣度
ikei=1,冲口而出
ikfw=1,踹飞
ikih=1,出口创汇
ikip=1,出口产品
ikiv=1,出口成章
ikjm=1,吹糠见米
ikll=1,畅快淋漓
ikmf=1,踹门
ikmo=1,揣摩
ikmo=2,揣摸
iknl=1,吃苦耐劳
ikqf=1,春困秋乏
ikuf=1,吃亏是福
ikup=1,出口商品
ikur=1,出口伤人
ikve=1,揣着
ikxl=1,揣想
ikzq=1,吃苦在前
ilba=1,疮疤
ilbc=1,出类拔萃
ilbj=1,创办
ilbj=2,床板
ilbm=1,床边
ilbm=2,窗边
ilbq=1,查漏补缺
ilbx=1,川流不息
ildd=1,豺狼当道
ildh=1,闯荡
ildi=1,床底
ildj=1,床单
ildm=1,床垫
ildn=1,初露端倪
ilds=1,窗洞
ildv=1,重峦叠嶂
ilff=1,踔厉风发
ilfg=1,窗缝
ilfm=1,初露锋芒
ilfw=1,窗扉
ilge=1,窗格
ilgo=1,闯过
ilgr=1,闯关
ilhb=1,豺狼虎豹
ilhf=1,创痕
ilho=1,闯祸
ilhu=1,窗户
ilhv=1,创汇
ilhx=1,窗花
iliu=1,创出
iliu=2,闯出
iliw=1,常来常往
ilix=1,豺狼成性
iljb=1,闯进
iljb=2,闯劲
iljl=1,闯将
iljm=1,创建
iljm=2,创见
iljn=1,床脚
iljs=1,茶楼酒肆
ilju=1,创举
iljx=1,床架
iljx=2,疮痂
ilke=1,创客
ilkj=1,创刊
ilkl=1,窗框
ilkx=1,乘龙快婿
ilkz=1,窗口
ilkz=2,创口
illi=1,创立
illi=2,创利
illk=1,窗棂
illm=1,窗帘
illm=2,床帘
ilmf=1,窗门
ilmj=1,窗幔
ilmm=1,创面
ilnw=1,窗内
ilpb=1,床品
ilpt=1,触类旁通
ilpt=2,成龙配套
ilpu=1,床铺
ilpw=1,吃里扒外
ilpw=2,吃里爬外
ilqj=1,春兰秋菊
ilqm=1,窗前
ilqm=2,床前
ilrj=1,怆然
ilru=1,闯入
ilru=2,床褥
ilrw=1,车来人往
ilta=1,床榻
iltd=1,窗台
ilti=1,窗体
ilti=2,吹拉弹唱
iltj=1,初露头角
ilts=1,创痛
ilts=2,怆痛
iltv=1,床腿
iltv=2,垂帘听政
iltz=1,床头
iltz=2,创投
ilua=1,窗纱
ilue=1,创设
iluf=1,床身
ilug=1,创生
iluh=1,创伤
iluh=2,床上
ilui=1,创世
ilui=2,创始
iluj=1,窗扇
iluv=1,创税
iluz=1,创收
ilvc=1,床罩
ilvc=2,床照
ilvd=1,初来乍到
ilvi=1,创制
ilwd=1,窗外
ilww=1,床位
ilww=2,创维
ilxb=1,创新
ilxi=1,床戏
ilxl=1,创想
ilxm=1,创先
ilxn=1,创效
ilxx=1,创下
ilye=1,创业
ilyi=1,创意
ilyi=2,疮痍
ilyj=1,床沿
ilyj=2,窗沿
ilyz=1,创优
ilzc=1,创造
ilzi=1,窗子
ilzi=2,床笫
ilzo=1,创作
imbq=1,长眠不起
imbs=1,长命百岁
imbv=1,愁眉不展
imbw=1,痴迷不悟
imby=1,沉默不语
imdx=1,称名道姓
imdx=2,传媒大学
imfc=1,缠绵悱恻
imfg=1,长命富贵
imgd=1,茶马古道
imgy=1,沉默寡言
imhc=1,出谋划策
imhl=1,充满活力
imim=1,炒买炒卖
imjj=1,窗明几净
imjs=1,愁眉紧锁
imju=1,瞠目结舌
imju=2,触目皆是
imjx=1,触目惊心
imkj=1,触目可及
imkl=1,愁眉苦脸
imlx=1,程门立雪
imqc=1,吹毛求疵
imqi=1,瞋目切齿
imrj=1,春满人间
imsj=1,触目所及
imsy=1,愁眉锁眼
imtx=1,驰名天下
imuh=1,城门失火
imuj=1,充满生机
imuj=2,沉默是金
imvn=1,垂暮之年
imvn=2,迟暮之年
imvv=1,臭名昭著
imvw=1,驰名中外
imwh=1,春梦无痕
imwl=1,魑魅魍魉
imwy=1,沉默无语
imxc=1,出谋献策
imxx=1,充满信心
imym=1,车马盈门
imyy=1,柴米油盐
imyy=2,臭名远扬
imzg=1,出门左拐
imzw=1,出门在外
inhk=1,春暖花开
inly=1,长年累月
inly=2,成年累月
inpm=1,吹牛拍马
inqj=1,处女情结
inyn=1,痴男怨女
iobi=1,辍笔
iohc=1,绰号
ioir=1,戳穿
iopo=1,戳破
ioqi=1,啜泣
iovs=1,戳中
ioxt=1,辍学
ioyb=1,啜饮
ioyt=1,绰约
ipdl=1,长篇大论
ipgs=1,唱片公司
ipld=1,长篇累牍
iprx=1,赤贫如洗
ipxu=1,长篇小说
iqbb=1,乘其不备
iqbf=1,春秋笔法
iqbh=1,惩前毖后
iqbl=1,查缺补漏
iqby=1,出其不意
iqdm=1,春秋大梦
iqdp=1,长枪短炮
iqdy=1,春秋大义
iqfl=1,春秋繁露
iqfr=1,锄强扶弱
iqfy=1,串亲访友
iqgc=1,长期共存
iqhu=1,逞强好胜
iqib=1,成千成百
iqil=1,潮起潮落
iqit=1,臭气冲天
iqiv=1,超群出众
iqiw=1,成千成万
iqjd=1,成群结队
iqjh=1,成群结伙
iqld=1,陈腔滥调
iqlw=1,成千累万
iqlz=1,重起炉灶
iqqh=1,承前启后
iqql=1,春去秋来
iqry=1,差强人意
iqtf=1,超强台风
iquj=1,唇枪舌剑
iquv=1,唇枪舌战
iquw=1,成千上万
iqvg=1,春秋战国
iqvr=1,长驱直入
iqvu=1,出奇制胜
iqxf=1,超前消费
iqxm=1,重庆小面
iqxt=1,臭气熏天
iqyl=1,长期以来
iran=1,串案
irbb=1,乘人不备
irbb=2,趁人不备
irbc=1,传报
irbf=1,传本
irbh=1,穿帮
irbh=2,船帮
irbj=1,船板
irbj=2,宠辱不惊
irbm=1,传遍
irbm=2,船边
irbn=1,串标
irbo=1,传播
irbo=2,船舶
irbu=1,船埠
irbu=2,传布
irbw=1,川贝
irbx=1,传染病学
ircd=1,川菜
ircd=2,传菜
irch=1,船舱
irch=2,川藏
irci=1,穿刺
irci=2,串词
ircw=1,承认错误
irda=1,传达
irda=2,穿搭
irdc=1,传导
irdc=2,传到
irdc=3,传道
irdd=1,穿戴
irdd=2,传代
irdg=1,传灯
irdi=1,传递
irdi=2,船底
irdj=1,传单
irdm=1,穿点
irds=1,传动
irds=2,船东
irdt=1,趁热打铁
irdv=1,船队
irer=1,船儿
irff=1,传粉
irfj=1,船帆
irfu=1,船夫
irfw=1,船费
irgc=1,传告
irgh=1,串岗
irgj=1,传感
irgk=1,成人高考
irgo=1,穿过
irgo=2,传国
irgr=1,传观
irgs=1,串供
irgs=2,传功
irgs=3,船工
irgv=1,稠人广众
irgw=1,传给
irhc=2,穿好
irhc=3,串号
irhh=1,川航
irho=1,船货
irhr=1,传唤
irhs=1,川红
irhu=1,传呼
irhu=2,船户
irhv=1,传回
irhx=1,传话
iria=1,穿插
iric=1,传抄
irig=1,传承
irig=2,穿成
irih=1,传唱
irih=2,串场
irih=3,船厂
irir=1,串串
iriu=1,传出
irji=1,传记
irjk=1,传经
irjl=1,船桨
irjl=2,串讲
irjl=3,川江
irjm=1,船舰
irjn=1,传教
irjp=1,传戒
irjp=2,串接
irju=1,川剧
irjw=1,宠辱皆忘
irjx=1,传家
irjx=2,穿甲
irjy=1,川军
irjy=2,成人教育
irkd=1,传开
irkj=1,传看
irks=1,穿孔
irkz=1,串口
irld=1,传来
irlk=1,传令
irlk=2,船龄
irlm=1,串联
irlm=2,串连
irlp=1,串列
irlq=1,串流
irlt=1,传略
irlx=1,怆然泪下
irmb=1,船民
irmc=1,船锚
irmf=1,串门
irmk=1,船名
irmm=1,愁容满面
irmo=1,船模
irmw=1,传媒
irmz=1,串谋
irnr=1,穿暖
irpg=1,船篷
irpn=1,船票
irpn=2,传票
irpo=1,穿破
irpu=1,川普
irqb=1,串亲
irqi=1,传奇
irqi=2,喘气
irqk=1,传情
irqq=1,传球
irqy=1,成仁取义
irre=1,传热
irrf=1,传人
irrj=1,传染
irrj=2,宠辱若惊
irru=1,传入
irru=2,怅然若失
irso=1,穿梭
irss=1,传送
irss=2,传颂
irss=3,传诵
irsu=1,船速
irtd=1,船台
irtd=2,出人头地
irth=1,穿堂
irti=1,船体
irtk=1,船艇
irtm=1,川田
irts=1,传统
irts=2,串通
irtz=1,穿透
irtz=2,船头
iruc=1,串烧
iruf=1,传神
iruf=2,船身
irug=1,传声
iruh=1,船上
iruh=2,穿上
irui=1,传世
iruj=1,穿山
irum=1,痴人说梦
iruo=1,传说
iruu=1,传输
iruu=2,传书
iruz=1,传授
iruz=2,船首
irva=1,船闸
irvc=1,传召
irve=1,穿着
irvf=1,传真
irvf=2,穿针
irvh=1,船长
irvi=1,船只
irvi=2,传质
irvm=1,成人之美
irvs=1,传种
irvs=2,传中
irvu=1,船主
irvu=2,串珠
irvw=1,乘人之危
irvw=2,趁人之危
irwa=1,船袜
irwf=1,传闻
irwf=2,传问
irwu=1,船坞
irww=1,船尾
irww=2,超然物外
irxb=1,传信
irxb=2,穿心
irxi=1,喘息
irxi=2,川西
irxk=1,穿行
irxk=2,串行
irxm=1,船舷
irxm=2,穿线
irxn=1,传销
irxn=2,穿孝
irxp=1,穿鞋
irxs=1,川芎
irxy=1,传讯
iryb=1,传音
iryb=2,出人意表
iryc=1,传谣
iryd=1,超人一等
irye=1,船业
iryh=1,传扬
iryi=1,穿衣
iryi=2,传艺
iryj=1,传言
iryl=1,出人意料
iryr=1,船员
irys=1,船用
irys=2,穿用
iryt=1,穿越
iryt=2,传阅
iryu=1,川渝
iryw=1,出人意外
iryy=1,船运
irzc=1,穿凿
irzi=1,椽子
irzi=2,串子
isai=1,宠爱
isbd=1,崇拜
isbj=1,抽丝剥茧
iscc=1,虫草
iscd=1,冲裁
isce=1,冲厕
isci=1,冲刺
isci=2,充磁
iscs=1,差三错四
isdh=1,充当
isdi=1,冲抵
isdj=1,冲淡
isdk=1,冲顶
isdm=1,充电
isdn=1,冲掉
isdp=1,重叠
isds=1,冲动
isds=2,虫洞
iser=1,宠儿
isff=1,充分
isfg=1,重逢
isfg=2,冲锋
isfj=1,重返
isfu=1,重复
isfu=2,冲服
isfw=1,宠妃
isgc=1,崇高
isgl=1,崇光
isgr=1,冲关
isgs=1,充公
ishc=1,充好
ishd=1,虫害
ishk=1,宠坏
ishv=1,冲毁
ishy=1,冲昏
isia=1,冲茶
isif=1,宠臣
isig=1,冲程
isii=1,充斥
isil=1,冲床
isis=1,冲冲
isiu=1,冲出
isjb=1,冲进
isjb=2,冲劲
isji=1,冲击
isji=2,冲剂
isji=3,充饥
isjk=1,憧憬
isjk=2,崇敬
isjm=1,重建
isjt=1,冲决
isjy=1,充军
iska=1,充卡
iskd=1,冲开
isko=1,冲扩
iskx=1,冲垮
iskz=1,冲口
islh=1,冲浪
isli=1,冲力
isll=1,冲凉
isll=2,冲量
islr=1,虫卵
islw=1,虫类
ismi=1,舂米
ismj=1,充满
ismk=1,虫鸣
ismk=2,崇明
ismo=1,冲模
ismx=1,沉思默想
ismy=1,春色满园
isng=1,充能
isni=1,宠溺
ispc=1,冲泡
ispo=1,冲破
ispw=1,充沛
isqi=1,充气
isqm=1,充钱
isrf=1,充任
isru=1,冲入
issd=1,充塞
issj=1,冲散
issu=1,重塑
isti=1,重提
isti=2,虫体
istm=1,冲天
istm=2,充填
istu=1,冲突
isua=1,冲杀
isuf=1,重申
isug=1,冲绳
isug=2,重生
isuh=1,崇尚
isuh=2,冲上
isui=1,充实
isuu=1,充数
isuv=1,充水
isuv=2,冲水
isux=1,冲刷
isve=1,冲着
isvf=1,崇祯
isvh=1,冲账
isvi=1,充值
isvl=1,冲撞
isvu=1,虫蛀
isvv=1,垂死挣扎
isvz=1,崇州
iswf=1,重温
iswf=2,崇文
iswu=1,宠物
isww=1,重围
isxb=1,重新
isxb=2,宠信
isxi=1,冲洗
isxi=2,冲喜
isxk=1,宠幸
isxl=1,冲向
isxm=1,重现
isxm=2,冲线
isxn=1,冲销
isxt=1,充血
isxu=1,冲虚
isya=1,虫牙
isya=2,冲压
isyb=1,冲印
isyc=1,冲要
isyi=1,充溢
isyj=1,重演
isyj=2,虫眼
isyk=1,充盈
isys=1,宠用
isyu=1,充裕
isyu=2,传诵一时
isyw=1,畅所欲为
isyy=1,畅所欲言
iszc=1,冲澡
iszd=1,虫灾
iszi=1,虫子
iszo=1,充作
iszo=2,崇左
iszu=1,充足
iszu=2,重组
iszz=1,冲走
itbi=1,丑态百出
itbl=1,丑态毕露
itbu=1,长途跋涉
itby=1,垂头不语
itdh=1,长途电话
itdw=1,成天到晚
itfy=1,尘土飞扬
itgn=1,传统观念
itgy=1,传统工艺
itin=1,蠢头蠢脑
itiw=1,彻头彻尾
itjr=1,传统节日
itlm=1,出头露面
itlx=1,长途旅行
itmd=1,传统美德
itqi=1,长途汽车
itsq=1,垂头丧气
itub=1,成套设备
itvg=1,呈堂证供
itvr=1,出头之日
itwh=1,传统文化
itww=1,出土文物
itwz=1,畅通无阻
ityq=1,串通一气
iuba=1,初八
iubb=1,出殡
iubf=1,出手不凡
iubi=1,除弊
iubj=1,出版
iubj=2,初版
iubk=1,出兵
iubl=1,长生不老
iubl=2,出师不利
iubs=1,长生不死
iubu=1,初步
iubu=2,长盛不衰
iubw=1,储备
iubz=1,成事不足
iucc=1,除草
iucc=2,锄草
iucd=1,出彩
iuce=1,初测
iuch=1,储藏
iuch=2,出仓
iuci=1,初次
iuci=2,除此
iuci=3,楚辞
iuco=1,出错
iucy=1,储存
iucy=2,出村
iudc=1,出道
iudc=2,初到
iudd=1,初代
iudf=1,出手大方
iudg=1,初等
iudi=1,锄地
iudi=2,触底
iudj=1,出单
iudm=1,触电
iudm=2,触点
iudn=1,除掉
iudr=1,初段
iuds=1,出动
iuds=2,触动
iuds=3,初冬
iudu=1,初度
iudu=2,初读
iudv=1,出对
iued=1,垂手而得
iuee=1,除恶
iuer=1,初二
iuer=2,雏儿
iueu=1,乘势而上
iufa=1,出发
iufa=2,处罚
iufa=3,触发
iufa=4,除法
iuff=1,处分
iuff=2,出分
iufg=1,出风
iufh=1,厨房
iufh=2,处方
iufh=3,出访
iufj=1,触犯
iufj=2,初犯
iufm=1,初试锋芒
iufr=1,出水芙蓉
iufu=1,初伏
iufw=1,除非
iugc=1,初稿
iuge=1,出格
iuge=2,楚歌
iugf=1,除根
iugh=1,出港
iugh=2,城市规划
iugj=1,触感
iugo=1,出国
iugo=2,出过
iugo=3,楚国
iugr=1,出关
iugr=2,储罐
iugs=1,出恭
iugs=2,出工
iugs=3,厨工
iugv=1,出轨
iugv=2,橱柜
iugv=3,出柜
iugz=1,除垢
iuhc=1,出号
iuhc=2,除号
iuhd=1,出海
iuhd=2,除害
iuhe=1,锄禾
iuhe=2,楚河
iuhh=1,出航
iuhj=1,出汗
iuhj=2,楚汉
iuho=1,出货
iuho=2,出活
iuhu=1,出乎
iuhu=2,储户
iuhy=1,初婚
iuic=1,初潮
iuic=2,出超
iuid=1,出差
iuid=2,成双成对
iuie=1,出车
iuif=1,除尘
iuig=1,出城
iuih=1,出场
iuih=2,处长
iuih=3,出厂
iuij=1,出产
iuil=1,橱窗
iuil=2,初创
iuis=1,除虫
iuiu=1,处处
iuiu=2,出处
iuiy=1,初春
iuiz=1,出丑
iuiz=2,除臭
iujb=1,出尽
iuji=1,初级
iuji=2,触及
iuji=3,出击
iuji=4,雏鸡
iuji=5,处级
iuji=6,初几
iujj=1,常胜将军
iujk=1,处境
iujk=2,出境
iujk=3,出警
iujl=1,崇山峻岭
iujm=1,初见
iujm=2,锄奸
iujn=1,触角
iujn=2,触礁
iujp=1,出界
iujp=2,初阶
iujp=3,出借
iujq=1,初九
iujq=2,除旧
iujr=1,出卷
iujt=1,处决
iujt=2,触觉
iuju=1,出局
iuju=2,出具
iuju=3,雏菊
iuju=4,厨具
iuju=5,城市建设
iujx=1,出家
iujx=2,出嫁
iujx=3,出价
iujy=2,除菌
iujy=4,储君
iukd=1,除开
iukd=2,初开
iuke=1,出科
iukj=1,触手可及
iukq=1,赤手空拳
iuks=1,触控
iuku=1,出库
iukv=1,初亏
iukz=1,出口
iuld=1,出来
iuld=2,初来
iule=1,除了
iule=2,出了
iulh=1,城市绿化
iuli=1,处理
iuli=2,矗立
iuli=3,出力
iulj=1,出栏
iull=1,储量
iull=2,储粮
iulm=1,初恋
iulo=2,出落
iulp=1,出列
iulp=3,出猎
iulq=1,初六
iulq=2,出溜
iuls=1,出笼
iult=1,赤身裸体
iulu=1,出路
iulu=2,出炉
iulw=1,触雷
iulz=1,初露
iuma=1,出马
