word	code	source	thuocl_df	xinhua
点灯熬油	dday	简单鹤		0
多多包涵	ddbh	简单鹤		0
道德绑架	ddbj	简单鹤		0
倒地不起	ddbq	简单鹤		0
担待不起	ddbq	简单鹤		0
单点不送	ddbs	简单鹤		0
打得半死	ddbs	简单鹤		0
大大不同	ddbt	简单鹤		0
多多保重	ddbv	简单鹤		0
抵挡不住	ddbv	简单鹤		0
吊带背心	ddbx	简单鹤		0
大到暴雨	ddby	简单鹤		0
躲躲藏藏	ddcc	简单鹤		0
大大促进	ddcj	简单鹤		0
断点测试	ddcu	简单鹤		0
单打独斗	dddd	简单鹤		0
懂的都懂	dddd	简单鹤		0
点点滴滴	dddd	简单鹤		0
滴滴打车	dddi	简单鹤		0
动刀动枪	dddq	简单鹤		0
锻刀大赛	ddds	简单鹤		0
低等动物	dddw	简单鹤		0
定点单位	dddw	简单鹤		0
道德底线	dddx	简单鹤		0
大大的有	dddy	简单鹤		0
断档第一	dddy	简单鹤		0
打断复读	ddfd	简单鹤		0
大大方方	ddff	简单鹤		0
大地飞歌	ddfg	简单鹤		0
等等方面	ddfm	简单鹤		0
得道飞升	ddfu	简单鹤		0
单调乏味	ddfw	简单鹤		0
大胆放心	ddfx	简单鹤		0
敌对分子	ddfz	简单鹤		0
跌到谷底	ddgd	简单鹤		0
嘀嘀咕咕	ddgg	简单鹤		0
跌打滚爬	ddgp	简单鹤		0
得道高人	ddgr	简单鹤		0
得道高僧	ddgs	简单鹤		0
多多关照	ddgv	简单鹤		0
打道回府	ddhf	简单鹤		0
得到缓解	ddhj	简单鹤		0
打电话来	ddhl	简单鹤		0
得到好评	ddhp	简单鹤		0
弟弟行为	ddhw	简单鹤		0
等待成本	ddib	简单鹤		0
带队冲锋	ddif	简单鹤		0
多点触控	ddik	简单鹤		0
抖动窗口	ddik	简单鹤		0
多点触摸	ddim	简单鹤		0
得道成仙	ddix	简单鹤		0
大大超越	ddiy	简单鹤		0
大大降低	ddjd	简单鹤		0
蛋打鸡飞	ddjf	简单鹤		0
得到解决	ddjj	简单鹤		0
独到见解	ddjj	简单鹤		0
短短几天	ddjt	简单鹤		0
道德建设	ddju	简单鹤		0
点到即止	ddjv	简单鹤		0
等待救援	ddjy	简单鹤		0
得到肯定	ddkd	简单鹤		0
大胆狂徒	ddkt	简单鹤		0
打底裤袜	ddkw	简单鹤		0
党的领导	ddld	简单鹤		0
多多了解	ddlj	简单鹤		0
道德沦丧	ddls	简单鹤		0
的道路上	ddlu	简单鹤		0
达到目标	ddmb	简单鹤		0
道德模范	ddmf	简单鹤		0
点多面广	ddmg	简单鹤		0
大屌萌妹	ddmm	简单鹤		0
弟弟妹妹	ddmm	简单鹤		0
电动摩托	ddmt	简单鹤		0
多多美言	ddmy	简单鹤		0
逗逗你的	ddnd	简单鹤		0
嘟嘟囔囔	ddnn	简单鹤		0
打打闹闹	ddnn	简单鹤		0
动动脑子	ddnz	简单鹤		0
达到平衡	ddph	简单鹤		0
道德评价	ddpj	简单鹤		0
多多平台	ddpt	简单鹤		0
道德品质	ddpv	简单鹤		0
道德情操	ddqc	简单鹤		0
滴答清单	ddqd	简单鹤		0
跌宕起伏	ddqf	简单鹤		0
大大强化	ddqh	简单鹤		0
店大欺客	ddqk	简单鹤		0
颠倒乾坤	ddqk	简单鹤		1
的的确确	ddqq	简单鹤		0
大都如此	ddrc	简单鹤		0
胆大如斗	ddrd	简单鹤		1
低端人口	ddrk	简单鹤		0
得到认可	ddrk	简单鹤		0
大队人马	ddrm	简单鹤		0
打动人心	ddrx	简单鹤		0
大大缩短	ddsd	简单鹤		0
短道速滑	ddsh	简单鹤		0
电动三轮	ddsl	简单鹤		0
哆哆嗦嗦	ddss	简单鹤		0
多大岁数	ddsu	简单鹤		0
跌打损伤	ddsu	简单鹤		0
多端同步	ddtb	简单鹤		0
敌对态度	ddtd	简单鹤		0
大大提高	ddtg	简单鹤		0
点滴体会	ddth	简单鹤		0
大胆突破	ddtp	简单鹤		0
大胆探索	ddts	简单鹤		0
滴滴嗒嗒	ddtt	简单鹤		0
大大提升	ddtu	简单鹤		0
得到体现	ddtx	简单鹤		0
大道同源	ddty	简单鹤		0
大多数的	ddud	简单鹤		0
打单爽的	ddud	简单鹤		0
多大事儿	ddue	简单鹤		0
打断施法	dduf	简单鹤		0
到底是个	ddug	简单鹤		0
地底世界	dduj	简单鹤		0
等待时机	dduj	简单鹤		0
敌对势力	ddul	简单鹤		0
道德水平	ddup	简单鹤		0
大多数人	ddur	简单鹤		0
钝刀杀人	ddur	简单鹤		0
得道升天	ddut	简单鹤		0
多多少少	dduu	简单鹤		0
打打杀杀	dduu	简单鹤		0
动动手指	dduv	简单鹤		0
道德水准	dduv	简单鹤		0
低等生物	dduw	简单鹤		0
多多指导	ddvd	简单鹤		0
多多指点	ddvd	简单鹤		0
多多指教	ddvj	简单鹤		0
大道至简	ddvj	简单鹤		0
大打折扣	ddvk	简单鹤		0
当打之年	ddvn	简单鹤		0
大胆追求	ddvq	简单鹤		0
敌对状态	ddvt	简单鹤		0
兜兜转转	ddvv	简单鹤		0
跌跌撞撞	ddvv	简单鹤		0
低等植物	ddvw	简单鹤		0
懂得珍惜	ddvx	简单鹤		0
等等这些	ddvx	简单鹤		0
多多注意	ddvy	简单鹤		0
打定主意	ddvy	简单鹤		0
大帝之资	ddvz	简单鹤		0
道德准则	ddvz	简单鹤		0
独断万古	ddwg	简单鹤		0
道德问题	ddwt	简单鹤		0
点到为止	ddwv	简单鹤		0
当代文学	ddwx	简单鹤		0
胆大心粗	ddxc	简单鹤		1
东颠西倒	ddxd	简单鹤		0
道道霞光	ddxg	简单鹤		0
断点续传	ddxi	简单鹤		0
大大削弱	ddxr	简单鹤		0
敌对行为	ddxw	简单鹤		0
大大小小	ddxx	简单鹤		0
对赌协议	ddxy	简单鹤		0
道地药材	ddyc	简单鹤		0
得到一个	ddyg	简单鹤		0
达到一个	ddyg	简单鹤		0
多呆一会	ddyh	简单鹤		0
大跌眼镜	ddyj	简单鹤		0
瞪大眼睛	ddyj	简单鹤		0
多多原谅	ddyl	简单鹤		0
冻得要死	ddys	简单鹤		0
大电音寺	ddys	简单鹤		0
多多驿站	ddyv	简单鹤		0
淡淡一笑	ddyx	简单鹤		0
道德原则	ddyz	简单鹤		0
大大增加	ddzj	简单鹤		0
大大增强	ddzq	简单鹤		0
弹电子琴	ddzq	简单鹤		0
淡定自若	ddzr	简单鹤		0
到底怎样	ddzy	简单鹤		0
第二部分	debf	简单鹤		0
大额存单	decd	简单鹤		0
点儿词库	deck	简单鹤		0
第二定律	dedl	简单鹤		0
第二方面	defm	简单鹤		0
第二个月	degy	简单鹤		0
大耳刮子	degz	简单鹤		0
大额红包	dehb	简单鹤		0
第二回合	dehh	简单鹤		0
第二季度	dejd	简单鹤		0
第二阶段	dejd	简单鹤		0
第二集团	dejt	简单鹤		0
第二件事	deju	简单鹤		0
第二课堂	dekt	简单鹤		0
第二炮兵	depb	简单鹤		0
灯蛾扑火	deph	简单鹤		1
第二人称	deri	简单鹤		0
第二梯队	detd	简单鹤		0
第二时间	deuj	简单鹤		0
大额转账	devv	简单鹤		0
得而诛之	devv	简单鹤		0
斗而铸锥	devv	简单鹤		1
第二志愿	devy	简单鹤		0
点儿五笔	dewb	简单鹤		0
多而无用	dewy	简单鹤		0
等额选举	dexj	简单鹤		0
第二性征	dexv	简单鹤		0
大而言之	deyv	简单鹤		0
东方不败	dfbb	简单鹤		0
低分辨率	dfbl	简单鹤		0
对付不了	dfbl	简单鹤		0
挡风玻璃	dfbl	简单鹤		0
当风秉烛	dfbv	简单鹤		1
大幅标语	dfby	简单鹤		0
东方大国	dfdg	简单鹤		0
大富大贵	dfdg	简单鹤		0
党风党纪	dfdj	简单鹤		0
巅峰对决	dfdj	简单鹤		0
倒凤颠鸾	dfdl	简单鹤		1
多方打听	dfdt	简单鹤		0
大风大雨	dfdy	简单鹤		0
的份儿上	dfeu	简单鹤		0
东方发白	dffb	简单鹤		0
地方法官	dffg	简单鹤		0
地方法规	dffg	简单鹤		0
地方风味	dffw	简单鹤		0
地方法院	dffy	简单鹤		0
毒副反应	dffy	简单鹤		0
地方官员	dfgy	简单鹤		0
大发横财	dfhc	简单鹤		0
东方航空	dfhk	简单鹤		0
东风化雨	dfhy	简单鹤		1
颠覆传统	dfit	简单鹤		0
大幅降低	dfjd	简单鹤		0
地方经济	dfjj	简单鹤		0
多方介入	dfjr	简单鹤		0
刀法精湛	dfjv	简单鹤		0
大风降温	dfjw	简单鹤		0
东风快递	dfkd	简单鹤		0
东方快车	dfki	简单鹤		0
大发牢骚	dfls	简单鹤		0
党风廉政	dflv	简单鹤		0
单方面的	dfmd	简单鹤		0
多方面的	dfmd	简单鹤		0
东方明珠	dfmv	简单鹤		0
顶风冒雪	dfmx	简单鹤		0
独夫民贼	dfmz	简单鹤		1
大发脾气	dfpq	简单鹤		0
东风汽车	dfqi	简单鹤		0
多方求助	dfqv	简单鹤		0
大风起兮	dfqx	简单鹤		0
对方球员	dfqy	简单鹤		0
东风日产	dfri	简单鹤		0
倒反天罡	dftg	简单鹤		0
大幅提高	dftg	简单鹤		0
地方特色	dfts	简单鹤		0
大幅提升	dftu	简单鹤		0
打发时间	dfuj	简单鹤		0
东方时空	dfuk	简单鹤		0
东方神起	dfuq	简单鹤		0
大幅上升	dfuu	简单鹤		0
大幅上涨	dfuv	简单鹤		0
大发神威	dfuw	简单鹤		0
毒发身亡	dfuw	简单鹤		0
大发善心	dfux	简单鹤		0
东方树叶	dfuy	简单鹤		0
大幅上扬	dfuy	简单鹤		0
地方政府	dfvf	简单鹤		0
大方之家	dfvj	简单鹤		1
东方之珠	dfvv	简单鹤		0
大费周章	dfvv	简单鹤		0
东方甄选	dfvx	简单鹤		0
地方主义	dfvy	简单鹤		0
挡风遮雨	dfvy	简单鹤		0
巅峰之作	dfvz	简单鹤		0
东方文明	dfwm	简单鹤		0
点份外卖	dfwm	简单鹤		0
的范围内	dfwn	简单鹤		0
东方卫视	dfwu	简单鹤		0
断发文身	dfwu	简单鹤		1
大方无隅	dfwy	简单鹤		0
东扶西倒	dfxd	简单鹤		1
单反相机	dfxj	简单鹤		0
大幅下降	dfxj	简单鹤		0
豆腐西施	dfxu	简单鹤		0
大放异彩	dfyc	简单鹤		0
大幅优化	dfyh	简单鹤		0
荡妇淫娃	dfyw	简单鹤		0
顶风作案	dfza	简单鹤		0
打翻在地	dfzd	简单鹤		0
道法自然	dfzr	简单鹤		0
毒副作用	dfzy	简单鹤		0
多个版本	dgbb	简单鹤		0
多国部队	dgbd	简单鹤		0
打个比方	dgbf	简单鹤		0
丢官罢职	dgbv	简单鹤		0
打个比喻	dgby	简单鹤		0
动感地带	dgdd	简单鹤		0
地瓜淀粉	dgdf	简单鹤		0
定格动画	dgdh	简单鹤		0
打个电话	dgdh	简单鹤		0
打过电话	dgdh	简单鹤		0
大哥大姐	dgdj	简单鹤		0
单根独苗	dgdm	简单鹤		0
大概都是	dgdu	简单鹤		0
帝国大业	dgdy	简单鹤		0
打高尔夫	dgef	简单鹤		0
当官发财	dgfc	简单鹤		0
打光棍儿	dgge	简单鹤		0
大国工匠	dggj	简单鹤		0
德国骨科	dggk	简单鹤		0
刀耕火耨	dghn	简单鹤		1
电光火石	dghu	简单鹤		0
的过程中	dgiv	简单鹤		0
懂个锤子	dgiz	简单鹤		0
大概几点	dgjd	简单鹤		0
打过交道	dgjd	简单鹤		0
倒挂金钩	dgjg	简单鹤		0
独孤九剑	dgjj	简单鹤		0
德国进口	dgjk	简单鹤		0
大国崛起	dgjq	简单鹤		0
大高加索	dgjs	简单鹤		0
大概就是	dgju	简单鹤		0
倒挂金钟	dgjv	简单鹤		0
断根绝种	dgjv	简单鹤		1
打个胶先	dgjx	简单鹤		0
打个胶线	dgjx	简单鹤		0
大干快上	dgku	简单鹤		0
打狗看主	dgkv	简单鹤		1
大过滤器	dglq	简单鹤		0
带沟里去	dglq	简单鹤		0
都干嘛呢	dgmn	简单鹤		0
大过年的	dgnd	简单鹤		0
度过难关	dgng	简单鹤		0
渡过难关	dgng	简单鹤		0
导光凝胶	dgnj	简单鹤		0
多功能厅	dgnt	简单鹤		0
断梗飘蓬	dgpp	简单鹤		1
打个喷嚏	dgpt	简单鹤		0
多个品种	dgpv	简单鹤		0
丹桂飘香	dgpx	简单鹤		0
多个朋友	dgpy	简单鹤		0
顶个屁用	dgpy	简单鹤		0
独孤求败	dgqb	简单鹤		0
登鹳雀楼	dgql	简单鹤		0
打感情牌	dgqp	简单鹤		0
多管齐下	dgqx	简单鹤		0
夺冠热门	dgrm	简单鹤		0
调过头来	dgtl	简单鹤		0
大概是吧	dgub	简单鹤		0
帝国时代	dgud	简单鹤		0
动过手脚	dguj	简单鹤		0
打个招呼	dgvh	简单鹤		0
打过照面	dgvm	简单鹤		0
达官知命	dgvm	简单鹤		1
达观知命	dgvm	简单鹤		1
大国重器	dgvq	简单鹤		0
打工战士	dgvu	简单鹤		0
逮个正着	dgvv	简单鹤		0
帝国主义	dgvy	简单鹤		0
等过阵子	dgvz	简单鹤		0
都给我哭	dgwk	简单鹤		0
带给我们	dgwm	简单鹤		0
点个外卖	dgwm	简单鹤		0
都给我笑	dgwx	简单鹤		0
达官显贵	dgxg	简单鹤		0
倒戈卸甲	dgxj	简单鹤		1
多个心眼	dgxy	简单鹤		0
大概需要	dgxy	简单鹤		0
登高一呼	dgyh	简单鹤		1
大功一件	dgyj	简单鹤		0
躲过一劫	dgyj	简单鹤		0
登高远眺	dgyt	简单鹤		0
大概也是	dgyu	简单鹤		0
对公业务	dgyw	简单鹤		0
打个游戏	dgyx	简单鹤		0
道诡异仙	dgyx	简单鹤		0
多国语言	dgyy	简单鹤		0
断骨增高	dgzg	简单鹤		0
打个暂停	dgzt	简单鹤		0
打恭作揖	dgzy	简单鹤		1
大会报告	dhbg	简单鹤		0
动画表情	dhbq	简单鹤		0
电话采访	dhcf	简单鹤		0
大吼大叫	dhdj	简单鹤		0
大红灯笼	dhdl	简单鹤		0
多喝点水	dhdu	简单鹤		0
等候多时	dhdu	简单鹤		0
电话地址	dhdv	简单鹤		0
都很方便	dhfb	简单鹤		0
倒海翻江	dhfj	简单鹤		1
电话服务	dhfw	简单鹤		0
党和国家	dhgj	简单鹤		0
大化改新	dhgx	简单鹤		0
对华关系	dhgx	简单鹤		0
大呼过瘾	dhgy	简单鹤		0
敌后工作	dhgz	简单鹤		0
电话号码	dhhm	简单鹤		0
但行好事	dhhu	简单鹤		0
电话会议	dhhy	简单鹤		0
大黑耗子	dhhz	简单鹤		0
打黑除恶	dhie	简单鹤		0
大获成功	dhig	简单鹤		0
电话传真	dhiv	简单鹤		0
电话查询	dhix	简单鹤		0
电话计费	dhjf	简单鹤		0
大好机会	dhjh	简单鹤		0
逗号句号	dhjh	简单鹤		0
刁滑奸诈	dhjv	简单鹤		1
点火开关	dhkg	简单鹤		0
电话空号	dhkh	简单鹤		0
大会开幕	dhkm	简单鹤		0
东海龙宫	dhlg	简单鹤		0
大汗淋漓	dhll	简单鹤		0
都回来了	dhll	简单鹤		0
丢魂落魄	dhlp	简单鹤		0
大祸临头	dhlt	简单鹤		0
灯火阑珊	dhlu	简单鹤		0
电话铃声	dhlu	简单鹤		0
东海龙王	dhlw	简单鹤		0
电话联系	dhlx	简单鹤		0
大韩民国	dhmg	简单鹤		0
电话面试	dhmu	简单鹤		0
当红明星	dhmx	简单鹤		0
对华贸易	dhmy	简单鹤		0
都还没有	dhmy	简单鹤		0
大和民族	dhmz	简单鹤		0
大好年华	dhnh	简单鹤		0
点火尿炕	dhnk	简单鹤		0
动画片儿	dhpe	简单鹤		0
打虎拍蝇	dhpy	简单鹤		0
大好前程	dhqi	简单鹤		0
大户人家	dhrj	简单鹤		0
党和人民	dhrm	简单鹤		0
多喝热水	dhru	简单鹤		0
对号入座	dhrz	简单鹤		0
带回宿舍	dhsu	简单鹤		0
灯火通明	dhtm	简单鹤		0
对华投资	dhtz	简单鹤		0
电话手表	dhub	简单鹤		0
大好时光	dhug	简单鹤		0
大好山河	dhuh	简单鹤		0
大好时机	dhuj	简单鹤		0
敦煌石窟	dhuk	简单鹤		0
丢魂失魄	dhup	简单鹤		1
大火收汁	dhuv	简单鹤		0
定海神珍	dhuv	简单鹤		0
定海神针	dhuv	简单鹤		0
对华政策	dhvc	简单鹤		0
党和政府	dhvf	简单鹤		0
打好招呼	dhvh	简单鹤		0
大会召开	dhvk	简单鹤		0
蒂花之秀	dhvx	简单鹤		0
断鹤续凫	dhxf	简单鹤		1
都很喜欢	dhxh	简单鹤		0
大好形势	dhxu	简单鹤		0
电话销售	dhxu	简单鹤		0
大话西游	dhxy	简单鹤		0
东海扬尘	dhyi	简单鹤		1
大吼一声	dhyu	简单鹤		0
大喊一声	dhyu	简单鹤		0
打会游戏	dhyx	简单鹤		0
打回原形	dhyx	简单鹤		0
待会再说	dhzu	简单鹤		0
等会再说	dhzu	简单鹤		0
都差不多	dibd	简单鹤		0
多重曝光	dibg	简单鹤		0
调查报告	dibg	简单鹤		0
大差不差	dibi	简单鹤		0
地产板块	dibk	简单鹤		0
当场毙命	dibm	简单鹤		0
多愁多病	didb	简单鹤		1
大仇得报	didb	简单鹤		0
大吃大喝	didh	简单鹤		0
电池电量	didl	简单鹤		0
大吵大闹	didn	简单鹤		0
到处都有	didy	简单鹤		0
当成儿戏	diex	简单鹤		0
大乘佛法	diff	简单鹤		0
调查方法	diff	简单鹤		0
大乘佛教	difj	简单鹤		0
大吹法螺	difl	简单鹤		1
大出风头	dift	简单鹤		0
调查分析	difx	简单鹤		0
大肠杆菌	digj	简单鹤		0
电池管理	digl	简单鹤		0
达成共识	digu	简单鹤		0
多重好礼	dihl	简单鹤		0
当场出丑	diii	简单鹤		1
调查结果	dijg	简单鹤		0
独出己见	dijj	简单鹤		1
得出结论	dijl	简单鹤		0
独出机杼	dijv	简单鹤		1
大乘金仙	dijx	简单鹤		0
到处可见	dikj	简单鹤		0
东床快婿	dikx	简单鹤		1
倒车雷达	dild	简单鹤		0
当场裂开	dilk	简单鹤		0
大处落墨	dilm	简单鹤		1
达成目标	dimb	简单鹤		0
达成目的	dimd	简单鹤		0
电车难题	dint	简单鹤		0
电场强度	diqd	简单鹤		0
洞察其奸	diqj	简单鹤		1
当场去世	diqu	简单鹤		0
调查取证	diqv	简单鹤		0
钓成翘嘴	diqz	简单鹤		0
多重人格	dirg	简单鹤		0
倒车入库	dirk	简单鹤		0
电池损耗	dish	简单鹤		0
端茶送客	disk	简单鹤		0
当场死亡	disw	简单鹤		0
得偿所愿	disy	简单鹤		0
大吃特吃	diti	简单鹤		0
当场退役	dity	简单鹤		0
多长时间	diuj	简单鹤		0
等差数列	diul	简单鹤		0
大肠湿热	diur	简单鹤		0
当场身亡	diuw	简单鹤		0
到处转转	divv	简单鹤		0
调查问卷	diwj	简单鹤		0
冬虫夏草	dixc	简单鹤		0
蹈常袭故	dixg	简单鹤		1
大肠虚寒	dixh	简单鹤		0
东扯西扯	dixi	简单鹤		0
胆颤心惊	dixj	简单鹤		1
达成协议	dixy	简单鹤		0
当成一个	diyg	简单鹤		0
得出一个	diyg	简单鹤		0
调查研究	diyj	简单鹤		0
弹出页面	diym	简单鹤		0
当场殒命	diym	简单鹤		0
洞察一切	diyq	简单鹤		1
当成一种	diyv	简单鹤		0
达成一致	diyv	简单鹤		0
倒车影像	diyx	简单鹤		0
大碴子味	dizw	简单鹤		0
到处走走	dizz	简单鹤		0
点击播放	djbf	简单鹤		0
登记表格	djbg	简单鹤		0
等级不够	djbg	简单鹤		0
动机不纯	djbi	简单鹤		0
斗酒百篇	djbp	简单鹤		1
短见薄识	djbu	简单鹤		1
大匠不斫	djbv	简单鹤		0
滴酒不沾	djbv	简单鹤		0
断简残编	djcb	简单鹤		1
单击此处	djci	简单鹤		0
递交辞呈	djci	简单鹤		0
断简残篇	djcp	简单鹤		0
东京喰种	djcv	简单鹤		0
待价藏珠	djcv	简单鹤		0
低级错误	djcw	简单鹤		0
大奸大恶	djde	简单鹤		0
等价代换	djdh	简单鹤		0
打架斗殴	djdo	简单鹤		0
打击对象	djdx	简单鹤		0
独家发布	djfb	简单鹤		0
刀锯斧钺	djfy	简单鹤		1
打击犯罪	djfz	简单鹤		0
断句鬼才	djgc	简单鹤		0
党纪国法	djgf	简单鹤		0
顶级过肺	djgf	简单鹤		0
大驾光临	djgl	简单鹤		0
独家冠名	djgm	简单鹤		0
断绝关系	djgx	简单鹤		0
党建工作	djgz	简单鹤		0
第九回合	djhh	简单鹤		0
多级火箭	djhj	简单鹤		0
大家还是	djhu	简单鹤		0
独具慧眼	djhy	简单鹤		0
打简出繁	djif	简单鹤		0
电竞酒店	djjd	简单鹤		0
电锯惊魂	djjh	简单鹤		0
等价交换	djjh	简单鹤		0
大家记住	djjv	简单鹤		0
对角矩阵	djjv	简单鹤		0
堆金积玉	djjy	简单鹤		1
等级考试	djku	简单鹤		0
大家可以	djky	简单鹤		0
顶级理解	djlj	简单鹤		0
打击乐器	djlq	简单鹤		0
断绝来往	djlw	简单鹤		0
多加练习	djlx	简单鹤		0
断绝联系	djlx	简单鹤		0
打鸡骂狗	djmg	简单鹤		1
单机模式	djmu	简单鹤		0
东交民巷	djmx	简单鹤		0
顶级期刊	djqk	简单鹤		0
地尽其利	djql	简单鹤		0
大叫起来	djql	简单鹤		0
掉进去了	djql	简单鹤		0
大家认为	djrw	简单鹤		0
断金碎玉	djsy	简单鹤		0
等级森严	djsy	简单鹤		0
道尽途穷	djtq	简单鹤		1
独具特色	djts	简单鹤		0
地角天涯	djty	简单鹤		1
渡劫失败	djub	简单鹤		0
对就是对	djud	简单鹤		0
度假胜地	djud	简单鹤		0
当今社会	djuh	简单鹤		0
多久时间	djuj	简单鹤		0
当今世界	djuj	简单鹤		0
待机时间	djuj	简单鹤		0
低级水平	djup	简单鹤		0
睹景伤情	djuq	简单鹤		1
登记手续	djux	简单鹤		0
等级上限	djux	简单鹤		0
大家知道	djvd	简单鹤		0
多加照顾	djvg	简单鹤		0
斗酒只鸡	djvj	简单鹤		1
低价转让	djvr	简单鹤		0
待机状态	djvt	简单鹤		0
当今之事	djvu	简单鹤		0
答记者问	djvw	简单鹤		0
多加注意	djvy	简单鹤		0
电竞玩家	djwj	简单鹤		0
冬季外套	djwt	简单鹤		0
敌进我退	djwt	简单鹤		0
大局为重	djwv	简单鹤		0
大橘为重	djwv	简单鹤		0
东借西凑	djxc	简单鹤		0
丁腈橡胶	djxj	简单鹤		0
低价销售	djxu	简单鹤		0
电竞选手	djxu	简单鹤		0
独家新闻	djxw	简单鹤		0
多加小心	djxx	简单鹤		0
大局已定	djyd	简单鹤		0
大橘已定	djyd	简单鹤		0
定睛一看	djyk	简单鹤		0
多久以前	djyq	简单鹤		0
大家一起	djyq	简单鹤		0
杜绝一切	djyq	简单鹤		0
剁椒鱼头	djyt	简单鹤		0
大叫一声	djyu	简单鹤		0
大局意识	djyu	简单鹤		0
第九艺术	djyu	简单鹤		0
刀剑英雄	djyx	简单鹤		0
单机游戏	djyx	简单鹤		0
道教用语	djyy	简单鹤		0
登记在册	djzc	简单鹤		0
打击罪恶	djze	简单鹤		0
斗鸡走狗	djzg	简单鹤		1
当家做主	djzv	简单鹤		0
大可不必	dkbb	简单鹤		0
大口大口	dkdk	简单鹤		0
大块朵颐	dkdy	简单鹤		1
低开低走	dkdz	简单鹤		0
贷款额度	dked	简单鹤		0
敦刻尔克	dkek	简单鹤		0
打开方式	dkfu	简单鹤		0
低空飞行	dkfx	简单鹤		0
大可放心	dkfx	简单鹤		0
顶盔贯甲	dkgj	简单鹤		0
低开高走	dkgz	简单鹤		0
大口喝酒	dkhj	简单鹤		0
大开城门	dkim	简单鹤		0
大口喘气	dkiq	简单鹤		0
大口吃肉	dkir	简单鹤		0
大开绿灯	dkld	简单鹤		0
打开链接	dklj	简单鹤		0
断开连接	dklj	简单鹤		0
抵抗力强	dklq	简单鹤		0
顿开茅塞	dkms	简单鹤		1
抵抗能力	dknl	简单鹤		0
都可能是	dknu	简单鹤		0
的可能性	dknx	简单鹤		0
迪克牛仔	dknz	简单鹤		0
低空飘过	dkpg	简单鹤		0
德克萨斯	dkss	简单鹤		0
敌忾同仇	dkti	简单鹤		1
刀口舔血	dktx	简单鹤		0
大开杀戒	dkuj	简单鹤		0
待客之道	dkvd	简单鹤		0
打开文件	dkwj	简单鹤		0
大块文章	dkwv	简单鹤		1
打开网页	dkwy	简单鹤		0
顿口无言	dkwy	简单鹤		1
打卡下班	dkxb	简单鹤		0
打开心扉	dkxf	简单鹤		0
对抗训练	dkxl	简单鹤		0
对抗心魔	dkxm	简单鹤		0
东诓西骗	dkxp	简单鹤		1
单口相声	dkxu	简单鹤		0
大哭一场	dkyi	简单鹤		0
堤溃蚁穴	dkyx	简单鹤		1
等宽字体	dkzt	简单鹤		0
道路安全	dlaq	简单鹤		0
带来不便	dlbb	简单鹤		0
达拉崩吧	dlbb	简单鹤		0
独立博客	dlbk	简单鹤		0
电力板块	dlbk	简单鹤		0
待理不理	dlbl	简单鹤		1
等了半天	dlbt	简单鹤		0
得力帮手	dlbu	简单鹤		0
得来不易	dlby	简单鹤		0
动力不足	dlbz	简单鹤		0
多劳多得	dldd	简单鹤		0
颠鸾倒凤	dldf	简单鹤		1
打锣打鼓	dldg	简单鹤		0
跺了跺脚	dldj	简单鹤		0
掂量掂量	dldl	简单鹤		0
斗罗大陆	dldl	简单鹤		0
踱来踱去	dldq	简单鹤		0
点了点头	dldt	简单鹤		0
定了定神	dldu	简单鹤		0
断了的弦	dldx	简单鹤		0
夺路而逃	dlet	简单鹤		0
砥砺奋进	dlfj	简单鹤		0
独领风骚	dlfs	简单鹤		0
大力发展	dlfv	简单鹤		0
定量分析	dlfx	简单鹤		0
打了个盹	dlgd	简单鹤		0
电量过低	dlgd	简单鹤		0
跌落谷底	dlgd	简单鹤		0
打了广告	dlgg	简单鹤		0
得力干将	dlgj	简单鹤		0
大炼钢铁	dlgt	简单鹤		0
电力供应	dlgy	简单鹤		0
第六回合	dlhh	简单鹤		0
动力火车	dlhi	简单鹤		0
地理环境	dlhj	简单鹤		0
等了好久	dlhj	简单鹤		0
带来和平	dlhp	简单鹤		0
独立核算	dlhs	简单鹤		0
代理合同	dlht	简单鹤		0
带来好运	dlhy	简单鹤		0
大龄产妇	dlif	简单鹤		0
道路畅通	dlit	简单鹤		0
大量出现	dlix	简单鹤		0
独立创作	dliz	简单鹤		0
代理机构	dljg	简单鹤		0
大力金刚	dljg	简单鹤		0
独立结构	dljg	简单鹤		0
电力机车	dlji	简单鹤		0
大力加强	dljq	简单鹤		0
登录就送	dljs	简单鹤		0
道路交通	dljt	简单鹤		0
大力建设	dlju	简单鹤		0
大罗金仙	dljx	简单鹤		0
打了鸡血	dljx	简单鹤		0
独立经营	dljy	简单鹤		0
大力开发	dlkf	简单鹤		0
都来看看	dlkk	简单鹤		0
带来困难	dlkn	简单鹤		0
大力开展	dlkv	简单鹤		0
地理科学	dlkx	简单鹤		0
大连理工	dllg	简单鹤		0
丢雷楼谋	dllm	简单鹤		0
达赖喇嘛	dllm	简单鹤		0
代理律师	dllu	简单鹤		0
地理老师	dllu	简单鹤		0
滴溜溜转	dllv	简单鹤		0
断了联系	dllx	简单鹤		0
顶礼模拜	dlmb	简单鹤		0
带来麻烦	dlmf	简单鹤		0
独立门户	dlmh	简单鹤		0
倒了霉了	dlml	简单鹤		0
独立密码	dlmm	简单鹤		0
登录密码	dlmm	简单鹤		0
到了没有	dlmy	简单鹤		0
大佬牛逼	dlnb	简单鹤		0
到了你家	dlnj	简单鹤		0
到了哪里	dlnl	简单鹤		0
独立女性	dlnx	简单鹤		0
