工人阶级	grjj
坚如磐石	jrpu
高屋建瓴	gwjl
因材施教	ycuj
非同小可	ftxk
狼狈不堪	lbbk
三民主义	smvy
怒气冲冲	nqii
各尽所能	gjsn
知难而进	vnej
明察暗访	miaf
粉身碎骨	fusg
淡泊名利	dbml
青黄不接	qhbj
风尘仆仆	fipp
毫不相干	hbxg
并非易事	bfyu
三天三夜	stsy
天翻地覆	tfdf
心理学家	xlxj
锣鼓喧天	lgxt
原原本本	yybb
腾空而起	tkeq
马拉多纳	mldn
自告奋勇	zgfy
无私无畏	wsww
一言不合	yybh
心有余悸	xyyj
添砖加瓦	tvjw
男女老幼	nnly
以史为鉴	yuwj
人所共知	rsgv
孜孜以求	zzyq
理想主义	lxvy
愁眉苦脸	imkl
百分之七	bfvq
色彩斑斓	scbl
亚历克斯	ylks
世代相传	udxi
七七事变	qqub
阿拉伯语	alby
核反应堆	hfyd
参众两院	cvly
闻名于世	wmyu
钢铁长城	gtii
日积月累	rjyl
纪念邮票	jnyp
山东大学	uddx
无独有偶	wdyo
哺乳动物	brdw
赔礼道歉	pldq
百分之六	bfvl
大肠杆菌	digj
缺医少药	qyuy
发电机组	fdjz
生物学家	uwxj
血肉之躯	xrvq
全权代表	qqdb
各家各户	gjgh
麻木不仁	mmbr
毫不迟疑	hbiy
迥然不同	jrbt
出生入死	iurs
既得利益	jdly
可口可乐	kkkl
确确实实	qquu
投机取巧	tjqq
无可争辩	wkvb
春风化雨	ifhy
总的来看	zdlk
挥之不去	hvbq
分期付款	fqfk
成吉思汗	ijsh
花团锦簇	htjc
以次充好	ycih
三座大山	szdu
同工同酬	tgti
旷日持久	krij
咬牙切齿	yyqi
万家灯火	wjdh
遥遥领先	yylx
互帮互助	hbhv
支气管炎	vqgy
不甘落后	bglh
黄埔军校	hpjx
香格里拉	xgll
满腔热忱	mqri
由小到大	yxdd
杂草丛生	zccu
利国利民	lglm
血肉相连	xrxl
狼狈为奸	lbwj
视死如归	usrg
面貌一新	mmyx
不思进取	bsjq
祸国殃民	hgym
一路平安	ylpa
吃大锅饭	idgf
无可非议	wkfy
促膝谈心	cxtx
气势恢宏	quhh
巴巴多斯	bbds
泛滥成灾	fliz
游山玩水	yuwu
煞有介事	uyju
深山老林	uull
受制于人	uvyr
参天大树	ctdu
用之不竭	yvbj
开天辟地	ktbd
马可波罗	mkbl
焦头烂额	jtle
快马加鞭	kmjb
赤胆忠心	idvx
贪污腐化	twfh
为数不少	wubu
精神焕发	juhf
保守主义	buvy
种子选手	vzxu
异彩纷呈	ycfi
人工授精	rguj
千锤百炼	qibl
走火入魔	zhrm
金碧辉煌	jbhh
艰难曲折	jnqv
干净利落	gjll
承上启下	iuqx
呼吸系统	hxxt
恬不知耻	tbvi
方便之门	fbvm
来来回回	llhh
休戚相关	xqxg
罪大恶极	zdej
山东半岛	udbd
一言为定	yywd
层层叠叠	ccdd
不无道理	bwdl
洛克菲勒	lkfl
完完全全	wwqq
快人快语	krky
行家里手	hjlu
定时炸弹	duvd
光芒四射	gmsu
唇齿相依	iixy
声嘶力竭	uslj
鱼米之乡	ymvx
令行禁止	lxjv
初级中学	ijvx
阿拉斯加	alsj
南征北战	nvbv
日用百货	rybh
难得一见	ndyj
一字一句	yzyj
信以为真	xywv
尽心竭力	jxjl
大有裨益	dyby
国泰民安	gtma
深受其害	uuqh
柴米油盐	imyy
鸡毛蒜皮	jmsp
大做文章	dzwv
如前所述	rqsu
有线广播	yxgb
见缝插针	jfiv
秉公执法	bgvf
陆陆续续	llxx
尊老爱幼	zlay
得意忘形	dywx
华北平原	hbpy
良莠不齐	lybq
付诸实践	fvuj
年老体弱	nltr
心服口服	xfkf
演职人员	yvry
广播电台	gbdt
毫无顾忌	hwgj
颠扑不破	dpbp
长盛不衰	iubu
摸爬滚打	mpgd
异曲同工	yqtg
邮政编码	yvbm
尽人皆知	jrjv
汗马功劳	hmgl
水乳交融	urjr
无可比拟	wkbn
大行其道	dxqd
神经衰弱	ujur
民粹主义	mcvy
强强联合	qqlh
前功尽弃	qgjq
享有盛誉	xyuy
一纸空文	yvkw
鸟语花香	nyhx
乌兹别克	wzbk
灭顶之灾	mdvz
破烂不堪	plbk
和而不同	hebt
大功告成	dggi
公之于众	gzyz
撕心裂肺	sxlf
正月初一	vyiy
无业游民	wyym
阳奉阴违	yfyw
地广人稀	dgrx
轩然大波	xrdb
精兵强将	jbqj
闭门造车	bmzi
积劳成疾	jlij
无人过问	wrgw
口是心非	kuxf
数以亿计	uyyj
见利忘义	jlwy
释迦牟尼	ujmn
昏迷不醒	hmbx
不辞劳苦	bclk
耸人听闻	srtw
留有余地	lyyd
广播体操	gbtc
语无伦次	ywlc
结结实实	jjuu
引咎辞职	yjcv
阿拉伯人	albr
各行其是	gxqu
开路先锋	klxf
独断专行	ddvx
发愤图强	fftq
硝烟弥漫	xymm
爱国志士	agvu
独到之处	ddvi
破口大骂	pkdm
不胫而走	bjez
无依无靠	wywk
有线电视	yxdu
资不抵债	zbdv
艾滋病毒	azbd
封建王朝	fjwv
精神病院	juby
遥相呼应	yxhy
百废待兴	bfdx
摩托罗拉	mtll
不可救药	bkjy
蜂拥而至	fyev
死气沉沉	sqii
亦步亦趋	ybyq
没日没夜	mrmy
横七竖八	hqub
可圈可点	kqkd
克敌制胜	kdvu
武侠小说	wxxu
不负众望	bfvw
战火纷飞	vhff
诉诸武力	svwl
模棱两可	mllk
盛况空前	ukkq
大摇大摆	dydb
苦心经营	kxjy
轰动一时	hdyu
残缺不全	cqbq
救国救民	jgjm
哑口无言	ykwy
迎头痛击	yttj
敷衍塞责	fysz
响彻云霄	xiyx
当家做主	djzv
令人不安	lrba
说说笑笑	uuxx
痛下决心	txjx
将信将疑	jxjy
孙子兵法	szbf
海阔天空	hktk
天花乱坠	thlv
死里逃生	sltu
神魂颠倒	uhdd
姹紫嫣红	izyh
意大利语	ydly
徇私枉法	xswf
毫无例外	hwlw
生命不息	umbx
操之过急	cvgj
土崩瓦解	tbwj
一片汪洋	ypwy
千难万险	qnwx
无可救药	wkjy
一览无余	ylwy
一跃而起	yyeq
吵吵嚷嚷	iirr
干什么的	gumd
笑容可掬	xrkj
耄耋之年	mdvn
十万八千	uwbq
一触即发	yijf
叫苦不迭	jkbd
顾虑重重	glii
宁死不屈	nsbq
吞吞吐吐	tttt
婚丧嫁娶	hsjq
来来去去	llqq
相亲相爱	xqxa
亲如一家	qryj
羊肠小道	yixd
不眠之夜	bmvy
生死与共	usyg
隔海相望	ghxw
闭关自守	bgzu
奴隶社会	nluh
拳打脚踢	qdjt
席地而坐	xdez
黯然失色	arus
等闲视之	dxuv
各显神通	gxut
易燃易爆	yryb
弗洛伊德	flyd
万马奔腾	wmbt
万不得已	wbdy
举例来说	jllu
蹦蹦跳跳	bbtt
风吹日晒	firu
痛哭流涕	tklt
万里长城	wlii
另辟蹊径	lpxj
千秋万代	qqwd
吵吵闹闹	iinn
连成一片	liyp
感天动地	gtdd
死而后已	sehy
初等教育	idjy
死去活来	sqhl
坚强不屈	jqbq
游刃有余	yryy
兼容并蓄	jrbx
循环系统	xhxt
由浅入深	yqru
为数众多	wuvd
人文主义	rwvy
痴心妄想	ixwx
民心所向	mxsx
脊椎动物	jvdw
五彩斑斓	wcbl
天方夜谭	tfyt
化整为零	hvwl
外强中干	wqvg
四世同堂	sutt
高潮迭起	gidq
闻风而动	wfed
无所不包	wsbb
奴隶制度	nlvd
饶有兴致	ryxv
生死攸关	usyg
寸草不生	ccbu
平平常常	ppii
天灾人祸	tzrh
血浓于水	xnyu
用心良苦	yxlk
瞠目结舌	imju
蛮横无理	mhwl
林林总总	llzz
大兴土木	dxtm
义正词严	yvcy
调兵遣将	dbqj
二十四史	eusu
窗明几净	imjj
施特劳斯	utls
首战告捷	uvgj
走走看看	zzkk
风吹草动	ficd
穷途末路	qtml
遥不可及	ybkj
十二生肖	ueux
毫不在乎	hbzh
躲躲闪闪	dduu
陈规陋习	iglx
息息相通	xxxt
莘莘学子	uuxz
眉开眼笑	mkyx
时断时续	udux
安东尼奥	adna
手下留情	uxlq
财政危机	cvwj
抢购一空	qgyk
济济一堂	jjyt
引人深思	yrus
豪情壮志	hqvv
美轮美奂	mlmh
负债累累	fvll
直系亲属	vxqu
骄阳似火	jysh
五脏六腑	wzlf
有口皆碑	ykjb
红白喜事	hbxu
荡气回肠	dqhi
心知肚明	xvdm
合二为一	hewy
失魂落魄	uhlp
各自为战	gzwv
精雕细刻	jdxk
淅淅沥沥	xxll
故步自封	gbzf
圣多明各	udmg
喜形于色	xxys
刀耕火种	dghi
十有八九	uybj
任人唯亲	rrwq
墨索里尼	msln
美其名曰	mqmy
头面人物	tmrw
久负盛名	jfum
真相大白	vxdb
无神论者	wulv
见死不救	jsbj
师范大学	ufdx
合而为一	hewy
本末倒置	bmdv
秋高气爽	qgqu
全军覆没	qjfm
动人心魄	drxp
诸多不便	vdbb
内忧外患	nywh
愁眉不展	imbv
日夜兼程	ryji
重蹈覆辙	idfv
囤积居奇	tjjq
争权夺利	vqdl
资治通鉴	zvtj
歪歪斜斜	wwxx
地大物博	ddwb
破土而出	ptei
清澈见底	qijd
隐约可见	yykj
包治百病	bvbb
以身殉职	yuxv
记不得了	jbdl
中央集权	vyjq
贪官污吏	tgwl
大鱼大肉	dydr
生老病死	ulbs
绰绰有余	iiyy
胡萝卜素	hlbs
走亲访友	zqfy
竭尽所能	jjsn
研究生院	yjuy
身残志坚	ucvj
一般来讲	yblj
甚嚣尘上	uxiu
弗吉尼亚	fjny
一走了之	yzlv
虚无缥缈	xwpm
条件反射	tjfu
不可抗力	bkkl
再进一步	zjyb
积重难返	jvnf
深更半夜	ugby
默默无言	mmwy
比尔盖茨	begc
争奇斗艳	vqdy
寸土寸金	ctcj
倒不如说	dbru
布鲁克林	blkl
神经系统	ujxt
迎来送往	ylsw
万象更新	wxgx
心明眼亮	xmyl
深得人心	udrx
孤家寡人	gjgr
万籁俱寂	wljj
好大喜功	hdxg
神气活现	uqhx
风花雪月	fhxy
陈词滥调	icld
阿司匹林	aspl
好吃好喝	hihh
披星戴月	pxdy
声名狼藉	umlj
幸免于难	xmyn
风雨交加	fyjj
大包大揽	dbdl
摇摆不定	ybbd
大模大样	dmdy
裹足不前	gzbq
腰酸背痛	ysbt
惊恐万状	jkwv
波澜不惊	blbj
并行不悖	bxbb
独具匠心	djjx
步履艰难	bljn
自高自大	zgzd
荒谬绝伦	hmjl
去粗取精	qcqj
广种薄收	gvbu
冬暖夏凉	dnxl
戊戌变法	wxbf
独辟蹊径	dbxj
追根溯源	vgsy
和颜悦色	hyys
引以自豪	yyzh
莫衷一是	mvyu
索然无味	srww
天长日久	tirj
和盘托出	hpti
男尊女卑	nznb
返老还童	flht
不骄不躁	bjbz
探亲访友	tqfy
英姿飒爽	yzsu
情急之下	qjvx
大惊失色	djus
春华秋实	ihqu
发奋图强	fftq
亲如兄弟	qrxd
歌功颂德	ggsd
植物学家	vwxj
经验之谈	jyvt
矢志不移	uvby
重见天日	ijtr
言之有理	yvyl
由此可知	yckv
顶礼膜拜	dlmb
苟延残喘	gyci
大年初二	dnie
胶东半岛	jdbd
逆水行舟	nuxv
口口相传	kkxi
大气磅礴	dqbb
蒙哥马利	mgml
憨态可掬	htkj
厚德载物	hdzw
微处理器	wilq
大有人在	dyrz
不甘示弱	bgur
广为人知	gwrv
广交朋友	gjpy
功亏一篑	gkyk
无利可图	wlkt
不由分说	byfu
普天之下	ptvx
土豪劣绅	thlu
浓烟滚滚	nygg
天府之国	tfvg
供认不讳	grbh
速战速决	svsj
无可置疑	wkvy
乘胜追击	iuvj
欲盖弥彰	ygmv
无可挑剔	wktt
势不可当	ubkd
先声夺人	xudr
连篇累牍	lpld
空头支票	ktvp
笨手笨脚	bubj
死于非命	syfm
荣华富贵	rhfg
能文能武	nwnw
照本宣科	vbxk
丧权辱国	sqrg
说不清楚	ubqi
各有所爱	gysa
重任在肩	vrzj
奥古斯丁	agsd
锅碗瓢盆	gwpp
无可争议	wkvy
高山流水	gulu
一文不值	ywbv
半死不活	bsbh
问长问短	wiwd
龙腾虎跃	lthy
贫富悬殊	pfxu
古典主义	gdvy
吹灰之力	ihvl
为之一振	wvyv
众矢之的	vuvd
东条英机	dtyj
谆谆教诲	vvjh
无所不知	wsbv
遮天蔽日	vtbr
妻离子散	qlzs
徒劳无益	tlwy
人寿保险	rubx
言行不一	yxby
奔走呼号	bzhh
破破烂烂	ppll
漫天要价	mtyj
齐心合力	qxhl
举不胜举	jbsj
隐隐作痛	yyzt
情同手足	qtuz
树碑立传	ubli
寻衅滋事	xxzu
屠格涅夫	tgnf
大浪淘沙	dltu
不堪入目	bkrm
趾高气扬	vgqy
串通一气	ityq
自行其是	zxqu
时光荏苒	ugrr
不以为意	bywy
自惭形秽	zcxh
日以继夜	ryjy
名山大川	msdc
引吭高歌	yhgg
拿来主义	nlvy
以防万一	yfwy
岿然不动	krbd
大有文章	dywv
燎原之势	lyvu
无线电台	wxdt
价值连城	jvli
巧取豪夺	qqhd
寒冬腊月	hdly
进退维谷	jtwg
正襟危坐	vjwz
无可否认	wkfr
改过自新	ggzx
三足鼎立	szdl
孤芳自赏	gfzu
死记硬背	sjyb
高高低低	ggdd
拔苗助长	bmvv
九死一生	jsyu
为时尚早	wuuz
寸步不让	cbbr
草本植物	cbvw
哆哆嗦嗦	ddss
体弱多病	trdb
古已有之	gyyv
牛郎织女	nlvn
明知故问	mvgw
量体裁衣	ltcy
欢歌笑语	hgxy
牵强附会	qqfh
贝克汉姆	bkhm
无往不胜	wwbs
郁郁寡欢	yygh
房地产商	fdiu
奇耻大辱	qidr
尼古拉斯	ngls
滴水成冰	duib
虚怀若谷	xhrg
言下之意	yxvy
不可捉摸	bkvm
好戏连台	hxlt
影影绰绰	yyii
东拉西扯	dlxi
喝西北风	hxbf
成年累月	inly
婆婆妈妈	ppmm
功成名就	gimj
威廉姆斯	wlms
坑蒙拐骗	kmgp
曲曲折折	qqvv
付之一炬	fvyj
茶余饭后	iyfh
遗传工程	yvgi
塞万提斯	swts
艳阳高照	yygv
泡沫塑料	pmsl
诡计多端	gjdd
越俎代庖	yzdp
神清气爽	uqqu
高人一等	gryd
人本主义	rbvy
人工呼吸	rghx
贪生怕死	tups
远渡重洋	ydiy
依稀可见	yxkj
大雨倾盆	dyqp
百分之几	bfvj
心潮起伏	xiqf
多灾多难	dzdn
有条有理	ytyl
难解难分	njnf
欺行霸市	qhbu
深得民心	udmx
防御工事	fygu
讳莫如深	hmru
打道回府	ddhf
成都平原	idpy
噼里啪啦	plpl
吐故纳新	tgnx
前呼后拥	qhhy
一古脑儿	ygne
不可终日	bkvr
人情世故	rqug
量入为出	lrwi
饥不择食	jbzu
潇潇洒洒	xxss
另眼相看	lyxk
浓眉大眼	nmdy
半身不遂	bubs
胡编乱造	hblz
不学无术	bxwu
分分合合	ffhh
开开心心	kkxx
乍暖还寒	vnhh
迷惑不解	mhbj
独领风骚	dlfs
举手之劳	juvl
欺上瞒下	qumx
头晕眼花	tyyh
气吞山河	qtuh
天下兴亡	txxw
不过如此	bgrc
懵懵懂懂	mmdd
个人崇拜	grib
死路一条	slyt
胜利果实	ulgu
心浮气躁	xfqz
诲人不倦	hrbj
福尔马林	feml
光合作用	ghzy
仅此而已	jcey
无可避免	wkbm
食欲不振	uybv
紧追不舍	jvbu
老态龙钟	ltlv
引以为傲	yywa
管弦乐队	gxld
清清爽爽	qquu
止步不前	vbbq
密不透风	mbtf
穷则思变	qzsb
自由王国	zywg
里应外合	lywh
纵横驰骋	zhii
衣冠楚楚	ygii
人杰地灵	rjdl
亭台楼阁	ttlg
感慨万分	gkwf
数九寒天	ujht
兴利除弊	xlib
比翼齐飞	byqf
可怜兮兮	klxx
拉丁字母	ldzm
慷慨陈词	kkic
百万雄师	bwxs
令人注目	lrvm
一团和气	ythq
不管如何	bgrh
转弯抹角	vwmj
百忙之中	bmvv
生离死别	ulsb
古稀之年	gxvn
阿尔卑斯	aebs
帕特里克	ptlk
羊肉泡馍	yrpm
徒劳无功	tlwg
洋洋自得	yyzd
火上加油	hsjy
斗转星移	dvxy
残酷无情	ckwq
六亲不认	lqbr
大处着眼	divy
攻无不克	gwbk
残垣断壁	cydb
千呼万唤	qhwh
修身养性	xuyx
攻守同盟	gstm
暖湿气流	nuql
声色俱厉	usjl
讳疾忌医	hjjy
刚直不阿	gzbe
饮鸩止渴	yvvk
精明能干	jmng
面黄肌瘦	mhju
永恒不变	yhbb
闭目养神	bmyu
嘀嘀咕咕	ddgg
开开玩笑	kkwx
门可罗雀	mklq
稀奇古怪	xqgg
繁文缛节	fwrj
文房四宝	wfsb
委以重任	wyvr
前所未见	qswj
岂有此理	qycl
惨淡经营	cdjy
层峦叠嶂	cldv
唇枪舌剑	iquj
春寒料峭	ihlq
冥思苦想	mskx
白头到老	btdl
大书特书	dutu
不论如何	blrh
经年累月	jnly
一钱不值	yqbv
信口雌黄	xkch
精忠报国	jvbg
重操旧业	icjy
有备而来	ybel
离乡背井	lxbj
十恶不赦	uebu
宽以待人	kydr
马克吐温	mktw
拼命三郎	pmsl
日晒雨淋	ruyl
田纳西州	tnxv
悲观主义	bgvy
大年初三	dnis
畅行无阻	ixwz
干脆利落	gcll
身怀绝技	uhjj
妇孺皆知	frjv
魂牵梦绕	hqmr
不期而至	bqev
联合王国	lhwg
冥冥之中	mmvv
亚马孙河	ymsh
似懂非懂	sdfd
高高挂起	gggq
不尽人意	bjry
精神不振	jubv
没精打采	mjdc
存在主义	czvy
玲珑剔透	lltt
出头露面	itlm
声名鹊起	umqq
心向往之	xxwv
一唱一和	yiyh
克里特岛	kltd
伊莎贝拉	ysbl
心神不安	xuba
坐骨神经	zguj
直抒胸臆	vuxy
过关斩将	ggvj
行色匆匆	xscc
积少成多	juid
溃不成军	kbij
放荡不羁	fdbj
核糖核酸	hths
一字之差	yzvi
日出而作	riez
历尽沧桑	ljcs
天高云淡	tgyd
伊比利亚	ybly
百炼成钢	blig
强买强卖	qmqm
唾手可得	tukd
七上八下	qubx
溜之大吉	lvdj
南丁格尔	ndge
越战越勇	yvyy
黑灯瞎火	hdxh
平方厘米	pflm
停薪留职	txlv
消费主义	xfvy
汉密尔顿	hmed
烟熏火燎	yxhl
巾帼英雄	jgyx
各显其能	gxqn
畏缩不前	wsbq
坐卧不安	zwba
寿比南山	ubnu
甜甜蜜蜜	ttmm
推而广之	tegv
拖家带口	tjdk
烈日当空	lrdk
荒诞不经	hdbj
痛快淋漓	tkll
忧心如焚	yxrf
伤心欲绝	uxyj
挑灯夜战	tdyv
浮游生物	fyuw
普天同庆	pttq
雕梁画栋	dlhd
例行公事	lxgu
指点迷津	vdmj
兵临城下	blix
起起伏伏	qqff
风吹雨淋	fiyl
一损俱损	ysjs
不成方圆	bify
功德无量	gdwl
满汉全席	mhqx
二泉映月	eqyy
风水宝地	fubd
左轮手枪	zluq
张冠李戴	vgld
蜂拥而来	fyel
文武双全	wwuq
奥林匹亚	alpy
如沐春风	rmif
舍生取义	uuqy
哥德巴赫	gdbh
角角落落	jjll
连根拔起	lgbq
五体投地	wttd
有志之士	yvvu
分文不取	fwbq
大老爷们	dlym
年轻气盛	nqqu
今生今世	juju
喷薄而出	pbei
集大成者	jdiv
大有益处	dyyi
隔靴搔痒	gxsy
为之动容	wvdr
大动干戈	ddgg
对簿公堂	dbgt
稳操胜券	wcuq
乘人之危	irvw
如法炮制	rfpv
白头偕老	btxl
大材小用	dcxy
自不必说	zbbu
旁征博引	pvby
火树银花	huyh
天朗气清	tlqq
旭日东升	xrdu
勃拉姆斯	blms
工工整整	ggvv
精诚团结	jitj
适者生存	uvuc
奉公守法	fguf
自找苦吃	zvki
格林威治	glwv
瓶瓶罐罐	ppgg
金科玉律	jkyl
挨门挨户	amah
古斯塔夫	gstf
好自为之	hzwv
大风大雨	dfdy
五味杂陈	wwzi
洗心革面	xxgm
伤筋动骨	ujdg
无则加勉	wzjm
有则改之	yzgv
朝令夕改	vlxg
名闻遐迩	mwxe
大智若愚	dvry
喜忧参半	xycb
掌上明珠	vumv
连绵不绝	lmbj
默默无语	mmwy
喜怒无常	xnwi
血本无归	xbwg
头疼脑热	ttnr
四面楚歌	smig
潮起潮落	iqil
孤苦伶仃	gkld
名噪一时	mzyu
无路可走	wlkz
苦心孤诣	kxgy
雄才大略	xcdl
鬼哭狼嚎	gklh
不甚了了	bsll
特异功能	tygn
造谣中伤	zyvu
针砭时弊	vbub
匈牙利人	xylr
满面红光	mmhg
一掷千金	yvqj
改弦易辙	gxyv
五洲四海	wzsh
生吞活剥	uthb
吉卜赛人	jbsr
山崩地裂	ubdl
如泣如诉	rqrs
居里夫人	jlfr
浑然不觉	hrbj
炊烟袅袅	iynn
天道酬勤	tdiq
珠穆朗玛	vmlm
无师自通	wuzt
弦外之音	xwvy
罪孽深重	znuv
一展身手	yvuu
众口一词	vkyc
流体力学	ltlx
曲径通幽	qjty
诸子百家	vzbj
颐养天年	yytn
鹤立鸡群	hljq
散兵游勇	sbyy
心无旁骛	xwpw
盛极一时	sjys
固若金汤	grjt
唱对台戏	idtx
秘而不宣	mebx
兵戎相见	brxj
丝丝入扣	ssrk
奥斯维辛	aswx
生意兴隆	uyxl
锒铛入狱	ldry
沟沟坎坎	ggkk
抽水马桶	iumt
水火不容	uhbr
三六九等	sljd
叫苦连天	jklt
叽叽咕咕	jjgg
圣路易斯	ulys
小有名气	xymq
如诗如画	rurh
提纲挈领	tgql
中规中矩	vgvj
掩人耳目	yrem
装聋作哑	vlzy
朝朝暮暮	vvmm
寻寻觅觅	xxmm
拍案而起	paeq
附庸风雅	fyfy
逼上梁山	bulu
飘飘欲仙	ppyx
点名道姓	dmdx
忍饥挨饿	rjae
君主立宪	jvlx
尤利西斯	ylxs
怀才不遇	hcby
天崩地裂	tbdl
偏听偏信	ptpx
坐失良机	zulj
不出意外	biyw
时好时坏	uhuh
烽火连天	fhlt
仰天大笑	ytdx
从善如流	curl
昏头昏脑	hthn
白金汉宫	bjhg
不白之冤	bbvy
一鼻子灰	ybzh
丑态百出	itbi
南开中学	nkvx
正当防卫	vdfw
促膝交谈	cxjt
局促不安	jcba
举目四望	jmsw
起伏跌宕	qfdd
正正经经	zzjj
费尽心思	fjxs
成竹在胸	ivzx
有所不知	ysbv
一潭死水	ytsu
菲尼克斯	fnks
对答如流	ddrl
一语双关	yyug
花好月圆	hhyy
水天一色	utys
执法如山	vfru
说得过去	udgq
硝酸甘油	xsgy
物有所值	wysv
乏善可陈	fuki
犹豫不定	yybd
俯拾皆是	fuju
兰博基尼	lbjn
反唇相讥	fixj
藕断丝连	odsl
回头是岸	htua
目不识丁	mbud
海伦凯勒	hlkl
头重脚轻	tvjq
千秋大业	qqdy
患难之交	hnvj
有根有据	ygyj
四四方方	ssff
大彻大悟	didw
大跌眼镜	ddyj
光鲜亮丽	gxll
秋毫无犯	qhwf
一息尚存	yxuc
刚愎自用	gbzy
珍禽异兽	vqyu
你争我夺	nvwd
斩草除根	vcig
难以名状	nymv
伽马射线	gmux
高山仰止	guyv
孤军作战	gjzv
起起落落	qqll
名落孙山	mlsu
救命之恩	jmve
一步到位	ybdw
天下大乱	txdl
邪门歪道	xmwd
两面三刀	lmsd
大快朵颐	dkdy
齐天大圣	qtdu
焚书坑儒	fukr
一面之词	ymvc
墨迹未干	mjwg
坛坛罐罐	ttgg
至今为止	vjwv
有高有低	ygyd
养儿防老	yefl
官官相护	ggxh
欢蹦乱跳	hblt
删繁就简	ufjj
大恩大德	dedd
和和气气	hhqq
恃强凌弱	uqlr
迟疑不决	iybj
彻夜未眠	iywm
光阴荏苒	gyrr
山重水复	szsf
几何级数	jhju
坦诚相待	tixd
插科打诨	ikdh
满打满算	mdms
莺歌燕舞	ygyw
自怨自艾	zyza
万里无云	wlwy
喜极而泣	xjeq
一闪而过	yueg
满腹经纶	mfjl
貌不惊人	mbjr
宇宙射线	yvux
替天行道	ttxd
书香门第	uxmd
鳏寡孤独	gggd
空洞无物	kdww
矢口否认	ukfr
黯淡无光	adwg
目无法纪	mwfj
沧海一粟	chys
江河日下	jhrx
筋疲力竭	jplj
犹犹豫豫	yyyy
故伎重演	gjiy
屡战屡败	lvlb
不识时务	buuw
坚贞不渝	jvby
追根究底	vgjd
百事可乐	bukl
颠三倒四	dsds
惊喜交集	jxjj
无话不谈	whbt
没大没小	mdmx
中枢神经	vuuj
临阵脱逃	lvtt
有头有脸	ytyl
天理难容	tlnr
顺心如意	uxry
霸王别姬	bwbj
始于足下	uyzx
令人叹服	lrtf
一面之缘	ymvy
汗牛充栋	hnid
手足之情	uzvq
离群索居	lqsj
东躲西藏	ddxc
水调歌头	udgt
青出于蓝	qiyl
遥遥相对	yyxd
恶贯满盈	egmy
夜不归宿	ybgs
打打闹闹	ddnn
门户之见	mhvj
心腹之患	xfvh
手不释卷	ubuj
费尽周折	fjvv
密西西比	mxxb
正大光明	vdgm
欺软怕硬	qrpy
两三点钟	lsdv
言之凿凿	yvzz
拍案叫绝	pajj
众叛亲离	vpql
削足适履	xzul
事必躬亲	ubgq
海誓山盟	huum
逢场作戏	fizx
女权主义	nqvy
入土为安	rtwa
劳而无功	lewg
说长道短	uidd
稚气未脱	vqwt
哑然失笑	yrux
三四点钟	ssdv
好吃懒做	hilz
趋炎附势	qyfu
年老体衰	nltu
完完整整	wwvv
亚利桑那	ylsn
一毛不拔	ymbb
横行无忌	hxwj
冤家对头	yjdt
碍于情面	ayqm
玉米棒子	ymbz
各色人等	gsrd
物以类聚	wylj
做贼心虚	zzxx
三更半夜	sgby
真假难辨	vjnb
谈虎色变	thsb
三从四德	scsd
飒爽英姿	ssyz
曲终人散	qvrs
冷言冷语	lyly
卡布奇诺	kbqn
一笑了之	yxlv
光阴似箭	gysj
日落而息	rlex
身手不凡	uubf
君士坦丁	jutd
号啕大哭	htdk
亘古不变	ggbb
各个击破	ggjp
源源而来	yyel
反作用力	fzyl
鹦鹉学舌	ywxu
反刍动物	fidw
不以为耻	bywi
弹丸之地	dwvd
一家之言	yjvy
杀身之祸	uuvh
比萨斜塔	bsxt
科罗拉多	klld
力大无穷	ldwq
山顶洞人	uddr
漏网之鱼	lwvy
望洋兴叹	wyxt
努尔哈赤	nehi
守恒定律	uhdl
鞭辟入里	bbrl
坐视不管	zubg
穿山越岭	iuyl
格林尼治	glnv
满腹牢骚	mfls
衣冠不整	ygbv
姑息养奸	gxyj
麦克斯韦	mksw
不露声色	blus
皮包公司	pbgs
惹是生非	ruuf
大展宏图	dvht
兵强马壮	bqmv
言之成理	yvil
过街天桥	gjtq
无话不说	whbu
睹物思人	dwsr
高人一筹	gryc
稀里哗啦	xlhl
血流如注	xlrv
文如其人	wrqr
恩恩怨怨	eeyy
轻声细语	quxy
聊以自慰	lyzw
五谷不分	wgbf
打草惊蛇	dcju
针头线脑	vtxn
夸大其辞	kdqc
灰头土脸	httl
滂沱大雨	ptdy
漠然置之	mrvv
无名小卒	wmxz
如梦如幻	rmrh
人如其名	rrqm
倒背如流	dbrl
悲喜交集	bxjj
血盆大口	xpdk
名扬四海	mysh
慢慢腾腾	mmtt
平平静静	ppjj
无冤无仇	wywi
锐不可当	rbkd
海枯石烂	hkul
软磨硬泡	rmyp
疾恶如仇	jerc
自由放任	zyfr
渺无人烟	mwry
一病不起	ybbq
冤冤相报	yyxb
盖世太保	gutb
隔三岔五	gsiw
旧事重提	juit
馋涎欲滴	ixyd
彻夜不眠	iybm
忙里忙外	mlmw
象牙之塔	xyvt
博学多才	bxdc
心醉神迷	xzum
楚楚动人	iidr
跑前跑后	pqph
拨云见日	byjr
裙带关系	qdgx
回肠荡气	hidq
格陵兰岛	glld
脸上无光	luwg
无疾而终	wjev
