汉字	拼音	已分配频率	其中历史单字裁决	该字待分配频率	该字原始总频	状态
拉	la	27079	0	3928	31007	有已分配证据；仍须结合待分配量
拊	fu	0	0	0	0	未观测到分配证据；不等于实际零频
拌	ban	236	0	81	317	有已分配证据；仍须结合待分配量
拍	pai	11544	0	34	11578	有已分配证据；仍须结合待分配量
拎	lin	87	0	0	87	有已分配证据；仍须结合待分配量
拐	guai	879	0	0	879	有已分配证据；仍须结合待分配量
拒	ju	3485	0	0	3485	有已分配证据；仍须结合待分配量
拓	ta	0	0	29	218	未观测到分配证据；不等于实际零频
拓	tuo	189	0	29	218	有已分配证据；仍须结合待分配量
拔	ba	1520	0	9	1529	有已分配证据；仍须结合待分配量
拖	tuo	3331	0	0	3331	有已分配证据；仍须结合待分配量
拗	ao	7	0	14	25	有已分配证据；仍须结合待分配量
拗	niu	4	0	14	25	有已分配证据；仍须结合待分配量
拘	ju	1058	0	0	1058	有已分配证据；仍须结合待分配量
拙	zhuo	233	0	0	233	有已分配证据；仍须结合待分配量
招	zhao	5338	0	4	5342	有已分配证据；仍须结合待分配量
拜	bai	14610	0	112	14722	有已分配证据；仍须结合待分配量
拟	ni	588	0	2	590	有已分配证据；仍须结合待分配量
拢	long	167	0	0	167	有已分配证据；仍须结合待分配量
拣	jian	220	0	0	220	有已分配证据；仍须结合待分配量
拤	qia	0	0	0	0	未观测到分配证据；不等于实际零频
拥	yong	5738	0	0	5738	有已分配证据；仍须结合待分配量
拦	lan	1029	0	0	1029	有已分配证据；仍须结合待分配量
拧	ning	227	0	0	227	有已分配证据；仍须结合待分配量
拨	bo	1615	0	2	1617	有已分配证据；仍须结合待分配量
择	ze	9173	0	93	9266	有已分配证据；仍须结合待分配量
择	zhai	0	0	93	9266	未观测到分配证据；不等于实际零频
括	kuo	2501	6	1	2502	有已分配证据；仍须结合待分配量
拭	shi	170	0	0	170	有已分配证据；仍须结合待分配量
拮	jie	13	0	0	13	有已分配证据；仍须结合待分配量
拯	zheng	2317	0	0	2317	有已分配证据；仍须结合待分配量
拱	gong	148	0	0	148	有已分配证据；仍须结合待分配量
拳	quan	3299	0	0	3299	有已分配证据；仍须结合待分配量
拴	shuan	187	0	0	187	有已分配证据；仍须结合待分配量
拶	za	0	0	0	0	未观测到分配证据；不等于实际零频
拶	zan	0	0	0	0	未观测到分配证据；不等于实际零频
拷	kao	509	0	0	509	有已分配证据；仍须结合待分配量
拼	pin	2385	0	2	2387	有已分配证据；仍须结合待分配量
拽	zhuai	428	428	3	431	有已分配证据；仍须结合待分配量
拾	she	0	0	0	2362	未观测到分配证据；不等于实际零频
拾	shi	2362	0	0	2362	有已分配证据；仍须结合待分配量
拿	na	37028	0	26	37054	有已分配证据；仍须结合待分配量
持	chi	17299	0	2	17301	有已分配证据；仍须结合待分配量
挂	gua	3913	0	3	3916	有已分配证据；仍须结合待分配量
指	zhi	21998	0	22	22020	有已分配证据；仍须结合待分配量
挈	qie	3	0	0	3	有已分配证据；仍须结合待分配量
按	an	6717	0	114	6831	有已分配证据；仍须结合待分配量
挎	kua	18	0	0	18	有已分配证据；仍须结合待分配量
挑	tiao	5673	0	0	5673	有已分配证据；仍须结合待分配量
挓	zha	0	0	0	0	未观测到分配证据；不等于实际零频
挖	wa	2184	0	0	2184	有已分配证据；仍须结合待分配量
挚	zhi	373	0	1	374	有已分配证据；仍须结合待分配量
挛	luan	164	0	0	164	有已分配证据；仍须结合待分配量
挝	wo	31	0	2	33	有已分配证据；仍须结合待分配量
挞	ta	14	0	0	14	有已分配证据；仍须结合待分配量
挟	xie	181	4	6	187	有已分配证据；仍须结合待分配量
挠	nao	307	0	0	307	有已分配证据；仍须结合待分配量
挡	dang	2043	0	0	2043	有已分配证据；仍须结合待分配量
挣	zheng	1814	0	0	1814	有已分配证据；仍须结合待分配量
挤	ji	1438	0	0	1438	有已分配证据；仍须结合待分配量
挥	hui	3793	0	0	3793	有已分配证据；仍须结合待分配量
挦	xian	0	0	0	0	未观测到分配证据；不等于实际零频
挨	ai	953	0	0	953	有已分配证据；仍须结合待分配量
挪	nuo	878	0	0	878	有已分配证据；仍须结合待分配量
挫	cuo	387	0	0	387	有已分配证据；仍须结合待分配量
振	zhen	1355	0	26	1381	有已分配证据；仍须结合待分配量
挲	sa	0	0	0	3	未观测到分配证据；不等于实际零频
挲	suo	3	0	0	3	有已分配证据；仍须结合待分配量
挹	yi	0	0	0	0	未观测到分配证据；不等于实际零频
挺	ting	8003	0	1	8004	有已分配证据；仍须结合待分配量
挽	wan	917	0	0	917	有已分配证据；仍须结合待分配量
捂	wu	96	0	0	96	有已分配证据；仍须结合待分配量
捃	jun	0	0	0	0	未观测到分配证据；不等于实际零频
捅	tong	599	0	0	599	有已分配证据；仍须结合待分配量
捆	kun	331	0	4	335	有已分配证据；仍须结合待分配量
捉	zhuo	1278	0	0	1278	有已分配证据；仍须结合待分配量
捋	luo	0	0	12	14	未观测到分配证据；不等于实际零频
捋	lv	2	0	12	14	有已分配证据；仍须结合待分配量
捌	ba	0	0	0	0	未观测到分配证据；不等于实际零频
捍	han	0	0	0	0	未观测到分配证据；不等于实际零频
捎	shao	148	0	0	148	有已分配证据；仍须结合待分配量
捏	nie	511	0	0	511	有已分配证据；仍须结合待分配量
捐	juan	1816	0	0	1816	有已分配证据；仍须结合待分配量
捕	bu	5203	0	207	5410	有已分配证据；仍须结合待分配量
捞	lao	420	0	1	421	有已分配证据；仍须结合待分配量
损	sun	2774	0	0	2774	有已分配证据；仍须结合待分配量
捡	jian	905	0	4	909	有已分配证据；仍须结合待分配量
换	huan	9982	0	10	9992	有已分配证据；仍须结合待分配量
捣	dao	701	0	0	701	有已分配证据；仍须结合待分配量
捧	peng	268	0	6	274	有已分配证据；仍须结合待分配量
捩	lie	2	0	0	2	有已分配证据；仍须结合待分配量
捭	bai	0	0	0	0	未观测到分配证据；不等于实际零频
据	ju	12710	0	20	12730	有已分配证据；仍须结合待分配量
捯	dao	0	0	1	1	未观测到分配证据；不等于实际零频
捶	chui	49	0	0	49	有已分配证据；仍须结合待分配量
捷	jie	792	0	8	800	有已分配证据；仍须结合待分配量
捺	na	5	0	0	5	有已分配证据；仍须结合待分配量
捻	nian	16	0	0	16	有已分配证据；仍须结合待分配量
捽	zuo	0	0	0	0	未观测到分配证据；不等于实际零频
掀	xian	230	0	0	230	有已分配证据；仍须结合待分配量
掂	dian	82	0	0	82	有已分配证据；仍须结合待分配量
掇	duo	16	0	0	16	有已分配证据；仍须结合待分配量
授	shou	2896	0	0	2896	有已分配证据；仍须结合待分配量
掉	diao	23814	0	6	23820	有已分配证据；仍须结合待分配量
掊	pou	0	0	0	0	未观测到分配证据；不等于实际零频
掌	zhang	4368	0	2	4370	有已分配证据；仍须结合待分配量
掎	ji	0	0	0	0	未观测到分配证据；不等于实际零频
掏	tao	470	0	0	470	有已分配证据；仍须结合待分配量
掐	qia	382	0	0	382	有已分配证据；仍须结合待分配量
排	pai	10684	0	0	10684	有已分配证据；仍须结合待分配量
掖	ye	28	0	0	28	有已分配证据；仍须结合待分配量
掘	jue	810	0	0	810	有已分配证据；仍须结合待分配量
掞	yan	0	0	0	0	未观测到分配证据；不等于实际零频
掠	lve	211	0	81	292	有已分配证据；仍须结合待分配量
探	tan	12125	0	0	12125	有已分配证据；仍须结合待分配量
掣	che	43	0	0	43	有已分配证据；仍须结合待分配量
接	jie	37111	0	3	37114	有已分配证据；仍须结合待分配量
控	kong	11823	0	43	11866	有已分配证据；仍须结合待分配量
推	tui	6541	0	12	6553	有已分配证据；仍须结合待分配量
掩	yan	2286	0	0	2286	有已分配证据；仍须结合待分配量
措	cuo	1181	0	1	1182	有已分配证据；仍须结合待分配量
掬	ju	5	0	0	5	有已分配证据；仍须结合待分配量
掭	tian	0	0	0	0	未观测到分配证据；不等于实际零频
掮	qian	24	0	0	24	有已分配证据；仍须结合待分配量
掰	bai	137	119	21	158	有已分配证据；仍须结合待分配量
掳	lu	67	0	0	67	有已分配证据；仍须结合待分配量
掴	guai	34	34	0	34	有已分配证据；仍须结合待分配量
掷	zhi	267	0	0	267	有已分配证据；仍须结合待分配量
掸	dan	26	21	0	26	有已分配证据；仍须结合待分配量
掺	chan	271	236	0	271	有已分配证据；仍须结合待分配量
掼	guan	5	0	0	5	有已分配证据；仍须结合待分配量
掾	yuan	1	0	0	1	有已分配证据；仍须结合待分配量
揄	yu	15	0	0	15	有已分配证据；仍须结合待分配量
揆	kui	1	0	0	1	有已分配证据；仍须结合待分配量
揉	rou	157	0	0	157	有已分配证据；仍须结合待分配量
揍	zou	1280	0	0	1280	有已分配证据；仍须结合待分配量
描	miao	2242	0	0	2242	有已分配证据；仍须结合待分配量
提	di	96	0	1366	24028	有已分配证据；仍须结合待分配量
提	ti	22566	5283	1366	24028	有已分配证据；仍须结合待分配量
插	cha	2595	0	2	2597	有已分配证据；仍须结合待分配量
揕	zhen	0	0	0	0	未观测到分配证据；不等于实际零频
揖	yi	2	0	0	2	有已分配证据；仍须结合待分配量
揠	ya	2	0	0	2	有已分配证据；仍须结合待分配量
握	wo	3193	0	0	3193	有已分配证据；仍须结合待分配量
揣	chuai	113	0	0	113	有已分配证据；仍须结合待分配量
揩	kai	34	0	0	34	有已分配证据；仍须结合待分配量
揪	jiu	185	0	0	185	有已分配证据；仍须结合待分配量
揭	jie	1706	0	0	1706	有已分配证据；仍须结合待分配量
揳	xie	0	0	0	0	未观测到分配证据；不等于实际零频
援	yuan	2269	0	0	2269	有已分配证据；仍须结合待分配量
揶	ye	13	0	0	13	有已分配证据；仍须结合待分配量
揸	zha	0	0	0	0	未观测到分配证据；不等于实际零频
揽	lan	144	0	0	144	有已分配证据；仍须结合待分配量
揿	qin	0	0	0	0	未观测到分配证据；不等于实际零频
搀	chan	62	0	0	62	有已分配证据；仍须结合待分配量
搁	ge	377	0	0	377	有已分配证据；仍须结合待分配量
搂	lou	162	0	0	162	有已分配证据；仍须结合待分配量
搅	jiao	993	357	199	1192	有已分配证据；仍须结合待分配量
搋	chuai	1	0	0	1	有已分配证据；仍须结合待分配量
搌	zhan	0	0	0	0	未观测到分配证据；不等于实际零频
搏	bo	936	0	3	939	有已分配证据；仍须结合待分配量
搐	chu	118	0	0	118	有已分配证据；仍须结合待分配量
搒	bang	0	0	0	0	未观测到分配证据；不等于实际零频
搒	peng	0	0	0	0	未观测到分配证据；不等于实际零频
搓	cuo	99	0	0	99	有已分配证据；仍须结合待分配量
搔	sao	52	0	0	52	有已分配证据；仍须结合待分配量
搛	jian	1	0	0	1	有已分配证据；仍须结合待分配量
搜	sou	4116	0	103	4219	有已分配证据；仍须结合待分配量
搞	gao	18598	0	1	18599	有已分配证据；仍须结合待分配量
搠	shuo	0	0	0	0	未观测到分配证据；不等于实际零频
搡	sang	25	0	0	25	有已分配证据；仍须结合待分配量
搦	nuo	0	0	0	0	未观测到分配证据；不等于实际零频
搪	tang	52	0	0	52	有已分配证据；仍须结合待分配量
搬	ban	5365	0	0	5365	有已分配证据；仍须结合待分配量
搭	da	4736	0	0	4736	有已分配证据；仍须结合待分配量
搴	qian	0	0	0	0	未观测到分配证据；不等于实际零频
携	xie	637	0	0	637	有已分配证据；仍须结合待分配量
搽	cha	34	0	0	34	有已分配证据；仍须结合待分配量
摁	en	57	0	0	57	有已分配证据；仍须结合待分配量
摄	she	5261	0	0	5261	有已分配证据；仍须结合待分配量
摅	shu	0	0	0	0	未观测到分配证据；不等于实际零频
摆	bai	4155	0	60	4215	有已分配证据；仍须结合待分配量
摇	yao	3589	0	3	3592	有已分配证据；仍须结合待分配量
摈	bin	13	0	0	13	有已分配证据；仍须结合待分配量
摊	tan	680	0	0	680	有已分配证据；仍须结合待分配量
摏	chong	0	0	0	0	未观测到分配证据；不等于实际零频
摒	bing	55	0	0	55	有已分配证据；仍须结合待分配量
摔	shuai	2137	0	0	2137	有已分配证据；仍须结合待分配量
摘	zhai	750	0	0	750	有已分配证据；仍须结合待分配量
摛	chi	0	0	0	0	未观测到分配证据；不等于实际零频
摞	luo	38	0	0	38	有已分配证据；仍须结合待分配量
摧	cui	990	0	0	990	有已分配证据；仍须结合待分配量
摩	ma	0	0	1781	5516	未观测到分配证据；不等于实际零频
摩	mo	3735	0	1781	5516	有已分配证据；仍须结合待分配量
摭	zhi	0	0	0	0	未观测到分配证据；不等于实际零频
摴	chu	0	0	0	0	未观测到分配证据；不等于实际零频
摸	mo	2738	0	1	2739	有已分配证据；仍须结合待分配量
摹	mo	21	0	0	21	有已分配证据；仍须结合待分配量
摽	biao	0	0	0	0	未观测到分配证据；不等于实际零频
撂	liao	92	0	0	92	有已分配证据；仍须结合待分配量
撄	ying	0	0	0	0	未观测到分配证据；不等于实际零频
撅	jue	62	0	0	62	有已分配证据；仍须结合待分配量
撇	pie	387	0	0	387	有已分配证据；仍须结合待分配量
撑	cheng	1475	0	0	1475	有已分配证据；仍须结合待分配量
撒	sa	6938	0	157	7095	有已分配证据；仍须结合待分配量
撕	si	1127	0	0	1127	有已分配证据；仍须结合待分配量
撖	han	0	0	0	0	未观测到分配证据；不等于实际零频
撙	zun	0	0	0	0	未观测到分配证据；不等于实际零频
撞	zhuang	4230	0	0	4230	有已分配证据；仍须结合待分配量
撤	che	2275	0	0	2275	有已分配证据；仍须结合待分配量
撩	liao	53	0	0	53	有已分配证据；仍须结合待分配量
撬	qiao	287	0	0	287	有已分配证据；仍须结合待分配量
播	bo	4832	0	22	4854	有已分配证据；仍须结合待分配量
撮	cuo	94	0	28	122	有已分配证据；仍须结合待分配量
撮	zuo	0	0	28	122	未观测到分配证据；不等于实际零频
撰	zhuan	110	0	0	110	有已分配证据；仍须结合待分配量
撵	nian	70	0	0	70	有已分配证据；仍须结合待分配量
撷	xie	9	0	0	9	有已分配证据；仍须结合待分配量
撸	lu	3	0	0	3	有已分配证据；仍须结合待分配量
撺	cuan	3	0	0	3	有已分配证据；仍须结合待分配量
撼	han	452	0	0	452	有已分配证据；仍须结合待分配量
擀	gan	13	0	0	13	有已分配证据；仍须结合待分配量
擂	lei	82	0	0	82	有已分配证据；仍须结合待分配量
擅	shan	1543	0	0	1543	有已分配证据；仍须结合待分配量
操	cao	5996	0	31	6027	有已分配证据；仍须结合待分配量
擎	qing	727	0	35	762	有已分配证据；仍须结合待分配量
擐	huan	0	0	0	0	未观测到分配证据；不等于实际零频
擒	qin	152	0	0	152	有已分配证据；仍须结合待分配量
擘	bo	2	0	0	2	有已分配证据；仍须结合待分配量
擞	sou	6	0	0	6	有已分配证据；仍须结合待分配量
擢	zhuo	1	0	0	1	有已分配证据；仍须结合待分配量
擤	xing	30	0	0	30	有已分配证据；仍须结合待分配量
擦	ca	2259	0	1	2260	有已分配证据；仍须结合待分配量
擿	ti	0	0	0	0	未观测到分配证据；不等于实际零频
攀	pan	287	0	1	288	有已分配证据；仍须结合待分配量
攉	huo	0	0	0	0	未观测到分配证据；不等于实际零频
攒	cuan	4	0	120	143	有已分配证据；仍须结合待分配量
攒	zan	19	0	120	143	有已分配证据；仍须结合待分配量
攘	rang	37	0	0	37	有已分配证据；仍须结合待分配量
攥	zuan	34	0	0	34	有已分配证据；仍须结合待分配量
攫	jue	30	0	0	30	有已分配证据；仍须结合待分配量
攮	nang	0	0	0	0	未观测到分配证据；不等于实际零频
支	zhi	11692	0	5	11697	有已分配证据；仍须结合待分配量
收	shou	19683	0	29	19712	有已分配证据；仍须结合待分配量
攸	you	118	0	0	118	有已分配证据；仍须结合待分配量
改	gai	12911	0	5	12916	有已分配证据；仍须结合待分配量
攻	gong	4560	0	2	4562	有已分配证据；仍须结合待分配量
攽	ban	0	0	0	0	未观测到分配证据；不等于实际零频
放	fang	46507	0	21	46528	有已分配证据；仍须结合待分配量
政	zheng	8146	0	40	8186	有已分配证据；仍须结合待分配量
故	gu	11420	0	15	11435	有已分配证据；仍须结合待分配量
效	xiao	5724	0	44	5768	有已分配证据；仍须结合待分配量
敉	mi	0	0	0	0	未观测到分配证据；不等于实际零频
敌	di	3686	0	7	3693	有已分配证据；仍须结合待分配量
敏	min	2538	0	180	2718	有已分配证据；仍须结合待分配量
救	jiu	20228	0	195	20423	有已分配证据；仍须结合待分配量
敔	yu	0	0	0	0	未观测到分配证据；不等于实际零频
敕	chi	3	0	0	3	有已分配证据；仍须结合待分配量
敖	ao	61	0	0	61	有已分配证据；仍须结合待分配量
教	jiao	21741	0	27	21768	有已分配证据；仍须结合待分配量
敛	lian	112	0	0	112	有已分配证据；仍须结合待分配量
敝	bi	15	0	0	15	有已分配证据；仍须结合待分配量
敞	chang	619	0	0	619	有已分配证据；仍须结合待分配量
敢	gan	10588	0	0	10588	有已分配证据；仍须结合待分配量
散	san	4197	0	14	4211	有已分配证据；仍须结合待分配量
敦	dun	1774	82	84	1858	有已分配证据；仍须结合待分配量
敩	xiao	0	0	0	0	未观测到分配证据；不等于实际零频
敫	jiao	0	0	0	0	未观测到分配证据；不等于实际零频
敬	jing	3765	0	79	3844	有已分配证据；仍须结合待分配量
数	shu	14603	2707	151	14754	有已分配证据；仍须结合待分配量
数	shuo	0	0	151	14754	未观测到分配证据；不等于实际零频
敲	qiao	2037	0	0	2037	有已分配证据；仍须结合待分配量
整	zheng	18014	0	7	18021	有已分配证据；仍须结合待分配量
敷	fu	245	0	0	245	有已分配证据；仍须结合待分配量
文	wen	13259	0	937	14196	有已分配证据；仍须结合待分配量
斋	zhai	78	0	0	78	有已分配证据；仍须结合待分配量
斌	bin	26	0	0	26	有已分配证据；仍须结合待分配量
斐	fei	244	0	41	285	有已分配证据；仍须结合待分配量
斑	ban	655	0	2	657	有已分配证据；仍须结合待分配量
斓	lan	11	0	0	11	有已分配证据；仍须结合待分配量
斗	dou	6311	0	17	6328	有已分配证据；仍须结合待分配量
料	liao	8501	0	26	8527	有已分配证据；仍须结合待分配量
斛	hu	0	0	0	0	未观测到分配证据；不等于实际零频
斜	xie	399	0	4	403	有已分配证据；仍须结合待分配量
斝	jia	0	0	0	0	未观测到分配证据；不等于实际零频
斟	zhen	67	0	0	67	有已分配证据；仍须结合待分配量
斠	jiao	0	0	0	0	未观测到分配证据；不等于实际零频
斡	wo	20	0	0	20	有已分配证据；仍须结合待分配量
斤	jin	369	0	0	369	有已分配证据；仍须结合待分配量
斥	chi	423	0	0	423	有已分配证据；仍须结合待分配量
斧	fu	330	0	0	330	有已分配证据；仍须结合待分配量
斩	zhan	217	0	2	219	有已分配证据；仍须结合待分配量
斫	zhuo	0	0	0	0	未观测到分配证据；不等于实际零频
断	duan	9087	0	1	9088	有已分配证据；仍须结合待分配量
斯	si	47701	0	14181	61882	有已分配证据；仍须结合待分配量
新	xin	35476	0	21	35497	有已分配证据；仍须结合待分配量
斶	chu	0	0	0	0	未观测到分配证据；不等于实际零频
方	fang	52651	0	92	52743	有已分配证据；仍须结合待分配量
於	yu	258	258	0	258	有已分配证据；仍须结合待分配量
施	shi	3145	0	119	3264	有已分配证据；仍须结合待分配量
旁	pang	3900	0	1	3901	有已分配证据；仍须结合待分配量
旃	zhan	0	0	0	0	未观测到分配证据；不等于实际零频
旄	mao	0	0	0	0	未观测到分配证据；不等于实际零频
旅	lv	6712	0	47	6759	有已分配证据；仍须结合待分配量
旆	pei	0	0	0	0	未观测到分配证据；不等于实际零频
旋	xuan	1402	0	18	1420	有已分配证据；仍须结合待分配量
旌	jing	8	0	0	8	有已分配证据；仍须结合待分配量
旎	ni	4	0	0	4	有已分配证据；仍须结合待分配量
族	zu	4931	0	28	4959	有已分配证据；仍须结合待分配量
旐	zhao	0	0	0	0	未观测到分配证据；不等于实际零频
旒	liu	0	0	0	0	未观测到分配证据；不等于实际零频
旖	yi	4	0	0	4	有已分配证据；仍须结合待分配量
旗	qi	1106	0	3	1109	有已分配证据；仍须结合待分配量
旞	sui	0	0	0	0	未观测到分配证据；不等于实际零频
无	mo	0	0	335	50912	未观测到分配证据；不等于实际零频
无	wu	50577	6648	335	50912	有已分配证据；仍须结合待分配量
既	ji	4023	0	0	4023	有已分配证据；仍须结合待分配量
日	ri	23029	0	122	23151	有已分配证据；仍须结合待分配量
旦	dan	3661	0	0	3661	有已分配证据；仍须结合待分配量
旧	jiu	3620	0	10	3630	有已分配证据；仍须结合待分配量
旨	zhi	361	0	1	362	有已分配证据；仍须结合待分配量
早	zao	26154	0	6	26160	有已分配证据；仍须结合待分配量
旬	xun	46	0	0	46	有已分配证据；仍须结合待分配量
旭	xu	102	0	5	107	有已分配证据；仍须结合待分配量
旮	ga	8	0	0	8	有已分配证据；仍须结合待分配量
旯	la	8	0	0	8	有已分配证据；仍须结合待分配量
旰	gan	0	0	0	0	未观测到分配证据；不等于实际零频
旱	han	111	0	3	114	有已分配证据；仍须结合待分配量
旴	xu	0	0	0	0	未观测到分配证据；不等于实际零频
旵	chan	0	0	0	0	未观测到分配证据；不等于实际零频
时	shi	162577	0	36	162613	有已分配证据；仍须结合待分配量
旷	kuang	169	0	0	169	有已分配证据；仍须结合待分配量
旸	yang	0	0	0	0	未观测到分配证据；不等于实际零频
旺	wang	446	0	52	498	有已分配证据；仍须结合待分配量
旻	min	0	0	10	10	未观测到分配证据；不等于实际零频
旿	wu	0	0	0	0	未观测到分配证据；不等于实际零频
昀	yun	0	0	0	0	未观测到分配证据；不等于实际零频
昂	ang	1030	0	74	1104	有已分配证据；仍须结合待分配量
昃	ze	0	0	0	0	未观测到分配证据；不等于实际零频
昄	ban	0	0	0	0	未观测到分配证据；不等于实际零频
昆	kun	446	0	86	532	有已分配证据；仍须结合待分配量
昇	sheng	0	0	0	0	未观测到分配证据；不等于实际零频
昈	hu	0	0	0	0	未观测到分配证据；不等于实际零频
昉	fang	0	0	0	0	未观测到分配证据；不等于实际零频
昊	hao	50	0	18	68	有已分配证据；仍须结合待分配量
昌	chang	221	0	11	232	有已分配证据；仍须结合待分配量
明	ming	69368	0	381	69749	有已分配证据；仍须结合待分配量
昏	hun	1875	0	0	1875	有已分配证据；仍须结合待分配量
昒	hu	0	0	0	0	未观测到分配证据；不等于实际零频
易	yi	11713	0	236	11949	有已分配证据；仍须结合待分配量
昔	xi	273	0	0	273	有已分配证据；仍须结合待分配量
昕	xin	0	0	0	0	未观测到分配证据；不等于实际零频
昙	tan	13	0	0	13	有已分配证据；仍须结合待分配量
昝	zan	0	0	0	0	未观测到分配证据；不等于实际零频
星	xing	20942	0	32	20974	有已分配证据；仍须结合待分配量
映	ying	921	0	10	931	有已分配证据；仍须结合待分配量
昡	xuan	0	0	0	0	未观测到分配证据；不等于实际零频
昣	zhen	0	0	0	0	未观测到分配证据；不等于实际零频
昤	ling	0	0	0	0	未观测到分配证据；不等于实际零频
春	chun	2030	0	30	2060	有已分配证据；仍须结合待分配量
昧	mei	362	0	17	379	有已分配证据；仍须结合待分配量
昨	zuo	10063	0	0	10063	有已分配证据；仍须结合待分配量
昪	bian	0	0	0	0	未观测到分配证据；不等于实际零频
昫	xu	0	0	0	0	未观测到分配证据；不等于实际零频
昭	zhao	108	0	105	213	有已分配证据；仍须结合待分配量
是	shi	1171848	0	250	1172098	有已分配证据；仍须结合待分配量
昱	yu	20	0	1	21	有已分配证据；仍须结合待分配量
昳	die	0	0	0	0	未观测到分配证据；不等于实际零频
昴	mao	4	0	0	4	有已分配证据；仍须结合待分配量
昵	ni	142	0	1	143	有已分配证据；仍须结合待分配量
昶	chang	0	0	0	0	未观测到分配证据；不等于实际零频
昺	bing	0	0	0	0	未观测到分配证据；不等于实际零频
昼	zhou	63	0	0	63	有已分配证据；仍须结合待分配量
昽	long	0	0	0	0	未观测到分配证据；不等于实际零频
显	xian	10896	0	82	10978	有已分配证据；仍须结合待分配量
晁	chao	0	0	0	0	未观测到分配证据；不等于实际零频
晃	huang	990	0	0	990	有已分配证据；仍须结合待分配量
晅	xuan	0	0	0	0	未观测到分配证据；不等于实际零频
晊	zhi	0	0	0	0	未观测到分配证据；不等于实际零频
晋	jin	907	0	3	910	有已分配证据；仍须结合待分配量
晌	shang	3	0	0	3	有已分配证据；仍须结合待分配量
晏	yan	2	0	0	2	有已分配证据；仍须结合待分配量
晐	gai	0	0	0	0	未观测到分配证据；不等于实际零频
晒	shai	595	0	0	595	有已分配证据；仍须结合待分配量
晓	xiao	1864	0	39	1903	有已分配证据；仍须结合待分配量
晔	ye	11	0	0	11	有已分配证据；仍须结合待分配量
晕	yun	1697	0	0	1697	有已分配证据；仍须结合待分配量
晖	hui	8	0	0	8	有已分配证据；仍须结合待分配量
晗	han	0	0	0	0	未观测到分配证据；不等于实际零频
晙	jun	0	0	41	41	未观测到分配证据；不等于实际零频
晚	wan	50512	0	0	50512	有已分配证据；仍须结合待分配量
晞	xi	0	0	0	0	未观测到分配证据；不等于实际零频
晟	cheng	0	0	20	20	未观测到分配证据；不等于实际零频
晡	bu	2	0	0	2	有已分配证据；仍须结合待分配量
晢	zhe	0	0	0	0	未观测到分配证据；不等于实际零频
晤	wu	147	0	0	147	有已分配证据；仍须结合待分配量
晦	hui	83	0	0	83	有已分配证据；仍须结合待分配量
晨	chen	2159	0	4	2163	有已分配证据；仍须结合待分配量
晪	tian	0	0	0	0	未观测到分配证据；不等于实际零频
晫	zhuo	0	0	0	0	未观测到分配证据；不等于实际零频
普	pu	7339	0	1438	8777	有已分配证据；仍须结合待分配量
景	jing	3760	0	4	3764	有已分配证据；仍须结合待分配量
晰	xi	351	0	18	369	有已分配证据；仍须结合待分配量
晱	shan	0	0	0	0	未观测到分配证据；不等于实际零频
晴	qing	259	0	0	259	有已分配证据；仍须结合待分配量
晶	jing	801	0	10	811	有已分配证据；仍须结合待分配量
晷	gui	9	0	0	9	有已分配证据；仍须结合待分配量
智	zhi	4302	0	47	4349	有已分配证据；仍须结合待分配量
晾	liang	97	0	0	97	有已分配证据；仍须结合待分配量
暂	zan	2571	0	1	2572	有已分配证据；仍须结合待分配量
暄	xuan	30	0	0	30	有已分配证据；仍须结合待分配量
暅	geng	0	0	0	0	未观测到分配证据；不等于实际零频
暇	xia	129	0	0	129	有已分配证据；仍须结合待分配量
暌	kui	0	0	0	0	未观测到分配证据；不等于实际零频
暑	shu	475	0	0	475	有已分配证据；仍须结合待分配量
暕	jian	0	0	0	0	未观测到分配证据；不等于实际零频
暖	nuan	1670	0	10	1680	有已分配证据；仍须结合待分配量
暗	an	5176	0	0	5176	有已分配证据；仍须结合待分配量
暝	ming	2	0	0	2	有已分配证据；仍须结合待分配量
暧	ai	66	0	17	83	有已分配证据；仍须结合待分配量
暨	ji	12	0	0	12	有已分配证据；仍须结合待分配量
暮	mu	69	0	3	72	有已分配证据；仍须结合待分配量
暲	zhang	0	0	0	0	未观测到分配证据；不等于实际零频
暴	bao	5568	395	28	5596	有已分配证据；仍须结合待分配量
暵	han	0	0	0	0	未观测到分配证据；不等于实际零频
暶	xuan	0	0	0	0	未观测到分配证据；不等于实际零频
暹	xian	55	0	0	55	有已分配证据；仍须结合待分配量
暾	tun	0	0	0	0	未观测到分配证据；不等于实际零频
暿	xi	0	0	0	0	未观测到分配证据；不等于实际零频
曈	tong	0	0	0	0	未观测到分配证据；不等于实际零频
曌	zhao	0	0	0	0	未观测到分配证据；不等于实际零频
曙	shu	62	0	0	62	有已分配证据；仍须结合待分配量
曛	xun	0	0	0	0	未观测到分配证据；不等于实际零频
曜	yao	0	0	0	0	未观测到分配证据；不等于实际零频
曝	bao	296	0	20	336	有已分配证据；仍须结合待分配量
曝	pu	20	0	20	336	有已分配证据；仍须结合待分配量
曦	xi	18	0	0	18	有已分配证据；仍须结合待分配量
曩	nang	0	0	0	0	未观测到分配证据；不等于实际零频
曰	yue	25	0	0	25	有已分配证据；仍须结合待分配量
曲	qu	5087	0	34	5121	有已分配证据；仍须结合待分配量
曳	ye	34	1	0	34	有已分配证据；仍须结合待分配量
