行号	词	词频	原拼音	辅助拼音	词典读音	简单鹤	鲸凉鹤	采用	依据	问题
44484	阿塔拉斯	6	a1/a5/e1 da5/ta3 la1/la2/la3/la4 si1	atalasi				待分配	证据不足或仍冲突；待分配	
44485	阿尔梅达·斯林姆	6	a1/a5/e1 er3 mei2 da2 #si1 lin2 mu3	aermeida*silinmu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44486	阿尔里克	6	a1/a5/e1 er3 li3 ke4	aerlike				待分配	证据不足或仍冲突；待分配	
44487	阿布·尤瑟福	6	a1/a5/e1 bu4 #you2 se4 fu2	abu*yousefu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44488	阿戴米安	6	a1/a5/e1 dai4 mi3 an1	adaimian				待分配	证据不足或仍冲突；待分配	
44489	阿拉贝斯克	6	a1/a5/e1 la1/la2/la3/la4 bei4 si1 ke4	alabeisike				待分配	证据不足或仍冲突；待分配	
44490	阿斯泰	6	a1/a5/e1 si1 tai4	asitai				待分配	证据不足或仍冲突；待分配	
44492	阿普洛	6	a1/a5/e1 pu3 luo4	apuluo				待分配	证据不足或仍冲突；待分配	
44493	阿本森	6	a1/a5/e1 ben3 sen1	abensen				待分配	证据不足或仍冲突；待分配	
44495	阿比高斯	6	a1/a5/e1 bi3 gao1 si1	abigaosi				待分配	证据不足或仍冲突；待分配	
44496	阿特茨	6	a1/a5/e1 te4 ci2	ateci				待分配	证据不足或仍冲突；待分配	
44497	阿穆特	6	a1/a5/e1 mu4 te4	amute				待分配	证据不足或仍冲突；待分配	
44498	阿米	6	a1/a5/e1 mi3	ami				待分配	证据不足或仍冲突；待分配	
44499	阿莱克西	6	a1/a5/e1 lai2 ke4 xi1	alaikexi				待分配	证据不足或仍冲突；待分配	
44500	阿西	6	a1/a5/e1 xi1	axi				待分配	证据不足或仍冲突；待分配	
44501	阿迪尔	6	a1/a5/e1 di2 er3	adier				待分配	证据不足或仍冲突；待分配	
44502	阿道夫·格林鲍姆	6	a1/a5/e1 dao4 fu1/fu2 #ge1/ge2 lin2 bao4 mu3	adaofu*gelinbaomu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44503	阿里·哈桑·萨拉迈	6	a1/a5/e1 li3 #ha1/ha3/ha4 sang1 #sa4 la1/la2/la3/la4 mai4	ali*hasang*salamai				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44505	陆克	6	liu4/lu4 ke4	luke				待分配	证据不足或仍冲突；待分配	
44506	陆毅奇	6	liu4/lu4 yi4 ji1/qi2	luyiqi				待分配	证据不足或仍冲突；待分配	
44507	降调	6	jiang4/xiang2 diao4/tiao2	jiangdiao		jiang diao | jiang tiao	jiang diao | jiang tiao	待分配	参考异读无法消歧；待分配	两份参考不能唯一确定
44511	陶斯	6	tao2/yao2 si1	taosi				待分配	证据不足或仍冲突；待分配	
44516	雅提娜	6	ya1/ya3 di1/ti2 na4/nuo2	yatina				待分配	证据不足或仍冲突；待分配	
44527	雷克斯·潘尼贝克	6	lei2 ke4 si1 #pan1 ni2 bei4 ke4	leikesi*pannibeike				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44528	雷切尔·吉布森	6	lei2 qie1/qie4 er3 #ji2 bu4 sen1	leiqieer*jibusen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44530	霍利斯·梅森	6	huo4 li4 si1 #mei2 sen1	huolisi*meisen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44534	霍滕西亚	6	huo4 teng2 xi1 ya4	huodengxiya				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
44535	霍邓伯格	6	huo4 deng4 bai3/bo2 ge1/ge2	huodengboge				待分配	证据不足或仍冲突；待分配	
44536	露意	6	lou4/lu4 yi4	luyi				待分配	证据不足或仍冲突；待分配	
44537	露蒂	6	lou4/lu4 di4	ludi				待分配	证据不足或仍冲突；待分配	
44545	鞜	6	#	*	ta4			待分配	孤立多音字无语境；待分配	
44546	韦勒	6	wei2 le4/lei1	weile				待分配	证据不足或仍冲突；待分配	
44548	韦维那	6	wei2 wei2 na1/na3/na4/nei4	weiweina				待分配	证据不足或仍冲突；待分配	
44551	顾不了	6	gu4 bu2/bu4 le5/liao3/liao4	gubuliao				待分配	证据不足或仍冲突；待分配	
44552	顿莱普	6	du2/dun4 lai2 pu3	dunlaipu				待分配	证据不足或仍冲突；待分配	
44568	马丁·路德	6	ma3 ding1/zheng1 #lu4 de2	mading*lude				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44575	马库斯·杜瓦尔	6	ma3 ku4 si1 #du4 wa3/wa4 er3	makusi*duwaer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44585	马鲁奇	6	ma3 lu3 ji1/qi2	maluqi				待分配	证据不足或仍冲突；待分配	
44588	骑车人	6	qi2 che1/ju1 ren2	qicheren				待分配	证据不足或仍冲突；待分配	
44603	鲁伯特	6	lu3 bai3/bo2 te4	lubote				待分配	证据不足或仍冲突；待分配	
44608	鲍勃·琼尼	6	bao4 bo2 #qiong2 ni2	baobo*qiongni				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44609	鲍勃·麦卡农	6	bao4 bo2 #mai4 ka3/qia3 nong2	baobo*maikanong				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44612	鳀	6	#	*	ti2			待分配	孤立多音字无语境；待分配	
44620	麦卡伦	6	mai4 ka3/qia3 lun2	maikalun				待分配	证据不足或仍冲突；待分配	
44624	麦格劳·希尔	6	mai4 ge1/ge2 lao2 #xi1 er3	maigelao*xier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44625	麦氏	6	mai4 shi4/zhi1	maishi				待分配	证据不足或仍冲突；待分配	
44636	黛佛林	6	dai4 fo2/fu2 lin2	daifolin				待分配	证据不足或仍冲突；待分配	
44638	黛比·雷诺兹	6	dai4 bi3 #lei2 nuo4 ci2/zi1	daibi*leinuozi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44645	一万三千五	5	yi1 mo4/wan4 san1 qian1 wu3	yiwansanqianwu				待分配	证据不足或仍冲突；待分配	
44647	一千二百万	5	yi1 qian1 er4 bai3/bo2 mo4/wan4	yiqianerbaiwan				待分配	证据不足或仍冲突；待分配	
44658	一百六十万	5	yi1 bai3/bo2 liu4/lu4 shi2 mo4/wan4	yibailiushiwan				待分配	证据不足或仍冲突；待分配	
44665	丁加	5	ding1/zheng1 jia1	dingjia				待分配	证据不足或仍冲突；待分配	
44666	七千五百万	5	qi1 qian1 wu3 bai3/bo2 mo4/wan4	qiqianwubaiwan				待分配	证据不足或仍冲突；待分配	
44670	万王之王	5	mo4/wan4 wang2/wang4 zhi1 wang2/wang4	wanwangzhiwang				待分配	证据不足或仍冲突；待分配	
44676	三亿五千万	5	san1 yi4 wu3 qian1 mo4/wan4	sanyiwuqianwan				待分配	证据不足或仍冲突；待分配	
44718	两万四千	5	liang3 mo4/wan4 si4 qian1	liangwansiqian				待分配	证据不足或仍冲突；待分配	
44720	两亿一千两百万	5	liang3 yi4 yi1 qian1 liang3 bai3/bo2 mo4/wan4	liangyiyiqianliangbaiwan				待分配	证据不足或仍冲突；待分配	
44721	两千四百万	5	liang3 qian1 si4 bai3/bo2 mo4/wan4	liangqiansibaiwan				待分配	证据不足或仍冲突；待分配	
44736	丹·福尔曼	5	dan1 #fu2 er3 man4	dan*fuerman				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44737	丹尼尔·达烈	5	dan1 ni2 er3 #da2 lie4	dannier*dalie				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44745	丽贝卡·洛克	5	li2/li4 bei4 ka3/qia3 #luo4 ke4	libeika*luoke				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44754	乌尔都	5	wu1/wu4 er3 dou1/du1	wuerdu				待分配	证据不足或仍冲突；待分配	
44757	乌苏拉·勒奎恩	5	wu1/wu4 su1 la1/la2/la3/la4 #le4/lei1 kui2 en1	wusula*lekuien				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44761	乔·哈里森	5	qiao2 #ha1/ha3/ha4 li3 sen1	qiao*halisen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44762	乔乔·怀特	5	qiao2 qiao2 #huai2 te4	qiaoqiao*huaite				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44763	乔伊·库塞克	5	qiao2 yi1 #ku4 sai1/sai4/se4 ke4	qiaoyi*kusaike				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44764	乔尼·米切尔	5	qiao2 ni2 #mi3 qie1/qie4 er3	qiaoni*miqieer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44765	乔治·卢塔甘达	5	qiao2 zhi4 #lu2 da5/ta3 gan1 da2	qiaozhi*lutaganda				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44766	乔治·芬奇	5	qiao2 zhi4 #fen1 ji1/qi2	qiaozhi*fenqi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44767	乔纳森·麦考利	5	qiao2 na4 sen1 #mai4 kao3 li4	qiaonasen*maikaoli				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44769	乔顿	5	qiao2 du2/dun4	qiaodun				待分配	证据不足或仍冲突；待分配	
44771	乘员	5	cheng2/sheng4 yuan2/yun2/yun4	chengyuan				待分配	证据不足或仍冲突；待分配	
44783	二万五千	5	er4 mo4/wan4 wu3 qian1	erwanwuqian				待分配	证据不足或仍冲突；待分配	
44793	二百五十	5	er4 bai3/bo2 wu3 shi2	erbaiwushi				待分配	证据不足或仍冲突；待分配	
44795	云斯顿	5	yun2 si1 du2/dun4	yunsidun				待分配	证据不足或仍冲突；待分配	
44807	亚特·布兰克	5	ya4 te4 #bu4 lan2 ke4	yate*bulanke				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44808	亚瑟·塞尔顿	5	ya4 se4 #sai1/sai4/se4 er3 du2/dun4	yase*saierdun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44813	交响音乐会	5	jiao1 xiang3 yin1 le4/yue4 hui4/kuai4	jiaoxiangyinlehui				待分配	证据不足或仍冲突；待分配	
44814	亨利·基辛格	5	heng1 li4 #ji1 xin1 ge1/ge2	hengli*jixinge				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44815	亨利·罗	5	heng1 li4 #luo1/luo2/luo5	hengli*luo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44816	亨弗莱·鲍嘉	5	heng1 fu2 lai2 #bao4 jia1	hengfulai*baojia				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44819	京石	5	jing1 dan4/shi2	jingshi				待分配	证据不足或仍冲突；待分配	
44823	亲如兄弟	5	qin1/qing4 ru2 xiong1 di4	qinruxiongdi				待分配	证据不足或仍冲突；待分配	
44836	他勒	5	ta1 le4/lei1	tale				待分配	证据不足或仍冲突；待分配	
44844	伊丽莎白·班纳特	5	yi1 li2/li4 sha1/suo1 bai2 #ban1 na4 te4	yilishabai*bannate				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44845	伊奈莎	5	yi1 nai4 sha1/suo1	yinaisha				待分配	证据不足或仍冲突；待分配	
44846	伊弗斯·格鲁昂特	5	yi1 fu2 si1 #ge1/ge2 lu3 ang2 te4	yifusi*geluangte				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44847	伊拉斯特斯·弗尔曼	5	yi1 la1/la2/la3/la4 si1 te4 si1 #fu2 er3 man4	yilasitesi*fuerman				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44851	伊普斯威奇	5	yi1 pu3 si1 wei1 ji1/qi2	yipusiweiqi				待分配	证据不足或仍冲突；待分配	
44855	伊莱亚·穆罕默德	5	yi1 lai2 ya4 #mu4 han3 mo4 de2	yilaiya*muhanmode				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44862	伏拉斯卡	5	fu2 la1/la2/la3/la4 si1 ka3/qia3	fulasika				待分配	证据不足或仍冲突；待分配	
44873	传记片	5	chuan2/zhuan4 ji4 pian1/pian4	chuanjipian				待分配	证据不足或仍冲突；待分配	
44874	传道士	5	chuan2/zhuan4 dao4 shi4	chuandaoshi				待分配	证据不足或仍冲突；待分配	
44877	伯内	5	bai3/bo2 nei4	bonei				待分配	证据不足或仍冲突；待分配	
44878	伯大尼	5	bai3/bo2 da4/dai4 ni2	bodani				待分配	证据不足或仍冲突；待分配	
44879	伯恩赛德	5	bai3/bo2 en1 sai4 de2	boensaide				待分配	证据不足或仍冲突；待分配	
44880	伯戴尔	5	bai3/bo2 dai4 er3	bodaier				待分配	证据不足或仍冲突；待分配	
44881	伯纳德·史雷贝克	5	bai3/bo2 na4 de2 #shi3 lei2 bei4 ke4	bonade*shileibeike				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44882	伯纳德·拉法第	5	bai3/bo2 na4 de2 #la1/la2/la3/la4 fa3 di4	bonade*lafadi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44883	伯罗斯	5	bai3/bo2 luo1/luo2/luo5 si1	boluosi				待分配	证据不足或仍冲突；待分配	
44884	伯蒂	5	bai3/bo2 di4	bodi				待分配	证据不足或仍冲突；待分配	
44886	但查理	5	dan4 cha2/zha1 li3	danchali				待分配	证据不足或仍冲突；待分配	
44899	佛斯诺	5	fo2/fu2 si1 nuo4	fosinuo				待分配	证据不足或仍冲突；待分配	
44906	佩托·派普齐奥	5	pei4 tuo1 #pa1/pai4 pu3 ji4/qi2/qi4 ao4	peituo*paipuqiao				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44909	佩里格林·图克	5	pei4 li3 ge1/ge2 lin2 #tu2 ke4	peiligelin*tuke				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44916	侦查员	5	zhen1 cha2/zha1 yuan2/yun2/yun4	zhenchayuan				待分配	证据不足或仍冲突；待分配	
44919	促进会	5	cu4 jin4 hui4/kuai4	cujinhui				待分配	证据不足或仍冲突；待分配	
44920	俊大	5	juan4/jun4 da4/dai4	junda				待分配	证据不足或仍冲突；待分配	
44921	俊夫	5	juan4/jun4 fu1/fu2	junfu				待分配	证据不足或仍冲突；待分配	
44925	俗话说得好	5	su2 hua4 shui4/shuo1/yue4 de2/de5/dei3 hao3/hao4	suhuashuodehao				待分配	证据不足或仍冲突；待分配	
44928	保安员	5	bao3 an1 yuan2/yun2/yun4	baoanyuan				待分配	证据不足或仍冲突；待分配	
44930	保罗·卢斯赛伯吉纳	5	bao3 luo1/luo2/luo5 #lu2 si1 sai4 bai3/bo2 ji2 na4	baoluo*lusisaibojina				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44936	修脚师	5	xiu1 jia3/jiao3/jue2 shi1	xiujiaoshi				待分配	证据不足或仍冲突；待分配	
44948	停车处	5	ting2 che1/ju1 chu3/chu4	tingchechu				待分配	证据不足或仍冲突；待分配	
44955	先锋派	5	xian1 feng1 pa1/pai4	xianfengpai				待分配	证据不足或仍冲突；待分配	
44962	克莉斯蒂娜	5	ke4 li4 si1 di4 na4/nuo2	kelisidina				待分配	证据不足或仍冲突；待分配	
44965	克莱尔·库切芙	5	ke4 lai2 er3 #ku4 qie1/qie4 fu2	kelaier*kuqiefu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44967	克里夫·琼斯	5	ke4 li3 fu1/fu2 #qiong2 si1	kelifu*qiongsi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44968	克里斯·科德维尔	5	ke4 li3 si1 #ke1 de2 wei2 er3	kelisi*kedeweier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44969	克里斯·雷利	5	ke4 li3 si1 #lei2 li4	kelisi*leili				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44970	克里斯丁·汤普森	5	ke4 li3 si1 ding1/zheng1 #shang1/tang1 pu3 sen1	kelisiding*tangpusen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
44974	兑换率	5	dui4 huan4 lu:4/shuai4	duihuanlv				待分配	证据不足或仍冲突；待分配	
44978	全国委员会	5	quan2 guo2 wei1/wei3 yuan2/yun2/yun4 hui4/kuai4	quanguoweiyuanhui				待分配	证据不足或仍冲突；待分配	
44985	公差	5	gong1 cha1	gongchai	gong1 chai1	gong cha | gong chai	gong cha | gong chai	待分配	参考异读无法消歧；待分配	原始两拼音字段矛盾；整词词典与原始拼音矛盾；两份参考不能唯一确定
44987	公里数	5	gong1 li3 shu3/shu4/shuo4	gonglishu				待分配	证据不足或仍冲突；待分配	
44988	六十九	5	liu4/lu4 shi2 jiu3	liushijiu				待分配	证据不足或仍冲突；待分配	
44998	内德·中森	5	nei4 de2 #zhong1/zhong4 sen1	neide*zhongsen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45006	再者说	5	zai4 zhe3 shui4/shuo1/yue4	zaizheshuo				待分配	证据不足或仍冲突；待分配	
45033	凯丽·韦伯	5	kai3 li2/li4 #wei2 bai3/bo2	kaili*weibo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45034	凯利·斯莱特	5	kai3 li4 #si1 lai2 te4	kaili*silaite				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45036	凯思琳	5	kai3 sai1/si1 lin2	kaisilin				待分配	证据不足或仍冲突；待分配	
45038	凯文·弗兰克斯	5	kai3 wen2 #fu2 lan2 ke4 si1	kaiwen*fulankesi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45041	凯瑟琳马丁	5	kai3 se4 lin2 ma3 ding1/zheng1	kaiselinmading				待分配	证据不足或仍冲突；待分配	
45042	凯莉·布拉德	5	kai3 li4 #bu4 la1/la2/la3/la4 de2	kaili*bulade				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45043	凯莉·布拉德肖	5	kai3 li4 #bu4 la1/la2/la3/la4 de2 xiao1/xiao4	kaili*buladexiao				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45045	凯蒂·巴伦	5	kai3 di4 #ba1 lun2	kaidi*balun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45056	分局长	5	fen1/fen4 ju2 chang2/zhang3	fenjuchang				待分配	证据不足或仍冲突；待分配	
45059	切·贝克	5	qie1/qie4 #bei4 ke4	qie*beike				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45074	利兰·贾纳斯	5	li4 lan2 #gu3/jia3 na4 si1	lilan*jianasi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45081	制服呢	5	zhi4 fu2 ni2	zhifune				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
45082	刹车片	5	cha4/sha1 che1/ju1 pian1/pian4	shachepian				待分配	证据不足或仍冲突；待分配	
45091	劝降	5	quan4 jiang4/xiang2	quanjiang	quan4 xiang2	quan jiang | quan xiang	quan jiang | quan xiang	待分配	参考异读无法消歧；待分配	整词词典与辅助拼音矛盾；两份参考不能唯一确定
45097	加马丁尼	5	jia1 ma3 ding1/zheng1 ni2	jiamadingni				待分配	证据不足或仍冲突；待分配	
45106	劳拉·图林思	5	lao2 la1/la2/la3/la4 #tu2 lin2 sai1/si1	laola*tulinsi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45109	勒兹	5	le4/lei1 ci2/zi1	lezi				待分配	证据不足或仍冲突；待分配	
45111	勒布朗·詹姆斯	5	le4/lei1 bu4 lang3 #zhan1 mu3 si1	lebulang*zhanmusi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45116	北角	5	bei3 jia3/jiao3/jue2	beijiao				待分配	证据不足或仍冲突；待分配	
45129	千柏	5	qian1 bai3/bo2/bo4	qianbai				待分配	证据不足或仍冲突；待分配	
45136	单格	5	chan2/dan1/shan4 ge1/ge2	dange				待分配	证据不足或仍冲突；待分配	
45141	南丁格尔	5	na1/nan2 ding1/zheng1 ge1/ge2 er3	nandinggeer				待分配	证据不足或仍冲突；待分配	
45142	南克莱	5	na1/nan2 ke4 lai2	nankelai				待分配	证据不足或仍冲突；待分配	
45143	南希·布朗	5	na1/nan2 xi1 #bu4 lang3	nanxi*bulang				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45144	南希·斯托克	5	na1/nan2 xi1 #si1 tuo1 ke4	nanxi*situoke				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45145	南汉普敦	5	na1/nan2 han4 pu3 dui4/dun1	nanhanpudun				待分配	证据不足或仍冲突；待分配	
45147	南珠	5	na1/nan2 zhu1	nanzhu				待分配	证据不足或仍冲突；待分配	
45148	博·拉莱米	5	bo2 #la1/la2/la3/la4 lai2 mi3	bo*lalaimi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45151	博瑟·山特洛斯	5	bo2 se4 #shan1 te4 luo4 si1	bose*shanteluosi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45152	卜满	5	bo5/bu3 man3	boman				待分配	证据不足或仍冲突；待分配	
45153	卡丽·美	5	ka3/qia3 li2/li4 #mei3	kali*mei				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45154	卡博	5	ka3/qia3 bo2	kabo				待分配	证据不足或仍冲突；待分配	
45155	卡哈利	5	ka3/qia3 ha1/ha3/ha4 li4	kahali				待分配	证据不足或仍冲突；待分配	
45156	卡哈利夫	5	ka3/qia3 ha1/ha3/ha4 li4 fu1/fu2	kahalifu				待分配	证据不足或仍冲突；待分配	
45159	卡尔·罗夫	5	ka3/qia3 er3 #luo1/luo2/luo5 fu1/fu2	kaer*luofu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45160	卡尔波	5	ka3/qia3 er3 bo1	kaerbo				待分配	证据不足或仍冲突；待分配	
45161	卡德尔	5	ka3/qia3 de2 er3	kadeer				待分配	证据不足或仍冲突；待分配	
45162	卡拉威	5	ka3/qia3 la1/la2/la3/la4 wei1	kalawei				待分配	证据不足或仍冲突；待分配	
45163	卡拉文	5	ka3/qia3 la1/la2/la3/la4 wen2	kalawen				待分配	证据不足或仍冲突；待分配	
45164	卡梅隆·迪亚兹	5	ka3/qia3 mei2 long1/long2 #di2 ya4 ci2/zi1	kameilong*diyazi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45165	卡洛夫	5	ka3/qia3 luo4 fu1/fu2	kaluofu				待分配	证据不足或仍冲突；待分配	
45166	卡特琳	5	ka3/qia3 te4 lin2	katelin				待分配	证据不足或仍冲突；待分配	
45168	卡福克斯阿比	5	ka3/qia3 fu2 ke4 si1 a1/a5/e1 bi3	kafukesiabi				待分配	证据不足或仍冲突；待分配	
45169	卡维拉	5	ka3/qia3 wei2 la1/la2/la3/la4	kaweila				待分配	证据不足或仍冲突；待分配	
45170	卡罗斯	5	ka3/qia3 luo1/luo2/luo5 si1	kaluosi				待分配	证据不足或仍冲突；待分配	
45171	卡罗林	5	ka3/qia3 luo1/luo2/luo5 lin2	kaluolin				待分配	证据不足或仍冲突；待分配	
45172	卡苏	5	ka3/qia3 su1	kasu				待分配	证据不足或仍冲突；待分配	
45173	卡迪士	5	ka3/qia3 di2 shi4	kadishi				待分配	证据不足或仍冲突；待分配	
45174	卡里科	5	ka3/qia3 li3 ke1	kalike				待分配	证据不足或仍冲突；待分配	
45175	卡雷托	5	ka3/qia3 lei2 tuo1	kaleituo				待分配	证据不足或仍冲突；待分配	
45177	卢卡斯·舒麦克	5	lu2 ka3/qia3 si1 #shu1 mai4 ke4	lukasi*shumaike				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45178	卢奇	5	lu2 ji1/qi2	luqi				待分配	证据不足或仍冲突；待分配	
45191	危地马拉人	5	wei1 de5/di4 ma3 la1/la2/la3/la4 ren2	weidimalaren				待分配	证据不足或仍冲突；待分配	
45208	参众两院	5	can1/cen1/shen1 zhong4 liang3 yuan4	canzhongliangyuan				待分配	证据不足或仍冲突；待分配	
45215	发奇	5	fa1/fa4 ji1/qi2	faqi				待分配	证据不足或仍冲突；待分配	
45228	古卢姆伯格	5	gu3 lu2 mu3 bai3/bo2 ge1/ge2	gulumuboge				待分配	证据不足或仍冲突；待分配	
45229	古奇	5	gu3 ji1/qi2	guqi				待分配	证据不足或仍冲突；待分配	
45246	史蒂文·泰勒	5	shi3 di4 wen2 #tai4 le4/lei1	shidiwen*taile				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45250	叶特斯	5	xie2/ye4 te4 si1	yetesi				待分配	证据不足或仍冲突；待分配	
45251	叶素	5	xie2/ye4 su4	yesu				待分配	证据不足或仍冲突；待分配	
45252	叶维蒂	5	xie2/ye4 wei2 di4	yeweidi				待分配	证据不足或仍冲突；待分配	
45260	合声	5	ge3/he2 sheng1	hesheng				待分配	证据不足或仍冲突；待分配	
45262	合正洞	5	ge3/he2 zheng1/zheng4 dong4	hezhengdong				待分配	证据不足或仍冲突；待分配	
45263	吉塔	5	ji2 da5/ta3	jita				待分配	证据不足或仍冲突；待分配	
45265	吉娜瑞	5	ji2 na4/nuo2 rui4	jinarui				待分配	证据不足或仍冲突；待分配	
45266	吉尔·塔克	5	ji2 er3 #da5/ta3 ke4	jier*take				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45269	吉斯卡德	5	ji2 si1 ka3/qia3 de2	jisikade				待分配	证据不足或仍冲突；待分配	
45270	吉米·唐纳利	5	ji2 mi3 #tang2 na4 li4	jimi*tangnali				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45289	君不见	5	jun1 bu2/bu4 jian4/xian4	junbujian				待分配	证据不足或仍冲突；待分配	
45297	和卡尔	5	he2/he4/hu2/huo2/huo4 ka3/qia3 er3	hekaer				待分配	证据不足或仍冲突；待分配	
45298	和杰克	5	he2/he4/hu2/huo2/huo4 jie2 ke4	hejieke				待分配	证据不足或仍冲突；待分配	
45300	和玛丽	5	he2/he4/hu2/huo2/huo4 ma3 li2/li4	hemali				待分配	证据不足或仍冲突；待分配	
45301	和约翰	5	he2/he4/hu2/huo2/huo4 yao1/yue1 han4	heyuehan				待分配	证据不足或仍冲突；待分配	
45303	咖喱粉	5	ga1 li2 fen3	gaslifen				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
45304	咘	5	#	*	bu4			待分配	孤立多音字无语境；待分配	
45306	咯吱咯吱	5	ge1/ka3/lo5/luo4 zhi1/zi1 ge1/ka3/lo5/luo4 zhi1/zi1	kazhikazhi				待分配	证据不足或仍冲突；待分配	
45314	哈勒姆	5	ha1/ha3/ha4 le4/lei1 mu3	halemu				待分配	证据不足或仍冲突；待分配	
45321	哈桑·努米尔	5	ha1/ha3/ha4 sang1 #nao2/nu3 mi3 er3	hasang*numier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45327	哈莉·贝瑞	5	ha1/ha3/ha4 li4 #bei4 rui4	hali*beirui				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45329	哈蒂·吉恩	5	ha1/ha3/ha4 di4 #ji2 en1	hadi*jien				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45330	哈蒂·梅·皮尔斯	5	ha1/ha3/ha4 di4 #mei2 #pi2 er3 si1	hadi*mei*piersi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
45331	哈里·洛克哈特	5	ha1/ha3/ha4 li3 #luo4 ke4 ha1/ha3/ha4 te4	hali*luokehate				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
